U L U2 D2 B' L
U L D2 U2 B' L
U L F U2 B' L'
U L F' R U2 B'
U L' F L2 U2 L
F' U L R U2 B'
F U L U2 B' L2
F' U R L U2 B'
D2 U' B2 R' B L
U' D2 B2 R' B L
U F L U2 B' L2
U F' L R U2 B'
U F' R L U2 B'
U L R U2 D2 B' L
U L R D2 U2 B' L
U L R F U2 B' L'
U L R F' R U2 B'
U L R' U2 D2 B' L
U L R' D2 U2 B' L
U L R' F U2 B' L'
U L R' F' R U2 B'
U L R2 U2 D2 B' L
U L R2 D2 U2 B' L
U L R2 F U2 B' L'
U L R2 F' R U2 B'
U L U F U B' L'
U L U2 D2 B' L D
U L U2 D2 B' L D'
U L U2 D2 B' L D2
U L U2 D2 B' D L
U L U2 D2 B' D' L
U L U2 D2 B' D2 L
U L U2 F B' L' F'
U L U2 B' F L' F'
U L D2 R U2 B' L
U L D2 R' U2 B' L
U L D2 R2 U2 B' L
U L D2 U2 B' L D
U L D2 U2 B' L D'
U L D2 U2 B' L D2
U L D2 U2 B' D L
U L D2 U2 B' D' L
U L D2 U2 B' D2 L
U L D2 F U2 B' L
U L D2 F' U2 B' L
U L D2 F2 U2 B' L
U L F R U2 B' L'
U L F R' U2 B' L'
U L F R2 U2 B' L'
U' L F U2 B' L' F'
U L F U2 D B' L'
U L F U2 D' B' L'
U L F U2 D2 B' L'
U L F U2 B L' B2
U L F U2 B' L' D
U L F U2 B' L' D'
U L F U2 B' L' D2
U L F U2 B' D L'
U L F U2 B' D' L'
U L F U2 B' D2 L'
U L F U2 B2 L' B
U L F D U2 B' L'
U L F D' U2 B' L'
U L F D2 U2 B' L'
U' L F' R U2 F B'
U' L F' R U2 B' F
U L F' R U2 D B'
U L F' R U2 D' B'
U L F' R U2 D2 B'
U L F' R U2 B' D
U L F' R U2 B' D'
U L F' R U2 B' D2
U L F' R D U2 B'
U L F' R D' U2 B'
U L F' R D2 U2 B'
U L F' R F U2 B'
U L F' R F' U2 B'
U L F' R F2 U2 B'
U L F' D R U2 B'
U L F' D' R U2 B'
U L F' D2 R U2 B'
U L F2 U2 B L B2
U L' R F L2 U2 L
U L' R' F L2 U2 L
U L' R2 F L2 U2 L
U2 L' U' F L2 U2 L
U' L' U2 F L2 U2 L
U' L' D2 L2 R2 B' L
U' L' D2 L2 B' L R2
U' L' D2 L2 B' R2 L
U' L' D2 R2 L2 B' L
U' L' F L2 U2 L F'
U' L' F L2 U2 F' L
U L' F L2 R U2 L
U L' F L2 R' U2 L
U L' F L2 R2 U2 L
U L' F L2 U2 L D
U L' F L2 U2 L D'
U L' F L2 U2 L D2
U L' F L2 U2 D L
U L' F L2 U2 D' L
U L' F L2 U2 D2 L
U L' F L2 D U2 L
U L' F L2 D' U2 L
U L' F L2 D2 U2 L
U L' F R L2 U2 L
U L' F R' L2 U2 L
U L' F R2 L2 U2 L
U L' F U2 D2 L' R2
U L' F U2 D2 R2 L'
U L' F D2 U2 L' R2
U L' F D2 U2 R2 L'
U L' F' L2 R F2 U2
U L' F' L2 F2 U2 L'
U L' F' R L2 F2 U2
U L' F' R F2 L2 U2
U L' F2 L2 F' U2 L'
F' L2 D F2 L' R B'
F' L2 D F2 L' B' R
F' L2 D F2 R L' B'
R' U L U2 D2 B' L
R' U L D2 U2 B' L
R' U L F U2 B' L'
R' U L F' R U2 B'
R2 U L U2 D2 B' L
R2 U L D2 U2 B' L
R U L U2 D2 B' L
R2 U L F U2 B' L'
R2 U L F' R U2 B'
R U L D2 U2 B' L
R U L F U2 B' L'
U L2 D2 L' U2 B' L
R U L F' R U2 B'
R' U L' F L2 U2 L
R2 U L' F L2 U2 L
R U L' F L2 U2 L
U L2 F2 U2 R B L
R' U F L U2 B' L2
U R L U2 D2 B' L
U R L D2 U2 B' L
U R L F U2 B' L'
U R L F' R U2 B'
R2 U F L U2 B' L2
