R' B R' U L U
B L U' L' R' B U2
B L U' R' L' B U2
B L U' R' B L' U2
B' L F2 R D F' B2
B' L F2 R D B2 F'
B' L F2 R F' D B2
U' L' R U' F' B' L
U' L' R U' B' L F'
U' L' R U' B' F' L
U' R L' U' F' B' L
U' R L' U' B' L F'
U' R L' U' B' F' L
D' R U F' R U B
U R U F' B' L B2
U R U B' L F' B2
U R U B' L B2 F'
U R U B' F' L B2
B' R U2 L D F' B2
B' R U2 L D B2 F'
B' R U2 L F' D B2
B' R U2 D L F' B2
B' R U2 D L B2 F'
B' R U2 D F' L B2
B' R U2 F' L D B2
B' R U2 F' D L B2
B' R D U2 L F' B2
B' R D U2 L B2 F'
B' R D U2 F' L B2
B' R D' F2 U2 F L
R2 U' L' U' B' L F
R U' L' U' F' B' L
R U' L' U' B' L F'
R U' L' U' B' F' L
B R' U L R2 U F'
B R' U L U' B U2
B R' U R2 L U F'
U R' U' F' B R' U2
U R' U' B F' R' U2
B2 R' D B U2 L B'
F' R' B R' U L U
F2 R' B R' U L U
B2 R' B U' R' U' L
F R' B R' U L U
B' R2 U' R U' L F
R U2 F' B' L D' B2
R U2 B' F' L D' B2
B U L U' R' B U2
D' U F' R F' U B
D2 U' L' U' F B' L'
D2 U' L' U' B' F L'
U D' F' R F' U B
U' D2 L' U' F B' L'
U' D2 L' U' B' F L'
R' F B R' U L U
D' F' U R F' U B
R' F' B R' U L U
R' F2 B R' U L U
R' B R' U L U D
R' B R' U L U D'
R' B R' U L U D2
R' B R' U L D U
R' B R' U L D' U
R' B R' U L D2 U
R' B R' U D L U
R' B R' U D' L U
R' B R' U D2 L U
R' B R' D U L U
R' B R' D' U L U
R' B R' D2 U L U
R' B R' F U L U
R' B R' F' U L U
R' B R' F2 U L U
R2 B R' U L U F'
R' B U L U' R' U2
R' B U' B2 R' U' L
R' B U2 L' D' B2 L
R' B D R' U L U
R' B D' R' U L U
R' B D2 R' U L U
R' B F R' U L U
R' B F' R' U L U
R' B F2 R' U L U
D B' U' L R' B' U'
R2 B' U' R' U' L F
D B' U' R' L B' U'
R' B2 D' B' R' U2 B
