U L F D R2 U2 F2
U L F D' B2 U2 L2
B2 L' R2 B U' R B
F' L' D2 B R' U R'
F2 R F L' U D2 R2
F2 R F L' U' L2 U2
F2 R F L' D' B2 U
F2 R F L' D2 U R2
F R D2 B2 U' R' F'
L U' L2 R U' B L
F2 R F B2 L' U R'
L U' R L2 U' B L
F2 R B2 F L' U R'
B2 R2 L' B U' R B
B2 R2 B L' U' R B
L' D F2 U2 F L' U
L' D' F' L' B2 R' U
L' D2 R U' R B L
L' F R D2 B2 U' R2
L' F D R F2 U' L'
L' F D2 R B2 U' R
L' F D2 B2 R U' R
F' D' L' U D2 R2 F
F' D' L' U D2 F R2
F' D' L' U F D2 R2
F' D' L' U' L2 B' U2
F' D' L' D' B2 U F
F' D' L' D2 U R2 F
F' D' L' D2 U F R2
L' F' D' L' B2 R' U
F' D' B2 L' U R' F
F' D' B2 L' U F R'
F D2 R B2 U' R' F'
R2 B L' U' R B R'
F' D2 B2 L' U R' F'
R2 B D L' F R U'
B2 F' D' L' U R' F
B2 F' D' L' U F R'
B2 F2 R F L' U R2
F2 B2 R F L' U R2
F' B2 D' L' U R' F
F' B2 D' L' U F R'
