R F' U B R U
L' R F' U B R U
L R F' U B R U
L2 R F' U B R U
R L F' U B R U
R L' F' U B R U
R L2 F' U B R U
U R D' F' L' U2 F
B' R F' U B R U
U' R F' U R B U
B2 R F' U B R U
U R F' L' U R U
B R F' U B R U
R2 D R' F' B U2 R'
R2 D R' B F' U2 R'
F2 U' L' B' R' F' B
F2 U' L' B' R' B F'
F2 U' B' L' R' F' B
F2 U' B' L' R' B F'
F2 U' B' R' L' F' B
F2 U' B' R' L' B F'
F2 U' B' R' B L' F'
R D2 F' U B R' U
D' F L' U F L' R
D' F L' U F R L'
R F' L U B R U
R F' L' U B R U
R F' L2 U B R U
R F' U D B R U
R F' U D' B R U
R F' U D2 B R U
R F' U B R U D
R F' U B R U D'
R F' U B R U D2
R F' U B R D U
R F' U B R D' U
R F' U B R D2 U
R F' U B D R U
R F' U B D' R U
R F' U B D2 R U
R F' U B' R B2 U
R F' U B2 R B' U
R F' D U B R U
R F' D' U B R U
R F' D2 U B R U
R F' B U R U R'
R F' B' U R B2 U
R F' B' U B2 R U
R F' B2 U R B' U
R F' B2 U B' R U
D' F2 U L' F R B'
D' F2 U L' F B' R
D' F2 U L' B' F R
R B F' U R U R'
R B' F' U R B2 U
R B' F' U B2 R U
R B2 F' U R B' U
R B2 F' U B' R U
