U R' D' L2 F' B'
U R' D' L2 B' F'
D' U L2 R' F' B'
D' U L2 R' B' F'
D' U R' L2 F' B'
D' U R' L2 B' F'
F2 U R2 B R F'
U D' L2 R' F' B'
U D' L2 R' B' F'
U D' R' L2 F' B'
U D' R' L2 B' F'
F2 U' F' U2 R' F'
L2 F2 U R' F' B'
L2 F2 U R' B' F'
L2 F2 U R' B' F'
D' L U L R' F' B'
D' L U L R' B' F'
D' L U R' L F' B'
D' L U R' L B' F'
D' L U R' F' L B'
F2 L U R2 B R F'
D' L U' L R' F B'
D' L U' L R' B' F
D' L U' L F R' B'
D' L U' R' L F B'
D' L U' R' L B' F
F2 L U' F' U2 R' F'
F2 L' U R2 B R F'
F2 L' U' F' U2 R' F'
L2 R' B' U' R' F2 U
L2 R' B' U' F2 R' U
D' L2 R' B' U' R' U
U L2 R' D' F' B' L2
U L2 R' D' B' L2 F'
U L2 R' D' B' F' L2
U L2 R' B' D' L2 F'
U L2 R' B' D' F' L2
D' L2 R2 B' R D' F2
F2 L2 U R2 B R F'
F2 L2 U' F' U2 R' F'
R' L2 B' U' R' F2 U
R' L2 B' U' F2 R' U
L2 R2 B' R D' L2 F2
L2 R2 B' R D' F2 L2
R2 L2 B' R D' L2 F2
R2 L2 B' R D' F2 L2
U L2 D' R' F' B' L2
U L2 D' R' B' L2 F'
U L2 D' R' B' F' L2
L2 U R' D' F' B' L2
L2 U R' D' B' L2 F'
L2 U R' D' B' F' L2
L2 U R' B' D' L2 F'
L2 U R' B' D' F' L2
L2 U D' R' F' B' L2
L2 U D' R' B' L2 F'
L2 U D' R' B' F' L2
B' R F2 R2 U B R'
U R F2 U R2 F' B
U R F2 U R2 B F'
D' R' L2 B' U' R' U
U R' L2 D' F' B' L2
U R' L2 D' B' L2 F'
U R' L2 D' B' F' L2
U R' L2 B' D' L2 F'
U R' L2 B' D' F' L2
U' R' D' L F L B'
U R' D F' D2 L2 B2
U R' D F' D2 B2 L2
U R' D' L F' L B'
U R' D' L2 D F' B'
U R' D' L2 D B' F'
U R' D' L2 D' F' B'
U R' D' L2 D' B' F'
U R' D' L2 D2 F' B'
U R' D' L2 D2 B' F'
U R' D' L2 F' D B'
U R' D' L2 F' D' B'
U R' D' L2 F' D2 B'
U R' D' L2 F' B' D
U R' D' L2 F' B' D'
U R' D' L2 F' B' D2
U R' D' L2 B' D F'
U R' D' L2 B' D' F'
U R' D' L2 B' D2 F'
U R' D' L2 B' F' D
U R' D' L2 B' F' D'
U R' D' L2 B' F' D2
U R' D' F' L2 D2 B2
U R' D' B L2 F' B'
U R' D' B L2 B' F'
U R' D' B' L2 F' B'
U R' D' B' L2 B' F'
U R' D' B2 L2 F' B'
U R' D' B2 L2 B' F'
B' R' F2 U R2 B R'
F2 R' B' R' U B R
U R' B D' L2 F' B'
U R' B D' L2 B' F'
U R' B' D' L2 F' B'
U R' B' D' L2 B' F'
U R' B2 D' L2 F' B'
U R' B2 D' L2 B' F'
R' U2 F U R F U
D' R2 L2 B' R D' F2
F2 R2 U B R' F' R2
F2 R2 B' R' U R2 B2
F2 R2 B' R' U B2 R2
D' U L R' F' L B'
D' U L2 R' D F' B'
D' U L2 R' D B' F'
D' U L2 R' D' F' B'
D' U L2 R' D' B' F'
D' U L2 R' D2 F' B'
D' U L2 R' D2 B' F'
D' U L2 R' F' D B'
D' U L2 R' F' D' B'
D' U L2 R' F' D2 B'
D' U L2 R' F' B' D
D' U L2 R' F' B' D'
D' U L2 R' F' B' D2
D' U L2 R' B' D F'
D' U L2 R' B' D' F'
D' U L2 R' B' D2 F'
D' U L2 R' B' F' D
D' U L2 R' B' F' D'
D' U L2 R' B' F' D2
D' U L2 R2 B' R F'
D' U L2 D R' F' B'
D' U L2 D R' B' F'
D' U L2 D' R' F' B'
D' U L2 D' R' B' F'
D' U L2 D2 R' F' B'
D' U L2 D2 R' B' F'
D' U L2 F R' F' B'
D' U L2 F R' B' F'
D' U L2 F' R' F' B'
D' U L2 F' R' B' F'
D' U L2 F2 R' F' B'
D' U L2 F2 R' B' F'
D' U R' L F' L B'
D' U R' L2 D F' B'
D' U R' L2 D B' F'
D' U R' L2 D' F' B'
D' U R' L2 D' B' F'
D' U R' L2 D2 F' B'
D' U R' L2 D2 B' F'
D' U R' L2 F' D B'
D' U R' L2 F' D' B'
D' U R' L2 F' D2 B'
D' U R' L2 F' B' D
D' U R' L2 F' B' D'
D' U R' L2 F' B' D2
D' U R' L2 B' D F'
D' U R' L2 B' D' F'
D' U R' L2 B' D2 F'
D' U R' L2 B' F' D
D' U R' L2 B' F' D'
D' U R' L2 B' F' D2
D2 U R' D L2 F' B'
D2 U R' D L2 B' F'
D' U R' F' L2 D2 B2
D' U R' B L2 F' B'
D' U R' B L2 B' F'
D' U R' B' L2 F' B'
D' U R' B' L2 B' F'
F U R F U R2 F'
D' U R' B2 L2 F' B'
D' U R' B2 L2 B' F'
F2 U R' F' R' B R
D' U R2 L2 B' R F'
D U R' F' D2 B2 L
U D R' F' D2 B2 L
F2 U R2 B R D F'
F2 U R2 B R D' F'
F2 U R2 B R D2 F'
F2 U R2 B R F' D
F2 U R2 B R F' D'
F2 U R2 B R F' D2
D' U F R' F' L2 B'
F2 U R2 B' R F' B2
F2 U R2 B' R B2 F'
F2 U R2 B2 R F' B'
F2 U R2 B2 R B' F'
F2 U D R2 B R F'
D U F R2 U2 R F'
F2 U D' R2 B R F'
U D F R2 U2 R F'
F2 U D2 R2 B R F'
D' U B L2 B' R' F'
F2 U F R' D2 F' B2
F2 U F R' D2 B2 F'
F2 U F D2 R' F' B2
F2 U F D2 R' B2 F'
R' D' L2 B' U' R' U
F U F R U R2 F'
F U F R2 U R F'
R2 D' L2 B' R D' F2
F2 U F2 R' F' D2 B2
D' U' L R' F L B'
U' D' L R' F L B'
D' U' L F L R' B'
U' D' L F L R' B'
D' U' L F R' L B'
U' D' L F R' L B'
U D' L R' F' L B'
L2 D' U R' F' B' L2
L2 D' U R' B' L2 F'
L2 D' U R' B' F' L2
U D' L2 R' D F' B'
U D' L2 R' D B' F'
U D' L2 R' D' F' B'
U D' L2 R' D' B' F'
U D' L2 R' D2 F' B'
U D' L2 R' D2 B' F'
U D' L2 R' F' D B'
U D' L2 R' F' D' B'
U D' L2 R' F' D2 B'
U D' L2 R' F' B' D
U D' L2 R' F' B' D'
U D' L2 R' F' B' D2
U D' L2 R' B' D F'
U D' L2 R' B' D' F'
U D' L2 R' B' D2 F'
U D' L2 R' B' F' D
U D' L2 R' B' F' D'
U D' L2 R' B' F' D2
U D' L2 R2 B' R F'
F2 U' L F' U2 R' F2
F2 U' L F' U2 F2 R'
U D' L2 D R' F' B'
U D' L2 D R' B' F'
U D' L2 D' R' F' B'
U D' L2 D' R' B' F'
D' U' R' L F L B'
U' D' R' L F L B'
U D' L2 D2 R' F' B'
U D' L2 D2 R' B' F'
U D' L2 F R' F' B'
U D' L2 F R' B' F'
U D' L2 F' R' F' B'
U D' L2 F' R' B' F'
U D' L2 F2 R' F' B'
U D' L2 F2 R' B' F'
U D' R' L F' L B'
U D' R' L2 D F' B'
U D' R' L2 D B' F'
U D' R' L2 D' F' B'
