B2 L2 F U' F2
B2 U2 B' U F'
B2 L U' F R F2
B2 L F2 U' F R
B2 L' U' D F' R
B2 L' D U' F' R
B2 L2 U' F' D R2
B2 L2 D F U' F2
B2 L2 D' F U' F2
B2 L2 D' F U' F2
B2 L2 D2 F U' F2
B2 L2 F L U' F2
B2 L2 F L' U' F2
B2 L2 F L2 U' F2
B2 L2 F U' F2 D
B2 L2 F U' F2 D'
B2 L2 F U' F2 D2
B2 L2 F D' L2 U'
U2 D B U L2 F'
U2 D B U F' L2
B2 U' F' U' B' U
U2 D2 F2 B U F
D2 U2 F2 B U F
U2 D2 B F2 U F
D2 U2 B F2 U F
D U2 B U L2 F'
D U2 B U F' L2
B2 U2 D B' U F'
B2 U2 D' B' U F'
B2 U2 D2 B' U F'
B2 U2 B' U D F'
B2 U2 B' U D' F'
B2 U2 B' U D2 F'
B2 U2 B' U F' D
B2 U2 B' U F' D'
B2 U2 B' U F' D2
B2 U2 B' D U F'
B2 U2 B' D' U F'
B2 U2 B' D2 U F'
B2 D L2 F U' F2
B2 D U2 B' U F'
B2 D U2 B' U F'
R2 F' R2 B2 U' F'
B2 D' L2 F U' F2
B2 D' U2 B' U F'
B' D' B' U' F' R2
B2 D2 L2 F U' F2
B2 D2 L2 F U' F2
B2 D2 U2 B' U F'
B' D2 F2 B' U' F
B' D2 B' F2 U' F
D B U F' L2 B'
U2 B U2 B U' F'
B2 F L2 F U' F
B2 F U2 B' U F2
B2 F D' L2 F U'
B2 F' L2 F U' F'
L' B2 L2 F U' F2
L2 B2 L2 F U' F2
L B2 L2 F U' F2
F' B2 L2 F U' F'
L' B2 U2 B' U F'
F B2 L2 F U' F
L2 B2 U2 B' U F'
L B2 U2 B' U F'
F2 B2 U2 B' U F
B2 F2 U2 B' U F
F B2 U2 B' U F2
F B2 D' L2 F U'
B2 L U B L U2 F'
B2 L U B' U2 F' R'
B2 L U' R' F R F'
B' L U' D' F' L' R2
B' L U' D' F' R2 L'
B2 L U' D F R F2
B2 L U' D' F R F2
B2 L U' D2 F R F2
B' L U' F' L' D' R2
B2 L U' F R F2 D
B2 L U' F R F2 D'
B2 L U' F R F2 D2
B2 L U' F R' F2 R2
B2 L U' F R2 F2 R'
B' L U' F' D' L' R2
B' L U' F' D' R2 L'
B2 L U' F' U2 L' U2
D2 L U2 F2 B U F
D2 L U2 B F2 U F
B' L U2 B2 U F' L'
B2 L D L F U' F2
B2 L D U' F R F2
B2 L D F2 U' F R
B2 L D' L F U' F2
B' L D' U' F' L' R2
B' L D' U' F' R2 L'
B2 L D' U' F R F2
B2 L D' F2 U' F R
R2 L F' R2 B2 U' F'
B2 L D2 L F U' F2
B2 L D2 U' F R F2
B2 L D2 F2 U' F R
B2 L F L F U' F
B2 L F U' F R F
B2 L F' L F U' F'
B2 L F2 U' R F R
B2 L F2 U' R' F R
B2 L F2 U' R2 F R
B2 L F2 U' D F R
B2 L F2 U' D' F R
B2 L F2 U' D2 F R
B2 L F2 U' F R D
B2 L F2 U' F R D'
B2 L F2 U' F R D2
B2 L F2 U' F D R
B2 L F2 U' F D' R
B2 L F2 U' F D2 R
B2 L F2 D U' F R
B2 L F2 D' U' F R
B2 L F2 D2 U' F R
B L B L2 F U' F2
B L B U2 B' U F'
F' L B2 L2 F U' F'
F L B2 L2 F U' F
F L B2 U2 B' U F2
F L B2 D' L2 F U'
B2 L' U' D F' R D
B2 L' U' D F' R D'
B2 L' U' D F' R D2
B2 L' U' D F' D R
B2 L' U' D F' D' R
B2 L' U' D F' D2 R
R2 L' F' R2 B2 U' F'
D2 L' U2 F2 B U F
D2 L' U2 B F2 U F
D L' U2 B U L' F'
B2 L' D L U' F' R
B2 L' D L' U' F' R
B2 L' D L2 U' F' R
B2 L' D U' F' R D
B2 L' D U' F' R D'
B2 L' D U' F' R D2
B2 L' D U' F' D R
B2 L' D U' F' D' R
B2 L' D U' F' D2 R
