L' R F2 B U F2
L' R B F2 U F2
R L' F2 B U F2
R L' B F2 U F2
U' L' F2 B' U R'
U' L' B' F2 U R'
R U' L' F2 B U
R U' L' B F2 U
R U' B L' F2 U
L' F2 R B U F2
L' F2 U F R F
R B L' F2 U F2
U' B' L' F2 U R'
L2 R U' L F2 B U
L2 R U' L B F2 U
L R U' L2 F2 B U
L R U' L2 B F2 U
R L U' L2 F2 B U
R L U' L2 B F2 U
R' L U' F2 L2 B' U
L2 R U' F2 L B U
L R U' F2 L2 B U
L R U' F2 B L2 U
L R U' B L2 F2 U
L R U' B F2 L2 U
R L U' F2 L2 B U
R L U' F2 B L2 U
R L U' B L2 F2 U
R L U' B F2 L2 U
U2 L U L2 F2 B' U
U2 L U L2 B' F2 U
R' L F2 L2 B' U F2
L2 R F2 L B U F2
L R F2 L2 B U F2
R L F2 L2 B U F2
L' R F2 D B R2 U
L' R F2 B R U F2
L' R F2 B R' U F2
L' R F2 B R2 U F2
L' R F2 B U F2 D
L' R F2 B U F2 D'
L' R F2 B U F2 D2
L' R F2 B D R2 U
L R F2 B L2 U F2
R L F2 B L2 U F2
L' R B R F2 U F2
L' R B R' F2 U F2
L R B L2 F2 U F2
L' R B R2 F2 U F2
R L B L2 F2 U F2
L' R B F2 R U F2
L' R B F2 R' U F2
L' R B F2 R2 U F2
L' R B F2 U F2 D
L' R B F2 U F2 D'
L' R B F2 U F2 D2
L' R B F2 D R2 U
L R B F2 L2 U F2
R L B F2 L2 U F2
L R B' D' L2 R2 B2
U' L F2 L2 B' U R'
L R B' D' L2 B2 R2
L R B' D' R2 L2 B2
L R B' D' R2 B2 L2
L R B' D' B2 L2 R2
L R B' D' B2 R2 L2
R L B' D' L2 R2 B2
R L B' D' L2 B2 R2
R L B' D' R2 L2 B2
R L B' D' R2 B2 L2
R L B' D' B2 L2 R2
R L B' D' B2 R2 L2
U' L F2 B' L2 U R'
U' L B L2 F2 U R
U' L B' L2 F2 U R'
U' L B' F2 L2 U R'
