B L U2 R' B' U' F'
U L B U2 R' B2 U'
U L' D2 F L' B U
U L' D2 F B L' U
U L' D2 B F L' U
D L' F U B U L'
B' L' F B2 L2 U F
U L' F B U2 R' U'
U L' F B' L B2 U
U L' B F U2 R' U'
U L' B' F L B2 U
B' L' B2 F L2 U F
U L2 B' L F B2 U
U L2 B' L B2 F U
L2 U D B U L B'
L' U D2 F L' B U
L' U D2 F B L' U
L' U D2 B F L' U
L' U F B U2 R' U'
L' U F B' L B2 U
L' U B F U2 R' U'
L2 U B U2 R' U' L
L U B U2 R' B2 U'
L2 U B' L B2 U L
L' U B' F L B2 U
L U' B' U2 L B2 U
L2 D U B U L B'
D' U B U' R' U2 B
D2 U' R2 F' R B U'
U D' B U' R' U2 B
L' D2 U F L' B U
L' D2 U F B L' U
L' D2 U B F L' U
U' D2 R2 F' R B U'
B2 D L2 F U' L' B'
U B L U2 R' B' U'
U B L' F U2 R' U'
D' B U' R' B' U2 B2
D B U L2 F L' B'
U B U2 D2 R' B U'
U B D2 U2 R' B U'
U B' L B2 U2 B U'
U B' L' F L2 B2 U
U B' L' F B2 L2 U
U B' L' B2 F L2 U
