L2 R F U' B U'
L2 R' F U F2 U
L2 R' F U2 D' L2
L2 R' F D R2 U2
L2 R' F D' U2 L2
L2 R2 D' F U2 L'
R2 L2 D' F U2 L'
R' L2 F U F2 U
R' L2 F U2 D' L2
R' L2 F D R2 U2
R' L2 F D' U2 L2
R L2 F U' B U'
L2 U2 L2 D' B' L
L2 F R U' B U'
L2 F R' U F' U
L2 F U F' U L'
L2 F U' B U' L
U' B U' L B2 R'
L2 R U' B U F U2
L2 R U2 L2 B' D L2
L2 R U2 B' D L2 B'
L2 R D F U' B U'
R2 L D' L F U2 L'
L2 R D' F U' B U'
L2 R D2 F U' B U'
L2 R F R2 U F' U
L2 R F U' D B U'
L2 R F U' D' B U'
L2 R F U' D2 B U'
L2 R F U' B U' D
L2 R F U' B U' D'
L2 R F U' B U' D2
L2 R F U' B D U'
L2 R F U' B D' U'
L2 R F U' B D2 U'
L2 R F D U' B U'
L2 R F D' U' B U'
L2 R F D2 U' B U'
L2 R' U L2 F' U B'
L2 R' U F' U D2 B2
L2 R' U F' U' F2 U2
L2 R' U F' D' L2 U
L2 R' U F' D2 U B2
L2 R' D F U F2 U
L2 R' D F U2 D' L2
L2 R' D F D R2 U2
L2 R' D F D' U2 L2
L2 R' D' F U F2 U
L2 R' D' F U2 D' L2
L2 R' D' F D R2 U2
L2 R' D' F D' U2 L2
L2 R' D2 F U F2 U
L2 R' D2 F U2 D' L2
L2 R' D2 F D R2 U2
L2 R' D2 F D' U2 L2
L2 R' F R U F2 U
L2 R' F R U2 D' L2
L2 R' F R D R2 U2
L2 R' F R D' U2 L2
L2 R' F R' U F2 U
L2 R' F R' U F2 U
L2 R' F R' U2 D' L2
L2 R' F R' D R2 U2
L2 R' F R' D' U2 L2
L2 R' F R2 U F2 U
L2 R' F R2 U2 D' L2
L2 R' F R2 D R2 U2
L2 R' F R2 D' U2 L2
L2 R' F U F2 U D
L2 R' F U F2 U D'
L2 R' F U F2 U D2
L2 R' F U F2 D U
L2 R' F U F2 D' U
L2 R' F U F2 D2 U
L2 R' F U' D2 B2 U'
L2 R' F U2 L D' L2
L2 R' F U2 L' D' L2
L2 R' F U2 L2 D' L2
L2 R' F U2 D' L2 D
L2 R' F U2 D' L2 D'
L2 R' F U2 D' L2 D2
L2 R' F D R2 U2 D
L2 R' F D R2 U2 D'
L2 R' F D R2 U2 D2
L2 R' F D R2 D U2
L2 R' F D R2 D' U2
L2 R' F D R2 D2 U2
L2 R' F D' R U2 L2
L2 R' F D' R' U2 L2
L2 R' F D' R2 U2 L2
L2 R' F D' U2 L2 D
L2 R' F D' U2 L2 D'
L2 R' F D' U2 L2 D2
L2 R' F D2 U' B2 U'
R' L2 U L2 F' U B'
R' L2 U F' U D2 B2
R' L2 U F' U' F2 U2
R' L2 U F' D' L2 U
R' L2 U F' D2 U B2
R L2 U' B U F U2
L2 R2 U2 L2 D B' L
R2 L2 U2 L2 D B' L
L2 R2 U2 D L2 B' L
R L2 U2 L2 B' D L2
R2 L2 U2 D L2 B' L
R L2 U2 B' D L2 B'
R' L2 D F U F2 U
R' L2 D F U2 D' L2
R' L2 D F D R2 U2
R' L2 D F D' U2 L2
L2 R2 D U2 L2 B' L
R2 L2 D U2 L2 B' L
R L2 D F U' B U'
L R2 D' L F U2 L'
R' L2 D' F U F2 U
R' L2 D' F U2 D' L2
R' L2 D' F D R2 U2
L2 R2 D' R F U2 L'
R' L2 D' F D' U2 L2
R2 L2 D' R F U2 L'
L2 R2 D' R' F U2 L'
R2 L2 D' R' F U2 L'
L2 R2 D' R2 F U2 L'
R2 L2 D' R2 F U2 L'
L2 R2 D' F R U2 L'
L2 R2 D' F R' U2 L'
L2 R2 D' F R2 U2 L'
L2 R2 D' F U2 L' D
L2 R2 D' F U2 L' D'
L2 R2 D' F U2 L' D2
L2 R2 D' F U2 D L'
L2 R2 D' F U2 D' L'
L2 R2 D' F U2 D2 L'
L2 R2 D' F D U2 L'
L2 R2 D' F D' U2 L'
L2 R2 D' F D2 U2 L'
R2 L2 D' F R U2 L'
R2 L2 D' F R' U2 L'
R2 L2 D' F R2 U2 L'
L2 R2 D' F' R F2 U2
R2 L2 D' F U2 L' D
R2 L2 D' F U2 L' D'
R2 L2 D' F U2 L' D2
R2 L2 D' F U2 D L'
R2 L2 D' F U2 D' L'
R2 L2 D' F U2 D2 L'
R2 L2 D' F D U2 L'
R2 L2 D' F D' U2 L'
R2 L2 D' F D2 U2 L'
R2 L2 D' F' R F2 U2
R L2 D' F U' B U'
R' L2 D2 F U F2 U
R' L2 D2 F U2 D' L2
R' L2 D2 F D R2 U2
R' L2 D2 F D' U2 L2
F' L2 R F U' B U'
F2 L2 R F U' B U'
F L2 R F U' B U'
R' L2 F R U F2 U
R' L2 F R U2 D' L2
R' L2 F R D R2 U2
R' L2 F R D' U2 L2
R' L2 F R' U F2 U
R' L2 F R' U2 D' L2
R' L2 F R' D R2 U2
R' L2 F R' D' U2 L2
R L2 D2 F U' B U'
R' L2 F R2 U F2 U
R' L2 F R2 U2 D' L2
R' L2 F R2 D R2 U2
R' L2 F R2 D' U2 L2
R' L2 F U F2 U D
R' L2 F U F2 U D'
R' L2 F U F2 U D2
R' L2 F U F2 D U
R' L2 F U F2 D' U
R' L2 F U F2 D2 U
F' L2 R' F U F2 U
F' L2 R' F U2 D' L2
F' L2 R' F D R2 U2
F' L2 R' F D' U2 L2
R' L2 F U' D2 B2 U'
R' L2 F U2 L D' L2
R' L2 F U2 L' D' L2
R' L2 F U2 L2 D' L2
R' L2 F U2 D' L2 D
R' L2 F U2 D' L2 D'
R' L2 F U2 D' L2 D2
F2 L2 R' F U F2 U
L2 R2 F R U F' U
F2 L2 R' F U2 D' L2
F2 L2 R' F D R2 U2
F2 L2 R' F D' U2 L2
R' L2 F D R2 U2 D
R' L2 F D R2 U2 D'
R' L2 F D R2 U2 D2
R' L2 F D R2 D U2
R' L2 F D R2 D' U2
R' L2 F D R2 D2 U2
R2 L2 F R U F' U
L2 R2 F R' U' B U'
R' L2 F D' R U2 L2
R' L2 F D' R' U2 L2
R' L2 F D' R2 U2 L2
R' L2 F D' U2 L2 D
R' L2 F D' U2 L2 D'
R' L2 F D' U2 L2 D2
R2 L2 F R' U' B U'
R' L2 F D2 U' B2 U'
F L2 R' F U F2 U
F L2 R' F U2 D' L2
F L2 R' F D R2 U2
F L2 R' F D' U2 L2
R L2 F R2 U F' U
F' L2 R2 D' F U2 L'
R L2 F U' D B U'
R L2 F U' D' B U'
R L2 F U' D2 B U'
R L2 F U' B U' D
R L2 F U' B U' D'
R L2 F U' B U' D2
R L2 F U' B D U'
R L2 F U' B D' U'
R L2 F U' B D2 U'
F2 L2 R2 D' F U2 L'
R L2 F D U' B U'
R L2 F D' U' B U'
R L2 F D2 U' B U'
F L2 R2 D' F U2 L'
L2 R2 F2 D' F' R U2
R2 L2 F2 D' F' R U2
F' L2 U2 L2 D' B' L
F2 L2 U2 L2 D' B' L
F L2 U2 L2 D' B' L
U2 L2 D F U2 L' F'
F' L2 F R U' B U'
F' L2 F R' U F' U
F2 L2 F R U' B U'
F' L2 F U F' U L'
F2 L2 F R' U F' U
F' L2 F U' B U' L
F2 L2 F U F' U L'
F L2 F R U' B U'
F2 L2 F U' B U' L
F L2 F R' U F' U
U L2 F R U R' U
F L2 F U F' U L'
F L2 F U' B U' L
L2 U L2 F' U B' L'
R' U D' F' B2 U B
R' U D' B2 F' U B
R' U D2 F' U R2 B'
R' U D2 F' U B' R2
F' R L2 F U' B U'
R' U F' U D2 R2 B'
R' U F' U D2 B' R2
F2 R L2 F U' B U'
R' U F' U B' D2 R2
R' U F' U' L2 F U2
R' U F' D' B2 U B
R' U F' D2 U R2 B'
R' U F' D2 U B' R2
F R L2 F U' B U'
L2 U F' U L' D2 B2
