U L2 B2 L U F
L B' U B' L U
U B2 L U' B' U2
B2 L R U' R' B' U2
B2 L R' U' R B' U2
B2 L R' U' B' R U2
B2 L R2 U D2 L2 F
B2 L R2 U' R2 B' U2
B2 L R2 U' B' R2 U2
B2 L R2 D2 U L2 F
B2 L U F2 D' L2 F
B2 L U' B' U' B U'
B2 L U2 L2 U' F L2
F' L B' U B' L U
F2 L B' U B' L U
B2 L B' U B U B'
F L B' U B' L U
B L B' U B2 L U
U L B2 L R2 U F'
U L B2 L U' B U2
U L B2 R2 L U F'
U' L' R' U' D' R2 F
U' L' R' U' D' F R2
U' L' R' U' F D' R2
U' L' R' U2 B2 U F
U' L' R' D' U' R2 F
U' L' R' D' U' F R2
U' L' R' D2 F2 U' F'
R' L' D2 F2 U' L' F'
L' R' D2 F2 U' L' F'
U' L' D' R' U' R' F
U' L' D' R' U' F R'
U' L' D2 R' F2 U' F'
L U L B2 L U F
L' U L' B2 L U F
D L2 F U' L' R' U'
D L2 F U' R' L' U'
D L2 F2 U' R' U' F'
U2 L2 B2 L U F L
U L2 B2 L R U F
U L2 B2 L R' U F
U L2 B2 L R2 U F
U L2 B2 L U D F
U L2 B2 L U D' F
U L2 B2 L U D2 F
U L2 B2 L U F D
U L2 B2 L U F D'
U L2 B2 L U F D2
U L2 B2 L D U F
U L2 B2 L D' U F
U L2 B2 L D2 U F
U L2 B2 R L U F
U L2 B2 R' L U F
U L2 B2 R2 L U F
B2 R L U' R' B' U2
U L2 B2 D L U F
U L2 B2 D' L U F
U L2 B2 D2 L U F
L2 U B' R' B' L U
D2 R D F' B2 L R2
D2 R D F' B2 R2 L
D2 R D B2 L F' R2
D2 R D B2 F' L R2
D2 R D B2 F' R2 L
L U B2 L R2 U F'
L U B2 L U' B U2
L U B2 R2 L U F'
L' U' R' U' D' R2 F
L' U' R' U' D' F R2
L' U' R' U' F D' R2
L' U' R' U2 B2 U F
L' U' R' D' U' R2 F
L' U' R' D' U' F R2
L' U' R' D2 F2 U' F'
L' U' D' R' U' R' F
L' U' D' R' U' F R'
L2 U' D' R' U' R' F'
B2 R' L U' R B' U2
B2 R' L U' B' R U2
L' U' D2 R' F2 U' F'
U' R' L' U' D' R2 F
U' R' L' U' D' F R2
U' R' L' U' F D' R2
U' R' L' U2 B2 U F
U' R' L' D' U' R2 F
U' R' L' D' U' F R2
U' R' L' D2 F2 U' F'
R' U' F2 L' D' R2 F
R' U' F2 L' D' F R2
R' U' F2 L' F D' R2
B2 R' F2 L U L2 F
D2 R' F2 U B U2 L'
B2 R2 L U D2 L2 F
B2 R2 L U' R2 B' U2
B2 R2 L U' B' R2 U2
B2 R2 L D2 U L2 F
L' U2 F U' B2 L U
R' U2 F2 B2 U L' F
L' U2 B2 L U L' F
R' U2 B2 U F2 L' F
R' U2 B2 F2 U L' F
U' R2 D2 R F2 U' F
L D L2 U' R' U' F
F' U L2 B2 L U F
F2 U L2 B2 L U F
F U L2 B2 L U F
B' U B' L U' B' U2
F' U B2 L U' B' U2
F2 U B2 L U' B' U2
L' D' U' R' U' R' F
L' D' U' R' U' F R'
L2 D' U' R' U' R' F'
F U B2 L U' B' U2
D2 U' R F2 R2 U' F
D2 U' R' U' D R2 F'
D2 U' R' D U' R2 F'
D2 U' R' F2 U B U2
D2 U' F2 R' U B U2
R2 D2 R F2 U' F L2
L' D2 R' F2 U' L' F'
D2 U2 R D F' R2 B2
D2 U2 R D F' B2 R2
D2 U2 R D B2 F' R2
U' D2 R F2 R2 U' F
U2 D2 R D F' R2 B2
U2 D2 R D F' B2 R2
U' D2 R' U' D R2 F'
U2 D2 R D B2 F' R2
U' D2 R' D U' R2 F'
U' D2 R' F2 U B U2
L' D2 U' R' F2 U' F'
U' D2 F2 R' U B U2
R' D2 F2 U' D2 L' F
R' D2 F2 D2 U' L' F
D F L2 U' L R' U'
D F L2 U' R' L U'
L F B' U B' L U
L' F' U B2 L U F2
L F' B' U B' L U
D F2 L2 U' R' U' F'
D2 F2 R' U B R U2
R' F2 U' L' D' R2 F
R' F2 U' L' D' F R2
R' F2 U' L' F D' R2
L' F2 U B2 L U F'
R' F2 U2 B2 U L' F
L F2 B' U B' L U
U B L2 B L U F
U B D' B L R' U
U B D' B R' L U
L2 B' U B' L R' U
L2 B' U B' R' L U
L B' U B' L U D
L B' U B' L U D'
L B' U B' L U D2
L B' U B' L D U
L B' U B' L D' U
L B' U B' L D2 U
L B' U B' D L U
L B' U B' D' L U
L B' U B' D2 L U
U' B2 L U D L2 F
U' B2 L D U L2 F
L B' F U B' L U
U2 B2 L U L2 F L
L B' F' U B' L U
U2 B2 L U' B' U2 L'
L B' F2 U B' L U
U B2 L R U' B' U2
U B2 L R' U' B' U2
U B2 L R2 U' B' U2
U B2 L U L2 F L2
U B2 L U' D B' U2
U B2 L U' D' B' U2
U B2 L U' D2 B' U2
U B2 L U' B' U2 D
U B2 L U' B' U2 D'
U B2 L U' B' U2 D2
U B2 L U' B' D U2
U B2 L U' B' D' U2
U B2 L U' B' D2 U2
U B2 L U2 L2 U' F
U B2 L D U' B' U2
U B2 L D' U' B' U2
U B2 L D2 U' B' U2
U B2 L' U D' F B2
U B2 L' U D' B2 F
U B2 L' U F D' B2
U B2 L' D' U F B2
U B2 L' D' U B2 F
U B2 R L U' B' U2
U B2 R' L U' B' U2
U B2 R2 L U' B' U2
U B2 D2 L R U F'
U B2 D2 R L U F'
