U L U2 B L
U' B2 R' B' L
U L R2 F' U2 L'
U L U2 L B L
U L U2 L' B L
U L U2 L2 B L
U L U2 D B L
U L U2 D' B L
U L U2 D2 B L
U L U2 B L D
U L U2 B L D'
U L U2 B L D2
U L U2 B D L
U L U2 B D' L
U L U2 B D2 L
U L D U2 B L
U L D' U2 B L
U L D2 U2 B L
U L F' U2 L' B
U L F' U2 B L'
U' L' D2 B L R2
U' L' D2 B R2 L
U' L' B D2 L R2
U' L' B D2 R2 L
U' L2 B L D2 R2
B2 R B U' R2 B2
B2 R B U' B2 R2
B R B U' R' B'
U R2 L F' U2 L'
U R2 F' L U2 L2
F' U L U2 B L
F2 U L U2 B L
D2 U L U2 B L
D' U L U2 B L
U D L U2 B L
D U L U2 B L
F U L U2 B L
U' D B2 R' B' L
U D' L U2 B L
B2 U' R' B L B2
U' D' B2 R' B' L
D2 U' B2 R' B' L
D' U' B2 R' B' L
D U' B2 R' B' L
U D2 L U2 B L
F' U' B2 R' B' L
F2 U' B2 R' B' L
F U' B2 R' B' L
U' D2 B2 R' B' L
U F' L U2 L2 B
U F' L U2 B L2
U' B L B R' B'
R B R' U' B R'
R B U' R' B R'
R B U' B R' B
U' B2 R B' L R2
U' B2 R B' R2 L
U' B2 R' B' L D
U' B2 R' B' L D'
U' B2 R' B' L D2
U' B2 R' B' D L
U' B2 R' B' D' L
U' B2 R' B' D2 L
U' B2 R2 B' L R
U' B2 R2 B' R L
U L R F R F' U2
U L R' F R U2 B
U L R' F' U2 L' B'
U L R2 D F' U2 L'
U L R2 D' F' U2 L'
U L R2 D2 F' U2 L'
U L R2 F R F2 U2
U L R2 F' R U2 L'
U L R2 F' R' U2 L'
U L R2 F' R2 U2 L'
U L R2 F' U2 L' D
U L R2 F' U2 L' D'
U L R2 F' U2 L' D2
U L R2 F' U2 D L'
U L R2 F' U2 D' L'
U L R2 F' U2 D2 L'
U L R2 F' D U2 L'
U L R2 F' D' U2 L'
U L R2 F' D2 U2 L'
U L U L F U B
U2 L U F U F' B
U2 L U F U B F'
U L U F U B L
U L U F' U B L
U L U F2 U B L
U L U2 L D B L
U L U2 L D' B L
U L U2 L D2 B L
U L U2 L B L D
U L U2 L B L D'
U L U2 L B L D2
U L U2 L B D L
U L U2 L B D' L
U L U2 L B D2 L
U L U2 L' D B L
U L U2 L' D' B L
U L U2 L' D2 B L
U L U2 L' B L D
U L U2 L' B L D'
U L U2 L' B L D2
U L U2 L' B D L
U L U2 L' B D' L
U L U2 L' B D2 L
U L U2 L2 D B L
U L U2 L2 D' B L
U L U2 L2 D2 B L
U L U2 L2 B L D
U L U2 L2 B L D'
U L U2 L2 B L D2
U L U2 L2 B D L
U L U2 L2 B D' L
U L U2 L2 B D2 L
U L U2 D L B L
U L U2 D L' B L
U L U2 D L2 B L
U L U2 D B L D
U L U2 D B L D'
U L U2 D B L D2
U L U2 D B D L
U L U2 D B D' L
U L U2 D B D2 L
U L U2 D' L B L
U L U2 D' L' B L
U L U2 D' L2 B L
U L U2 D' B L D
U L U2 D' B L D'
U L U2 D' B L D2
U L U2 D' B D L
U L U2 D' B D' L
U L U2 D' B D2 L
U L U2 D2 L B L
U L U2 D2 L' B L
U L U2 D2 L2 B L
U L U2 D2 B L D
U L U2 D2 B L D'
U L U2 D2 B L D2
U L U2 D2 B D L
U L U2 D2 B D' L
U L U2 D2 B D2 L
U L U2 F B L F'
U L U2 F2 B L F2
U L U2 B L2 D L'
U L U2 B L2 D' L'
U L U2 B L2 D2 L'
U L U2 B D L D
U L U2 B D L D'
U L U2 B D L D2
U L U2 B D' L D
U L U2 B D' L D'
U L U2 B D' L D2
U L U2 B D2 L D
U L U2 B D2 L D'
U L U2 B D2 L D2
U L U2 B F L F'
U L U2 B F2 L F2
U L U2 B' L B2 L
U L U2 B' L' B2 L
U L U2 B' L2 B2 L
U L D R2 F' U2 L'
U L D U2 L B L
U L D U2 L' B L
U L D U2 L2 B L
U L D U2 B L D
U L D U2 B L D'
U L D U2 B L D2
U L D U2 B D L
U L D U2 B D' L
U L D U2 B D2 L
U L D F' U2 L' B
U L D F' U2 B L'
U L D' R2 F' U2 L'
U L D' U2 L B L
U L D' U2 L' B L
U L D' U2 L2 B L
U L D' U2 B L D
U L D' U2 B L D'
U L D' U2 B L D2
U L D' U2 B D L
U L D' U2 B D' L
U L D' U2 B D2 L
U L D' F' U2 L' B
U L D' F' U2 B L'
U L D2 R2 F' U2 L'
U L D2 U2 L B L
U L D2 U2 L' B L
U L D2 U2 L2 B L
U L D2 U2 B L D
U L D2 U2 B L D'
U L D2 U2 B L D2
U L D2 U2 B D L
U L D2 U2 B D' L
U L D2 U2 B D2 L
U L D2 F' U2 L' B
U L D2 F' U2 B L'
U' L F U2 F' L' B
U' L F U2 F' B L'
U L F R2 F' R' U2
U' L F U2 B F' L'
U L F' R' U2 L' B'
U L F' U2 L B L2
U L F' U2 L' D B
U L F' U2 L' D' B
U L F' U2 L' D2 B
U L F' U2 L' B D
U L F' U2 L' B D'
U L F' U2 L' B D2
U L F' U2 D L' B
U L F' U2 D B L'
U L F' U2 D' L' B
U L F' U2 D' B L'
