B' R2 D R B2 L
U2 L R2 U L' B' U
B' L R2 D R B2 L
B L R2 D' F2 U2 F2
B' L' R2 D R B2 L
B L' D F2 B2 U' F2
B L' D B2 F2 U' F2
U' L' D' F2 B' U B
U' L' D' B' F2 U B
B L' D2 L2 R2 D B2
B L' D2 R2 L2 D B2
U' L' D2 B' U L2 B
U' L' D2 B' U B L2
U' L' B' U D2 L2 B
U' L' B' U D2 B L2
U' L' B' U B D2 L2
U' L' B' U' R2 F' U2
U' L' B' D' F2 U B
U' L' B' D2 U L2 B
U' L' B' D2 U B L2
D2 L2 R U R' F' U'
D2 L2 R B' D' R' B
D2 L2 R' B' R' D B2
D2 L2 R2 D B' R' B'
B' L2 R2 D R B2 L
D2 L2 R2 B D B2 R'
D2 L2 R2 B' D R' B2
D2 L2 U' L' B' U B
D2 L2 U' B U B' R'
B L2 F2 U' R F2 L'
D2 L2 B R2 D B2 R'
R U R' D F' B2 U'
R U R' D B2 F' U'
R U R' D2 F' U' L2
R U R' F' U R2 U2
R U R' F' U' D2 L2
R U R' F' D B2 U'
R U R' F' D2 U' L2
D2 L2 B' R' U R U'
D2 L2 B' R2 D R B2
D2 L2 B' R2 D B2 R
D2 R L2 U R' F' U'
D2 R L2 B' D' R' B
D2 R U R' F' U' L2
R U F' R' F' U' L'
D R U R' F' B2 U'
D R U R' B2 F' U'
D2 R B' L2 D' R' B
D' R B' D' L2 R' B
D' R B' D' R' L2 B
D' R B' D' R' B L2
D2 R' L2 B' R' D B2
B' R' U R U R2 U2
B' R' U R U' D2 L2
B' R' U R D B2 U'
B' R' U R D2 U' L2
B' R' U B2 R U' L
D' R' U' F2 L' B' U
B' R' U2 R' U' R2 U'
B' R' U2 R' U2 D B2
B' R' U2 R' D U2 B2
B' R' U2 R' D' F2 U2
U R' F' U R' F U2
U R' F' U F R' U2
B' R' B U R B U'
D2 R' B' L2 R' D B2
D2 R' B' R' L2 D B2
B' R' B2 L U R U'
B' R' B2 U R U' L
B R' B2 L R' D B2
B R' B2 R' L D B2
B R' B2 R' D L B2
B' R2 L D R B2 L
U2 R2 L U L' B' U
B R2 L D' F2 U2 F2
B' R2 L' D R B2 L
D2 R2 L2 D B' R' B'
B' R2 L2 D R B2 L
D2 R2 L2 B D B2 R'
D2 R2 L2 B' D R' B2
U2 R2 U L' B' U B
U2 R2 U B U B' R'
F' R2 U' R2 U' F R
F' R2 U2 D F R B2
F' R2 U2 D F B2 R
F' R2 U2 D B2 F R
F' R2 U2 F D R B2
F' R2 U2 F D B2 R
B' R2 D L R B2 L
B' R2 D L' R B2 L
B' R2 D L2 R B2 L
B' R2 D R L B2 L
B' R2 D R L' B2 L
B' R2 D R L2 B2 L
B' R2 D R B2 L D
B' R2 D R B2 L D'
B' R2 D R B2 L D2
B' R2 D R B2 D L
B' R2 D R B2 D' L
B' R2 D R B2 D2 L
F' R2 D U2 F R B2
F' R2 D U2 F B2 R
F' R2 D U2 B2 F R
D R2 D L2 B' R' B'
B R2 D R B2 L R'
B R2 D R B2 R' L
B' R2 D' R D2 B2 L
D R2 D B' R' B' L2
B' R2 D' F2 L' U2 F2
B R2 D' L F2 U2 F2
B' R2 D' F2 U2 F2 R
F R2 D B L U2 B
B' R2 D2 R D' B2 L
B R2 D' F2 L U2 F2
F R2 D' F2 B L U2
F R2 D' B L F2 U2
F R2 D' B F2 L U2
U2 R2 F' L' U L U
R2 D R B' R' B' L
B' R2 B D R B2 L
F R2 B L U' R2 U'
F R2 B L U2 D B2
D2 R2 B' L2 D R' B2
F R2 B L D U2 B2
F R2 B L D' F2 U2
D' R2 B' D R' B2 L
F R2 B U2 D B2 R'
B' R2 B' D R B2 L
F R2 B D L U2 B2
F R2 B D U2 B2 R'
F R2 B D' L F2 U2
F R2 B D' F2 L U2
B' R2 B2 D R B2 L
B U L R2 U' L' U'
R2 D F' U2 F R B2
R2 D F' U2 F B2 R
R2 D F' U2 B2 F R
D2 U R' F' U' L2 B'
B U R2 L U' L' U'
F U R2 D B U2 R'
D2 U F' U' L2 B' R'
U' D' L' F2 B' U B
D' U' L' F2 B' U B
U' D' L' B' F2 U B
D' U' L' B' F2 U B
D2 U' L' B' U L' B
D2 U' L' B' U B L'
R2 D' F2 U2 F R F
R2 D' F2 B L U2 F2
R2 D' F2 B' U2 R' F2
R2 D' F2 B' U2 F2 R'
R2 D' B L F2 U2 F2
U' D' F2 L' B' U B
D' U' F2 L' B' U B
R2 D' B F2 L U2 F2
D' U' F2 B U B' R'
U' D' F2 B U B' R'
R2 D' B' F2 U2 R' F2
R2 D' B' F2 U2 F2 R'
D2 U' B U B' L2 R'
D2 U' B U B' R' L2
U' D' B F2 U B' R'
D' U' B F2 U B' R'
F U' D2 L2 D F' R
U' D2 L' B' U L' B
U' D2 L' B' U B L'
B U' B2 U R' B2 L
U D2 R' F' U' L2 B'
B U2 L R2 U L' U
U D2 F' U' L2 B' R'
U' D2 B U B' L2 R'
U' D2 B U B' R' L2
B U2 R2 L U L' U
F' U2 D' F2 U F' R
D' F L2 B' U' F' R'
F U2 F U R F2 L'
D2 F U' L2 D F' R
U F U F' L' R2 U2
U F U F' R2 L' U2
D' F U2 F U R F2
B2 D L' F B2 U' F'
B2 D L' B2 F U' F'
B' D R' U R B2 U'
B' D R' U B2 R U'
R2 F D' F2 U2 F R
B' D R2 D L2 R B2
B' D R2 D L2 B2 R
B' D R2 D R L2 B2
B' D R2 D R B2 L2
B' D R2 D B2 L2 R
B' D R2 D B2 R L2
D2 F B' U' L2 F' R'
D2 F B' U' F' L2 R'
D2 F B' U' F' R' L2
B D R2 D B2 L2 R'
B D R2 D B2 R' L2
D F B2 U' D2 F' R
D F B2 D2 U' F' R
U2 F' L' R2 U L U
B D F B2 U' F' R'
B D F' B2 U' R' F
B D F' B2 U' F R'
U2 F' R2 L' U L U
B D F2 B2 U' R' F2
B D F2 B2 U' F2 R'
B2 D B2 L' F U' F'
U F' U R2 F U2 R
U F' U F R2 U2 R'
R2 F' U' R2 U' F R
D' F' U2 F' U F2 R
B D B2 F U' F' R'
B D B2 F' U' R' F
B D B2 F' U' F R'
F D B2 U' D2 F' R
B D B2 F2 U' R' F2
B D B2 F2 U' F2 R'
F D B2 D2 U' F' R
U F' U' D2 L2 B' R'
R2 F' U2 D F R B2
R2 F' U2 D F B2 R
R2 F' U2 D B2 F R
R2 F' U2 F D R B2
R2 F' U2 F D B2 R
R2 F' D U2 F R B2
R2 F' D U2 F B2 R
R2 F' D U2 B2 F R
B' D' R' U' F2 L' U
D2 F' B' U' R' F L2
D2 F' B' U' F L2 R'
D2 F' B' U' F R' L2
U F' D2 U' L2 B' R'
F' D' U2 F2 U F' R
F2 D' F L2 B' U' R'
B' D' F2 U' R' F2 L'
B' D2 L2 R' U R U'
B' D2 L2 R2 D R B2
B' D2 L2 R2 D B2 R
B' D2 R' L2 U R U'
B' D2 R' U R U' L2
D2 F2 B U' L2 F2 R
B' D2 R2 L2 D R B2
B' D2 R2 L2 D B2 R
D2 F2 B' U' L2 R' F2
D2 F2 B' U' L2 F2 R'
D2 F2 B' U' R' L2 F2
D2 F2 B' U' R' F2 L2
D' F2 B' U' R' F2 L'
D2 F2 B' U' F2 L2 R'
D2 F2 B' U' F2 R' L2
