F2 L' U R2 U L'
F2 L' U2 L' D' F2
F2 L' U2 D' L' F2
F2 L' D B2 U2 L'
F2 L' D' U2 L' F2
R2 U L2 R' D2 B2
R2 U L2 D2 R' B2
R2 U R' L2 D2 B2
R2 U D2 R' B2 L
D2 R B2 D F2 L'
R2 U' F2 U2 L2 R'
R2 U' F2 U2 R' L2
L2 D' R F2 D' B2
L2 D2 R B2 D F2
R2 D2 U R' B2 L
L2 D2 B2 R D F2
L2 D2 B2 D R F2
R2 F U L2 R' B'
R2 F U R' L2 B'
D2 B2 R D F2 L'
R2 L U L R' D2 B2
R2 L U L D2 R' B2
R2 L U R' L D2 B2
R2 L U R' D2 L B2
R2 L U D2 L R' B2
R2 L U D2 R' L B2
L2 R U' R U D2 B2
L2 R U' R U' F2 U2
L2 R U' R D' L2 U
L2 R U' R D2 U B2
L2 R U' D' L2 R U
L2 R U' D' R L2 U
L2 R U' D2 R U B2
R2 L U' F2 U2 L R'
R2 L U' F2 U2 R' L
L2 R U2 F2 U' L' U'
R2 L D' L2 U L' R'
R2 L D' L2 U R' L'
L2 R D' U' L2 R U
L2 R D' U' R L2 U
R2 L D2 U L R' B2
R2 L D2 U R' L B2
L2 R D2 U' R U B2
L2 R D2 B2 U' R U
R2 L' U L' R' D2 B2
R2 L' U L' D2 R' B2
R2 L' U R' L' D2 B2
R2 L' U R' D2 L' B2
R2 L' U R' D2 B2 L'
R2 L' U D2 L' R' B2
R2 L' U D2 R' L' B2
R2 L' U D2 R' B2 L'
D2 L B2 R D' F2 L'
D' L B2 R' U' R2 F2
D' L B2 R' U' F2 R2
R2 L' U' F2 R U2 R2
F2 L' R U R U L'
F2 L' R' U R' U L'
R2 L' D' L2 U L R'
R2 L' D' L2 U R' L
F2 L' U R2 U L' D
F2 L' U R2 U L' D'
F2 L' U R2 U L' D2
F2 L' U R2 U D L'
F2 L' U R2 U D' L'
F2 L' U R2 U D2 L'
F2 L' U R2 D U L'
F2 L' U R2 D' U L'
F2 L' U R2 D2 U L'
R2 L' D2 U L' R' B2
R2 L' D2 U R' L' B2
R2 L' D2 U R' B2 L'
F2 L' U' D2 L2 U' L
F2 L' U2 L' U' R2 U
F2 L' U2 L' D' F2 D
F2 L' U2 L' D' F2 D'
F2 L' U2 L' D' F2 D2
F2 L' U2 L' F D' F2
F2 L' U2 L' F' D' F2
F2 L' U2 L' F2 D' F2
F2 L' U2 L2 D' L F2
F2 L' U2 L2 D' F2 L
F2 L' U2 D L' D2 F2
F2 L' U2 D' L F2 L2
F2 L' U2 D' L' F2 D
F2 L' U2 D' L' F2 D'
F2 L' U2 D' L' F2 D2
F2 L' U2 D' L2 F2 L
F2 L' U2 F2 D' F2 L'
F2 L' D R B2 U2 L'
F2 L' D R' B2 U2 L'
F2 L' D R2 B2 U2 L'
F2 L' D U2 L' D2 F2
F2 L' D B2 R U2 L'
F2 L' D B2 R' U2 L'
F2 L' D B2 R2 U2 L'
F2 L' D B2 U2 L' D
F2 L' D B2 U2 L' D'
F2 L' D B2 U2 L' D2
F2 L' D B2 U2 D L'
F2 L' D B2 U2 D' L'
F2 L' D B2 U2 D2 L'
F2 L' D B2 U2 D2 L'
F2 L' D B2 D U2 L'
F2 L' D B2 D' U2 L'
F2 L' D B2 D2 U2 L'
F2 L' D' R U2 L' F2
F2 L' D' R' U2 L' F2
F2 L' D' R2 U2 L' F2
F2 L' D' U2 L F2 L2
F2 L' D' U2 L' F2 D
F2 L' D' U2 L' F2 D'
F2 L' D' U2 L' F2 D2
F2 L' D' U2 L2 F2 L
F2 L' D' B U2 L' F2
F2 L' D' B' U2 L' F2
F2 L' D' B2 U2 L' F2
F2 L' D2 U' L2 U' L
L' R2 U L' R' D2 B2
L' R2 U L' D2 R' B2
L' R2 U R' L' D2 B2
L' R2 U R' D2 L' B2
L' R2 U R' D2 B2 L'
L R2 U L R' D2 B2
L R2 U L D2 R' B2
L' R2 U D2 L' R' B2
L' R2 U D2 R' L' B2
L' R2 U D2 R' B2 L'
L R2 U R' L D2 B2
L R2 U R' D2 L B2
L R2 U D2 L R' B2
L R2 U D2 R' L B2
L' R2 U' F2 R U2 R2
R L2 U' R U D2 B2
R L2 U' R U' F2 U2
R L2 U' R D' L2 U
R L2 U' R D2 U B2
R L2 U' D' L2 R U
R L2 U' D' R L2 U
R L2 U' D2 R U B2
L R2 U' F2 U2 L R'
L R2 U' F2 U2 R' L
F2 L' B U R2 U L'
F2 L' B U2 L' D' F2
F2 L' B U2 D' L' F2
F2 L' B D B2 U2 L'
F2 L' B D' U2 L' F2
R L2 U2 F2 U' L' U'
F2 L' B' U R2 U L'
F2 L' B' U2 L' D' F2
F2 L' B' U2 D' L' F2
F2 L' B' D B2 U2 L'
F2 L' B' D' U2 L' F2
L' R2 D' L2 U L R'
L' R2 D' L2 U R' L
L2 R2 D' L2 U L2 R'
L2 R2 D' L2 U R' L2
R2 L2 D' L2 U L2 R'
R2 L2 D' L2 U R' L2
L R2 D' L2 U L' R'
L R2 D' L2 U R' L'
F2 L' B2 U R2 U L'
F2 L' B2 U2 L' D' F2
F2 L' B2 U2 D' L' F2
F2 L' B2 D B2 U2 L'
F2 L' B2 D' U2 L' F2
R L2 D' U' L2 R U
R L2 D' U' R L2 U
L' R2 D2 U L' R' B2
L' R2 D2 U R' L' B2
L' R2 D2 U R' B2 L'
L R2 D2 U L R' B2
L R2 D2 U R' L B2
D2 L2 R' U' B2 L R2
D2 L2 R' U' B2 R2 L
R L2 D2 U' R U B2
R L2 D2 B2 U' R U
D' L2 U R F2 D L2
D2 L2 U R2 U2 R' B2
D2 L2 U' R' B2 L R2
D2 L2 U' R' B2 R2 L
D2 L2 U' B2 D2 L2 R
D2 L2 U' B2 D2 R L2
D' L2 U2 B2 U' R F2
F2 L2 D L B2 U2 L'
D' L2 D R2 U L2 R'
D' L2 D R2 U R' L2
F2 L2 D' L U2 L' F2
B' L2 D' R F2 D' B2
U' L2 D' R F2 D' B2
B2 L2 D' R F2 D' B2
U2 L2 D' R F2 D' B2
B L2 D' R F2 D' B2
R2 U L R' D2 L B2
U L2 D' R F2 D' B2
F2 L2 D' F2 D2 B2 R'
B' L2 D2 R B2 D F2
U' L2 D2 R B2 D F2
R2 U L D2 L R' B2
R2 U L D2 R' L B2
B2 L2 D2 R B2 D F2
U2 L2 D2 R B2 D F2
B L2 D2 R B2 D F2
B' L2 D2 B2 R D F2
U L2 D2 R B2 D F2
R2 U L' R' D2 L' B2
R2 U L' R' D2 B2 L'
U' L2 D2 B2 R D F2
B' L2 D2 B2 D R F2
U' L2 D2 B2 D R F2
B2 L2 D2 B2 R D F2
U2 L2 D2 B2 R D F2
B2 L2 D2 B2 D R F2
U2 L2 D2 B2 D R F2
B L2 D2 B2 R D F2
B L2 D2 B2 D R F2
R2 U L' D2 L' R' B2
