F R D2 F U' L' F
B R' U' R F2 U' B
B R' U' F2 R U' B
B R' F U' R F U'
D R2 F' U' L' F U
F2 U B D R' U2 B
B U2 B2 D L R2 B'
B U2 B2 D L B' R2
B U2 B2 D R2 L B'
D F' L' F U R2 F'
U2 F2 U B R' F' U2
U' B R' U2 D R2 B
B' D2 F2 D' L R2 B'
B' D2 F2 D' L B' R2
B' D2 F2 D' R2 L B'
U' B R' D U2 R2 B
U' B R' D F' U2 R2
U' B R' D' L2 F' U2
U' B R' D' F' L2 U2
U' B R' F' U' F' U'
U' B D R' F' U2 R'
U' B D' L2 R' F' U2
U' B D' R' L2 F' U2
U' B D' R' F' L2 U2
B F R' U' R2 F U'
B F R' U' F R2 U'
F B R' U' R2 F U'
F B R' U' F R2 U'
D2 B2 L2 U F L' B'
