L' F2 R U' B L
L' R F2 U2 F' U B
R' L F2 B' L2 U' B'
L R F2 B' L2 U' B2
R L F2 B' L2 U' B2
L R B D L2 R2 F2
L R B D L2 F2 R2
L R B D R2 L2 F2
L R B D R2 F2 L2
L R B D F2 L2 R2
L R B D F2 R2 L2
R L B D L2 R2 F2
R L B D L2 F2 R2
R L B D R2 L2 F2
R L B D R2 F2 L2
R L B D F2 L2 R2
R L B D F2 R2 L2
L R B' L2 F2 U' B2
R L B' L2 F2 U' B2
R' L B' F2 L2 U' B'
L R B' F2 L2 U' B2
R L B' F2 L2 U' B2
U' L F2 B' L2 R' U'
U' L F2 B' R' L2 U'
U' L B' L2 R' F2 U'
U' L B' L2 F2 R' U'
U2 L B' L2 F2 U' B'
U' L B' R' L2 F2 U'
U' L B' R' F2 L2 U'
U' L B' F2 L2 R' U'
U' L B' F2 R' L2 U'
R L' F2 U2 F' U B
L R' F2 B' L2 U' B'
L R' B' F2 L2 U' B'
B' L' F2 R U' B L
B2 L' F2 R U' B L
B L' F2 R U' B L
U2 L' F2 R2 B U' B2
U' L' F2 U2 F' L' U
U2 L' F2 U2 F' U B'
L U' F2 B' L2 R' U'
L U' F2 B' R' L2 U'
L U' B' L2 R' F2 U'
L U' B' L2 F2 R' U'
L U' B' R' L2 F2 U'
L U' B' R' F2 L2 U'
L U' B' F2 L2 R' U'
L U' B' F2 R' L2 U'
L' U2 F L' U B' R'
F2 U2 L' R F U B'
F2 U2 R L' F U B'
L' F2 R U' L B L
L' F2 R U' L' B L
L' F2 R U' L2 B L
L' F2 R U' D B L
L' F2 R U' D' B L
L' F2 R U' D2 B L
L' F2 R U' B L D
L' F2 R U' B L D'
L' F2 R U' B L D2
L' F2 R U' B D L
L' F2 R U' B D' L
L' F2 R U' B D2 L
L' F2 R D U' B L
L' F2 R D' U' B L
D2 F2 R F' B2 U B'
L' F2 R D2 U' B L
D2 F2 R B2 F' U B'
L' F2 R2 D B R' U'
L F2 R B' L2 U' B2
L' F2 R2 B R' U' B
L' F2 U2 L' F' U B'
L' F2 U2 F' L' U B'
L' F2 D R U' B L
L' F2 D' R U' B L
L' F2 D2 R U' B L
L' F2 B R U' B L
L' F2 B' R U' B L
D2 F2 B2 R F' U B
L' F2 B2 R U' B L
L F2 B' L2 R U' B
L F2 B' R L2 U' B
L' B F2 R U' B L
L B' L2 R F2 U' B
L B' L2 F2 R U' B
L B' R L2 F2 U' B
L B' R F2 L2 U' B
L B' R' F2 L2 U' B'
L' B' F2 R U' B L
L B' F2 L2 R U' B
L B' F2 R L2 U' B
D2 B2 F2 R F' U B
L' B2 F2 R U' B L
