F L' B2 R' B U
F' R D' F' U' L2
F' R D2 F' B2 U'
F' R D2 B2 F' U'
F' R F' U2 F' U
R' U2 F L' B U
R' U2 F B L' U
R2 U2 F L' B' U
R' U2 B F L' U
R F' R U' D' L2
R F' R U2 F2 U
R F' R D' U' L2
R F' R D2 B2 U'
R F' U2 F2 L' U
R F' D' R U' L2
R F' D2 R B2 U'
R F' D2 B2 R U'
L2 R F' R B' L2 U'
L2 R F' B' L2 R U'
L2 R F' B' R L2 U'
L2 R B' L2 F' R U'
L2 R B' F' L2 R U'
L2 R B' F' R L2 U'
F L' R U2 L F' U'
F L' R U2 F' L U'
F L' R' B2 R' B' U
F L' R2 U2 L F U'
F L' B R' B R' U
F L' B2 R' D B U
F L' B2 R' D' B U
F L' B2 R' D2 B U
F L' B2 R' B U D
F L' B2 R' B U D'
F L' B2 R' B U D2
F L' B2 R' B D U
F L' B2 R' B D' U
F L' B2 R' B D2 U
R L2 F' R B' L2 U'
R L2 F' B' L2 R U'
R L2 F' B' R L2 U'
R L2 B' L2 F' R U'
R L2 B' F' L2 R U'
R L2 B' F' R L2 U'
F L2 D2 L R2 B' U
F L2 D2 L B' R2 U
F L2 D2 R2 L B' U
F R L' U2 L F' U'
F R L' U2 F' L U'
F' R U2 F2 U2 F U'
F' R D F' U R2 U2
F' R D F' U' D2 L2
F' R D F' D B2 U'
F' R D F' D2 U' L2
F' R D F' D2 U' L2
F' R D' F' U' L2 D
F' R D' F' U' L2 D'
F' R D' F' U' L2 D2
F' R D' F' D' B2 U'
F' R D' F' B U' L2
F' R D' F' B' U' L2
F' R D' F' B2 U' L2
F' R D' B F' U' L2
F' R D' B' F' U' L2
F' R D' B2 F' U' L2
F' R D2 F' U' D L2
F' R D2 F' D U' L2
F' R D2 F' B2 U' D
F' R D2 F' B2 U' D'
F' R D2 F' B2 U' D2
F' R D2 F' B2 D U'
F' R D2 F' B2 D' U'
F' R D2 F' B2 D2 U'
F' R D2 B2 D F' U'
F' R D2 B2 D' F' U'
F' R D2 B2 D2 F' U'
F' R D2 B2 F' U' D
F' R D2 B2 F' U' D'
F' R D2 B2 F' U' D2
F' R D2 B2 F' D U'
F' R D2 B2 F' D' U'
F' R D2 B2 F' D2 U'
F2 R F R F2 B U'
F2 R F R B F2 U'
B' R F' R U' D' L2
B' R F' R U2 F2 U
B' R F' R D' U' L2
B' R F' R D2 B2 U'
B2 R F' R U' D' L2
B2 R F' R U2 F2 U
B2 R F' R D' U' L2
B2 R F' R D2 B2 U'
F' R F' R2 B R2 U'
B' R F' U2 F2 L' U
F' R F' U2 D F' U
F' R F' U2 D' F' U
F' R F' U2 D2 F' U
F' R F' U2 F' U D
F' R F' U2 F' U D'
F' R F' U2 F' U D2
F' R F' U2 F' D U
F' R F' U2 F' D' U
F' R F' U2 F' D2 U
B' R F' D' R U' L2
F' R F' D U2 F' U
B R F' R U' D' L2
B R F' R U2 F2 U
B R F' R D' U' L2
B R F' R D2 B2 U'
B' R F' D2 R B2 U'
F' R F' D' U2 F' U
B2 R F' U2 F2 L' U
B' R F' D2 B2 R U'
F' R F' D2 U2 F' U
B2 R F' D' R U' L2
F' R F' B U2 F' U
F' R F' B' U2 F' U
B2 R F' D2 R B2 U'
B2 R F' D2 B2 R U'
F' R F' B2 U2 F' U
B R F' U2 F2 L' U
B R F' D' R U' L2
B R F' D2 R B2 U'
F R F' U2 F L' U
B R F' D2 B2 R U'
F' R B D' F' U' L2
F' R B D2 F' B2 U'
F' R B D2 B2 F' U'
F' R B F' U2 F' U
F' R B' D' F' U' L2
F' R B' D2 F' B2 U'
F' R B' D2 B2 F' U'
F' R B' F' U2 F' U
F' R B2 D' F' U' L2
F' R B2 D2 F' B2 U'
F' R B2 D2 B2 F' U'
F' R B2 F' U2 F' U
R' U' F L' B U F'
R' U' F B L' U F'
F R' L' B2 R' B' U
U R' U F L' B U
U R' U F B L' U
U' R' U' F L' B U
U' R' U' F B L' U
U R' U B F L' U
U' R' U' B F L' U
R' U' B F L' U F'
B' R' U2 F L' B U
B' R' U2 F B L' U
B2 R' U2 F L' B U
B' R' U2 B F L' U
B2 R' U2 F B L' U
B2 R' U2 B F L' U
D R' U2 F U B R'
B R' U2 F L' B U
B R' U2 F B L' U
B R' U2 B F L' U
U' R' F L' B U F'
U' R' F B L' U F'
F' R' F' R2 F' B U'
F' R' F' R2 B F' U'
U2 R' B R F L' U
U' R' B F L' U F'
F R' B L' U2 L U'
F R' B' L' B2 R' U
R' U2 F L B L2 U
R' U2 F L' D B U
R' U2 F L' D' B U
R' U2 F L' D2 B U
R' U2 F L' B U D
