L U R' U B U
F' L U R' U B U
D2 L U R' U B' U
F2 L U R' U B U
F L U R' U B U
L R D F' R' B2 U'
B2 L U' R' B U B'
R L D F' R' B2 U'
L R D2 F' R' U' L2
R L D2 F' R' U' L2
L R F' R' U R' U2
L R F' R' B2 U' L
R L F' R' U R' U2
R L F' R' B2 U' L
L R F' D R' B2 U'
R L F' D R' B2 U'
L R F' D2 R' U' L2
R L F' D2 R' U' L2
D' L F U L' R' U2
D' L F U R' L' U2
D' L F' U R' U2 R2
D' L F' U' R D2 L2
D' L F' B2 U' L R
D' L F' B2 U' R L
D' L B2 F' U' L R
D' L B2 F' U' R L
B2 L' U2 R' B U L2
D2 L' F L2 U R' U2
D2 L' F L2 B2 U' L
D2 L' F B2 L2 U' L'
D2 L' B2 F L2 U' L'
B2 L2 U2 R' B U L'
L U L R' U B U
L U L' R' U B U
L U L2 R' U B U
L U R' L U B U
L U R' L' U B U
L U R' L2 U B U
L U R' U D B U
L U R' U D' B U
L U R' U D2 B U
L U R' U B U D
L U R' U B U D'
L U R' U B U D2
L U R' U B D U
L U R' U B D' U
L U R' U B D2 U
L U R' D U B U
L U R' D' U B U
L U R' D2 U B U
R' U' L R2 F' R' U'
R' U' R2 L F' R' U'
R' U' R2 F' L R' U'
R' U' R2 F' R' L U'
U R' U B2 R' B' U
U R' U' L U2 B U
B2 R' F2 L' B U L2
U R' B2 U R' B' U
R D L F' R' B2 U'
R D F' L R' B2 U'
R D F' R' L B2 U'
B2 U' L U' R' B U
L D' F U L' R' U2
L D' F U R' L' U2
L D' F' U R' U2 R2
L D' F' U' R D2 L2
L D' F' B2 U' L R
L D' F' B2 U' R L
B2 U' R' B U B' L
L D' B2 F' U' L R
L D' B2 F' U' R L
L2 D2 L' F U R' U2
L2 D2 L' F B2 U' L
R D2 L F' R' U' L
L2 D2 L' B2 F U' L
R D2 F' L R' U' L
R D2 F' R' L U' L
L2 D2 B2 L' F U' L2
D' F L U L2 R' U2
D' F L U R' L2 U2
L F U R' U B U
D' F' L U R' U2 R2
D' F' L U' R D2 L2
D' F' L B2 U' L R
D' F' L B2 U' R L
R F' L R' U R' U2
R F' L R' B2 U' L
R F' L D R' B2 U'
R F' L D2 R' U' L2
R F' R' L U R' U2
R F' R' L B2 U' L
L F' U R' U B U
R F' D L R' B2 U'
R F' D R' L B2 U'
R F' D2 L R' U' L
R F' D2 R' L U' L
L F2 U R' U B U
U2 B R' B R' U L
L B D B U' L R'
L B D B U' R' L
L2 B' D2 L' F U' L'
L B2 R F' R' U' L
L2 B2 D2 L' F U' L2
L B2 D' F' U' L R
L B2 D' F' U' R L
