L2 R2 B R' U' R2
R2 L2 B R' U' R2
R2 L2 B R' U' R2
R' D L F2 B' L
R' D L B' L F2
R' D L B' F2 L
R' D F2 L B' L
R' D F2 B' L B'
R' D B' L F2 B'
R' D B' L B' F2
R' D B' F2 L B'
R2 B L2 R' U' R2
R2 B R' L2 U' R2
D L R' F2 D B' L
D L F' U F' R' B'
R2 L' B L' R' U' R2
R2 L' B R' L' U' R2
L2 R' B R' B U' R
U' L2 R2 B R' U' R2
U2 L2 R2 B R' U' R2
U L2 R2 B R' U' R2
L' R2 B L' R' U' R2
R' L2 B R' B U' R
L' R2 B R' L' U' R2
F L2 U' D' L2 R' B
F L2 U' D' R' L2 B
F L2 U' D' R' B L2
L2 R2 B R' U' R2 D
L2 R2 B R' U' R2 D'
L2 R2 B R' U' R2 D2
L2 R2 B R' D' F2 U'
L2 R2 B R' F U' R2
L2 R2 B R' F' U' R2
L2 R2 B R' F2 U' R2
R2 L2 B R' U' R2 D
R2 L2 B R' U' R2 D'
R2 L2 B R' U' R2 D2
R2 L2 B R' D' F2 U'
R2 L2 B R' F U' R2
R2 L2 B R' F' U' R2
R2 L2 B R' F2 U' R2
L2 R2 B U' R D B2
R2 L2 B U' R D B2
L2 R2 B D R' U' R2
R2 L2 B D R' U' R2
L2 R2 B D' R' U' R2
R2 L2 B D' R' U' R2
L2 R2 B D2 R' U' R2
R2 L2 B D2 R' U' R2
F L2 D' U' L2 R' B
F L2 D' U' R' L2 B
F L2 D' U' R' B L2
R' U L2 R' B R' U'
R' U L2 B R' B U'
R2 U L2 B R' U' R2
R' U R' L2 B R' U'
R' U R' B L2 R' U'
R' U R' B R' L2 U'
R' U B L2 R' B U'
R' U B R' L2 B U'
R' U B R' B L2 U'
R2 U B L2 R' U' R2
R2 U B R' L2 U' R2
R2 U' L2 B R' U' R2
L2 U' R' D L B' L
L2 U' R' D B' L B'
D R' L F2 D B' L
R2 U' B L2 R' U' R2
R2 U' B R' L2 U' R2
U' R' D L F2 B' L
U' R' D L B' L F2
U' R' D L B' F2 L
U2 R' D L F2 B' L
U2 R' D L B' L F2
U2 R' D L B' F2 L
U' R' D F2 L B' L
U' R' D F2 B' L B'
U' R' D B' L F2 B'
U' R' D B' L B' F2
U' R' D B' F2 L B'
U R' D L F2 B' L
U R' D L B' L F2
U R' D L B' F2 L
U2 R' D F2 L B' L
U2 R' D F2 B' L B'
U2 R' D B' L F2 B'
U2 R' D B' L B' F2
U2 R' D B' F2 L B'
U R' D F2 L B' L
U R' D F2 B' L B'
U R' D B' L F2 B'
U R' D B' L B' F2
U R' D B' F2 L B'
R2 U2 L2 B R' U' R2
D R' F2 L D B' L
L2 U2 D' F' U R' B
U' R2 L2 B R' U' R2
U2 R2 L2 B R' U' R2
L2 U2 F' U D' R' B
L2 U2 F' D' U R' B
U R2 L2 B R' U' R2
R2 U2 B L2 R' U' R2
R2 U2 B R' L2 U' R2
R' D L F' B' L F'
R' D L F2 B' L D
R' D L F2 B' L D'
R' D L F2 B' L D2
R' D L F2 B' D L
R' D L F2 B' D' L
R' D L F2 B' D2 L
R' D L B' L F2 D
R' D L B' L F2 D'
R' D L B' L F2 D2
R' D L B' L' F2 L2
R' D L B' F' L F'
R' D L B' F2 L D
R' D L B' F2 L D'
R' D L B' F2 L D2
R' D L B' F2 D L
R' D L B' F2 D' L
R' D L B' F2 D2 L
R' D L2 F2 L' B' L
U' R2 B L2 R' U' R2
U' R2 B R' L2 U' R2
U2 R2 B L2 R' U' R2
U2 R2 B R' L2 U' R2
U R2 B L2 R' U' R2
U R2 B R' L2 U' R2
R' D F' L F' B' L
R' D F' L B' L F'
R' D F' L B' F' L
R' D F' B' L F' B'
R' D F' B' L B' F'
R' D F2 L B' L D
R' D F2 L B' L D'
R' D F2 L B' L D2
R' D F2 L B' D L
R' D F2 L B' D' L
R' D F2 L B' D2 L
R' D F2 B' L D B'
R' D F2 B' L D' B'
R' D F2 B' L D2 B'
R' D F2 B' L B' D
R' D F2 B' L B' D'
R' D F2 B' L B' D2
R' D B' L F2 D B'
R' D B' L F2 D' B'
R' D B' L F2 D2 B'
R' D B' L F2 B' D
R' D B' L F2 B' D'
R' D B' L F2 B' D2
R' D B' L B' F2 D
R' D B' L B' F2 D'
R' D B' L B' F2 D2
R' D B' F' L F' B'
R' D B' F' L B' F'
R' D B' F2 L D B'
R' D B' F2 L D' B'
R' D B' F2 L D2 B'
R' D B' F2 L B' D
R' D B' F2 L B' D'
R' D B' F2 L B' D2
F' U D F2 D2 R' B
F' U D' R' D2 F2 B
F' U D' R' D2 B F2
L2 D' R U' R2 B L
L2 D' U2 F' U R' B
F' U2 L2 U' D' R' B
F' U2 L2 D' U' R' B
D2 F L' F2 R2 U R
F' D L U R' F2 B'
F' D L U R' B' F2
F' D L U F2 R' B'
B' D L F' B' U F'
L2 F U' D' L2 R' B
L2 F U' D' R' L2 B
L2 F U' D' R' B L2
B' D L B' F' U F'
R' F D L F2 B' L
R' F D L B' L F2
R' F D L B' F2 L
R' F D F2 L B' L
R' F D F2 B' L B'
R' F D B' L F2 B'
R' F D B' L B' F2
R' F D B' F2 L B'
L2 F D' U' L2 R' B
L2 F D' U' R' L2 B
L2 F D' U' R' B L2
F D R' F2 B2 L B'
F D R' B2 L F2 B'
F D R' B2 L B' F2
F D R' B2 F2 L B'
F' D U F2 D2 R' B
D F' L U F' R' B'
B' D F' L B' U F'
D2 F' R2 U R D B2
D2 F' R2 U2 R' U' R2
F D F2 R' B2 L B'
D2 F' R2 B U R B
D2 F' R2 B2 L U R
F D F2 D2 L2 R' B
F D F2 D2 R' L2 B
F D F2 D2 R' B L2
D' F' U R' D2 F2 B
D' F' U R' D2 B F2
D F' U D2 F' R' B
D F' U F' D2 R' B
R' F' D L F2 B' L
R' F' D L B' L F2
R' F' D L B' F2 L
R' F' D F2 L B' L
R' F' D F2 B' L B'
R' F' D B' L F2 B'
R' F' D B' L B' F2
R' F' D B' F2 L B'
F D' L2 R' D2 F2 B
F D' L2 R' D2 B F2
D F' D2 U F' R' B
F D' R' L2 D2 F2 B
F D' R' L2 D2 B F2
F' D' U R' D2 F2 B
F' D' U R' D2 B F2
F D' R' B' L2 F B2
F D' R' B' L2 B2 F
D F2 L R' D' B' L
D F2 L D' R' B' L
D F2 R' L D' B' L
B' D2 L F' R2 U R'
R' F2 D L F2 B' L
R' F2 D L B' L F2
R' F2 D L B' F2 L
R' F2 D F2 L B' L
R' F2 D F2 B' L B'
R' F2 D B' L F2 B'
R' F2 D B' L B' F2
R' F2 D B' F2 L B'
R' B L2 R' B U' R
F2 D2 F L' R2 U R
B' D2 F' L R2 U R'
F2 D2 F R2 L' U R
B' D2 F' R2 L U R'
R2 B L2 R' U' R2 D
R2 B L2 R' U' R2 D'
R2 B L2 R' U' R2 D2
R2 B L2 R' D' F2 U'
R2 B L2 R' F U' R2
R2 B L2 R' F' U' R2
R2 B L2 R' F2 U' R2
R2 B L2 U' R D B2
R2 B L2 D R' U' R2
R2 B L2 D' R' U' R2
R2 B L2 D2 R' U' R2
R' B R' L2 B U' R
R' B R' B L2 U' R
R2 B R' L2 U' R2 D
R2 B R' L2 U' R2 D'
R2 B R' L2 U' R2 D2
R2 B R' L2 D' F2 U'
R2 B R' L2 F U' R2
R2 B R' L2 F' U' R2
R2 B R' L2 F2 U' R2
R2 B R' U' R2 D F2
R2 B R' F L2 U' R2
R2 B R' F' L2 U' R2
R2 B R' F2 L2 U' R2
R' B U L2 R' B U'
R' B U R' L2 B U'
R' B U R' B L2 U'
R2 B U' R D F2 B2
R2 B U' R D B2 F2
F2 B L2 R' B' U' R'
R2 B D R' U' R2 F2
R2 B D R' U' F2 R2
F2 B R' L2 B' U' R'
B' F' D L B' U F2
F' B' D L B' U F2
B F2 L2 R' B' U' R'
B F2 R' L2 B' U' R'
