B L D' B R2 F' U
B L B R2 U L2 F'
B L B R2 U F' L2
B L B U' B U2 L2
B L' B' D' B2 R2 F'
B' L2 U' R' F U' L
B' L2 U' F R' U' L
U' L2 F L D' R2 B'
U' L2 F L D' B' R2
L' U' L' B2 U F B
L' U' L' B2 U B F
L' U' B2 L' U F B'
L' U' B2 L' U B' F
U' D L2 U2 F L B'
U' D B' L2 U2 L B'
D' U B' U2 L' R2 B'
D' U B' U2 L' B' R2
D' U B' U2 R2 L' B'
B' U B2 L B U L2
D' U' L2 R2 F L B'
U' D' L2 R2 F L B'
U' D' L2 F L R2 B'
U' D' L2 F L B' R2
D' U' L2 F L R2 B'
D' U' L2 F L B' R2
U' D' L2 F R2 L B'
D' U' L2 F R2 L B'
D U' L2 U2 F L B'
U' D' R2 L2 F L B'
D' U' R2 L2 F L B'
B' U' R' U2 B' U L'
U' D' B' L' B' R2 F'
D' U' B' L' B' R2 F'
D' U' B2 L' R2 F' B'
D' U' B2 L' R2 B' F'
U' D' B2 L' R2 F' B'
U' D' B2 L' R2 B' F'
D' U' B2 R2 L' F' B'
U' D' B2 R2 L' F' B'
D' U' B2 R2 L' B' F'
U' D' B2 R2 L' B' F'
D U' B' L2 U2 L B'
U D' B' U2 L' R2 B'
U D' B' U2 L' B' R2
U D' B' U2 R2 L' B'
B2 U' B U' R' U' L'
B D' L B R2 U L2
D2 F2 U R B' U2 B2
D2 F2 U B' R U2 B
B D2 L B U L2 F2
B D2 L B U F2 L2
D B' L2 U' R' U' L
D' B' U' R' U' L' R'
D' B' U' R' U' R' L'
U B' U B' U L' B'
U2 B2 R2 U L' F' B'
U2 B2 R2 U L' B' F'
U2 B2 U L' B' D2 F2
U2 B2 U' B U2 L' B'
