R2 U L2 F B R
R2 U L2 B F R
L2 D R2 F B R'
L2 D R2 B R' F
L2 D R2 B F R'
L2 R F R D B R2
L2 R F R B D R2
L2 R F R' D R2 B
L2 R F D R B R
B' L D' F' U2 L R
B' L D' F' U2 R L
R2 L' U L' F B R
R2 L' U L' B F R
R2 L' U B L' F R
L' R2 U L' F B R
L' R2 U L' B F R
L' R2 U B L' F R
F' L2 R F D R2 B
F2 L2 R F D R2 B'
F2 L2 R F D B' R2
F2 L2 R F B' D R2
F2 L2 R B' F D R2
F2 L2 R' F B' D' R2
F2 L2 R' B' D' R2 F
F2 L2 R' B' D' F R2
F2 L2 R' B' F D' R2
R L2 F R D B R2
R L2 F R B D R2
R L2 F R' D R2 B
R L2 F D R B R
L2 R2 B R' F D R2
R2 L2 B R' F D R2
U' L2 D R2 F B R'
U' L2 D R2 B R' F
U' L2 D R2 B F R'
B2 L2 D R2 F' B R'
B2 L2 D R2 B F' R'
U2 L2 D R2 F B R'
U2 L2 D R2 B R' F
U2 L2 D R2 B F R'
F' L2 D F R2 B R'
F2 L2 D F B R' B2
F2 L2 D B R' F B2
F2 L2 D B R' B2 F
U L2 D R2 F B R'
F2 L2 D B F R' B2
U L2 D R2 B R' F
U L2 D R2 B F R'
B2 L2 D' R2 F' B R
B2 L2 D' R2 B F' R
F2 L2 D' F' R F2 B'
F2 L2 D' F' R B' F2
F2 L2 D' F' B' R F2
F2 L2 D' B' F' R F2
F2 L2 F R' B' D' R2
R2 U L' B L' F R
F' L2 F D R2 B R'
F2 L2 F D B R' B2
R2 U L2 R' F R B
F2 L2 F B2 D B R'
R2 U L2 D F B R
R2 U L2 D B F R
R2 U L2 D' F B R
R2 U L2 D' B F R
R2 U L2 D2 F B R
R2 U L2 D2 B F R
R2 U L2 F D B R
R2 U L2 F D' B R
R2 U L2 F D2 B R
R2 U L2 F B R D
R2 U L2 F B R D'
R2 U L2 F B R D2
R2 U L2 F B D R
R2 U L2 F B D' R
R2 U L2 F B D2 R
R2 U L2 F B' R B2
R2 U L2 F B2 R B'
R2 U L2 B R F R
R2 U L2 B R' F R
R2 U L2 B R2 F R
R2 U L2 B D F R
R2 U L2 B D' F R
R2 U L2 B D2 F R
R2 U L2 B F R D
R2 U L2 B F R D'
R2 U L2 B F R D2
R2 U L2 B F D R
R2 U L2 B F D' R
R2 U L2 B F D2 R
R2 U L2 B' F R B2
R2 U L2 B2 F R B'
F2 L2 F2 D' F' R B'
F2 L2 F2 D' F' B' R
F2 L2 F2 D' B' F' R
R2 U R' L2 F R B
F2 L2 F2 B' D' F' R
F2 L2 B' R F D R2
F2 L2 B' D' F' R F2
F2 L2 B' F2 D' F' R
F2 L2 B2 D F B R'
F2 L2 B2 D B R' F
F2 L2 B2 D B F R'
F2 L2 B2 F D B R'
R2 U F L2 B R F
F' R L2 F D R2 B
F2 R L2 F D R2 B'
F2 R L2 F D B' R2
F2 R L2 F B' D R2
F2 R L2 B' F D R2
F' R U' F' U' L2 F
F' R U2 L2 F D R2
F' R F' U' L2 F B'
F' R F' U' L2 B' F
R2 U' L2 F B' R' B2
R2 U' L2 B' R' F B2
R2 U' L2 B' R' B2 F
R2 U' L2 B' F R' B2
L2 U' R2 U F B R
L2 U' R2 U B F R
F' R B' U' F' U' L2
F2 R' L2 F B' D' R2
F2 R' L2 B' D' R2 F
F2 R' L2 B' D' F R2
F2 R' L2 B' F D' R2
R2 U' B L2 D2 F2 R
R2 U' B' U2 L2 R' B2
R2 U' B' U2 R' L2 B2
R2 U' B' U2 R' B2 L2
R2 U2 L2 D' F B R'
R2 U2 L2 D' B R' F
R2 U2 L2 D' B F R'
R2 U2 L2 F D' B R'
F' R' B' U B2 U L2
F' R' B' U2 L2 D' R2
L2 U2 D' F' U2 R F2
U' R2 U L2 F B R
U' R2 U L2 B F R
F2 R2 U L2 F R B'
F2 R2 U L2 F B' R
F2 R2 U L2 B' F R
U2 R2 U L2 F B R
U2 R2 U L2 B F R
U R2 U L2 F B R
U R2 U L2 B F R
F2 R2 U' L2 F B' R'
F2 R2 U' L2 B' R' F
F2 R2 U' L2 B' F R'
B' R2 U2 L2 D' B R'
D2 R2 D' B' L U2 B2
D2 R2 D' B' U2 B2 R'
L D L R2 F B R'
L D L R2 B R' F
L D L R2 B F R'
L2 D R F R B R'
L2 D R' F R' B R'
L2 D R' F B R' B
L2 D R' B R' F B
L2 D R' B R' B F
L2 D R' B F R' B
L2 D R2 F B R' D
L2 D R2 F B R' D'
L2 D R2 F B R' D2
L2 D R2 F B D R'
L2 D R2 F B D' R'
L2 D R2 F B D2 R'
L D R2 L F B R'
L D R2 L B R' F
L D R2 L B F R'
L2 D R2 F' B R' F2
L2 D R2 B R F R2
L2 D R2 B R' D F
L2 D R2 B R' D' F
L2 D R2 B R' D2 F
L2 D R2 B R' F D
L2 D R2 B R' F D'
L2 D R2 B R' F D2
L2 D R2 B D R' F
L2 D R2 B D F R'
L2 D R2 B D' R' F
L2 D R2 B D' F R'
L2 D R2 B D2 R' F
L2 D R2 B D2 F R'
L2 D R2 B F R' D
L2 D R2 B F R' D'
L2 D R2 B F R' D2
L2 D R2 B F D R'
L2 D R2 B F D' R'
L2 D R2 B F D2 R'
L2 D R2 B F' R' F2
L2 D F B R' D2 B2
L2 D F B D2 R' B2
L2 D F B' D2 B2 R'
L2 D B R2 B R F
F' U R2 U L2 F R
L2 D B F R' D2 B2
L2 D B F D2 R' B2
L2 D B' F D2 B2 R'
L2 D' R F' R F2 B
L2 D' R F' R B F2
L2 D' R2 D2 F B R'
L2 D' R2 D2 B R' F
L2 D' R2 D2 B F R'
L2 D' R2 F' B R F2
L2 D' R2 B F' R F2
L2 D' U2 F' U2 R F2
L2 D' F U2 L' F2 U2
L2 D' F U2 F2 U2 R
L2 D' F' R F2 D2 B2
L2 D2 R2 D' F B R'
L2 D2 R2 D' B R' F
L2 D2 R2 D' B F R'
L2 D2 R2 F D' B R'
F' U2 L2 R F D R2
B' U2 L2 D R2 B R'
F' U2 L2 D' F' R F2
F' U2 L2 F2 D' F' R
F' U2 R L2 F D R2
R2 F U L2 F B R
R2 F U L2 B F R
L2 F D B D R' B2
L2 F D B' D B2 R'
L2 F D2 B D' B R'
R F' R U' L2 F B
R F' R U' L2 B F
D2 F' R2 D' B' L U2
F' D B' L U F2 U
F' D B' L U2 D' L2
F' D B' L D R2 U2
F' D B' L D' U2 L2
F' D B' D L R2 U2
F' D B' D R2 L U2
F' D B' D' L U2 L
R2 F' U L2 F B R
R2 F' U L2 B F R
D' F' U2 R D L2 F
D' F' U2 D L2 R F
D' F' U2 D R L2 F
D' F' D U2 L2 R F
D' F' D U2 R L2 F
D' F' D B' U2 L2 R
