B' L2 F L' U F
D2 F2 B' L U F
D2 B' L F2 U F'
D2 B' F2 L U F
F' L R B2 U' F R
B2 L R2 F' R U' F2
F' L B2 R U' F R
F2 L B2 U' F R B
B' L2 R F L' U F
B' L2 R' F L' U F
B' L2 R2 F L' U F
B' L2 F L' R U F
B' L2 F L' R' U F
B' L2 F L' R2 U F
B' L2 F L' U D F
B' L2 F L' U D' F
B' L2 F L' U D2 F
B' L2 F L' U F D
B' L2 F L' U F D'
B' L2 F L' U F D2
B' L2 F L' D U F
B' L2 F L' D' U F
B' L2 F L' D2 U F
B' L2 F R L' U F
B' L2 F R' L' U F
B' L2 F R2 L' U F
F' R L B2 U' F R
B' R L2 F L' U F
D2 R F2 B' L U F
D2 R B' L F2 U F'
D2 R B' F2 L U F
B' R' L2 F L' U F
D2 R' F2 B' L U F
D2 R' B' L F2 U F'
D2 R' B' F2 L U F
B2 R2 L F' R U' F2
B' R2 L2 F L' U F
B2 R2 F' L R U' F
B2 R2 F' R L U' F
D2 R2 F2 B' L U F
D2 R2 B' L F2 U F'
D2 R2 B' F2 L U F
D2 U F2 B' L R' U
D2 U F2 B' R' L U
D2 U B' L R' F2 U
D2 U B' L F2 R' U
D2 U B' R' L F2 U
D2 U B' R' F2 L U
D2 U B' F2 L R' U
D2 U B' F2 R' L U
D U B' R' U L2 B
D U B' R' U B L2
U D B' R' U L2 B
U D B' R' U B L2
L' D' R2 B' L U2 B'
L' D' B' L R2 U2 B'
L' D' B' R2 L U2 B'
R' D2 F2 B' L U F
R2 D2 F2 B' L U F
R' D2 B' L F2 U F'
U D2 F2 B' L R' U
U D2 F2 B' R' L U
R D2 F2 B' L U F
R' D2 B' F2 L U F
R2 D2 B' L F2 U F'
U D2 B' L R' F2 U
U D2 B' L F2 R' U
U D2 B' R' L F2 U
R2 D2 B' F2 L U F
R D2 B' L F2 U F'
U D2 B' R' F2 L U
U D2 B' F2 L R' U
U D2 B' F2 R' L U
R D2 B' F2 L U F
L2 F B2 U2 L' U F
D2 F' B' L F' U F2
D2 F2 R B' L U F
D2 F2 R' B' L U F
D2 F2 R2 B' L U F
D2 F2 B' L R U F
D2 F2 B' L R' U F
D2 F2 B' L R2 U F
D2 F2 B' L U D F
D2 F2 B' L U D' F
D2 F2 B' L U D2 F
D2 F2 B' L U F D
D2 F2 B' L U F D'
D2 F2 B' L U F D2
D2 F2 B' L D U F
D2 F2 B' L D' U F
D2 F2 B' L D2 U F
D2 F2 B' R L U F
D2 F2 B' R' L U F
D2 F2 B' R2 L U F
D2 F2 B' D L U F
D2 F2 B' D' L U F
D2 F2 B' D2 L U F
D2 B' L R F2 U F'
D2 B' L R' F2 U F'
D2 B' L R2 F2 U F'
D2 B' L U D' F L2
D2 B' L D' U F L2
D2 B' L F2 U D F'
D2 B' L F2 U D' F'
D2 B' L F2 U D2 F'
D2 B' L F2 U F' D
D2 B' L F2 U F' D'
D2 B' L F2 U F' D2
D2 B' L F2 D U F'
D2 B' L F2 D' U F'
D2 B' L F2 D2 U F'
D2 B' L' F2 L2 U F
U' B' L2 F L' R U
U' B' L2 F R L' U
R' B' L2 F L' U F
D2 B' R L F2 U F'
D2 B' R F2 L U F
R2 B' L2 F L' U F
D2 B' R' L F2 U F'
U B' L2 R' F L' U
D2 B' R' F2 L U F
U B' L2 F L' R' U
U B' L2 F R' L' U
D2 B' R2 L F2 U F'
R B' L2 F L' U F
D2 B' R2 F2 L U F
U B' R' L2 F L' U
D2 B' D' L U F L
D2 B' F' L F' U F2
D2 B' F2 L R U F
D2 B' F2 L R' U F
D2 B' F2 L R2 U F
D2 B' F2 L U D F
D2 B' F2 L U D' F
D2 B' F2 L U D2 F
D2 B' F2 L U F D
D2 B' F2 L U F D'
D2 B' F2 L U F D2
D2 B' F2 L D U F
D2 B' F2 L D' U F
D2 B' F2 L D2 U F
D2 B' F2 R L U F
D2 B' F2 R' L U F
D2 B' F2 R2 L U F
D2 B' F2 D L U F
D2 B' F2 D' L U F
D2 B' F2 D2 L U F
F2 B' U2 B' R' U' F'
U' B2 R2 F' L' R U'
U' B2 R2 F' R L' U'
U2 B2 R2 F' R U' F'
B' F2 U2 B' R' U' F'
L2 B2 F U2 L' U F
