F' R U F2 U F R
F' R D R2 B L U2
F' R D' F' L2 B' R'
F' R' D B L R2 U2
F' R' D B R2 L U2
F' R' D' B L U2 L
F' R' B L U F2 U
F' R' B L U2 D' L2
F' R' B L D R2 U2
F' R' B L D' U2 L2
F' R' B D L R2 U2
F' R' B D R2 L U2
F' R' B D' L U2 L
B2 R2 B R' F' D' L2
F' U R F2 B U F
F' U R B F2 U F
F' U F2 R B U F'
F' U F2 U F R F'
F' U2 F R F' D' L2
U2 F U R D2 F' B2
U2 F U R D2 B2 F'
D' F' U R F2 B U
D' F' U R B F2 U
U2 F' U F2 U R F'
B' F R U F' R2 B
B' F U R F' R2 B
R2 B' R' F' B2 D' L2
R2 B' R' B2 F' D' L2
F B' R U F' R2 B
F B' U R F' R2 B
