D2 L2 B' U' R2
D2 L2 D' F2 B' U'
D2 L2 D' B' F2 U'
D2 L2 F B' U' R2
D2 L2 F' B' U' R2
D2 L2 F2 B' U' R2
D2 L2 B' U' R2 D
D2 L2 B' U' R2 D'
D2 L2 B' U' R2 D2
D2 L2 B' D' F2 U'
D2 L2 B' F U' R2
D2 L2 B' F' U' R2
D2 L2 B' F2 U' R2
U2 R2 D' F B2 U
U2 R2 D' B2 F U
U2 R2 D2 F U R2
F R2 D2 L2 U R2
U2 R2 F U D2 R2
U2 R2 F U' L2 U2
U2 R2 F D' B2 U
U2 R2 F D2 U R2
U2 D' F B2 U F
U2 D' B2 F U F
R2 D2 F L2 U R2
D' U2 F B2 U F
D' U2 B2 F U F
U2 F R2 U D2 R2
U2 F R2 U' L2 U2
U2 F R2 D' B2 U
U2 F R2 D2 U R2
U2 F D' B2 U F2
R2 F D2 L2 U R2
F' D2 L2 B2 U' R2
B' D2 L2 B' U' R2
B2 D2 L2 B' U' R2
B D2 L2 B' U' R2
D2 B L2 B' U' R2
F' D2 B2 L2 U' R2
F' D2 B2 L2 U' R2
D2 B' L2 B' U' R2
L2 B' U2 R2 U R2
D2 B2 L2 B' U' R2
F L R2 U D B2 R'
F L R2 D U B2 R'
F' L U' D' L2 F2 R
F' L D' U' L2 F2 R
F' L D2 B2 L2 U' R'
D2 L F L B' U' R2
D2 L F' L B' U' R2
D2 L F2 L B' U' R2
F' L' U' D' F2 L2 R
F' L' U' D' F2 R L2
F' L' U2 R2 F2 U R
F' L' U2 F2 R2 U R'
D2 L' D' L' F2 B' U'
D2 L' D' L' B' F2 U'
F' L' D' U' F2 L2 R
F' L' D' U' F2 R L2
F' L' D2 L2 B2 U' R'
L2 R2 U' B' R2 U' F'
R2 L2 U' B' R2 U' F'
D2 L' B L' B' U' R2
L2 R2 U2 R2 B' U' R2
R2 L2 U2 R2 B' U' R2
L2 R2 U2 B' R2 U' R2
R2 L2 U2 B' R2 U' R2
D2 L' B' L' B' U' R2
D2 L' B2 L' B' U' R2
F L2 R2 U2 R2 U' R2
D2 L2 R2 B' R2 U' R2
U2 L2 U L2 R2 F U
U2 L2 U L2 F R2 U
U2 L2 U R2 L2 F U
U L2 U R2 U2 B' U'
D2 L2 U' R2 U B' U'
U L2 U' D' B' U' F2
U L2 U' D2 B' L2 U'
F' L2 U2 R2 F2 U R2
U L2 U' B' U' D' F2
U L2 U' B' U2 R2 U
U L2 U' B' D' U' F2
U L2 U' B' D2 L2 U'
F' L2 U2 F2 R2 U R2
F2 L2 U2 F' R2 U R2
D2 L2 D B' U2 B' U
D L2 D B' L2 U' R2
U L2 D B2 U' B U'
D2 L2 D' F2 D B' U'
D2 L2 D' F2 D' B' U'
D2 L2 D' F2 D2 B' U'
D2 L2 D' F2 B' U' D
D2 L2 D' F2 B' U' D'
D2 L2 D' F2 B' U' D2
D2 L2 D' F2 B' D U'
D2 L2 D' F2 B' D' U'
D2 L2 D' F2 B' D2 U'
D2 L2 D' B' U' D R2
D' L2 D' B' L2 U' R2
D2 L2 D' B' D U' R2
D2 L2 D' B' F2 U' D
D2 L2 D' B' F2 U' D'
D2 L2 D' B' F2 U' D2
D2 L2 D' B' F2 D U'
D2 L2 D' B' F2 D' U'
D2 L2 D' B' F2 D2 U'
U L2 D' U' B' U' F2
D2 L2 D2 B' U L2 U2
D2 L2 D2 B' U' D2 R2
D2 L2 D2 B' D F2 U'
D2 L2 D2 B' D2 U' R2
U L2 D2 U' B' L2 U'
D2 L2 F D' F2 B' U'
D2 L2 F D' B' F2 U'
D2 L2 F B' U' R2 D
D2 L2 F B' U' R2 D'
D2 L2 F B' U' R2 D2
D2 L2 F B' D' F2 U'
L2 U L2 F R2 U B
D2 L2 F' D' F2 B' U'
D2 L2 F' D' B' F2 U'
D2 L2 F' B' U' R2 D
D2 L2 F' B' U' R2 D'
D2 L2 F' B' U' R2 D2
D2 L2 F' B' D' F2 U'
D2 L2 F2 D' F2 B' U'
D2 L2 F2 D' B' F2 U'
D2 L2 F2 B' U' R2 D
D2 L2 F2 B' U' R2 D'
D2 L2 F2 B' U' R2 D2
D2 L2 F2 B' D' F2 U'
D L2 F2 D B' L2 U'
D L2 F2 D2 B' U' F2
D L2 F2 B' L2 U' F
D L2 F2 B' U B' U2
D2 L2 B U' R2 D L2
L2 U R2 U2 B' U' B
D' L2 B' L2 F U' F
D2 L2 B' U L U2 R2
D2 L2 B' U L' U2 R2
D2 L2 B' U L2 U2 R2
D2 L2 B' U D2 L2 U2
D2 L2 B' U' R D R
D2 L2 B' U' R D' R
D2 L2 B' U' R D2 R
D2 L2 B' U' R' D R'
D2 L2 B' U' R' D' R'
D2 L2 B' U' R' D2 R'
U L2 B D B2 U2 L2
D2 L2 B' U' F' R2 F
D2 L2 B' U' F2 R2 F2
D2 L2 B' U' B R2 B'
D2 L2 B' U' B2 R2 B2
U L2 B D' R2 U2 F2
D2 L2 B' U2 D B2 U
D2 L2 B' U2 B U R2
D2 L2 B' U2 B' U R2
D2 L2 B' U2 B2 U R2
D2 L2 B' D U2 B2 U
D L2 B' L2 F2 U' F'
B' L2 B' U2 R2 U R2
D' L2 B' U2 B' U F2
D2 L2 B' D' F2 U' D
D2 L2 B' D' F2 U' D'
D2 L2 B' D' F2 U' D2
D2 L2 B' D' F2 D U'
D2 L2 B' D' F2 D' U'
D2 L2 B' D' F2 D2 U'
D2 L2 B' D2 U L2 U2
D' L2 B' D' L2 F U'
D2 L2 B' F U' R2 D
D2 L2 B' F U' R2 D'
D2 L2 B' F U' R2 D2
B2 L2 B' U2 R2 U R2
D2 L2 B' F D' F2 U'
D2 L2 B' F' U' R2 D
D2 L2 B' F' U' R2 D'
D2 L2 B' F' U' R2 D2
D2 L2 B' F' D' F2 U'
D2 L2 B' F2 U' R2 D
D2 L2 B' F2 U' R2 D'
D2 L2 B' F2 U' R2 D2
D2 L2 B' F2 D' F2 U'
B L2 B' U2 R2 U R2
D L2 B' F2 L2 U' F
D L2 B' F2 U B' U2
D2 L2 B2 D' F2 B U'
D2 L2 B2 D' B F2 U'
U L2 B2 U R2 F' U
U2 R D' R F B2 U
U2 R D' R B2 F U
U2 R D' B2 R F U
F R D' B2 L R U
F R D' B2 R L U
R2 U' L2 U' R2 B' U'
R2 U' L2 U' B' R2 U'
L' U' D' F' L' F' R
L2 U' D' B' U' F2 B
L2 U' D' B' U' B F2
L2 U' D2 B' L2 U' B
L2 U' B' U' D' F2 B
L2 U' B' U' D' B F2
L2 U' B' U' B D' F2
L2 U' B' D' U' F2 B
L2 U' B' D' U' B F2
L2 U' B' D2 L2 U' B
U2 R' D' R' F B2 U
U2 R' D' R' B2 F U
U2 R' D' F R' B2 U
U2 R' D2 R' F U R'
U2 R' D2 F R' U R'
U2 R' F R' U D2 R2
U2 R' F R' U' L2 U2
U2 R' F R' D' B2 U
U2 R' F R' D2 U R2
U2 R' F D' R' B2 U
U2 R' F D2 R' U R'
L2 U2 R2 U2 B' U' R2
F R2 L U D B2 R'
F R2 L D U B2 R'
D2 R2 L2 B' R2 U' R2
D2 R2 U L2 R2 B' U'
D2 R2 U L2 B' R2 U'
D2 R2 U R2 L2 B' U'
F R2 L2 U2 R2 U' R2
F R2 U D B2 D R2
F R2 U D2 R2 D' B2
U2 R2 U' L2 U' B' U'
F R2 U' L2 U' R2 U'
F R2 U' L2 U2 D B2
F R2 U' L2 D U2 B2
F R2 U' L2 D' F2 U2
F R2 U2 R2 U L2 U2
F R2 U2 R2 U' D2 R2
F R2 U2 R2 D F2 U'
F R2 U2 R2 D2 U' R2
F R2 U2 D F2 U' B2
U2 R2 D F U2 F U'
L2 U2 B2 R2 F' U R2
F R2 D U B2 D R2
F R2 D U2 F2 U' B2
U' R2 D' F B2 U B2
U' R2 D' B2 F U B2
U2 R2 D' F U D' R2
U2 R2 D' F D' U R2
U2 R2 D' F B2 U D
U2 R2 D' F B2 U D'
U2 R2 D' F B2 U D2
U2 R2 D' F B2 D U
U2 R2 D' F B2 D' U
U2 R2 D' F B2 D2 U
U2 R2 D' B2 D F U
U2 R2 D' B2 D' F U
U2 R2 D' B2 D2 F U
U2 R2 D' B2 F U D
U2 R2 D' B2 F U D'
U2 R2 D' B2 F U D2
U2 R2 D' B2 F D U
U2 R2 D' B2 F D' U
U2 R2 D' B2 F D2 U
B' R2 D2 F L2 U R2
B2 R2 D2 F L2 U R2
F R2 D' B2 U D2 B2
F R2 D' B2 U' F2 U2
F R2 D' B2 D' L2 U
F R2 D' B2 D2 U B2
U2 R2 D2 F U R2 D
U2 R2 D2 F U R2 D'
U2 R2 D2 F U R2 D2
U2 R2 D2 F D B2 U
U2 R2 D2 F B U R2
U2 R2 D2 F B' U R2
U2 R2 D2 F B2 U R2
F R2 D2 L2 U R2 D
F R2 D2 L2 U R2 D'
F R2 D2 L2 U R2 D2
F R2 D2 L2 D B2 U
F R2 D2 L2 B U R2
F R2 D2 L2 B' U R2
F R2 D2 L2 B2 U R2
U2 R2 D2 B F U R2
B R2 D2 F L2 U R2
U2 R2 D2 B' F U R2
U2 R2 D2 B2 F U R2
F R2 D2 U R2 D' B2
U R2 D2 F U R2 B
U' R2 F D' B2 U B2
B' R2 F D2 L2 U R2
F R2 D2 B L2 U R2
U2 R2 F U R D2 R2
U2 R2 F U R' D2 R2
