D' L2 U B' U' R' B
D2 L2 B D L2 R' B
D2 L2 B D R' L2 B
D2 L2 B D R' B L2
F' R2 D' R' F L2 B
F' R2 D' R' F B L2
F' R2 D' R' B F L2
F' R2 D' F L2 R' B
F' R2 D' F R' L2 B
F' R2 D' F R' B L2
D2 U' F L' B U R'
D2 U' F B L' U R'
D2 U' B F L' U R'
B' U' D' F L B' U
F U' D L' F U2 F2
B' U' F L U D2 R2
B' U' F L U' L2 U2
B' U' F L D' B2 U
B' U' F L D2 U R2
U' D2 F L' B U R'
U' D2 F B L' U R'
U' D2 B F L' U R'
L2 D2 B D L2 R' B
L2 D2 B D R' L2 B
L2 D2 B D R' B L2
D2 F L' U D2 F' R
D2 F L' D2 U F' R
D2 F L' B U F' R'
U' F U' D L' F U2
U' F D U' L' F U2
D2 F D2 L' U F' R
D2 F B L' U F' R'
U' F B' L U D2 R2
U' F B' L U' L2 U2
U' F B' L D' B2 U
U' F B' L D2 U R2
U' F B2 U' L' U2 B'
F D U' L' F U2 F2
F' D' R F L2 D2 B2
F' D' R F2 L2 F' B'
F' D' R F2 L2 B' F'
F' D' R' F L2 B R2
F' D' R' F B L2 R2
F' D' R' F B R2 L2
F' D' R' B R2 F L2
F' D' R' B F L2 R2
F' D' R' B F R2 L2
B' D' U' F L B' U
B' D' F L B' U F'
D2 B R' U' F L' U
B' F L U D2 F' R2
B' F L U F' D2 R2
D2 B U' F L' U R'
B' F L U' L2 U2 F'
B' F L D' B2 U F'
B' F L D2 U F' R2
F' B R D' F L2 B'
D2 B F L' U F' R'
B2 F U F2 R F B
B2 F U F2 R B F
B2 F U' L' U2 F' B'
B2 F U' L' U2 B' F'
F B' L U D2 F' R2
F B' L U F' D2 R2
F B' L U' L2 U2 F'
F B' L D' B2 U F'
F B' L D2 U F' R2
B F' R D' F L2 B'
U' B' D' F L B' U
U' B' F L U D2 R2
U' B' F L U' L2 U2
U' B' F L D' B2 U
U' B' F L D2 U R2
D2 B2 U' F L' B' U
F B2 U F2 R F B
F B2 U F2 R B F
F B2 U' L' U2 F' B'
F B2 U' L' U2 B' F'
U' B2 F U' L' U2 B'
