B U L' B' U
U L' R2 B' U F'
U L' B' U D2 F2
U L' B' U' B2 U2
U L' B' D' R2 U
U L' B' D2 U F2
U R2 L' B' U F'
B U L' D B' U
B U L' D' B' U
B U L' D2 B' U
B U L' B' U D
B U L' B' U D'
B U L' B' U D2
B U L' B' D U
B U L' B' D' U
B U L' B' D2 U
B U D L' B' U
B U D' L' B' U
B U D2 L' B' U
B U B L' B' U
B U B' L' B' U
B U B2 L' B' U
B D U L' B' U
F' D' L' F B U2
F' D' L' B F U2
B D' U L' B' U
F' D' B L' F U2
B D2 U L' B' U
D2 B U L' B' U
D' B U L' B' U
D B U L' B' U
F' B D' L' F U2
B F' D' L' F U2
B L U L' B' L' U
B L U2 D' B' R' B'
B L U2 B D' B2 R'
B L U2 B' R' D' B2
B L U2 B' D' R' B2
B L D F' L' F' U2
B L D' U2 B' R' B'
B L D' F U2 R B2
B L D' F U2 B2 R
B L D' F' L' U2 B2
B L F U L2 U R
B L F U2 R D' B2
B L F U2 D' R B2
B L F U2 D' B2 R
B L F D F2 L' U2
B L F D' U2 R B2
B L F D' U2 B2 R
B L F' L' U L' U
B L F' D L' F2 U2
B L F' D F2 U2 R
B L F' D' L' U2 B2
U L B2 L2 B' U F
U L' R B' R U F'
U L' R' B' R' U F'
U L' R2 D B' U F'
U L' R2 D' B' U F'
U L' R2 D2 B' U F'
U L' R2 B' U D F'
U L' R2 B' U D' F'
U L' R2 B' U D2 F'
U L' R2 B' U F' D
U L' R2 B' U F' D'
U L' R2 B' U F' D2
U L' R2 B' D U F'
U L' R2 B' D' U F'
U L' R2 B' D2 U F'
B L' U L' B' U B
U' L' U B U2 B' R'
B L' U B U B' R'
R2 L' F U R F2 L'
U' L' U' B L U2 L'
U L' U' B U B2 U
U L' U' B U2 D' R2
U L' U' B D L2 U2
U L' U' B D' U2 R2
U L' D R2 B' U F'
U L' D B' U D2 F2
U L' D B' U' B2 U2
U L' D B' D' R2 U
U L' D B' D2 U F2
U L' D' R2 B' U F'
U L' D' B' U D2 F2
U L' D' B' U' B2 U2
U L' D' B' D' R2 U
U L' D' B' D2 U F2
F' L' D2 B U' R' U'
U L' D2 R2 B' U F'
U L' D2 B' U D2 F2
U L' D2 B' U' B2 U2
U L' D2 B' D' R2 U
U L' D2 B' D2 U F2
F' L' F B U L' U
B L' F' L' U L U
F' L' F' B U' R U'
F' L' B F U L' U
F' L' B F' U' R U'
U L' B' R U D2 F2
U L' B' R U' B2 U2
U L' B' R D' R2 U
U L' B' R D2 U F2
U L' B' R' U D2 F2
U L' B' R' U' B2 U2
U L' B' R' D' R2 U
U L' B' R' D2 U F2
U L' B' R2 U D2 F2
U L' B' R2 U' B2 U2
U L' B' R2 D' R2 U
U L' B' R2 D2 U F2
U L' B' U D2 F2 D
U L' B' U D2 F2 D'
U L' B' U D2 F2 D2
U L' B' U F D2 F2
U L' B' U F' D2 F2
U L' B' U F2 D2 F2
U L' B' U' B2 U2 D
U L' B' U' B2 U2 D'
U L' B' U' B2 U2 D2
U L' B' U' B2 D U2
U L' B' U' B2 D' U2
U L' B' U' B2 D2 U2
U L' B' U2 D L2 U'
U L' B' D U2 L2 U'
U L' B' D' R2 U D
U L' B' D' R2 U D'
U L' B' D' R2 U D2
U L' B' D' R2 D U
U L' B' D' R2 D' U
U L' B' D' R2 D2 U
U L' B' D2 R U F2
U L' B' D2 R' U F2
U L' B' D2 R2 U F2
U L' B' D2 U F2 D
U L' B' D2 U F2 D'
U L' B' D2 U F2 D2
L' R2 F U R F2 L'
B L2 U L U2 F U'
B L2 U L' B' L2 U
F' L2 D' L B U2 B2
B L2 F U L U R
B L2 F' L' U L2 U
B L2 F' L' U2 D' B2
B L2 F' L' D F2 U2
B L2 F' L' D' U2 B2
B' L2 B2 U' R' F' U'
U R L' B' R U F'
U R D2 L' B' U F
U R' L' B' R' U F'
U2 R' U' L' B' R' U
L' U' B U' B' U' R'
U R2 L' D B' U F'
U R2 L' D' B' U F'
U R2 L' D2 B' U F'
U R2 L' B' U D F'
U R2 L' B' U D' F'
U R2 L' B' U D2 F'
U R2 L' B' U F' D
U R2 L' B' U F' D'
U R2 L' B' U F' D2
U R2 L' B' D U F'
U R2 L' B' D' U F'
U R2 L' B' D2 U F'
U2 R2 U' L' B' U F'
U R2 D L' B' U F'
U R2 D' L' B' U F'
U R2 D2 L' B' U F'
U2 R2 F' D B' R' B
U' R2 F2 R F' U' F2
U2 R2 F' B' D R' B
U R2 B L' B' U F'
U2 R2 B' F' D R' B
U R2 B' L' B' U F'
U R2 B2 L' B' U F'
D' U L' R2 B' U F'
D2 U L' R2 B' U F'
B' U L' D' R2 B' U
B' U L' D' B' R2 U
B' U L' D2 B' U F2
B U L B L2 B' U
B U L B' L2 B' U
B U L B2 L2 B' U
D' U L' B' U D2 F2
D' U L' B' U' B2 U2
D' U L' B' D' R2 U
D' U L' B' D2 U F2
D2 U L' B' U D2 F2
D2 U L' B' U' B2 U2
D2 U L' B' D' R2 U
D2 U L' B' D2 U F2
B' U L' B' U' B' U2
B U L' R' B' R U
B U L' R2 B' R2 U
D U L' R2 B' U F'
B U L' D B' U D
B U L' D B' U D'
B U L' D B' U D2
B U L' D B' D U
B U L' D B' D' U
B U L' D B' D2 U
B U L' D' B' U D
B U L' D' B' U D'
B U L' D' B' U D2
B U L' D' B' D U
B U L' D' B' D' U
B U L' D' B' D2 U
B U L' D2 B' U D
B U L' D2 B' U D'
B U L' D2 B' U D2
B U L' D2 B' D U
B U L' D2 B' D' U
B U L' D2 B' D2 U
U D L' R2 B' U F'
B U L' B U D' R2
B U L' B D' U R2
D U L' B' U D2 F2
D U L' B' U' B2 U2
D U L' B' D' R2 U
D U L' B' D2 U F2
B U L' B2 D B U
B U L' B2 D' B U
B U L' B2 D2 B U
U D L' B' U D2 F2
U D L' B' U' B2 U2
U D L' B' D' R2 U
U D L' B' D2 U F2
L D F' L' F' B U2
L D F' L' B F' U2
L D F' B L' F' U2
L D F2 U2 R2 F' R
B U R' L' B' R U
D' U R2 L' B' U F'
D2 U R2 L' B' U F'
L D F2 D2 B U2 R'
B U R2 L' B' R2 U
D U R2 L' B' U F'
L D B F' L' F' U2
U D R2 L' B' U F'
B' U D' L' R2 B' U
B' U D' L' B' R2 U
B U D L' D B' U
B U D L' D' B' U
B U D L' D2 B' U
B U D L' B' U D
B U D L' B' U D'
B U D L' B' U D2
B U D L' B' D U
B U D L' B' D' U
B U D L' B' D2 U
B' U D' R2 L' B' U
B U D B L' B' U
B U D B' L' B' U
B U D B2 L' B' U
B' U D2 L' B' U F2
B U D' L' D B' U
B U D' L' D' B' U
B U D' L' D2 B' U
B U D' L' B' U D
B U D' L' B' U D'
B U D' L' B' U D2
B U D' L' B' D U
B U D' L' B' D' U
B U D' L' B' D2 U
B U D' B L' B' U
B U D' B' L' B' U
B U D' B2 L' B' U
B U D2 L' D B' U
B U D2 L' D' B' U
B U D2 L' D2 B' U
B U D2 L' B' U D
B U D2 L' B' U D'
B U D2 L' B' U D2
B U D2 L' B' D U
B U D2 L' B' D' U
B U D2 L' B' D2 U
B U D2 B L' B' U
B U D2 B' L' B' U
B U D2 B2 L' B' U
B U B L' D B' U
B U B L' D' B' U
B U B L' D2 B' U
B U B L' B' U D
B U B L' B' U D'
B U B L' B' U D2
B U B L' B' D U
B U B L' B' D' U
B U B L' B' D2 U
B U B D L' B' U
B U B D' L' B' U
B U B D2 L' B' U
B U B' L' D B' U
B U B' L' D' B' U
B U B' L' D2 B' U
B U B' L' B' U D
B U B' L' B' U D'
B U B' L' B' U D2
B U B' L' B' D U
B U B' L' B' D' U
B U B' L' B' D2 U
B U B' D L' B' U
B U B' D' L' B' U
B U B' D2 L' B' U
U D' L' R2 B' U F'
B U B2 L' D B' U
B U B2 L' D' B' U
B U B2 L' D2 B' U
B U B2 L' B' U D
B U B2 L' B' U D'
B U B2 L' B' U D2
B U B2 L' B' D U
B U B2 L' B' D' U
B U B2 L' B' D2 U
B U B2 D L' B' U
B U B2 D' L' B' U
U D' L' B' U D2 F2
U D' L' B' U' B2 U2
U D' L' B' D' R2 U
U D' L' B' D2 U F2
B U B2 D2 L' B' U
L D' F B U2 B R
L D' F' L' B U2 B
F2 U' R U' R F' R
F2 U' R U' F' R F'
U D' R2 L' B' U F'
F2 U' R F' U' R F'
L D' F' B L' U2 B
B U' R U2 L' B U
B U' R U2 B L' U
B U' R' F2 R F U'
L D' B U2 B' R' B2
L D' B F U2 B R
L D' B F' L' U2 B
F U' R2 U' F' R' B
B U' R2 F2 R F' U'
B U' F' R' F' R U'
B U' F2 R U2 B U
B U' F2 R' F' R2 U'
U D2 L' R2 B' U F'
U D2 L' B' U D2 F2
U D2 L' B' U' B2 U2
U D2 L' B' D' R2 U
U D2 L' B' D2 U F2
U D2 R2 L' B' U F'
B U2 R U' L' B' U
B U2 R' U' L' B' U
F2 U2 R2 F' R D B2
B U2 R2 U' L' B' U
B U2 B' R' U' L' U
B U2 B' U' L' U R'
R2 F U R F2 L' B'
R2 F U' R F2 L' B
R2 F U' R F2 B L'
R2 F U' R B F2 L'
L F D F2 L' B U2
L F D F2 B L' U2
L F D B F2 L' U2
L F D' B U2 B R
L F B U L2 U R
L F B U2 R D' B2
L F B U2 D' R B2
L F B U2 D' B2 R
L F B D F2 L' U2
L F B D' U2 R B2
L F B D' U2 B2 R
B D U L' D B' U
B D U L' D' B' U
B D U L' D2 B' U
B D U L' B' U D
B D U L' B' U D'
B D U L' B' U D2
B D U L' B' D U
B D U L' B' D' U
B D U L' B' D2 U
B D U B L' B' U
B D U B' L' B' U
B D U B2 L' B' U
L2 F' L' D F2 B U2
L2 F' L' D B F2 U2
L2 F' L' D' B U2 B
L2 F' L' B U L2 U
L2 F' L' B U2 D' B2
L2 F' L' B D F2 U2
L2 F' L' B D' U2 B2
L F' L' B U L' U
B D F' D' L' F U2
F' D B D2 L' F U2
F2 D B U' R F' U'
B2 D B' U L' B' U
F' D' L B L2 U2 B2
F' D' L' D F B U2
F' D' L' D B F U2
F' D' L' D' F B U2
F' D' L' D' B F U2
F' D' L' D2 F B U2
F' D' L' D2 B F U2
F' D' L' F D B U2
F' D' L' F D' B U2
F' D' L' F D2 B U2
F' D' L' F B U2 D
F' D' L' F B U2 D'
F' D' L' F B U2 D2
F' D' L' F B D U2
F' D' L' F B D' U2
F' D' L' F B D2 U2
F' D' L' B D F U2
F' D' L' B D' F U2
F' D' L' B D2 F U2
F' D' L' B F U2 D
F' D' L' B F U2 D'
F' D' L' B F U2 D2
F' D' L' B F D U2
F' D' L' B F D' U2
F' D' L' B F D2 U2
D2 F' D' L' F B U2
D2 F' D' L' B F U2
D' F' D' L' F B U2
D' F' D' L' B F U2
D2 F' D' B L' F U2
D' F' D' B L' F U2
L F' D L' F2 B U2
L F' D L' B F2 U2
D F' D' L' F B U2
D F' D' L' B F U2
L F' D F2 B U2 R
L F' D B L' F2 U2
L F' D B F2 U2 R
L F' D' L' B U2 B
D F' D' B L' F U2
L' F' B L' U L U
D2 F' B D' L' F U2
D' F' B D' L' F U2
L F' D' B L' U2 B
L2 F' B D L' F U2
B' D' U L' R2 B' U
B' D' U L' B' R2 U
B' D' U R2 L' B' U
L F' B L' U L' U
D F' B D' L' F U2
L F' B D L' F2 U2
L F' B D F2 U2 R
L F' B D' L' U2 B2
B D' U L' D B' U
B D' U L' D' B' U
B D' U L' D2 B' U
B D' U L' B' U D
B D' U L' B' U D'
B D' U L' B' U D2
B D' U L' B' D U
B D' U L' B' D' U
B D' U L' B' D2 U
B D' U B L' B' U
B D' U B' L' B' U
B D' U B2 L' B' U
B D' F' D' L' F U2
F' D' B L' D F U2
F' D' B L' D' F U2
F' D' B L' D2 F U2
F' D' B L' F U2 D
F' D' B L' F U2 D'
F' D' B L' F U2 D2
F' D' B L' F D U2
F' D' B L' F D' U2
F' D' B L' F D2 U2
F' D' B' L' F B2 U2
F' D' B' L' B2 F U2
B2 D' B' U L' B' U
F' D2 L' B U' R' U'
B' D2 U L' B' U F2
L' B L U L' B' U
B D2 U L' D B' U
B D2 U L' D' B' U
B D2 U L' D2 B' U
B D2 U L' B' U D
B D2 U L' B' U D'
B D2 U L' B' U D2
B D2 U L' B' D U
B D2 U L' B' D' U
B D2 U L' B' D2 U
U2 B L U L2 U L
B D2 U B L' B' U
B D2 U B' L' B' U
U2 B L U2 D' L' B2
U2 B L U2 D' B2 L'
B D2 U B2 L' B' U
U2 B L D F2 R U2
U2 B L D' U2 L' B2
U2 B L D' U2 B2 L'
L B L' U L' B' U
U B L' B' R2 U F'
U B L' B' U' B U2
B D2 F' D' L' F U2
F' D2 B L' U' R' U'
F2 D2 B U' R U' R2
F2 D2 B U2 R' D B2
D2 B U L' D B' U
D2 B U L' D' B' U
D2 B U L' D2 B' U
D2 B U L' B' U D
D2 B U L' B' U D'
D2 B U L' B' U D2
D2 B U L' B' D U
D2 B U L' B' D' U
D2 B U L' B' D2 U
D' B U L' D B' U
D' B U L' D' B' U
D' B U L' D2 B' U
D' B U L' B' U D
D' B U L' B' U D'
D' B U L' B' U D2
D' B U L' B' D U
D' B U L' B' D' U
D' B U L' B' D2 U
L' B U L' B' U B
B2 D2 B' U L' B' U
D2 B U D L' B' U
D2 B U D' L' B' U
D' B U D L' B' U
D2 B U D2 L' B' U
D' B U D' L' B' U
D' B U D2 L' B' U
D2 B U B L' B' U
D' B U B L' B' U
D2 B U B' L' B' U
D' B U B' L' B' U
D2 B U B2 L' B' U
L2 B U L' B' L U
D' B U B2 L' B' U
L' B U B U B' R'
D B U L' D B' U
D B U L' D' B' U
D B U L' D2 B' U
D B U L' B' U D
D B U L' B' U D'
D B U L' B' U D2
D B U L' B' D U
D B U L' B' D' U
D B U L' B' D2 U
D B U D L' B' U
D B U D' L' B' U
D B U D2 L' B' U
L B U L' B' L' U
D B U B L' B' U
D B U B' L' B' U
D B U B2 L' B' U
F' B L' F U L' U
L2 B U2 D' B' R' B
D2 B D U L' B' U
F' B L' F' U' R U'
D' B D U L' B' U
L2 B D L U2 B' R'
L2 B D L' F U2 R
F' B L2 D' L U2 B'
D2 B D' U L' B' U
D' B D' U L' B' U
L2 B D F' L' F U2
L B U2 D' B' R' B'
D B D U L' B' U
L B U2 B D' B2 R'
L B U2 B' R' D' B2
L B U2 B' D' R' B2
D2 B D2 U L' B' U
L2 B D' U2 B' R' B
D' B D2 U L' B' U
L B D F' L' F' U2
D B D' U L' B' U
L B D' U2 B' R' B'
L B D' F U2 R B2
L B D' F U2 B2 R
L B D' F' L' U2 B2
D B D2 U L' B' U
L' B F' L' U L U
D2 B F' D' L' F U2
D' B F' D' L' F U2
L2 B F' D L' F U2
L B F U L2 U R
L B F U2 R D' B2
L B F U2 D' R B2
L B F U2 D' B2 R
L B F D F2 L' U2
L B F D' U2 R B2
L B F D' U2 B2 R
B F U L' U R B'
B F U L' U B' R
D B F' D' L' F U2
L B F' L' U L' U
F2 B U' R F' U' R
F B U L' U R B'
F B U L' U B' R
F' B U' F2 U' R B
F2 B U' D R F' U'
L B F' D L' F2 U2
L B F' D F2 U2 R
L B F' D' L' U2 B2
F2 B U' F' U' R B
B F U' R' U' R2 B
B F U' R2 U' R' B
F B U' R' U' R2 B
F B U' R2 U' R' B
F2 B D U' R F' U'
B F U2 B' R D B2
F' B D' L' D F U2
F' B D' L' D' F U2
F' B D' L' D2 F U2
F' B D' L' D2 F U2
F' B D' L' F U2 D
F' B D' L' F U2 D'
F' B D' L' F U2 D2
F' B D' L' F D U2
F' B D' L' F D' U2
F' B D' L' F D2 U2
U B' L' D' R2 B' U
U B' L' D' B' R2 U
U B' L' D2 B' U F2
F B U2 B' R D B2
U B' L' B' U' B' U2
B F' L' F U L' U
B F' L' F' U' R U'
B F' L2 D' L U2 B'
U B' D' L' R2 B' U
U B' D' L' B' R2 U
U2 B' D2 F2 R' D B2
U B' D' R2 L' B' U
U B' D2 L' B' U F2
B F' U' F2 U' R B
B2 F' D' B' L' F U2
B F' D' L' D F U2
B F' D' L' D' F U2
B F' D' L' D2 F U2
B F' D' L' F U2 D
B F' D' L' F U2 D'
B F' D' L' F U2 D2
B F' D' L' F D U2
B F' D' L' F D' U2
B F' D' L' F D2 U2
B F2 U' R F' U' R
B F2 U' D R F' U'
B F2 U' F' U' R B
L B2 D' B' U2 B' R'
B F2 D U' R F' U'
F' B2 D' B' L' F U2
