D2 L2 B U' R' U2
U2 R2 F' U R U2
F D B U L' B
F D B U B L'
R2 F' U' D' F2 L'
R2 F' D' U' F2 L'
U2 F2 R2 F' U' L'
D2 B L2 U' R' U2
B2 D2 B' L2 U L'
D2 B U D' B2 L
F D2 B L2 U L
D2 B D' U B2 L
B F U L' D B2
B F U D L' B2
B F U D B2 L'
F B U L' D B2
F B U D L' B2
F B U D B2 L'
D2 B' L2 B2 U L'
B F U2 R2 U' L'
F B U2 R2 U' L'
B F D U L' B2
B F D U B2 L'
F B D U L' B2
F B D U B2 L'
B F D2 L2 U L
F B D2 L2 U L
F L U2 R2 F' U' L2
F L D F2 B U B
F L D B F2 U B
D' L D' L2 F B U
D' L D' L2 B F U
R2 L F' U' D' F2 L'
R2 L F' D' U' F2 L'
B L F U L' D B2
B L F U D L' B2
B L F U D B2 L'
B L F U2 R2 U' L'
B L F D U L' B2
B L F D U B2 L'
B L F D2 L2 U L
F L B U L2 D B2
F L B U2 R2 U' L2
D' L B D2 F2 U B2
F L B D F2 U B2
F L' U R2 F' U' F
R2 L' F' U' D' F2 L'
R2 L' F' D' U' F2 L'
D2 L' D L' F B U
D2 L' D L' B F U
D2 L' D B L' F U
D' L' D' F L2 B U
D' L' D' F B L2 U
D' L' D' B F L2 U
F L' D2 L2 B U L2
D' L' D2 F B U B
D' L' D2 B F U B
F L' D2 B L2 U L2
D' L' F L2 B U B2
B L' F U L' D B2
B L' F U D L' B2
B L' F U D B2 L'
D' L' F B L2 U B'
D' L' F B U' F U2
B L' F U2 R2 U' L'
B L' F D U L' B2
B L' F D U B2 L'
B L' F D2 L2 U L
D2 L' B L' U' R' U2
D' L' B D' F L2 U
D' L' B D2 F U B2
D' L' B F L2 U B'
D' L' B F U' F U2
D2 L' B' L' B2 U L2
F L' B D2 L2 U L2
L' R2 F' U' D' F2 L'
L' R2 F' D' U' F2 L'
L2 R2 F' U' D' F2 L'
R2 L2 F' U' D' F2 L'
L R2 F' U' D' F2 L'
L2 R2 F' D' U' F2 L'
R2 L2 F' D' U' F2 L'
L R2 F' D' U' F2 L'
B2 L2 U2 R2 F U' L'
B2 L2 U2 F R2 U' L'
F L2 U2 R2 F' U' L
B2 L2 D2 L2 B' U L
D2 L2 D2 F B U L'
F L2 D2 L2 B U L'
D2 L2 D2 B F U L'
D' L2 D2 B U B L
D2 L2 F B U' R' U2
B L2 F U L' D B2
B L2 F U D L' B2
B L2 F U D B2 L'
B L2 F U2 R2 U' L'
B L2 F D U L' B2
B L2 F D U B2 L'
B L2 F D2 L2 U L
D2 L2 F' B U' R' U2
D2 L2 F2 B U' R' U2
D2 L2 B U B2 L B2
D2 L2 B U' R' U2 D
D2 L2 B U' R' U2 D'
D2 L2 B U' R' U2 D2
D2 L2 B U' R' D U2
D2 L2 B U' R' D' U2
D2 L2 B U' R' D2 U2
D2 L2 B U' D R' U2
D2 L2 B U' D' R' U2
D2 L2 B U' D2 R' U2
D2 L2 B U2 B2 U' L
D2 L2 B D U' R' U2
D2 L2 B D' U' R' U2
D2 L2 B D2 U' R' U2
D2 L2 B F U' R' U2
D2 L2 B F' U' R' U2
D2 L2 B F2 U' R' U2
D2 L2 B' U L D' R2
D2 L2 B' U D' L R2
D2 L2 B' U D' R2 L
D2 L2 B' D' U L R2
D2 L2 B' D' U R2 L
D R F' R' B U B
R2 U' F D' L' F2 R
U2 R' D R' F' B U'
U2 R' D R' B F' U'
U2 R' F2 R' F' U' L'
L' U2 R2 F' U R U2
L2 U2 R2 F' U R U2
R2 U2 R2 F B U L'
R2 U2 R2 B F U L'
L U2 R2 F' U R U2
L' U2 F2 R2 F' U' L'
L2 U2 F2 R2 F' U' L'
L U2 F2 R2 F' U' L'
F2 R2 U2 R2 B U L
F R2 U2 R2 B U L'
F2 R2 D' F' U' L' F'
F2 R2 D2 L2 F' U' L'
F2 R2 D2 F' L2 U' L
U2 R2 D2 F' B' U' L
F R2 D2 L2 F' U' L
U2 R2 D2 B' F' U' L
U2 R2 F U' L' D R2
U2 R2 F U' D L' R2
U2 R2 F U' D R2 L'
U2 R2 F D U' L' R2
U2 R2 F D U' R2 L'
F2 R2 F' U' L' D' F2
F2 R2 F' U' D' L' F2
U2 R2 F' U R U2 D
U2 R2 F' U R U2 D'
U2 R2 F' U R U2 D2
U2 R2 F' U R D U2
U2 R2 F' U R D' U2
U2 R2 F' U R D2 U2
U2 R2 F' U D R U2
U2 R2 F' U D' R U2
U2 R2 F' U D2 R U2
F2 R2 F' U2 R2 U L'
U2 R2 F' U' F2 L' F2
U2 R2 F' U2 F2 U L'
F2 R2 F' D' U' L' F2
U2 R2 F' D U R U2
F2 R2 F' D2 L2 U' L
U2 R2 F' D' U R U2
U2 R2 F' D2 U R U2
U2 R2 F' B U R U2
U2 R2 F' B' U R U2
U2 R2 F' B2 U R U2
U R2 F' U R U2 F
U R2 F' U' F2 L' F'
U2 R2 B F' U R U2
U2 R2 B' F' U R U2
U2 R2 B2 F' U R U2
F U L' U R2 F' U'
F U R2 F' U' F L'
B U D B' D B' L
R2 D' L F' B' U' F'
R2 D' L B' F' U' F'
B U D2 B D' B2 L
B U D2 B' D' L B2
B U F L' D F' B2
B U F L' D B2 F'
B U F L' F' D B2
B U F D L' F' B2
B U F D L' B2 F'
B U F D B2 L' F'
R2 D' L2 F' U' F' L'
D2 U B' D' L R2 B2
D2 U B' D' L B2 R2
D2 U B' D' R2 L B2
R2 D' F' L B' U' F'
R2 D' F' L2 U' F' L'
F' U' R U' R F' U'
L' D2 L2 B U' R' U2
B U' F U' R2 U' L'
B U' F U2 L' D B2
B U' F U2 D L' B2
B U' F U2 D B2 L'
B U' F D U2 L' B2
B U' F D U2 B2 L'
B U' F D' F2 R U2
L2 D2 L2 B U' R' U2
R2 D2 L2 F' B' U' L
R2 D2 L2 B' F' U' L
B U' F' R U' R U'
B U' F' D R U2 B2
B U' F' D' R F2 U2
B U' F' D' F2 U2 L'
L D2 L2 B U' R' U2
R2 D2 F' L2 B' U' L
R2 D2 F' B' L2 U' L'
L' D2 B L2 U' R' U2
L' D2 B U D' B2 L
L2 D2 B L2 U' R' U2
L' D2 B D' U B2 L
L2 D2 B U D' B2 L
L' D2 B' L2 B2 U L'
L2 D2 B D' U B2 L
B U2 R' D R' B U'
L2 D2 B' L2 B2 U L'
F' U2 R2 F' U R' U2
L D2 B L2 U' R' U2
F' U2 R2 F' B2 U' L
F2 U2 R2 F' B U' L
L D2 B U D' B2 L
F' U2 R2 B2 F' U' L
F2 U2 R2 B F' U' L
L D2 B D' U B2 L
B U2 R2 U' F L' F'
B U2 R2 U2 F U L'
B U2 R2 D2 B' U' L
R2 D2 B' F' L2 U' L'
L D2 B' L2 B2 U L'
U D2 B' D' L R2 B2
U D2 B' D' L B2 R2
U D2 B' D' R2 L B2
B U2 D R' B U' B
D2 F L2 B U' R' U2
F' U2 F' R2 F' U' L'
F U2 F R2 F' U' L'
R2 F U' D' L' F2 R
F D L B U L2 B
F D L B U B L2
L' F D B U L' B
L' F D B U B L'
L2 F D B U L' B
L2 F D B U B L'
R2 F D' U' L' F2 R
L F D B U L' B
L F D B U B L'
L' F D2 B L2 U L
D2 F B L2 U' R' U2
D2 F B U D' B2 L
B D R F' R' U B2
L2 F D2 B L2 U L
L' F B U L' D B2
L' F B U D L' B2
L' F B U D B2 L'
D2 F B D' U B2 L
L' F B U2 R2 U' L'
L' F B D U L' B2
L' F B D U B2 L'
L' F B D2 L2 U L
D2 F B' L2 B2 U L'
L2 F B U L' D B2
L2 F B U D L' B2
L2 F B U D B2 L'
L2 F B U2 R2 U' L'
L2 F B D U L' B2
L2 F B D U B2 L'
L2 F B D2 L2 U L
L F D2 B L2 U L
L F B U L' D B2
L F B U D L' B2
L F B U D B2 L'
L F B U2 R2 U' L'
L F B D U L' B2
L F B D U B2 L'
L F B D2 L2 U L
B D U B' D B' L
R2 F' L U' D' F2 L'
R2 F' L D' U' F2 L'
B D U2 R' B U' B
R2 F' L' U' D' F2 L'
R2 F' L' D' U' F2 L'
D2 F' L2 B U' R' U2
U' F' R U' R F' U'
R2 F' L2 U' D' F2 L'
R2 F' L2 D' U' F2 L'
F2 D F' B U L' B
F2 D F' B U B L'
F' D F2 B U L' B
F' D F2 B U B L'
F' D B F2 U L' B
F' D B F2 U B L'
F2 D B F' U L' B
F2 D B F' U B L'
F D B L U L2 B
F D B L U B L2
B2 D B' U D B' L
F D B L2 U L B
U2 F' R2 F' U R' U2
U2 F' R2 F' B2 U' L
B2 D B' D U B' L
F D B U L B L2
F D B U L' D B
F D B U L' D' B
F D B U L' D2 B
F D B U L' B D
F D B U L' B D'
F D B U L' B D2
F D B U D L' B
F D B U D B L'
F D B U D' L' B
F D B U D' B L'
F D B U D2 L' B
F D B U D2 B L'
F D B U B L' D
F D B U B L' D'
F D B U B L' D2
F D B U B D L'
F D B U B D' L'
F D B U B D2 L'
F D B U B' L' B2
U2 F' R2 B2 F' U' L
F D B D U L' B
F D B D U B L'
F D B D' U L' B
F D B D' U B L'
F D B D2 U L' B
F D B D2 U B L'
R2 F' U R U R U
R2 F' U D R B2 U2
R2 F' U D B2 R U2
R2 F' U D' R U2 F2
R2 F' U' L D' F2 L'
R2 F' U' L' D' F2 L'
R2 F' U' L2 D' F2 L'
R2 F' U' D' L F2 L'
R2 F' U' D' L' F2 L'
R2 F' U' D' L2 F2 L'
R2 F' U' D' F2 L' D
R2 F' U' D' F2 L' D'
R2 F' U' D' F2 L' D2
R2 F' U' D' F2 D L'
R2 F' U' D' F2 D' L'
R2 F' U' D' F2 D2 L'
R2 F' U' F2 L' D' F2
R2 F' U' F2 D' L' F2
B D' L D' L2 F U
R2 F' U2 R2 U' R' U2
R2 F' U2 F2 R2 U L'
B D' L' D' F L2 U
B D' L' D2 F U B2
B D' L' F L2 U B'
B D' L' F U' F U2
R2 F' D U R B2 U2
R2 F' D U B2 R U2
R2 F' D' L U' F2 L'
R2 F' D' L' U' F2 L'
R2 F' D' L2 U' F2 L'
R2 F' D' U R U2 F2
R2 F' D' U' L F2 L'
R2 F' D' U' L' F2 L'
R2 F' D' U' L2 F2 L'
R2 F' D' U' F2 L' D
R2 F' D' U' F2 L' D'
R2 F' D' U' F2 L' D2
R2 F' D' U' F2 D L'
R2 F' D' U' F2 D' L'
R2 F' D' U' F2 D2 L'
R2 F' D' B U' F2 L'
R2 F' D' B' U' F2 L'
D2 F' B L2 U' R' U2
R2 F' D' B2 U' F2 L'
R2 F' D2 L2 U R U2
D2 F' B U D' B2 L
D2 F' B D' U B2 L
D2 F' B' L2 B2 U L'
R2 F' B U' D' F2 L'
R2 F' B D' U' F2 L'
R2 F' B' U' D' F2 L'
R2 F' B' D' U' F2 L'
R2 F' B2 U' D' F2 L'
R' F2 L' R' F' U' L'
R2 F' B2 D' U' F2 L'
D2 F2 L2 B U' R' U2
R' F2 R' L' F' U' L'
F' D' B U' R F2 U2
F' D' B U' F2 U2 L'
U2 F2 R2 D F' U' L'
U2 F2 R2 D' F' U' L'
U2 F2 R2 D2 F' U' L'
U2 F2 R2 F' U' L' D
U2 F2 R2 F' U' L' D'
U2 F2 R2 F' U' L' D2
U2 F2 R2 F' U' D L'
U2 F2 R2 F' U' D' L'
U2 F2 R2 F' U' D2 L'
U2 F2 R2 F' D U' L'
U2 F2 R2 F' D' U' L'
U2 F2 R2 F' D2 U' L'
U2 F2 R2 F' B U' L'
U2 F2 R2 F' B' U' L'
U2 F2 R2 F' B2 U' L'
U2 F2 R2 B F' U' L'
U2 F2 R2 B' F' U' L'
F D' B U L' D2 B2
U2 F2 R2 B2 F' U' L'
F D' B U D2 L' B2
F D' B U D2 B2 L'
F D' B U' F2 R U2
F D' B D' L2 U L
F D' B D2 U L' B2
F D' B D2 U B2 L'
U F2 R2 F' U' L' F'
B D2 L' D L' F U
F' D2 L2 F2 B U L'
F' D2 L2 B U' R U2
F' D2 L2 B F2 U L'
F2 D2 L2 F' B U L'
F2 D2 L2 B F' U L'
B D2 L2 U B' L B
F D2 L' B L' U L
B D2 L2 U2 B' U' L
B D2 L2 D2 F U L'
D2 F2 B L2 U' R' U2
D2 F2 B U D' B2 L
D2 F2 B D' U B2 L
D2 F2 B' L2 B2 U L'
D' B L D' L2 F U
B D2 U B D' B2 L
B D2 U B' D' L B2
D' B L' D' F L2 U
D' B L' D2 F U B2
B' D2 F L2 B' U L
D' B L' F L2 U B'
D' B L' F U' F U2
D2 B L2 U B2 L B2
D2 B L2 U' R' U2 D
D2 B L2 U' R' U2 D'
D2 B L2 U' R' U2 D2
D2 B L2 U' R' D U2
D2 B L2 U' R' D' U2
D2 B L2 U' R' D2 U2
D2 B L2 U' D R' U2
D2 B L2 U' D' R' U2
D2 B L2 U' D2 R' U2
D2 B L2 U2 B2 U' L
D2 B L2 D U' R' U2
D2 B L2 D' U' R' U2
D2 B L2 D2 U' R' U2
D2 B L2 F U' R' U2
D2 B L2 F' U' R' U2
D2 B L2 F2 U' R' U2
B2 D2 F B' L2 U L'
B2 D2 F' B' L2 U L'
F2 D2 F' B L2 U L
F' D2 F2 B L2 U L
B2 D2 F2 B' L2 U L'
F' D2 B L2 U' R U2
F' D2 B L2 F2 U L'
B2 D2 B L2 B2 U L
D B R F' R' U B
F2 D2 B L2 F' U L'
F' D2 B F2 L2 U L
F2 D2 B F' L2 U L
B2 D2 B' L2 U L' D
B2 D2 B' L2 U L' D'
B2 D2 B' L2 U L' D2
B2 D2 B' L2 U D L'
B2 D2 B' L2 U D' L'
B2 D2 B' L2 U D2 L'
B2 D2 B' L2 D U L'
B2 D2 B' L2 D' U L'
B2 D2 B' L2 D2 U L'
B2 D2 B' U D' L B2
D2 B U D' L B2 L
D2 B U D' L' B2 L
D2 B U D' L2 B2 L
D2 B U D' B2 L D
D2 B U D' B2 L D'
D2 B U D' B2 L D2
D2 B U D' B2 D L
D2 B U D' B2 D' L
D2 B U D' B2 D2 L
F D2 B L2 U L D
F D2 B L2 U L D'
F D2 B L2 U L D2
F D2 B L2 U D L
F D2 B L2 U D' L
F D2 B L2 U D2 L
F D2 B L2 D U L
F D2 B L2 D' U L
F D2 B L2 D2 U L
F D2 B L2 F U L
F D2 B L2 F' U L
F D2 B L2 F2 U L
B2 D2 B' D' U L B2
B2 D2 B' F L2 U L'
B2 D2 B' F' L2 U L'
F D2 B U D' L' B2
F D2 B U D' B2 L'
B2 D2 B' F2 L2 U L'
D2 B U B2 D' L B2
B D2 B' L2 B U L'
B2 D2 B2 L2 B U L
F D2 B D' U L' B2
F D2 B D' U B2 L'
D2 B U' R' U L2 U
D2 B U' R' U2 D' B2
D2 B U' R' D F2 U2
D2 B U' R' D' U2 B2
D2 B U' D R' F2 U2
D2 B U' D F2 R' U2
D2 B U' D' R' U2 B2
D B U D B' L B2
D B U B2 D B' L
B F L U L2 D B2
B F L U2 R2 U' L2
B F L D F2 U B2
D2 B D U' R' F2 U2
D2 B D U' F2 R' U2
F B L U L2 D B2
F B L U2 R2 U' L2
F B L D F2 U B2
D2 B D' L U B2 L
D2 B D' L' U B2 L
D2 B D' L2 U B2 L
D2 B D' U L B2 L
D2 B D' U L' B2 L
D2 B D' U L2 B2 L
B F L' D2 L2 U L2
D2 B D' U B2 L D
D2 B D' U B2 L D'
D2 B D' U B2 L D2
D2 B D' U B2 D L
D2 B D' U B2 D' L
D2 B D' U B2 D2 L
D2 B D' U' R' U2 B2
D2 B D' F U B2 L
D2 B D' F' U B2 L
D2 B D' F2 U B2 L
F B L' D2 L2 U L2
D B D U B' L B2
B F L2 U L D B2
B F L2 U D L B2
B F L2 U2 R2 U' L
B F L2 D U L B2
B F L2 D2 L2 U L'
F B L2 U L D B2
F B L2 U D L B2
F B L2 U2 R2 U' L
F B L2 D U L B2
F B L2 D2 L2 U L'
D B D' F U L' B
D B D' F U B L'
D2 B F L2 U' R' U2
D2 B F U D' B2 L
D B D2 L' F U B
L' B F U L' D B2
L' B F U D L' B2
L' B F U D B2 L'
D B D2 L2 U B L
D2 B F D' U B2 L
L' B F U2 R2 U' L'
L' B F D U L' B2
L' B F D U B2 L'
L' B F D2 L2 U L
D2 B F' L2 U' R' U2
D2 B F' U D' B2 L
L2 B F U L' D B2
L2 B F U D L' B2
L2 B F U D B2 L'
L2 B F U2 R2 U' L'
L2 B F D U L' B2
L2 B F D U B2 L'
D2 B F' D' U B2 L
L2 B F D2 L2 U L
D2 B F2 L2 U' R' U2
D2 B F2 U D' B2 L
D2 B F2 D' U B2 L
L B F U L' D B2
L B F U D L' B2
L B F U D B2 L'
R2 B F' U' D' F2 L'
L B F U2 R2 U' L'
L B F D U L' B2
L B F D U B2 L'
R2 B F' D' U' F2 L'
L B F D2 L2 U L
F' B U' R U' R U'
B F U L' U R2 U'
B F U L' D B2 D
B F U L' D B2 D'
B F U L' D B2 D2
B F U L' B D B2
B F U L' B' D B2
B F U L' B2 D B2
B F U L2 D L B2
F' B U' D R U2 B2
F' B U' D' R F2 U2
F' B U' D' F2 U2 L'
B F U D L B2 L2
B F U D L' B2 D
B F U D L' B2 D'
B F U D L' B2 D2
B F U D B L' B
B F U D B2 L' D
B F U D B2 L' D'
B F U D B2 L' D2
B F U D B2 D L'
B F U D B2 D' L'
B F U D B2 D2 L'
B F U D' L' D2 B2
F B U L' U R2 U'
F B U L' D B2 D
F B U L' D B2 D'
F B U L' D B2 D2
F B U L' B D B2
F B U L' B' D B2
F B U L' B2 D B2
F B U L2 D L B2
B F U B L' D B2
B F U B D L' B2
B F U B D B2 L'
B F U B' L' D B2
B F U B' D L' B2
B F U B' D B2 L'
F B U D L B2 L2
F B U D L' B2 D
F B U D L' B2 D'
F B U D L' B2 D2
B F U B2 L' D B2
F B U D B L' B
F B U D B2 L' D
F B U D B2 L' D'
F B U D B2 L' D2
F B U D B2 D L'
F B U D B2 D' L'
F B U D B2 D2 L'
F B U D' L' D2 B2
B F U B2 D L' B2
B F U B2 D B2 L'
F' B U2 R2 U R' U2
F' B U2 R2 B2 U' L
F B U B L' D B2
F B U B D L' B2
F B U B D B2 L'
F B U B' L' D B2
F B U B' D L' B2
F B U B' D B2 L'
F B U B2 L' D B2
D2 B' L' B2 L' U L'
F B U B2 D L' B2
F B U B2 D B2 L'
B F U' D' F2 R U2
F2 B U2 R2 B U' L
D2 B' L2 U L' D' R2
D2 B' L2 U D' L' R2
D2 B' L2 U D' R2 L'
F2 B U2 B R2 U' L
D2 B' L2 D' U L' R2
D2 B' L2 D' U R2 L'
F B U' D' F2 R U2
F' B D U' R U2 B2
B F U2 R2 U' L' D
B F U2 R2 U' L' D'
B F U2 R2 U' L' D2
B F U2 R2 U' D L'
B F U2 R2 U' D' L'
B F U2 R2 U' D2 L'
B F U2 R2 D U' L'
B F U2 R2 D' U' L'
B F U2 R2 D2 U' L'
B F U2 R2 B U' L'
B F U2 R2 B' U' L'
B F U2 R2 B2 U' L'
D2 B' L2 B2 U L' D
D2 B' L2 B2 U L' D'
D2 B' L2 B2 U L' D2
D2 B' L2 B2 U D L'
D2 B' L2 B2 U D' L'
D2 B' L2 B2 U D2 L'
D2 B' L2 B2 D U L'
D2 B' L2 B2 D' U L'
D2 B' L2 B2 D2 U L'
F' B D F2 U L' B2
F' B D F2 U B2 L'
B F U2 B R2 U' L'
F2 B D F' U L' B2
F2 B D F' U B2 L'
F B U2 R2 U' L' D
F B U2 R2 U' L' D'
F B U2 R2 U' L' D2
F B U2 R2 U' D L'
F B U2 R2 U' D' L'
F B U2 R2 U' D2 L'
B F U2 B' R2 U' L'
F B U2 R2 D U' L'
F B U2 R2 D' U' L'
F B U2 R2 D2 U' L'
F B U2 R2 B U' L'
F B U2 R2 B' U' L'
F B U2 R2 B2 U' L'
B2 F D B' U B' L'
B F U2 B2 R2 U' L'
B F D L U L2 B2
B F D L U B2 L2
B F D L2 U L B2
F' B D' U' R F2 U2
F B U2 B R2 U' L'
F' B D' U' F2 U2 L'
F B U2 B' R2 U' L'
B F D U L B2 L2
B F D U L' B2 D
B F D U L' B2 D'
B F D U L' B2 D2
B F D U B L' B
B F D U B2 L' D
B F D U B2 L' D'
B F D U B2 L' D2
B F D U B2 D L'
B F D U B2 D' L'
B F D U B2 D2 L'
F B U2 B2 R2 U' L'
F B D L U L2 B2
F B D L U B2 L2
F B D L2 U L B2
F B D U L B2 L2
F B D U L' B2 D
F B D U L' B2 D'
F B D U L' B2 D2
F B D U B L' B
F' B D2 L2 U' R U2
F B D U B2 L' D
F B D U B2 L' D'
F B D U B2 L' D2
F B D U B2 D L'
F B D U B2 D' L'
F B D U B2 D2 L'
F' B D2 L2 F2 U L'
F2 B D2 L2 F' U L'
B F D' U L' D2 B2
B F D' U' F2 R U2
F' B D2 F2 L2 U L
F2 B D2 F' L2 U L
B2 F D2 B' L2 U L
F B D' U L' D2 B2
F B D' U' F2 R U2
B F D2 L2 U L D
B F D2 L2 U L D'
B F D2 L2 U L D2
B F D2 L2 U D L
B F D2 L2 U D' L
B F D2 L2 U D2 L
B F D2 L2 D U L
B F D2 L2 D' U L
B F D2 L2 D2 U L
B F D2 L2 F U L
B F D2 L2 F' U L
B F D2 L2 F2 U L
F B D2 L2 U L D
F B D2 L2 U L D'
F B D2 L2 U L D2
F B D2 L2 U D L
F B D2 L2 U D' L
F B D2 L2 U D2 L
F B D2 L2 D U L
F B D2 L2 D' U L
F B D2 L2 D2 U L
F B D2 L2 F U L
F B D2 L2 F' U L
F B D2 L2 F2 U L
D2 B' U D' L R2 B2
D2 B' U D' L B2 R2
D2 B' U D' R2 L B2
D2 B' D' U L R2 B2
D2 B' D' U L B2 R2
D2 B' D' U R2 L B2
D2 B' F L2 B2 U L'
D2 B' F' L2 B2 U L'
B F' U' R U' R U'
D2 B' F2 L2 B2 U L'
B F' U' D R U2 B2
B F' U' D' R F2 U2
B F' U' D' F2 U2 L'
R2 B' F' U' D' F2 L'
B F' U2 R2 U R' U2
B F' U2 R2 B2 U' L
R2 B' F' D' U' F2 L'
B F' D U' R U2 B2
B F' D F2 U L' B2
B F' D F2 U B2 L'
B F' D' U' R F2 U2
B F' D' U' F2 U2 L'
B F' D2 L2 U' R U2
B F' D2 L2 F2 U L'
B F' D2 F2 L2 U L
D' B2 D' B' L2 U L'
D B2 D B' U L B
L' B2 D2 B' L2 U L'
B F2 U2 R2 B U' L
L2 B2 D2 B' L2 U L'
B F2 U2 B R2 U' L
B F2 D F' U L' B2
B F2 D F' U B2 L'
L B2 D2 B' L2 U L'
F B2 D B' U B' L'
R2 B2 F' U' D' F2 L'
R2 B2 F' D' U' F2 L'
B F2 D2 L2 F' U L'
B F2 D2 F' L2 U L
F B2 D2 B' L2 U L
