D F' L' U F' R
L2 R U L F R U2
F' L' U F' D R F'
F' L' U2 L' F' U' R
F' L' U2 D' L' F U'
F' L' D' U2 L' F U'
R L2 U L F R U2
L2 R2 B U' R B R'
R2 L2 B U' R B R'
L2 U L F U F2 U
L2 U L F U2 D' L2
L2 U L F D R2 U2
L2 U L F D' U2 L2
D R U' F2 R B L
L' U' L' R U' B L
F R F L2 B' U' R
L' U' R L' U' B L
R U' D F2 R B L
L2 U2 F' U' L F U2
D R2 B U' F2 R B
R D U' F2 R B L
R2 D B U' F2 R B
U2 D F' U F' R B
L D' F' B2 L' R' U
L D' F' B2 R' L' U
L D' B2 F' L' R' U
L D' B2 F' R' L' U
D U2 F' U F' R B
L2 F R D2 B2 U' R'
F' D L' R' B U F2
F' D R' L' B U F2
L2 F D2 R B2 U' R'
F' D R' B L' U F2
L2 F D2 B2 R U' R2
L2 F' L' D' B2 R' U
B' D F' L' U F' R
D F' L' U F' R D
D F' L' U F' R D'
D F' L' U F' R D2
D F' L' U F' D R
D F' L' U F' D' R
D F' L' U F' D2 R
B2 D F' L' U F' R
L F' L' U D F2 R
D F' L' B U F' R
D F' L' B' U F' R
D F' L' B2 U F' R
L F' L' D U F2 R
B D F' L' U F' R
F' D' L B' L2 U F
L F' D' B2 L' R' U
L F' D' B2 R' L' U
D F' B L' U F' R
D F' B' L' U F' R
D F' B2 L' U F' R
U2 F2 L2 B' R' U' R2
D F2 R U' F L' U
D2 F2 R2 F L' U R'
L' F2 U R F L' U
F' D2 L' R2 B U R'
F' D2 L' B R2 U R
F' D2 R2 L' B U R'
F' D2 R2 B L' U R'
R2 B L2 U L F U2
F' D2 B L' R2 U R
F' D2 B R2 L' U R
R2 B U' D F2 R B
R2 B D U' F2 R B
D B F' L' U F' R
D B' F' L' U F' R
L2 B2 R2 B U' R B
D B2 F' L' U F' R
