B' L U' R2 B' U' R'
B' L U' B' R2 U' R
D2 L2 R F' B U F2
D2 L2 R B F' U F2
D2 L2 U D' F L' R
D2 L2 U D' F R L'
D L2 U F L' R B2
D L2 U F L' B2 R
D L2 U F R L' B2
D L2 U F R B2 L'
D L2 U F B2 L' R
D L2 U F B2 R L'
D L2 U B2 F L' R
D L2 U B2 F R L'
D2 L2 D' U F L' R
D2 L2 D' U F R L'
D2 R L2 F' B U F2
D2 R L2 B F' U F2
D2 R F' L2 B U F
L U' R2 B' U' R' F'
D U L2 F L' R B2
D U L2 F L' B2 R
D U L2 F R L' B2
D U L2 F R B2 L'
D U L2 F B2 L' R
D U L2 F B2 R L'
D U L2 B2 F L' R
D U L2 B2 F R L'
U D L2 F L' R B2
U D L2 F L' B2 R
U D L2 F R L' B2
U D L2 F R B2 L'
U D L2 F B2 L' R
U D L2 F B2 R L'
U D L2 B2 F L' R
U D L2 B2 F R L'
D' U' F2 B' U2 L R'
D' U' F2 B' U2 R' L
U' D' F2 B' U2 L R'
U' D' F2 B' U2 R' L
U' D' B' F2 U2 L R'
U' D' B' F2 U2 R' L
D' U' B' F2 U2 L R'
D' U' B' F2 U2 R' L
