U L R F U' B
F L U' L' R B'
F L U' L' B' R
F L U' R L' B'
U L F R U' B
U R L F U' B
U L R D F U' B
U L R D' F U' B
U L R D2 F U' B
U L R F U' D B
U L R F U' D' B
U L R F U' D2 B
U L R F U' B D
U L R F U' B D'
U L R F U' B D2
U L R F D U' B
U L R F D' U' B
U L R F D2 U' B
F L R' U' L' R2 B'
F L R' U' L' B' R2
F L R' U' R2 L' B'
U L R' F U F2 U2
U L R' F U' D2 B2
U L R' F D R2 U'
U L R' F D2 U' B2
F L R2 U' L' R' B'
F L R2 U' R' L' B'
U L R2 F R' U' B
F L U' L' R D B'
F L U' L' R D' B'
F L U' L' R D2 B'
F L U' L' R B' D
F L U' L' R B' D'
F L U' L' R B' D2
F L U' L' R' B' R2
F L U' L' D R B'
F L U' L' D B' R
F L U' L' D' R B'
F L U' L' D' B' R
F L U' L' D2 R B'
F L U' L' D2 B' R
F L U' L' B R B2
F L U' L' B' R D
F L U' L' B' R D'
F L U' L' B' R D2
F L U' L' B' D R
F L U' L' B' D' R
F L U' L' B' D2 R
F L U' R L' D B'
F L U' R L' D' B'
F L U' R L' D2 B'
F L U' R L' B' D
F L U' R L' B' D'
F L U' R L' B' D2
F L U' R D L' B'
F L U' R D' L' B'
F L U' R D2 L' B'
F L U' R B L' B'
F L U' R B' L' B'
F L U' R B2 L' B'
F L U' R' L' B' R2
F' L U' D2 L' R2 B'
F' L U' D2 L' B' R2
F' L U' D2 R2 L' B'
F L U' D L' R B'
F L U' D L' B' R
F L U' D R L' B'
F L U' D' L' R B'
F L U' D' L' B' R
F L U' D' R L' B'
F L U' D2 L' R B'
F L U' D2 L' B' R
F L U' D2 R L' B'
F L U' B L' R B'
F L U' B L' B' R
F L U' B R L' B'
F L U' B' L' R B'
F L U' B' L' B' R
F L U' B' R L' B'
F L U' B2 L' R B'
F L U' B2 L' B' R
F L U' B2 R L' B'
U L U2 L' U B' R'
U L D R F U' B
F L D U' L' R B'
F L D U' L' B' R
F L D U' R L' B'
U L D F R U' B
U L D' R F U' B
F L D' U' L' R B'
F L D' U' L' B' R
F L D' U' R L' B'
U L D' F R U' B
F' L D2 U' L' R2 B'
F' L D2 U' L' B' R2
F' L D2 U' R2 L' B'
U L D2 R F U' B
F L D2 U' L' R B'
F L D2 U' L' B' R
F L D2 U' R L' B'
U L D2 F R U' B
U L F R U' D B
U L F R U' D' B
U L F R U' D2 B
U L F R U' B D
U L F R U' B D'
U L F R U' B D2
U L F R D U' B
U L F R D' U' B
U L F R D2 U' B
U L F R' U F' U2
U L F U2 L' U B'
U L F D R U' B
U L F D' R U' B
U L F D2 R U' B
U L F' R F2 U' B
F L B' R' U' L' R2
F L B' R' U' R2 L'
R' U L R F U' B
R2 U L R F U' B
R' U L F R U' B
R U L R F U' B
R2 U L F R U' B
R U L F R U' B
R' U R L F U' B
R2 U R L F U' B
R U R L F U' B
U R L D F U' B
U R L D' F U' B
U R L D2 F U' B
U R L F U' D B
U R L F U' D' B
U R L F U' D2 B
U R L F U' B D
U R L F U' B D'
U R L F U' B D2
U R L F D U' B
U R L F D' U' B
U R L F D2 U' B
F R U L R U' B
F R U R L U' B
U R D L F U' B
U R D' L F U' B
U R D2 L F U' B
L2 U' L' U' B' L' R'
L2 U' L' U' B' R' L'
L U' L' R B' D' R2
U R F L F U' B
U R F' L F U' B
L U' R L' B' D' R2
U R F2 L F U' B
F R B' U R' U' F'
F R' L U' L' R2 B'
F R' L U' L' B' R2
F R' L U' R2 L' B'
U R' L F U F2 U2
U R' L F U' D2 B2
U R' L F D R2 U'
U R' L F D2 U' B2
F R2 L U' L' R' B'
F R2 L U' R' L' B'
U R2 L F R' U' B
L U2 B' U L' R' B'
L U2 B' U R' L' B'
U R2 D2 L F U' B'
D' U L R F U' B
D2 U L R F U' B
B' U L R' F U' F2
D' U L F R U' B
D2 U L F R U' B
B' U L F R' U' F'
D U L R F U' B
F U L R' U' R2 B
F U L R2 U' R' B
U D L R F U' B
D U L F R U' B
U D L F R U' B
D' U R L F U' B
D2 U R L F U' B
D U R L F U' B
B' U R' L F U' F2
B' U R' U' F R F2
U D R L F U' B
B' U R' F2 U' F R
F U R' L U' R2 B
F U R2 L U' R' B
U D' L R F U' B
U D' L F R U' B
B U' L R B R' U
U D' R L F U' B
B U' R L B R' U
U D2 L R F U' B
U D2 L F R U' B
B' U' B2 L U F R
U D2 R L F U' B
R' F L U' L' R B'
R' F L U' L' B' R
R' F L U' R L' B'
D' F L U' L' R B'
D' F L U' L' B' R
D' F L U' R L' B'
D2 F L U' L' R B'
D2 F L U' L' B' R
D2 F L U' R L' B'
R2 F L U' L' R B'
R2 F L U' L' B' R
R2 F L U' R L' B'
D F L U' L' R B'
D F L U' L' B' R
D F L U' R L' B'
U F L R F U' B
R F L U' L' R B'
R F L U' L' B' R
R F L U' R L' B'
U F L F R U' B
L' F L2 U' L' R B'
L' F L2 U' L' B' R
L' F L2 U' R L' B'
U F R L F U' B
U2 F U' L R F U'
U2 F U' R L F U'
F D L U' L' R B'
F D L U' L' B' R
F D L U' R L' B'
U F' L R F U' B
U F' L F R U' B
U F' R L F U' B
F D' L U' L' R B'
F D' L U' L' B' R
F D' L U' R L' B'
U F2 L R F U' B
U F2 L F R U' B
U F2 R L F U' B
F D2 L U' L' R B'
F D2 L U' L' B' R
F D2 L U' R L' B'
B' F U R' U' F' R2
F2 B' U R' U' F' R
F B' U R' U' F' R2
B' F2 U R' U' F' R
