D2 L2 F U R F' U'
L2 U R2 U2 F R B
L2 U' D2 F L2 R B
L2 U' D2 F R L2 B
L2 U' D2 F R B L2
L2 U' F D2 L2 R B
L2 U' F D2 R L2 B
L2 U' F D2 R B L2
F2 R2 D' B' L U2 B'
U R2 D' B' L F U2
L' D F L' R B2 U'
L' D F L' B2 R U'
L' D F R L' B2 U'
L' D F R B2 L' U'
L' D F B2 L' R U'
L' D F B2 R L' U'
L' D B2 F L' R U'
L' D B2 F R L' U'
L2 D B2 U' F R B
L2 D2 U' F L2 R B
L2 D2 U' F R L2 B
L2 D2 U' F R B L2
L' D2 F R U' L2 F'
L' D2 F R U' F' L2
L' F R U' F2 L' F
D2 F R F' U' L2 F
L' F D2 R U' L2 F'
L' F D2 R U' F' L2
R2 F2 D' B' L U2 B'
F D2 R F' U' L2 F
D B2 R2 U' F' R B
