D2 L F U R F' B'
D2 L F U R B' F'
D2 L F U B' R F'
R2 L' F R B D L2
R' L' F B R D L2
R' L' F B R D L2
R' L' F B D L2 R
R' L' F B D R L2
L' R' F B R D L2
L' R' F B D L2 R
L' R' F B D R L2
R' L' B D F L2 R
R' L' B D F R L2
L' R' B D F L2 R
L' R' B D F R L2
R' L' B F R D L2
R' L' B F D L2 R
R' L' B F D R L2
L' R' B F R D L2
L' R' B F D L2 R
L' R' B F D R L2
L' R2 F R B D L2
U' R' F' U' L' F B
U' R' F' U' L' B F
U' R' F' U' B L' F
L' U2 B' U' R' F B
L' U2 B' U' R' B F
L' U2 B' U' F R' B
L' F R' B R2 D L2
R F' L' U' B' U' F
