U' L' U2 D L2 F
U' L' D U2 L2 F
U' L' D B' U2 L2
U' L' D' R2 B' U2
U' L' D' B' R2 U2
U' L' B' U' B' U'
U2 L2 B2 U' R' F'
U' D L' B' U2 L'
U' D' L' R2 B' U2
D' U' L' R2 B' U2
U' D' L' B' R2 U2
D' U' L' B' R2 U2
D U' L' B' U2 L'
U' D' R2 L' B' U2
D' U' R2 L' B' U2
D2 F2 R2 U R' F'
D2 F2 U R' F' R2
D2 F2 B' R' U R2
D2 B' R' F2 U R
D2 B' F2 R' U R2
U2 B2 U L' B' U2
B L D F2 B R U'
B L D B F2 R U'
B L B D F2 R U'
U' L' R U2 D L2 F
U' L' R D U2 L2 F
U' L' R D B' U2 L2
U' L' R D' R2 B' U2
U' L' R D' B' R2 U2
U' L' R B' U' B' U'
U' L' R' U2 D L2 F
U' L' R' D U2 L2 F
U' L' R' D B' U2 L2
U' L' R' D' R2 B' U2
U' L' R' D' B' R2 U2
U' L' R' B' U' B' U'
U' L' R2 U2 D L2 F
U' L' R2 D U2 L2 F
U' L' R2 D B' U2 L2
U' L' R2 D' R2 B' U2
U' L' R2 D' B' R2 U2
U' L' R2 B' U' B' U'
U' L' U' L2 B2 U' F
U' L' U' B2 U B U2
U' L' U2 L2 D F L2
U' L' U2 L2 F D L2
U' L' U2 D L2 D F
U' L' U2 D L2 D' F
U' L' U2 D L2 D2 F
U' L' U2 D L2 F D
U' L' U2 D L2 F D'
U' L' U2 D L2 F D2
U' L' U2 D F L2 F
U' L' U2 D F' L2 F
U' L' U2 D F2 L2 F
U' L' U2 F D L2 F
U' L' U2 F' D L2 F
U' L' U2 F2 D L2 F
U' L' D R U2 L2 F
U' L' D R B' U2 L2
U' L' D R' U2 L2 F
U' L' D R' B' U2 L2
U' L' D R2 U2 L2 F
U' L' D R2 B' U2 L2
U' L' D U2 L2 D F
U' L' D U2 L2 D' F
U' L' D U2 L2 D2 F
U' L' D U2 L2 F D
U' L' D U2 L2 F D'
U' L' D U2 L2 F D2
U' L' D U2 F L2 F
U' L' D U2 F' L2 F
U' L' D U2 F2 L2 F
U' L' D B' R U2 L2
U' L' D B' R' U2 L2
U' L' D B' R2 U2 L2
