D B R' U' F' R
R' L B' U F' L' B2
R' L B' U F' B2 L'
R' L B' U B2 F' L'
D L B R' U' F' R
B L' R' F U' F2 B
B L' R' F U' B F2
R' L' F U' F2 B L
R' L' F U' B L F2
R' L' F U' B F2 L
L' R' F U' F2 B L
L' R' F U' B L F2
L' R' F U' B F2 L
L R' B' U F' L' B2
L R' B' U F' B2 L'
L R' B' U B2 F' L'
B L' F R' U' F' B
B L' F R' U' B F'
D L' B R' U' F' R
D L2 B R' U' F' R
R' U D F' L' B R
R' U D F' B L' R
R' U D F' B R L'
R' U D B F' L' R
R' U D B F' R L'
R' U D' F' L' B R'
R' U D' F' B L' R'
R' U D' F' B R' L'
R' U D' B F' L' R'
R' U D' B F' R' L'
R' U F' D' L' B R'
R' U F' D' B L' R'
R' U F' D' B R' L'
R' U B D F' L' R
R' U B D F' R L'
R' U' D F' B L R
R' U' D F' B R L
R' U' D B L F' R
R' U' D B F' L R
R' U' D B F' R L
R' U' D' F' B L R'
R' U' D' F' B R' L
R' U' D' B L F' R'
R' U' D' B F' L R'
R' U' D' B F' R' L
B R' L' F U' F2 B
B R' L' F U' B F2
R' U' F' D' B L R'
R' U' F' D' B R' L
R' U' B D L F' R
R' U' B D F' L R
R' U' B D F' R L
B R' U' D F' B R
B R' U' D B F' R
B R' U' D' F' B R'
B R' U' D' B F' R'
B R' U' F' D' B R'
B R' U' B D F' R
B' R' D L2 F' B R
B' R' D L2 B F' R
B' R' D F' L2 B R
B' R' D F' B L2 R
B' R' D F' B R L2
B' R' D B L2 F' R
B' R' D B F' L2 R
B' R' D B F' R L2
B R' D U' F' B R
B R' D U' B F' R
B R' D' U' F' B R'
B R' D' U' B F' R'
B2 R' B D L2 F' R
B2 R' B D F' L2 R
B2 R' B D F' R L2
R' D U F' L' B R
R' D U F' B L' R
R' D U F' B R L'
R' D U B F' L' R
R' D U B F' R L'
R' D U' F' B L R
R' D U' F' B R L
R' D U' B L F' R
R' D U' B F' L R
R' D U' B F' R L
L' D F B R' U' F'
R D F' B R' U2 R2
L' D B R' F U' F2
L' D B F R' U' F'
R D B F' R' U2 R2
R' D' U F' L' B R'
R' D' U F' B L' R'
R' D' U F' B R' L'
R' D' U B F' L' R'
R' D' U B F' R' L'
R' D' U' F' B L R'
R' D' U' F' B R' L
R' D' U' B L F' R'
R' D' U' B F' L R'
R' D' U' B F' R' L
R2 D' F' R U B R'
R D' F' B R U2 R2
R D' B F' R U2 R2
L' F R' U' F' B L
L' F R' U' B L F'
L' F R' U' B F' L
L' F D B R' U' F'
L' F B R' U' F' B
L' F B R' U' B F'
F' D B R' U' F' R
F2 D B R' U' F' R
F D B R' U' F' R
D' F' B R U' R2 F'
D F' B R' U' F' R2
D B L R' U' F' R
D B L' R' U' F' R
D B L2 R' U' F' R
L' B R' F U' F2 B
L' B R' F U' B F2
D B R' L U' F' R
D B R' L' U' F' R
D B R' L2 U' F' R
D B R' U' F' R D
D B R' U' F' R D'
D B R' U' F' R D2
D B R' U' F' D R
D B R' U' F' D' R
D B R' U' F' D2 R
D B R' F U' F2 R
L' B F R' U' F' B
L' B F R' U' B F'
D' B F' R U' R2 F'
D B F' R' U' F' R2
