D L' D2 L' F B'
D L' D2 L' B' F
D L2 R F' R' B'
D L2 B' R F' R'
D R L2 F' R' B'
R' D L2 R F' B'
R' D L2 R B' F'
R' D L2 B' R F'
R' D R L2 F' B'
R' D R L2 B' F'
F U L' B2 R' U'
U2 F U' L' B2 U'
U2 F U' B2 L' U'
D L R F' L R' B'
D L R F' R' L B'
F L D L2 F2 D2 B2
F L D F' L2 F' B'
F L D F' L2 B' F'
F L D F2 L2 D2 B2
F L D' R2 B2 U2 R2
F L D' B2 R2 U2 R2
F L F D F2 L2 B'
F L F' D L2 F2 B'
F L F' D L2 B' F2
L2 R' D R F' B' L2
L2 R' D R B' L2 F'
L2 R' D R B' F' L2
L2 R' D B' L2 R F'
L2 R' D B' R L2 F'
L2 R' D B' R F' L2
B' L' D' L' F B' L
B' L' D' L' B' F L
D L' D2 L' D F B'
D L' D2 L' D B' F
D L' D2 L' D' F B'
D L' D2 L' D' B' F
D L' D2 L' D2 F B'
D L' D2 L' D2 B' F
D L' D2 L' F D B'
D L' D2 L' F D' B'
D L' D2 L' F D2 B'
D L' D2 L' F B' D
D L' D2 L' F B' D'
D L' D2 L' F B' D2
D L' D2 L' B' D F
D L' D2 L' B' D' F
D L' D2 L' B' D2 F
D L' D2 L' B' F D
D L' D2 L' B' F D'
D L' D2 L' B' F D2
D' L' D2 F L' B' L'
D' L' F L D2 L2 B'
D L' D2 B L' F B'
D L' D2 B L' B' F
D' L' F L' D2 B' L2
D' L' F L' B' D2 L2
D L' D2 B' L' F B'
D L' D2 B' L' B' F
D L' D2 B2 L' F B'
D L' D2 B2 L' B' F
D' L' F D2 L' B' L'
D L' B D2 L' F B'
D L' B D2 L' B' F
R' L2 D R F' B' L2
R' L2 D R B' L2 F'
R' L2 D R B' F' L2
R' L2 D B' L2 R F'
R' L2 D B' R L2 F'
R' L2 D B' R F' L2
D L' B' D2 L' F B'
D L' B' D2 L' B' F
D L' B2 D2 L' F B'
D L' B2 D2 L' B' F
D L2 R D F' R' B'
D L2 R D' F' R' B'
D L2 R D2 F' R' B'
D L2 R F R' F2 B'
D L2 R F R' B' F2
D L2 R F' R B' R2
D L2 R F' R' D B'
D L2 R F' R' D' B'
D L2 R F' R' D2 B'
D L2 R F' R' B' D
D L2 R F' R' B' D'
D L2 R F' R' B' D2
D L2 R F' R2 B' R
D L2 R F' D R' B'
D L2 R F' D' R' B'
D L2 R F' D2 R' B'
D L2 R F2 R' F B'
D L2 R F2 R' B' F
D L2 R B' D2 F' R
D L2 R' B' R D2 F2
D L2 R' B' D2 R F2
D L2 R2 B' R' F' R'
D L2 U R U' F' B'
D L2 U R U' B' F'
D L2 U' R U F' B'
D L2 U' R U B' F'
D L2 D B' U L U'
D L2 D2 L' F L B'
D' L2 D2 B' L F L
D L2 D2 B' L' F L
D L2 F R F' R' B'
D L2 F B' R F' R'
D L2 F' R F' R' B'
D L2 F' B' R F' R'
D L2 F2 R F' R' B'
D L2 F2 B' R F' R'
D L2 B R F' R' B2
D' L2 B' L D2 F L2
D' L2 B' L F D2 L2
D' L2 B' L' D2 L2 F
D L2 B' L D2 L' F
R' U D L2 R F' B'
R' U D L2 R B' F'
R' U D L2 B' R F'
R' U D R L2 F' B'
R' U D R L2 B' F'
D L2 B' R D F' R'
D L2 B' R D' F' R'
D L2 B' R D2 F' R'
D L2 B' R F R' F2
D L2 B' R F' R' D
D L2 B' R F' R' D'
D L2 B' R F' R' D2
D L2 B' R F' D R'
D L2 B' R F' D' R'
D L2 B' R F' D2 R'
D L2 B' R F2 R' F
D' L2 B' D2 L F L
D L2 B' U' R U F'
D L2 B' D2 L' F L
D L2 B' F R F' R'
D L2 B' F' R F' R'
D L2 B' F2 R F' R'
D L2 B2 R F' R' B
D R L F' L R' B'
D R L F' R' L B'
D R L2 D F' R' B'
D R L2 D' F' R' B'
D R L2 D2 F' R' B'
D R L2 F R' F2 B'
D R L2 F R' B' F2
D R L2 F' R B' R2
D R L2 F' R' D B'
D R L2 F' R' D' B'
D R L2 F' R' D2 B'
D R L2 F' R' B' D
D R L2 F' R' B' D'
D R L2 F' R' B' D2
D R L2 F' R2 B' R
D R L2 F' D R' B'
D R L2 F' D' R' B'
D R L2 F' D2 R' B'
D R L2 F2 R' F B'
D R L2 F2 R' B' F
D R L2 B' D2 F' R
D R U L2 F' R' B'
D R U' L2 F' R' B'
D R U2 L2 F' R' B'
F' R D2 F2 U R' B2
U2 R F U' L' B2 U'
U2 R F U' B2 L' U'
D R F U2 L2 R' F2
D R F U2 L2 F2 R'
D R F U2 R' L2 F2
D R F U2 R' F2 L2
D R F U2 F2 L2 R'
D R F U2 F2 R' L2
D R F' L2 R' D2 B2
D R F' L2 D2 R' B2
D R F' R' L2 D2 B2
D R F' D2 R' B2 L
D R B L2 F' B' R'
D R B L2 B' F' R'
R' U' D L2 R F' B'
R' U' D L2 R B' F'
R' U' D L2 B' R F'
R' U' D R L2 F' B'
R' U' D R L2 B' F'
D R' L2 B' R D2 F2
D R' L2 B' D2 R F2
F R' U' L' B2 U' R
F R' U' B2 L' U' R
D2 R' D' L2 R F' B'
D2 R' D' L2 R B' F'
D2 R' D' L2 B' R F'
D2 R' D' R L2 F' B'
D2 R' D' R L2 B' F'
U2 R' F U' L' B2 U'
U2 R' F U' B2 L' U'
D R' B U2 L2 R B'
D R' B U2 L2 B' R
D R' B U2 R L2 B'
R' U2 D L2 R F' B'
R' U2 D L2 R B' F'
R' U2 D L2 B' R F'
R' U2 D R L2 F' B'
R' U2 D R L2 B' F'
D R' B2 L2 R F B'
D R' B2 L2 R B' F
D R' B2 L2 B' R F
D R' B2 R L2 F B'
D R' B2 R L2 B' F
D R2 L2 B' R' F' R'
F R2 U' L' B2 U' R2
F R2 U' B2 L' U' R2
R' D L R F' L B'
D' R2 F L B' U2 R2
D' R2 F L' U2 R2 F
D' R2 F L' U2 F R2
L' D L' D2 B' L' F
R' D L2 R D F' B'
R' D L2 R D B' F'
R' D L2 R D' F' B'
R' D L2 R D' B' F'
R' D L2 R D2 F' B'
R' D L2 R D2 B' F'
R' D L2 R F' D B'
R' D L2 R F' D' B'
R' D L2 R F' D2 B'
R' D L2 R F' B' D
R' D L2 R F' B' D'
R' D L2 R F' B' D2
R' D L2 R B' D F'
R' D L2 R B' D' F'
R' D L2 R B' D2 F'
R' D L2 R B' F' D
R' D L2 R B' F' D'
R' D L2 R B' F' D2
L' D L' B' D2 L' F
U2 R2 F U' L' B2 U'
U2 R2 F U' B2 L' U'
R' D L2 B R F' B2
R' D L2 B R B2 F'
R' D L2 B' R D F'
R' D L2 B' R D' F'
R' D L2 B' R D2 F'
R' D L2 B' R F' D
R' D L2 B' R F' D'
R' D L2 B' R F' D2
R' D R L F' L B'
R' D R L2 D F' B'
R' D R L2 D B' F'
R' D R L2 D' F' B'
R' D R L2 D' B' F'
R' D R L2 D2 F' B'
R' D R L2 D2 B' F'
R' D R L2 F' D B'
R' D R L2 F' D' B'
R' D R L2 F' D2 B'
R' D R L2 F' B' D
R' D R L2 F' B' D'
R' D R L2 F' B' D2
R' D R L2 B' D F'
R' D R L2 B' D' F'
R' D R L2 B' D2 F'
R' D R L2 B' F' D
R' D R L2 B' F' D'
R' D R L2 B' F' D2
R D L2 R F' R2 B'
R D L2 R F' B' R2
R D L2 R B' F' R2
R D L2 R' B' D2 F2
R' D R F' L2 D2 B2
R' D R B L2 F' B'
R' D R B L2 B' F'
R' D R B' L2 F' B'
R' D R B' L2 B' F'
R' D R B2 L2 F' B'
R' D R B2 L2 B' F'
L2 D R F' R' B' L2
R D R L2 F' R2 B'
R D R L2 F' B' R2
R D R L2 B' F' R2
R D R' L2 B' D2 F2
R' D U L2 R F' B'
R' D U L2 R B' F'
R' D U L2 B' R F'
R' D U R L2 F' B'
R' D U R L2 B' F'
R D R' B2 L2 F B'
R D R' B2 L2 B' F
R' D U' L2 R F' B'
R' D U' L2 R B' F'
R' D U' L2 B' R F'
R' D U' R L2 F' B'
R' D U' R L2 B' F'
R' D U2 L2 R F' B'
R' D U2 L2 R B' F'
R' D U2 L2 B' R F'
R' D U2 R L2 F' B'
R' D U2 R L2 B' F'
F U L' R B2 R' U'
F U L' R' B2 R' U'
F U L' R2 B2 R' U'
F U L' B2 R' U' D
F U L' B2 R' U' D'
F U L' B2 R' U' D2
F U L' B2 R' D U'
F U L' B2 R' D' U'
F U L' B2 R' D2 U'
F U L' B2 D R' U'
F U L' B2 D' R' U'
F U L' B2 D2 R' U'
U' D R U L2 F' B'
U' D R U L2 B' F'
U2 D R U2 L2 F' B'
U2 D R U2 L2 B' F'
R' D B L2 R F' B'
R' D B L2 R B' F'
R' D B L2 B' R F'
R' D B R L2 F' B'
R' D B R L2 B' F'
U2 D R F U2 L2 F2
U2 D R F U2 F2 L2
D U R U' L2 F' B'
D U R U' L2 B' F'
F U R L' B2 R' U'
U D R U' L2 F' B'
U D R U' L2 B' F'
R' D B' L2 R F' B'
R' D B' L2 R B' F'
R' D B' L2 B' R F'
R' D B' R L2 F' B'
R' D B' R L2 B' F'
U2 D R' F B U2 L2
U2 D R' B U2 L2 B'
U2 D R' B F U2 L2
F U R' L' B2 R' U'
L2 D B' L' D2 L' F
L2 D B' L2 R F' R'
L2 D B' R L2 F' R'
L2 D B' R F' L2 R'
L2 D B' R F' R' L2
R' D B2 L2 R F' B'
R' D B2 L2 R B' F'
R' D B2 L2 B' R F'
R' D B2 R L2 F' B'
R' D B2 R L2 B' F'
F U R2 L' B2 R' U'
U2 D F R U2 L2 F'
U2 D F R U2 F' L2
U2 D F R' B U2 L2
L' D' L D2 L2 F B'
L' D' L D2 L2 B' F
L' D' L' D2 F B' L2
L' D' L' D2 B' F L2
L' D' L' F D2 B' L2
L' D' L' F B' D2 L2
L' D' L' B' D2 F L2
L' D' L' B' F D2 L2
B2 U F U' L' F' U'
F U B2 L' U2 L U
D U' R U L2 F' B'
D U' R U L2 B' F'
F U' L' B2 U' D' R2
F U' L' B2 U2 B2 U
F U' L' B2 D' U' R2
F U' L' B2 D2 F2 U'
F' U' R D2 F2 U B2
L2 D' B' L D2 L2 F
L2 D' B' L' D2 F L2
L2 D' B' L' F D2 L2
F' U' D2 R F2 U B2
D U2 R U2 L2 F' B'
D U2 R U2 L2 B' F'
D U2 R F U2 L2 F2
D U2 R F U2 F2 L2
F U' B2 L' U' D' R2
F U' B2 L' U2 B2 U
F U' B2 L' D' U' R2
F U' B2 L' D2 F2 U'
D U2 R' F B U2 L2
D U2 R' B U2 L2 B'
D U2 R' B F U2 L2
F U' B2 D' L' U' R2
F U' B2 D2 L' F2 U'
F U2 L D F2 L2 R
F U2 L D F2 R L2
D U2 F R U2 L2 F'
D U2 F R U2 F' L2
D U2 F R' B U2 L2
F U2 L' B2 U' R' B2
D' F L R2 B' U2 R2
L' F L D L2 F2 B'
L' F L D L2 B' F2
D' F L B' R2 U2 R2
D' F L' R2 U2 R2 F
D' F L' R2 U2 F R2
B' U2 F U' B' L' U'
L F L D F2 B' L2
L F L D B' L2 F2
L F L D B' F2 L2
B U2 F U' L' B U'
B U2 F U' B L' U'
U2 F R U' L' B2 U'
U2 F R U' B2 L' U'
F' U2 F2 U' L' B2 U'
F' U2 F2 U' B2 L' U'
D F R U2 L2 F' R'
D F R U2 F' L2 R'
D F R U2 F' R' L2
D F R F' L2 R' B'
U2 F R' U' L' B2 U'
D F R F' R' L2 B'
D' F R2 L B' U2 R2
U2 F R' U' B2 L' U'
D' F R2 L' U2 R2 F
D' F R2 L' U2 F R2
U2 F R2 U' L' B2 U'
U2 F R2 U' B2 L' U'
D F R' B U2 L2 R
D F R' B U2 R L2
U' F U' L' B2 U' R'
U2 F U D2 F2 R U
L2 F U B2 L' U' B
U2 F U' L B2 L2 U'
U2 F U' L' U' D L2
U2 F U' L' D U' L2
U2 F U' L' B2 U' D
U2 F U' L' B2 U' D'
U2 F U' L' B2 U' D2
U2 F U' L' B2 D U'
U2 F U' L' B2 D' U'
U2 F U' L' B2 D2 U'
U' F U2 L' B2 U' B2
U2 F U' D L' U' L'
R2 F U' L' B2 U' R2
F U2 B2 L' U' B2 R'
U2 F U' B L' B U'
U2 F U' B2 L' U' D
U2 F U' B2 L' U' D'
U2 F U' B2 L' U' D2
U2 F U' B2 L' D U'
U2 F U' B2 L' D' U'
U2 F U' B2 L' D2 U'
U2 F U' B2 D L' U'
U2 F U' B2 D' L' U'
U2 F U' B2 D2 L' U'
U2 F U2 L D L2 F2
U2 F U2 L D F2 L2
U' F U2 B2 L' U' B2
U F U' L' F' B2 U'
U F U' L' B2 F' U'
R2 F U' B2 L' U' R2
U F U' B2 L' F' U'
U2 F D U' L' U' L'
U2 F D' R2 U' L' U'
U2 F D2 U F2 R U
U2 F B U' L' B U'
U2 F B U' B L' U'
L2 F B' U B' L' U'
U2 F B' U' B' L' U'
U2 F B2 U' L' U' L
D' F' L D2 L2 F B2
D' F' L D2 L2 B2 F
D' F' L' D2 F L2 B2
D' F' L' D2 F B2 L2
D' F' L' D2 B2 F L2
D' F' L' F D2 L2 B'
D F' L' D2 L' F B2
D F' L' D2 L' B2 F
D F' L' D2 B2 L' F
U' F' R D2 F2 U B2
B' D' L' D F L' B'
U' F' D2 R F2 U B2
F D' R2 U' L' U' R2
D' F2 L' F D2 L2 B2
D' F2 L' F D2 B2 L2
F' D2 R F2 U R' B2
F' D2 U' R F2 U B2
D B L' D2 L' F B'
D B L' D2 L' B' F
D B L2 R F' R' B'
D B L2 B' R F' R'
D B R L2 F' R' B'
F' D2 B2 U' R F2 U
U2 B F U' L' B U'
U2 B F U' B L' U'
D B' L' D2 L' F B'
D B' L' D2 L' B' F
D B' L2 R F' R' B'
D B' L2 B' R F' R'
D B' R L2 F' R' B'
L2 B' U D2 B' L U'
L2 B' D' L' D F L'
