B2 L U' R' F' B'
B2 L U' R' B' F'
B2 U' D2 R' F' B
B2 U' D2 R' B F'
B2 D2 U' R' F' B
B2 D2 U' R' B F'
B2 L U' R' D F' B'
B2 L U' R' D B' F'
B2 L U' R' D' F' B'
B2 L U' R' D' B' F'
B2 L U' R' D2 F' B'
B2 L U' R' D2 B' F'
B2 L U' R' F' D B'
B2 L U' R' F' D' B'
B2 L U' R' F' D2 B'
B2 L U' R' F' B' D
B2 L U' R' F' B' D'
B2 L U' R' F' B' D2
B2 L U' R' B' D F'
B2 L U' R' B' D' F'
B2 L U' R' B' D2 F'
B2 L U' R' B' F' D
B2 L U' R' B' F' D'
B2 L U' R' B' F' D2
B2 L U' R2 B' R F'
B2 L U' D R' F' B'
B2 L U' D R' B' F'
B2 L U' D' R' F' B'
B2 L U' D' R' B' F'
B2 L U' D2 R' F' B'
B2 L U' D2 R' B' F'
B2 L U' F R' F' B'
B2 L U' F R' B' F'
B2 L U' F' R' F' B'
B2 L U' F' R' B' F'
B2 L U' F2 R' F' B'
B2 L U' F2 R' B' F'
F' L U' B2 L2 U' B
U L U' B2 U' F B
U L U' B2 U' B F
F' L U2 D F2 B' L2
F' L U2 D B' L2 F2
F' L U2 D B' F2 L2
U L U2 D F B' L2
U L U2 D B' F L2
U L U2 F D B' L2
F' L D U2 F2 B' L2
F' L D U2 B' L2 F2
B2 L D U' R' F' B'
B2 L D U' R' B' F'
F' L D U2 B' F2 L2
U L D U2 F B' L2
U L D U2 B' F L2
F' L D' R2 B2 U2 B
B2 L D' U' R' F' B'
B2 L D' U' R' B' F'
U L D' R2 U2 F B'
U L D' R2 U2 B' F
F' L D' B2 R2 F' U2
B2 L D2 U' R' F' B'
B2 L D2 U' R' B' F'
B L B U' R' F' B2
B L B U' R' B2 F'
B2 L' U F U2 R' F'
B2 L' U' R' F' D2 B2
F' L' B2 U L2 U2 B'
F' L' B2 U F L2 U2
B2 L2 F' L' U' R' B'
L U' R' B2 U' F' B
L U' R' B2 U' B F'
F R2 B2 L U' R' B'
B2 U L U2 R' F B'
B2 U L U2 R' B' F
B2 U L U2 F R' B'
B2 U B2 L U2 F B'
B2 U B2 L U2 B' F
B2 U' L R' B' L' F'
B2 U' R' L B' L' F'
B2 U' R' F' L B' L'
B2 U' D2 R' D F' B
B2 U' D2 R' D B F'
B2 U' D2 R' D' F' B
B2 U' D2 R' D' B F'
B2 U' D2 R' D2 F' B
B2 U' D2 R' D2 B F'
B2 U' D2 R' F' D B
B2 U' D2 R' F' D' B
B2 U' D2 R' F' D2 B
B2 U' D2 R' F' B D
B2 U' D2 R' F' B D'
B2 U' D2 R' F' B D2
B2 U' D2 R' B D F'
B2 U' D2 R' B D' F'
B2 U' D2 R' B D2 F'
B2 U' D2 R' B F' D
B2 U' D2 R' B F' D'
B2 U' D2 R' B F' D2
B2 U' D2 F R' F' B
B2 U' D2 F R' B F'
B2 U' D2 F' R' F' B
B2 U' D2 F' R' B F'
B2 U' D2 F2 R' F' B
B2 U' D2 F2 R' B F'
B2 U' F D2 R' F' B
B2 U' F D2 R' B F'
B2 U' F' D2 R' F' B
B2 U' F' D2 R' B F'
B2 U' F2 D2 R' F' B
B2 U' F2 D2 R' B F'
B2 U2 L U R' F' B'
B2 U2 L U R' B' F'
B U2 B L U' R' B'
B2 D F' L' R U' R2
B2 D F' R L' U' R2
L F' U' B2 L' U' B
B2 D2 L U' R' F' B
B2 D2 L U' R' B F'
B2 D2 L' U' R' F' B
B2 D2 L' U' R' B F'
B2 D2 L2 U' R' F' B
B2 D2 L2 U' R' B F'
B2 D2 U' R' D F' B
B2 D2 U' R' D B F'
B2 D2 U' R' D' F' B
B2 D2 U' R' D' B F'
B2 D2 U' R' D2 F' B
B2 D2 U' R' D2 B F'
B2 D2 U' R' F' D B
B2 D2 U' R' F' D' B
B2 D2 U' R' F' D2 B
B2 D2 U' R' F' B D
B2 D2 U' R' F' B D'
B2 D2 U' R' F' B D2
B2 D2 U' R' B D F'
B2 D2 U' R' B D' F'
B2 D2 U' R' B D2 F'
B2 D2 U' R' B F' D
B2 D2 U' R' B F' D'
B2 D2 U' R' B F' D2
B2 D2 U' F R' F' B
B2 D2 U' F R' B F'
B2 D2 U' F' R' F' B
B2 D2 U' F' R' B F'
B2 D2 U' F2 R' F' B
B2 D2 U' F2 R' B F'
U2 B L B U' R' B2
B2 D2 F' L' U' R' B
B' D2 B' U' R' F' B
B' D2 B' U' R' B F'
B2 F' L' U F U2 R'
R' B2 L U' R' F' B'
R' B2 L U' R' B' F'
R2 B2 L U' R' F' B'
R2 B2 L U' R' B' F'
B2 F' D2 L' U' R' B
U B2 L U' R' F B'
U B2 L U' R' B' F
U B2 L U' F R' B'
R B2 L U' R' F' B'
R B2 L U' R' B' F'
F' B2 L' U F U2 R'
R' B2 U' D2 R' F' B
R' B2 U' D2 R' B F'
R2 B2 U' D2 R' F' B
R2 B2 U' D2 R' B F'
R B2 U' D2 R' F' B
R B2 U' D2 R' B F'
R' B2 D2 U' R' F' B
R' B2 D2 U' R' B F'
R2 B2 D2 U' R' F' B
R2 B2 D2 U' R' B F'
F' B2 D2 L' U' R' B
R B2 D2 U' R' F' B
R B2 D2 U' R' B F'
