F2 L' R B' U F'
F2 L' B' R U F'
F2 R L' B' U F'
R U2 F2 U F R
F2 D2 L' B' U F
D' L R F L' U' L2
L' R U2 F2 B' U F
L' R U2 B' F2 U F
L R D' F U' L2 F2
L R D' F U' F2 L2
R L D' F U' L2 F2
R L D' F U' F2 L2
L R D2 F B2 U' F2
R L D2 F B2 U' F2
L R D2 B2 F U' F2
R L D2 B2 F U' F2
L R F L2 B' U' F2
R L F L2 B' U' F2
L R F U2 F U F
L R F D' L2 B' U'
R L F U2 F U F
R L F D' L2 B' U'
F2 L' R D B' U F'
F2 L' R D' B' U F'
R L' U2 F2 B' U F
F2 L' R D2 B' U F'
R L' U2 B' F2 U F
F2 L' R B' U D F'
F2 L' R B' U D' F'
F2 L' R B' U D2 F'
F2 L' R B' U F' D
F2 L' R B' U F' D'
F2 L' R B' U F' D2
F2 L' R B' D U F'
F2 L' R B' D' U F'
F2 L' R B' D2 U F'
F2 L' R' B' U D2 F2
F2 L' R' B' U' B2 U2
F2 L' R' B' D' R2 U
F2 L' R' B' D2 U F2
F2 L' R2 B' R' U F'
F2 L' D B R' B2 U
F2 L' D B' U2 L U'
F2 L' B R B2 U F'
F2 L' B' R U D F'
F2 L' B' R U D' F'
F2 L' B' R U D2 F'
F2 L' B' R U F' D
F2 L' B' R U F' D'
F2 L' B' R U F' D2
F2 L' B' R D U F'
F2 L' B' R D' U F'
F2 L' B' R D2 U F'
F2 L' B' R' U' B U2
F2 L' B' U R F' R'
F2 L' B2 D B R' U
R U D R2 B L U2
D' R L F L' U' L2
R U D' F' L2 B' R'
F2 R L' D B' U F'
F2 R L' D' B' U F'
F2 R L' D2 B' U F'
F2 R L' B' U D F'
F2 R L' B' U D' F'
F2 R L' B' U D2 F'
F2 R L' B' U F' D
F2 R L' B' U F' D'
F2 R L' B' U F' D2
F2 R L' B' D U F'
F2 R L' B' D' U F'
F2 R L' B' D2 U F'
F' R U F' L' B' R'
B' R U2 F2 U F R
B2 R U2 F2 U F R
U2 R U2 F2 B U F
U2 R U2 B F2 U F
B R U2 F2 U F R
F2 R D L' B' U F'
F2 R D' L' B' U F'
F2 R D2 L' B' U F'
F R F L' B' U F2
F2 R B L' B' U F'
F2 R B' L' B' U F'
F2 R B2 L' B' U F'
R U' D F R F2 L'
R U' D' L2 F R F2
R U' D' F L2 R F2
R U' D' F R L2 F2
R U' D' F R F2 L2
F2 R' L' B' U D2 F2
F2 R' L' B' U' B2 U2
F2 R' L' B' D' R2 U
F2 R' L' B' D2 U F2
U2 R' F' R2 B U' F'
F2 R2 L' B' R' U F'
R U2 F2 R B U F
R U2 F2 U R F R
R U2 F2 U R' F R
R U2 F2 U R2 F R
R U2 F2 U D F R
R U2 F2 U D' F R
R U2 F2 U D2 F R
R U2 F2 U F R D
R U2 F2 U F R D'
R U2 F2 U F R D2
R U2 F2 U F D R
R U2 F2 U F D' R
R U2 F2 U F D2 R
R U2 F2 D U F R
R U2 F2 D' U F R
R U2 F2 D2 U F R
R U2 F2 B U F R
R U2 F2 B' U F R
R U2 F2 B2 U F R
R U2 B F2 U F R
R U2 B' F2 U F R
R U2 B2 F2 U F R
R D U R2 B L U2
R D U' F R F2 L'
R D' L F U' L F2
R D' L F U' F2 L
L D' R F L' U' L'
R D' U F' L2 B' R'
R D' U' L2 F R F2
R D' U' F L2 R F2
R D' U' F R L2 F2
R D' U' F R F2 L2
R D' F2 U' F L2 R
R D' F2 U' F R L2
R D2 L F B2 U' F2
R D2 L B2 F U' F2
F U' F L' U R F'
R D2 F2 B2 U' F R
R D2 B2 L F U' F2
R D2 B2 U' F R F2
R D2 B2 F2 U' F R
