U L' D R2 F B'
U L' D R2 B' F
U L' D F R2 B'
U L' D F B' R2
U L' D B' R2 F
U L' D B' F R2
U L' B' D R2 F
U L' B' D F R2
L' F U R F U'
L' R F U R F U'
F' L' R U F L' R
F' L' R U F R L'
U' L' R D F B R2
U' L' R D B R2 F
U' L' R D B F R2
U L' R D R2 F B'
U L' R D R2 B' F
U L' R D F R2 B'
U L' R D F B' R2
U L' R D B' R2 F
U L' R D B' F R2
U' L' R B D R2 F
U' L' R B D F R2
U L' R B' D R2 F
U L' R B' D F R2
U' L' R' D R2 F B
U' L' R' D R2 B F
U L' R' D R2 F B'
U L' R' D R2 B' F
U L' R' D F R2 B'
U L' R' D F B' R2
U L' R' D B' R2 F
U L' R' D B' F R2
U L' R' B' D R2 F
U L' R' B' D F R2
U L' R2 D R2 F B'
U L' R2 D R2 B' F
U L' R2 D F R2 B'
U L' R2 D F B' R2
U L' R2 D B' R2 F
F' L' R2 B U F L'
U L' R2 D B' F R2
U L' R2 B' D R2 F
U L' R2 B' D F R2
F' L' U F L' D R2
F' L' U F D L' R2
F' L' U F D R2 L'
U L' U F2 U' F' B'
U L' U F2 U' B' F'
R' L' F U R F U'
L' R' F U R F U'
R2 L' F U R F U'
R L' F U R F U'
F' L' U2 F' U' F2 L'
U' L' D R B R F
U' L' D F R B R
U L' D R B' R F
U L' D R' F R' B'
U L' D R2 D F B'
U L' D R2 D B' F
U L' D R2 D' F B'
U L' D R2 D' B' F
U L' D R2 D2 F B'
U L' D R2 D2 B' F
U L' D R2 F D B'
U L' D R2 F D' B'
U L' D R2 F D2 B'
U L' D R2 F B' D
U L' D R2 F B' D'
U L' D R2 F B' D2
U L' D R2 B' D F
U L' D R2 B' D' F
U L' D R2 B' D2 F
U L' D R2 B' F D
U L' D R2 B' F D'
U L' D R2 B' F D2
U L' D F R B' R
U L' D F R2 D B'
U L' D F R2 D' B'
U L' D F R2 D2 B'
U L' D F R2 B' D
U L' D F R2 B' D'
U L' D F R2 B' D2
U L' D F B R2 B2
U L' D F B' R2 D
U L' D F B' R2 D'
U L' D F B' R2 D2
U L' D F' R2 F2 B'
U L' D F' R2 B' F2
U L' D F' B' R2 F2
U L' D B R2 F B2
U L' D B R2 B2 F
U L' D B F R2 B2
U L' D B' R' F R'
U L' D B' R2 D F
U L' D B' R2 D' F
U L' D B' R2 D2 F
U L' D B' R2 F D
U L' D B' R2 F D'
U L' D B' R2 F D2
U L' D B' F R2 D
U L' D B' F R2 D'
U L' D B' F R2 D2
U L' D B' F' R2 F2
U L' D' F D2 R2 B'
U L' D' F D2 B' R2
U L' D' F B' D2 R2
U L' D' B' D2 R2 F
U L' D' B' D2 F R2
U L' D' B' F D2 R2
U L' D2 F D' R2 B'
U L' D2 F D' B' R2
B' L' F U R F U'
U' L' F U F R U'
B2 L' F U R F U'
B L' F U R F U'
U L' F U F U' B'
U L' F B' U F U'
U L' B' R D R2 F
U L' B' R D F R2
U L' B' R' D R2 F
U L' B' R' D F R2
U L' B' R2 D R2 F
U L' B' R2 D F R2
U L' B' U F2 U' F'
U L' B' D R' F R'
U L' B' D R2 D F
U L' B' D R2 D' F
U L' B' D R2 D2 F
U L' B' D R2 F D
U L' B' D R2 F D'
U L' B' D R2 F D2
U L' B' D F R2 D
U L' B' D F R2 D'
U L' B' D F R2 D2
U L' B' D F' R2 F2
U L' B' D' F D2 R2
U L' B' D2 F D' R2
U L' B' F U F U'
U L' B2 D F B R2
