F' R F2 D B' L
B U' F' R F2 B2
B U' F' R B2 F2
B U' F' B2 R F2
B U' B2 F' R F2
B U' B2 F' R F2
R2 F' U R F2 B'
R2 F' U R B' F2
R2 F' U B' R F2
D2 B U' R' F B2
D2 B U' R' B2 F
D2 B U' F R' B2
F' B U' R F2 B2
F' B U' R B2 F2
F' B U' B2 R F2
F' B' R F2 D L2
B' F' R F2 D L2
B F' U' R F2 B2
B F' U' R B2 F2
B F' U' B2 R F2
B L2 U' B2 R2 F' R
B' L2 F' R D L2 F
B' L2 F' D L2 R F
B' L2 F' D R L2 F
B' L2 F2 D L2 F R
F L2 B' D L2 B' R'
R' U F' R B' L' F2
R' U F' B' L' R F2
R' U F' B' R L' F2
R2 U F' U R F2 B'
R2 U F' U R B' F2
R2 U F' U B' R F2
B R U' F' R F2 B2
B R U' F' R B2 F2
B R U' F' B2 R F2
B R U' B2 F' R F2
R' U B' F' L' R F2
R' U B' F' R L' F2
F' R D B' L D' F2
F' R D B' D' L F2
F' R D B' D' F2 L
F R D B' L D2 R2
F' R F D F B' L
F' R F D B' F L
F' R F D' F B' L'
F' R F D' B' F L'
F' R F B' D' F L'
D R F D R2 B' L
D R F D B' L R2
D R F D B' R2 L
B' R F' R F2 D L2
F' R F' D F' B' L
F' R F' D B' L F'
F' R F' D B' F' L
B R F' U' R F2 B2
B R F' U' R B2 F2
B R F' U' B2 R F2
F' R F2 D B' L D
F' R F2 D B' L D'
F' R F2 D B' L D2
F' R F2 D B' D L
F' R F2 D B' D' L
F' R F2 D B' D2 L
F' R B' F D' F L'
R2 U' F' U R F2 B'
R2 U' F' U R B' F2
R2 U' F' U B' R F2
F' R' U' B' R2 F2 L'
B R' U' F' R F2 B2
B R' U' F' R B2 F2
B R' U' F' B2 R F2
B R' U' B2 F' R F2
B' R' F' R F2 D L2
B R' F' U' R F2 B2
B R' F' U' R B2 F2
B R' F' U' B2 R F2
F' R' F2 R2 D B' L
R2 U2 F' U R F2 B'
R2 U2 F' U R B' F2
R2 U2 F' U B' R F2
B R2 U' F' R F2 B2
B R2 U' F' R B2 F2
B R2 U' F' B2 R F2
B R2 U' B2 F' R F2
B' R2 F' R F2 D L2
U' R2 F' U R F2 B'
U' R2 F' U R B' F2
U' R2 F' U B' R F2
F' R2 F' U F' R' B'
U2 R2 F' U R F2 B'
U2 R2 F' U R B' F2
U2 R2 F' U B' R F2
B R2 F' U' R F2 B2
B R2 F' U' R B2 F2
B R2 F' U' B2 R F2
U R2 F' U R F2 B'
U R2 F' U R B' F2
U R2 F' U B' R F2
F' U R F2 D B' L
D2 U B U' R' F B2
D2 U B U' R' B2 F
D2 U B U' F R' B2
B' U F' B2 U' R F2
B U F' R F2 B2 L
B U F' R B2 L F2
B U F' R B2 F2 L
B U F' U2 R F2 B2
B U F' U2 R B2 F2
B U F' U2 B2 R F2
F' U B U' R F2 B2
F' U B U' R B2 F2
F' U B U' B2 R F2
F U F2 B U' R B2
F U F2 B U' B2 R
F' U B' R F2 D L2
F U B U L' U2 B2
F U B F2 U' R B2
F U B F2 U' B2 R
B' U B2 U' F' R F2
B' U B2 F' U' R F2
F' U' R F2 D B' L
B U' R F' R F2 B2
B U' R F' R B2 F2
B U' R F' B2 R F2
B U' R B2 F' R F2
B U' R' F' R F2 B2
B U' R' F' R B2 F2
B U' R' F' B2 R F2
B U' R' B2 F' R F2
B U' R2 F' R F2 B2
B U' R2 F' R B2 F2
B U' R2 F' B2 R F2
D2 U' B U' R' F B2
D2 U' B U' R' B2 F
D2 U' B U' F R' B2
B U' R2 B2 F' R F2
B U' F L2 B2 L2 R'
B U' F L2 B2 R' L2
B U' F U2 L' U2 B2
B U' F B2 U2 L' U2
B U' F' R F2 B2 D
B U' F' R F2 B2 D'
B U' F' R F2 B2 D2
B U' F' R B2 F2 D
B U' F' R B2 F2 D'
B U' F' R B2 F2 D2
B U' F' R' F2 R2 B2
B U' F' R' F2 B2 R2
B U' F' R' B2 R2 F2
B U' F' R' B2 F2 R2
B U' F' R2 F2 R' B2
B U' F' B' R F2 B'
B U' F' B' R B' F2
B U' F' B2 R F2 D
B U' F' B2 R F2 D'
B U' F' B2 R F2 D2
B U' F' B2 R' F2 R2
B U' F' B2 R2 F2 R'
F' U' B U' R F2 B2
F' U' B U' R B2 F2
F' U' B U' B2 R F2
F' U' B' R F2 D L2
B U' B D2 F B R'
B U' B D2 B R' F
B U' B D2 B F R'
B U' B' F' R F2 B'
B U' B' F' R B' F2
B U' B2 R F' R F2
B U' B2 R' F' R F2
B U' B2 R2 F' R F2
B U' B2 F U2 L' U2
B U' B2 F' R F2 D
B U' B2 F' R F2 D'
B U' B2 F' R F2 D2
B U' B2 F' R' F2 R2
B U' B2 F' R2 F2 R'
F' U2 R F2 D B' L
U' D2 B U' R' F B2
U' D2 B U' R' B2 F
U' D2 B U' F R' B2
D2 U2 B U' R' F B2
D2 U2 B U' R' B2 F
D2 U2 B U' F R' B2
U2 D2 B U' R' F B2
U2 D2 B U' R' B2 F
U2 D2 B U' F R' B2
U D2 B U' R' F B2
U D2 B U' R' B2 F
U D2 B U' F R' B2
F2 U2 F' B' R' D L2
F2 U2 F' B' D L2 R'
F2 U2 F' B' D R' L2
F' U2 B U' R F2 B2
F' U2 B U' R B2 F2
F' U2 B U' B2 R F2
F2 U2 B U' F' B2 R'
F2 U2 B U' B2 F' R'
F' U2 B' R F2 D L2
F2 U2 B' D L2 F' R'
F2 U2 B' D F' L2 R'
F2 U2 B' D F' R' L2
D2 F U B U' R' B2
F2 U2 B' F' R' D L2
F2 U2 B' F' D L2 R'
F2 U2 B' F' D R' L2
R2 F U' F2 U R B'
R2 F U' F2 U B' R
B' D R F L2 D R2
R2 F D' B L2 B2 R'
R F D B' L D2 R2
D2 F B R' B2 D L2
D2 F B' U B2 U' R'
F' D R2 F' U R' B'
L2 F B' L' U' B2 U'
L2 F B' L' U2 D L2
L2 F B' L' D U2 L2
L2 F B' L' D' R2 U2
L2 F B' D L' U2 L'
L2 F B' D' L' R2 U2
L2 F B' D' R2 L' U2
R2 F B' U' F2 U R
U' F' R F2 D B' L
B' D F2 L2 D' F' R
R' F' R F2 B' D L2
R' F' R B' F2 D L2
U2 F' R F2 D B' L
R2 F' R F2 D' B' L2
R2 F' R F2 B' D' L2
R2 F' R B' F2 D' L2
R2 F' R' U R2 F2 B'
R2 F' R' U R2 B' F2
R2 F' R' U F2 R2 B'
R2 F' R' U F2 B' R2
R2 F' R' U B' R2 F2
R2 F' R' U B' F2 R2
U F' R F2 D B' L
R2 F' R2 U R' F2 B'
R2 F' R2 U R' B' F2
R2 F' R2 U F2 R' B'
F' D B' D' R F2 L'
R2 F' U R F2 D B'
R2 F' U R F2 D' B'
R2 F' U R F2 D2 B'
R2 F' U R F2 B' D
R2 F' U R F2 B' D'
R2 F' U R F2 B' D2
R2 F' U R B' F2 D
R2 F' U R B' F2 D'
R2 F' U R B' F2 D2
R2 F' U R' F2 R2 B'
R2 F' U R' F2 B' R2
R2 F' U R' B' R2 F2
R2 F' U R' B' F2 R2
R2 F' U R2 F2 R' B'
R2 F' U B R F2 B2
R2 F' U B R B2 F2
R2 F' U B' R F2 D
R2 F' U B' R F2 D'
R2 F' U B' R F2 D2
R2 F' U B' R' F2 R2
R2 F' U B' R2 F2 R'
R2 F' D R2 U R' B'
F' D' R D F2 B' L
F' D' R D B' L F2
F' D' R D B' F2 L
U' F' B U' R F2 B2
U' F' B U' R B2 F2
U' F' B U' B2 R F2
D2 F' B U' R' F2 B2
D2 F' B U' R' B2 F2
D2 F' B U' F2 R' B2
U' F' B' R F2 D L2
U2 F' B U' R F2 B2
U2 F' B U' R B2 F2
U2 F' B U' B2 R F2
R2 F' B U R F2 B2
R2 F' B U R B2 F2
R2 F' B U B2 R F2
U2 F' B' R F2 D L2
R2 F' B' R F2 D' L2
U F' B U' R F2 B2
U F' B U' R B2 F2
U F' B U' B2 R F2
U F' B' R F2 D L2
R2 F' B2 U B R F2
F' D' B L2 U' R B2
F' D' B L2 U' B2 R
F' D' B' R D L2 F2
F' D' B' R D F2 L2
F' D' B' D L2 R F2
F' D' B' D R L2 F2
F' D' B' D R F2 L2
D2 F2 B U' F' R' B2
D' F2 B' D L2 F' R
D' F2 B' D F' L2 R
D' F2 B' D F' R L2
B2 D2 F B R' D L2
B2 D2 F B D L2 R'
B2 D2 F B D R' L2
D2 B R U' R2 F B2
D2 B R U' R2 B2 F
D2 B R U' F R2 B2
D2 B R U' F B2 R2
D2 B R U' B2 R2 F
D2 B R U' B2 F R2
D2 B R' F B2 D L2
D2 B R' B2 D F L2
D2 B R' B2 F D L2
D B R F' U' F2 B2
D B R F' U' B2 F2
D2 B R2 U' R F B2
D2 B R2 U' R B2 F
B2 D2 B R' D F L2
B2 D2 B R' F D L2
D2 B R2 U' B2 R F
B2 D2 B D R' F L2
B2 D2 B D F L2 R'
B2 D2 B D F R' L2
B2 D2 B F R' D L2
B2 D2 B F D L2 R'
B2 D2 B F D R' L2
F' D2 B' R D L2 F
F' D2 B' D L2 R F
F' D2 B' D R L2 F
B2 D2 B' U' F B2 R'
B2 D2 B' U' B2 R' F
B2 D2 B' U' B2 F R'
D2 B U' R F R2 B2
D2 B U' R F B2 R2
D2 B U' R B2 R2 F
D2 B U' R B2 F R2
D2 B U' R' F B2 D
D2 B U' R' F B2 D'
D2 B U' R' F B2 D2
D2 B U' R' B2 D F
D2 B U' R' B2 D' F
D2 B U' R' B2 D2 F
D2 B U' R' B2 F D
D2 B U' R' B2 F D'
D2 B U' R' B2 F D2
U' B U' F' R F2 B2
U' B U' F' R B2 F2
D2 B U' R2 B2 R F
U' B U' F' B2 R F2
L2 B U F L' B2 U2
L2 B U F B2 L' U2
D2 B U' F R B2 R2
D2 B U' F R' B2 D
D2 B U' F R' B2 D'
D2 B U' F R' B2 D2
D2 B U' F R2 B2 R
D2 B U' F' R' F2 B2
D2 B U' F' R' B2 F2
U' B U' B2 F' R F2
B' F L D L2 D R2
L2 B U B2 F L' U2
B' F L D2 R2 D' L2
F' B L U' R F2 B2
F' B L U' R B2 F2
F' B L U' B2 R F2
U2 B U' F' R F2 B2
U2 B U' F' R B2 F2
U2 B U' F' B2 R F2
B' F L' D L2 D2 R2
U2 B U' B2 F' R F2
F' B L' U' R F2 B2
F' B L' U' R B2 F2
F' B L' U' B2 R F2
B' F L2 U B2 U' R'
U B U' F' R F2 B2
U B U' F' R B2 F2
U B U' F' B2 R F2
F' B L2 U' R F2 B2
F' B L2 U' R B2 F2
F' B L2 U' B2 R F2
U B U' B2 F' R F2
D2 B D' R2 U' R F
F' B R F2 B2 D L2
F' B R B2 F2 D L2
B F L2 B2 R' D L2
B F L2 B2 D L2 R'
B F L2 B2 D R' L2
F' B R' U' R2 F2 B2
F' B R' U' R2 B2 F2
F' B R' U' F2 R2 B2
F' B R' U' F2 B2 R2
F' B R' U' B2 R2 F2
F' B R' U' B2 F2 R2
D2 B F R' B2 D L2
F B L2 B2 R' D L2
F B L2 B2 D L2 R'
F B L2 B2 D R' L2
F' B R2 U' R' F2 B2
F' B R2 U' R' B2 F2
U' B F' U' R F2 B2
U' B F' U' R B2 F2
F' B R2 U' F2 R' B2
U' B F' U' B2 R F2
D2 B F' U' R' F2 B2
D2 B F' U' R' B2 F2
D2 B F' U' F2 R' B2
F' B U R F2 B2 L
F' B U R B2 L F2
F' B U R B2 F2 L
B' F U F2 B2 U' R
D2 B F2 U' F' R' B2
U2 B F' U' R F2 B2
U2 B F' U' R B2 F2
U2 B F' U' B2 R F2
B' F U B2 U L' U2
B' F U B2 F2 U' R
R2 B F' U R F2 B2
R2 B F' U R B2 F2
R2 B F' U B2 R F2
B' F U' D2 F2 U R
F' B U' R F2 B2 D
F' B U' R F2 B2 D'
F' B U' R F2 B2 D2
F' B U' R B2 F2 D
F' B U' R B2 F2 D'
F' B U' R B2 F2 D2
F' B U' R' F2 R2 B2
F' B U' R' F2 B2 R2
F' B U' R' B2 R2 F2
F' B U' R' B2 F2 R2
F' B U' R2 F2 R' B2
B' F U2 L' U' B2 U'
B' F U2 L' U2 D L2
B' F U2 L' D U2 L2
B' F U2 L' D' R2 U2
U B F' U' R F2 B2
U B F' U' R B2 F2
U B F' U' B2 R F2
F' B U' B' R F2 B'
F' B U' B' R B' F2
F' B U' B2 R F2 D
F' B U' B2 R F2 D'
F' B U' B2 R F2 D2
F' B U' B2 R' F2 R2
F' B U' B2 R2 F2 R'
B' F U2 D L' U2 L'
B' F U2 D' L' R2 U2
B' F U2 D' R2 L' U2
B' F D L D2 L R2
B' F D L D2 R2 L
B' F D L2 U2 L U2
B' F D L2 B2 R' B2
B' F D U2 L' U2 L'
B' F D F2 L2 R F2
B' F D F2 R L2 F2
B' F D F2 R F2 L2
B' F D B2 L2 B2 R'
B' F D' L D2 L2 R2
B' F D' L D2 R2 L2
B' F D' U2 L' R2 U2
F' B D' L2 R2 U' R'
B' F D' U2 R2 L' U2
B' F D' F2 R F2 L'
F' B D' R2 L2 U' R'
B' F D2 U' F2 U R
B' F' L R F2 D L2
D B' R F D L2 R2
D B' R F D R2 L2
F' B' L R F2 D L2
B' F' L' R F2 D L2
F' B' L' R F2 D L2
B F' L U' R F2 B2
B F' L U' R B2 F2
B F' L U' B2 R F2
D2 B' U B2 U' R' F
D2 B' U B2 U' F R'
B' F' L2 R F2 D L2
F' B' L2 R F2 D L2
F B' L D L2 D R2
F B' L D2 R2 D' L2
B F' L' U' R F2 B2
B F' L' U' R B2 F2
B F' L' U' B2 R F2
B' F' R L F2 D L2
B' F' R L' F2 D L2
B' F' R L2 F2 D L2
B' F' R U B2 U' F2
B' F' R D L2 D' F2
F' B' R L F2 D L2
F' B' R L' F2 D L2
F B' L' D L2 D2 R2
F' B' R L2 F2 D L2
B' F' R F D F L2
F' B' R U B2 U' F2
B' F' R F' D L2 F'
B' F' R F' D F' L2
B' F' R F2 L D L2
B' F' R F2 L' D L2
B' F' R F2 L2 D L2
B' F' R F2 U B2 U'
B' F' R F2 D L2 D
B' F' R F2 D L2 D'
B' F' R F2 D L2 D2
F' B' R D L2 D' F2
B F' L2 U' R F2 B2
B F' L2 U' R B2 F2
B F' L2 U' B2 R F2
F' B' R F D F L2
F' B' R F' D L2 F'
F' B' R F' D F' L2
F' B' R F2 L D L2
F' B' R F2 L' D L2
F' B' R F2 L2 D L2
F' B' R F2 U B2 U'
R2 B' U' F' U R F2
F' B' R F2 D L2 D
F' B' R F2 D L2 D'
F' B' R F2 D L2 D2
F B' L2 U B2 U' R'
D2 B' D F' L2 F2 R
B' F' R' F2 R2 D L2
D' B' D F' L2 R F2
D' B' D F' R L2 F2
D' B' D F' R F2 L2
F' B' R' F2 R2 D L2
B F' R F2 B2 D L2
B F' R B2 F2 D L2
B' F' R2 F2 R' D L2
B' F' R2 F2 D L2 R'
B' F' R2 F2 D R' L2
B F' R' U' R2 F2 B2
B F' R' U' R2 B2 F2
B F' R' U' F2 R2 B2
B F' R' U' F2 B2 R2
B F' R' U' B2 R2 F2
B F' R' U' B2 F2 R2
F' B' R2 F2 R' D L2
F' B' R2 F2 D L2 R'
F' B' R2 F2 D R' L2
B F' R2 U' R' F2 B2
B F' R2 U' R' B2 F2
