R U R2 U B
R D F' B2 U2
R D B2 F' U2
R D' F' U2 F'
R F' U R2 U
R F' U2 D' F2
R F' D B2 U2
R F' D' U2 F2
R U L R2 U B
R U L' R2 U B
R U L2 R2 U B
R U R2 L U B
R U R2 L' U B
R U R2 L2 U B
R U R2 U D B
R U R2 U D' B
R U R2 U D2 B
R U R2 U B D
R U R2 U B D'
R U R2 U B D2
R U R2 D U B
R U R2 D' U B
R U R2 D2 U B
B2 R F' U' L U'
U R' U D2 L2 B
U R' U D2 B L2
U R' U B D2 L2
U R' U' R2 F' U2
U R' D' F2 U B
U R' D2 U L2 B
U R' D2 U B L2
F' U R' U B L
R D F' U2 D2 F2
F2 U R' U L' B
R D F' D2 U2 F2
F2 U R' U B L'
R D F' B2 U2 D
R D F' B2 U2 D'
R D F' B2 U2 D2
R D F' B2 D U2
R D F' B2 D' U2
R D F' B2 D2 U2
R D B2 D F' U2
R D B2 D' F' U2
R D B2 D2 F' U2
R D B2 F' U2 D
R D B2 F' U2 D'
R D B2 F' U2 D2
R D B2 F' D U2
R D B2 F' D' U2
R D B2 F' D2 U2
R D' F' U2 D F'
R D' F' U2 D' F'
R D' F' U2 D2 F'
R D' F' U2 F' D
R D' F' U2 F' D'
R D' F' U2 F' D2
R D' F' D U2 F'
R D' F' D' U2 F'
R D' F' D2 U2 F'
R D' F' B U2 F'
R D' F' B' U2 F'
R D' F' B2 U2 F'
R D' B F' U2 F'
R D' B' F' U2 F'
R D' B2 F' U2 F'
R D2 F' U' L2 U'
R D2 F' U2 D F2
R D2 F' D U2 F2
R D2 F' D' B2 U2
R F' U R2 U D
R F' U R2 U D'
R F' U R2 U D2
R F' U R2 D U
R F' U R2 D' U
R F' U R2 D2 U
R F' U' D2 L2 U'
R F' U2 D' F2 D
R F' U2 D' F2 D'
R F' U2 D' F2 D2
R F' U2 F D' F2
R F' U2 F' D' F2
R F' U2 F2 D' F2
R F' D B2 U2 D
R F' D B2 U2 D'
R F' D B2 U2 D2
R F' D B2 D U2
R F' D B2 D' U2
R F' D B2 D2 U2
R F' D' U2 F2 D
R F' D' U2 F2 D'
R F' D' U2 F2 D2
R F' D' B U2 F2
R F' D' B' U2 F2
R F' D' B2 U2 F2
R F' D2 U' L2 U'
R F' B U R2 U
R F' B U2 D' F2
R F' B D B2 U2
R F' B D' U2 F2
R F' B' U R2 U
R F' B' U2 D' F2
R F' B' D B2 U2
R F' B' D' U2 F2
R F' B2 U R2 U
R F' B2 U2 D' F2
R F' B2 D B2 U2
R F' B2 D' U2 F2
U F2 R' U L' B
U F2 R' U B L'
R F2 D F B2 U2
R F2 D B2 F U2
R F2 D' F U2 F
R B U R2 U B
R B D F' B2 U2
R B D B2 F' U2
R B D' F' U2 F'
R B F' U R2 U
R B F' U2 D' F2
R B F' D B2 U2
R B F' D' U2 F2
R B' U R2 U B
R B' D F' B2 U2
R B' D B2 F' U2
R B' D' F' U2 F'
R B' F' U R2 U
R B' F' U2 D' F2
R B' F' D B2 U2
R B' F' D' U2 F2
R B2 U R2 U B
R B2 D F' B2 U2
R B2 D B2 F' U2
R B2 D' F' U2 F'
R B2 F' U R2 U
R B2 F' U2 D' F2
R B2 F' D B2 U2
R B2 F' D' U2 F2
R' L U' L' R2 F' U2
U L R' U D2 L2 B
U L R' U D2 B L2
U L R' U B D2 L2
U L R' U' R2 F' U2
R' L U' R2 L' F' U2
U L R' D' F2 U B
U L R' D2 U L2 B
U L R' D2 U B L2
B2 L U L' R F' U2
B2 L U R L' F' U2
L' R D L F' B2 U2
L' R D L B2 F' U2
L R D L' F' B2 U2
L R D L' B2 F' U2
R L D L' F' B2 U2
R L D L' B2 F' U2
L' R D F' L B2 U2
L' R D F' B2 U2 R'
L' R D B2 F' U2 R'
L' R D' L F' U2 F'
L R D B2 L' F' U2
R L D B2 L' F' U2
L R D' L' F' U2 F'
R L D' L' F' U2 F'
L' R D' F' L U2 F'
R' L D' F2 U B R
L R D' F' U2 F' R
R L D' F' U2 F' R
L' R F' L U R2 U
L' R F' L U2 D' F2
L' R F' L D B2 U2
L' R F' L D' U2 F2
L2 R F' L2 U R2 U
L2 R F' L2 U2 D' F2
L2 R F' L2 D B2 U2
L2 R F' L2 D' U2 F2
L' R F' D L B2 U2
L' R F' D B2 U2 R'
L' R F' D' L U2 F2
U L F2 R' U L' B
U L F2 R' U B L'
L2 R' U D2 L2 B R2
L2 R' U D2 B L2 R2
L2 R' U D2 B R2 L2
L' R' U' L R2 F' U2
R' L' U' L R2 F' U2
L2 R' U B D2 L2 R2
L2 R' U B D2 R2 L2
L R' U' L' R2 F' U2
R' L' U' R2 L F' U2
L' R' U' R2 L F' U2
L2 R' U' L2 R2 F' U2
R' L' U' R2 F' L U2
L' R' U' R2 F' L U2
L R' U' R2 L' F' U2
L2 R' U' R2 L2 F' U2
L2 R' U' R2 F' L2 U2
R L' D L F' B2 U2
R L' D L B2 F' U2
U L' R' U D2 L2 B
U L' R' U D2 B L2
U L' R' U B D2 L2
U L' R' U' R2 F' U2
R L' D F' L B2 U2
R L' D F' B2 U2 R'
U L' R' D' F2 U B
U L' R' D2 U L2 B
U L' R' D2 U B L2
R L' D B2 F' U2 R'
R L' D' L F' U2 F'
L R' D' F2 U B R
R L' D' F' L U2 F'
L2 R' D' F2 B2 U B'
L2 R' D' B2 F2 U B'
L2 R' D2 U L2 B R2
L2 R' D2 U B L2 R2
L2 R' D2 U B R2 L2
R L' F' L U R2 U
R L' F' L U2 D' F2
R L' F' L D B2 U2
R L' F' L D' U2 F2
R L' F' D L B2 U2
R L' F' D B2 U2 R'
R L' F' D' L U2 F2
R' L2 U D2 L2 B R2
R' L2 U D2 B L2 R2
R' L2 U D2 B R2 L2
R' L2 U B D2 L2 R2
R' L2 U B D2 R2 L2
R' L2 U' L2 R2 F' U2
R' L2 U' R2 L2 F' U2
R' L2 U' R2 F' L2 U2
U L' F2 R' U L' B
U L' F2 R' U B L'
R' L2 D' F2 B2 U B'
R' L2 D' B2 F2 U B'
R' L2 D2 U L2 B R2
R' L2 D2 U B L2 R2
R' L2 D2 U B R2 L2
U L2 R' U D2 L2 B
U L2 R' U D2 B L2
U L2 R' U B D2 L2
U L2 R' U' R2 F' U2
U L2 R' D' F2 U B
U L2 R' D2 U L2 B
U L2 R' D2 U B L2
R L2 F' L2 U R2 U
R L2 F' L2 U2 D' F2
R L2 F' L2 D B2 U2
R L2 F' L2 D' U2 F2
R U L R2 U D B
R U L R2 U D' B
R U L R2 U D2 B
R U L R2 U B D
R U L R2 U B D'
R U L R2 U B D2
R U L R2 D U B
R U L R2 D' U B
R U L R2 D2 U B
