U2 L U' L2 U' L2
U L' U L2 U2 L'
U L' U' D2 L R2
U L' U' D2 R2 L
U L' D F2 U' L
U L' D2 U' L R2
U L' D2 U' R2 L
F2 R' D' L2 F2 R
B2 U2 L' U' R' B2
U B2 L' U' L R'
U B2 L' U' R' L
U2 L R U' L2 U' L2
U2 L R' U' L2 U' L2
U2 L R2 U' L2 U' L2
U' L U L' U2 L' U'
B2 L U R' B2 D F2
U' L U D L' U F2
U' L U D2 L' R2 U
U' L U D2 R2 L' U
U' L U' L2 U2 L U
U2 L U' L2 U' L2 D
U2 L U' L2 U' L2 D'
U2 L U' L2 U' L2 D2
U2 L U' L2 D' B2 U'
U2 L U' L2 B U' L2
U2 L U' L2 B' U' L2
U2 L U' L2 B2 U' L2
U2 L U' B L2 U' L2
U2 L U' B' L2 U' L2
U2 L U' B2 L2 U' L2
B2 L U2 L2 U' R' B2
U2 L U2 D F2 D' L2
B2 L D L2 U R' F2
B2 L D L2 U F2 R'
U' L D U L' U F2
U2 L D U2 F2 D' L2
U' L D' B2 U L' U
U2 L D' B2 U' B2 U'
U2 L D' B2 U2 D L2
U2 L D' B2 D U2 L2
U2 L D' B2 D' R2 U2
U' L D2 U L' R2 U
U' L D2 U R2 L' U
U' L F2 U' L2 R U'
U' L F2 U' R L2 U'
U2 L B U' B' L2 U'
U2 L B' U' L2 B U'
U2 L B' U' B L2 U'
U2 L B2 U' L2 B2 U'
U2 L B2 U' B2 L2 U'
U2 L B2 U2 D L2 F2
U2 L B2 U2 D F2 L2
U2 L B2 D U2 L2 F2
U2 L B2 D U2 F2 L2
U2 L B2 D' R2 B2 U2
U2 L B2 D' B2 R2 U2
B2 L' R2 U' R B2 L
U2 L' U L2 U L2 U
U2 L' U L2 U2 D' B2
U2 L' U L2 D F2 U2
U2 L' U L2 D' U2 B2
B2 L' U R' B2 D2 F2
U L' U L2 R U2 L'
U L' U L2 R' U2 L'
U L' U L2 R2 U2 L'
U L' U L2 U2 L' D
U L' U L2 U2 L' D'
U L' U L2 U2 L' D2
U L' U L2 U2 D L'
U L' U L2 U2 D' L'
U L' U L2 U2 D2 L'
U L' U L2 D U2 L'
U L' U L2 D' U2 L'
U L' U L2 D2 U2 L'
U L' U R L2 U2 L'
U L' U R' L2 U2 L'
U L' U R2 L2 U2 L'
U L' U' L U2 L U2
B2 L' U' R B2 L R2
B2 L' U' R B2 R2 L
U L' U' L B2 R' B2
U L' U' R D2 L R2
U L' U' R D2 R2 L
U2 L' U' D2 R2 D B2
