U L' B2 D R2 F'
D L2 U L R2 F
D L2 U L F R2
D L2 U R2 L F
U2 B2 D L' R2 F
U2 B2 D L' F R2
U2 B2 D R2 L' F
U L F2 U' L2 F' B2
U L F2 U' L2 B2 F'
U L F2 U' F' L2 B2
U L F2 U' F' B2 L2
U L F2 U' B2 L2 F'
U L F2 U' B2 F' L2
U L' R B2 D R2 F'
U' L' R' B2 D F' R2
U L' R' B2 D R2 F'
B2 L' U L F2 U' F'
U L' R2 B2 D R2 F'
B2 L' U F2 L U' F
F' L' F' R2 U' B2 L
F' L' F' U R U2 B2
B2 L' F' U L' F' U'
D' L' F2 D R F' B2
D' L' F2 D R B2 F'
D' L' F2 D B2 R F'
U L' B' D B' R2 F'
U' L' B2 R D R2 F'
U' L' B2 R' D F' R2
U' L' B2 D R' F' R'
U L' B2 R2 D F' R2
U L' B2 D R2 D F'
U L' B2 D R2 D' F'
U L' B2 D R2 D2 F'
U L' B2 D R2 F' D
U L' B2 D R2 F' D'
U L' B2 D R2 F' D2
U L' B2 D F R2 F'
U L' B2 D F' R2 F'
U L' B2 D F2 R2 F'
D L2 R U L R F
D L2 R U R L F
D L2 R' U L R' F
D L2 R' U L F R'
D L2 R' U R' L F
D L2 U L R' F R'
D L2 U L R2 D F
D L2 U L R2 D' F
D L2 U L R2 D2 F
D L2 U L R2 F D
D L2 U L R2 F D'
D L2 U L R2 F D2
D L2 U L F R2 D
D L2 U L F R2 D'
D L2 U L F R2 D2
D L2 U L F' R2 F2
D L2 U R' L F R'
D L2 U R2 L D F
D L2 U R2 L D' F
D L2 U R2 L D2 F
D L2 U R2 L F D
D L2 U R2 L F D'
D L2 U R2 L F D2
D L2 U R2 D L F
D L2 U R2 D' L F
D L2 U R2 D2 L F
D L2 U R2 F L F
D L2 U R2 F' L F
D L2 U R2 F2 L F
D L2 U F L R2 F
D L2 U F L F R2
D L2 U F R2 L F
D L2 U F' L R2 F
D L2 U F' L F R2
D L2 U F' R2 L F
D L2 U F2 L R2 F
D L2 U F2 L F R2
D L2 U F2 R2 L F
L' U L F2 U' F' B2
L' U L F2 U' B2 F'
L2 U L B2 D R2 F
L2 U L B2 D F R2
R' U L' B2 D R2 F'
D L2 F R U L R
D L2 F R U R L
R2 U L' B2 D R2 F'
R U L' B2 D R2 F'
U2 L2 F2 U' L F B2
U2 L2 F2 U' L B2 F
D R L2 U L R F
D R L2 U R L F
U R L' B2 D R2 F'
L' U F2 L U' F B2
L' U F2 L U' B2 F
U2 R B2 D L' R2 F
U2 R B2 D L' F R2
U2 R B2 D R2 L' F
U' R' L' B2 D F' R2
D R' L2 U L R' F
D R' L2 U L F R'
D R' L2 U R' L F
U R' L' B2 D R2 F'
U' R' B2 L' D F' R2
U' R' B2 D L' F' R2
U2 R' B2 D L' R2 F
U2 R' B2 D L' F R2
U2 R' B2 D R2 L' F
U R2 L' B2 D R2 F'
L2 U2 F2 U' L F B2
L2 U2 F2 U' L B2 F
R' U2 B2 D L' R2 F
R' U2 B2 D L' F R2
R' U2 B2 D R2 L' F
R2 U2 B2 D L' R2 F
R2 U2 B2 D L' F R2
R2 U2 B2 D R2 L' F
R U2 B2 D L' R2 F
R U2 B2 D L' F R2
R U2 B2 D R2 L' F
R' D L2 U L R2 F
R' D L2 U L F R2
R' D L2 U R2 L F
R2 D L2 U L R2 F
R2 D L2 U L F R2
R2 D L2 U R2 L F
R D L2 U L R2 F
R D L2 U L F R2
R D L2 U R2 L F
U2 R2 B2 D L' R2 F
U2 R2 B2 D L' F R2
U2 R2 B2 D R2 L' F
B2 U L F2 U' L2 F'
B2 U L F2 U' F' L2
F2 U' B2 D' F2 L' F
B U2 B L' D R2 F2
B U2 B L' D F2 R2
L' F' L' F' U' L B2
L2 F' L' F' U' L2 B2
L2 F' L' F' U' B2 L2
L' F' U L' F' U' B2
B2 D' L' F2 D R F'
L' F' B2 U L' F' U'
U2 F2 R2 U' B2 L F
U2 F2 U R B U2 B
D2 F2 D L2 R U2 F'
D2 F2 D R L2 U2 F'
U2 B L F2 U' L2 B
U2 B L F2 U' B L2
U2 B L' D F2 B R2
U2 B L' D B R2 F2
U2 B L' D B F2 R2
U2 B L' B D R2 F2
U2 B L' B D F2 R2
D B L2 U L R2 F
D B L2 U L F R2
D B L2 U R2 L F
D B' L2 U L R2 F
D B' L2 U L F R2
D B' L2 U R2 L F
U' B2 L' R D R2 F'
U' B2 L' R' D F' R2
U' B2 L' D R' F' R'
U' B2 R L' D R2 F'
U' B2 R D L' R2 F'
U' B2 R D R2 L' F'
U' B2 R' L' D F' R2
D B2 L2 U L R2 F
D B2 L2 U L F R2
D B2 L2 U R2 L F
U' B2 R' D L' F' R2
U2 B2 R D L' R2 F
U2 B2 R D L' F R2
U2 B2 R D R2 L' F
U2 B2 R' D L' R2 F
U2 B2 R' D L' F R2
U2 B2 R' D R2 L' F
D2 B2 U L F L2 B'
L' B2 U L F2 U' F'
U2 B2 R2 D L' R2 F
U2 B2 R2 D L' F R2
U2 B2 R2 D R2 L' F
L' B2 U F2 L U' F
D2 B2 U' F2 R B U2
U' B2 D L' R' F' R'
U' B2 D R' L' F' R'
U' B2 D R2 D2 L' F
U2 B2 D L' R' F R'
U2 B2 D L' R2 D F
U2 B2 D L' R2 D' F
U2 B2 D L' R2 D2 F
U2 B2 D L' R2 F D
U2 B2 D L' R2 F D'
U2 B2 D L' R2 F D2
U2 B2 D L' F R2 D
U2 B2 D L' F R2 D'
U2 B2 D L' F R2 D2
U2 B2 D L' F' R2 F2
D2 B2 D' L2 U L F
U2 B2 D R' L' F R'
U2 B2 D R2 L' D F
U2 B2 D R2 L' D' F
U2 B2 D R2 L' D2 F
U2 B2 D R2 L' F D
U2 B2 D R2 L' F D'
U2 B2 D R2 L' F D2
U2 B2 D' L' F2 R F'
U B2 D L R2 F L2
U B2 D L F L2 R2
U B2 D L F R2 L2
U B2 D R2 L F L2
L' B2 F' U L' F' U'
