U2 R' F' U' L'
B2 L' B' L2 U L'
U2 R' D F' U' L'
U2 R' D' F' U' L'
U2 R' D2 F' U' L'
U2 R' F' U' L' D
U2 R' F' U' L' D'
U2 R' F' U' L' D2
U2 R' F' U' D L'
U2 R' F' U' D' L'
U2 R' F' U' D2 L'
U2 R' F' D U' L'
U2 R' F' D' U' L'
U2 R' F' D2 U' L'
U2 R' F' B U' L'
U2 R' F' B' U' L'
U2 R' F' B2 U' L'
U2 R' B F' U' L'
U2 R' B' F' U' L'
U2 R' B2 F' U' L'
U2 D R' F' U' L'
U2 D' R' F' U' L'
D2 U2 R' F' U' L'
U2 D2 R' F' U' L'
D' U2 R' F' U' L'
D U2 R' F' U' L'
F' U2 R' F' U' L'
F2 U2 R' F' U' L'
F U2 R' F' U' L'
L2 B2 L B' U L
U L U R' F' U' L'
B2 L U2 D2 F U' L'
B2 L U2 F B' U' L
B2 L U2 B' F U' L
B2 L D2 U2 F U' L'
B2 L B' U2 F U' L
U2 L' R' F' L U' L2
U L' U R' F' U' L'
U' L' U' R' F' B' U'
U' L' U' R' B' F' U'
B2 L' F B' L2 U L'
B2 L' F' B' L2 U L'
B2 L' F2 B' L2 U L'
B2 L' B L2 B2 U L
B2 L' B' L2 U L' D
B2 L' B' L2 U L' D'
B2 L' B' L2 U L' D2
B2 L' B' L2 U D L'
B2 L' B' L2 U D' L'
B2 L' B' L2 U D2 L'
B2 L' B' L2 D U L'
B2 L' B' L2 D' U L'
B2 L' B' L2 D2 U L'
B2 L' B' U D' L B2
B L' B' U2 R' U' L2
B2 L' B' D' U L B2
B2 L' B' F L2 U L'
B2 L' B' F' L2 U L'
B2 L' B' F2 L2 U L'
B2 L' B2 L2 B U L
U2 L2 R' F' L2 U' L
U L2 U R' F' U' L'
B L2 B L B' U L2
B' L2 B' L B' U L
D2 L2 B2 L B' U L
F' L2 B2 L B' U L
D' L2 B2 L B' U L
F2 L2 B2 L B' U L
D L2 B2 L B' U L
F L2 B2 L B' U L
U R B' D L2 R' B2
U R B' D R' L2 B2
U R B' D R' B2 L2
U2 R' L' F' L U' L2
U2 R' L2 F' L2 U' L
U2 R' D F' U' L' D
U2 R' D F' U' L' D'
U2 R' D F' U' L' D2
U2 R' D F' U' D L'
U2 R' D F' U' D' L'
U2 R' D F' U' D2 L'
U2 R' D F' D U' L'
U2 R' D F' D' U' L'
U2 R' D F' D2 U' L'
U2 R' D F' B U' L'
U2 R' D F' B' U' L'
U2 R' D F' B2 U' L'
U2 R' D B F' U' L'
U2 R' D B' F' U' L'
U2 R' D B2 F' U' L'
U2 R' D' F' U' L' D
U2 R' D' F' U' L' D'
U2 R' D' F' U' L' D2
U2 R' D' F' U' D L'
