F' L' B R' U' L U'
F' L' B' U R' U L
F2 U' F L' B' U2 L
F U' F2 L' B' U2 L
F' B L' R' U' L2 U'
F' B L' R' U2 D F2
F' B L' R' D U2 F2
F' B L' R' D' B2 U2
F' B L' D R' U2 F2
F' B L' D' R' B2 U2
F' B L' D' B2 U2 L
F' B R' L' U' L2 U'
F' B R' L' U2 D F2
F' B R' L' D U2 F2
F' B R' L' D' B2 U2
B' F' L' U R' U L2
F' B' L' U R' U L2
B F' L' R' U' L2 U'
B F' L' R' U2 D F2
B F' L' R' D U2 F2
B F' L' R' D' B2 U2
B F' L' D R' U2 F2
B F' L' D' R' B2 U2
B F' L' D' B2 U2 L
B F' R' L' U' L2 U'
B F' R' L' U2 D F2
B F' R' L' D U2 F2
B F' R' L' D' B2 U2
