B R' D L2 U2 B'
B R' D F L2 U2
B R' D' F U2 R2
B R' F U B2 U
B R' F U2 D' R2
B R' F D L2 U2
B R' F D' U2 R2
B' U' F B2 R' U2
B' U' B2 R' F U2
B' U' B2 F R' U2
B D L2 R' U2 B'
B D R' L2 U2 B'
B D R' F L2 U2
B D F L2 R' U2
B D F R' L2 U2
B D' R' F U2 R'
B D' F R' U2 R'
B F R' U B2 U
B F R' U2 D' R2
B F R' D L2 U2
B F R' D' U2 R2
F B R' U B2 U
F B R' U2 D' R2
F B R' D L2 U2
F B R' D' U2 R2
B F U B2 U L
F B U B2 U L
B F D L2 R' U2
B F D R' L2 U2
F B D L2 R' U2
F B D R' L2 U2
B F D' R' U2 R'
F B D' R' U2 R'
B L U B2 U L B'
B L2 R' U B2 U B
B L2 R' U2 D' R2 B'
B L2 R' U2 D' B' R2
B L2 R' D L2 F U2
B L2 R' D' U2 R2 B'
B L2 R' D' U2 B' R2
L2 R2 F U' F2 B' L
L2 R2 F U' B' L F2
L2 R2 F U' B' F2 L
R2 L2 F U' F2 B' L
R2 L2 F U' B' L F2
R2 L2 F U' B' F2 L
B' L2 U D2 B' L' F2
L2 R2 F' B' L D R2
L2 R2 F' B' D L R2
L2 R2 F' B' D R2 L
R2 L2 F' B' L D R2
R2 L2 F' B' D L R2
R2 L2 F' B' D R2 L
B' L2 U B' L2 F L
B L2 U B2 U L B
B' L2 U' B2 U2 L' B
B' L2 U' B2 U2 B L'
L2 R2 B' L D F' R
R2 L2 B' L D F' R
B L2 D L2 R' F U2
B L2 D L2 F R' U2
L2 R2 B' F' L D R2
B L2 D R' L2 F U2
L2 R2 B' F' D L R2
L2 R2 B' F' D R2 L
R2 L2 B' F' L D R2
R2 L2 B' F' D L R2
R2 L2 B' F' D R2 L
B' L2 D' R2 U B' L'
B L2 D' R' U2 R' B'
B' L2 D2 U B' L' F2
B2 L2 B U F L B2
F L2 B R' U' F U'
B' R U' F B2 R' U2
B' R U' B2 R' F U2
B' R U' B2 F R' U2
L U B L R' U2 B'
L U B R' L U2 B'
B R F R2 U B2 U
B R F R2 U2 D' R2
B R F R2 D L2 U2
B R F R2 D' U2 R2
B R' L2 U B2 U B
B R' L2 U2 D' R2 B'
B R' L2 U2 D' B' R2
B R' L2 D L2 F U2
B R' L2 D' U2 R2 B'
B R' L2 D' U2 B' R2
B R' U L2 B2 U B
B R' U B2 L2 U B'
B R' U B2 U' F U2
B' R' U' F B2 R' U2
F R' U B' U L F
B' R' U' B2 R' F U2
B' R' U' B2 F R' U2
B R' D L2 U2 D B'
B R' D L2 U2 D' B'
B R' D L2 U2 D2 B'
B R' D L2 U2 B' D
B R' D L2 U2 B' D'
B R' D L2 U2 B' D2
B R' D L2 D U2 B'
B R' D L2 D' U2 B'
B R' D L2 D2 U2 B'
B R' D L2 F U2 B'
B R' D L2 F' U2 B'
B R' D L2 F2 U2 B'
B R' D F L2 U2 D
B R' D F L2 U2 D'
B R' D F L2 U2 D2
B R' D F L2 D U2
B R' D F L2 D' U2
B R' D F L2 D2 U2
B R' D F U2 D2 R2
B R' D F D2 U2 R2
B R' D F' L2 F2 U2
B R' D F2 L2 F' U2
B R' D' L2 U2 R2 B'
B R' D' L2 U2 B' R2
B R' D' F L U2 R2
B R' D' F L' U2 R2
B R' D' F L2 U2 R2
B R' D' F U2 R2 D
B R' D' F U2 R2 D'
B R' D' F U2 R2 D2
B R' D' F D2 L2 U2
B R' D' F2 U2 R2 B
B R' D2 F U' F U'
B R' F L U B2 U
B R' F L U2 D' R2
B R' F L D L2 U2
B R' F L D' U2 R2
B R' F L' U B2 U
B R' F L' U2 D' R2
B R' F L' D L2 U2
B R' F L' D' U2 R2
B R' F L2 U B2 U
B R' F L2 U2 D' R2
B R' F L2 D L2 U2
B R' F L2 D' U2 R2
B R' F U B2 U D
B R' F U B2 U D'
B R' F U B2 U D2
B R' F U B2 D U
B R' F U B2 D' U
B R' F U B2 D2 U
B R' F U' D2 F2 U'
B R' F U2 R D' R2
B R' F U2 R' D' R2
B R' F U2 R2 D' R2
B R' F U2 D' R2 D
B R' F U2 D' R2 D'
B R' F U2 D' R2 D2
B R' F D L2 U2 D
B R' F D L2 U2 D'
B R' F D L2 U2 D2
B R' F D L2 D U2
B R' F D L2 D' U2
B R' F D L2 D2 U2
B R' F D' L U2 R2
B R' F D' L' U2 R2
B R' F D' L2 U2 R2
B R' F D' U2 R2 D
B R' F D' U2 R2 D'
B R' F D' U2 R2 D2
B R' F D2 U' F2 U'
B R' F2 U2 D' R2 B
B R' F2 D L2 F' U2
B R' F2 D F' L2 U2
B R' F2 D' U2 R2 B
B R' F2 D' F' U2 R2
B' R2 U' F B2 R' U2
F R2 U B' U L F'
F R2 U B' U F' L
B' R2 U' B2 R' F U2
B' R2 U' B2 F R' U2
B R2 D L2 R U2 B'
B R2 D R L2 U2 B'
B R2 D R F L2 U2
F2 R2 B' U L F' B2
F2 R2 B' U L B2 F'
F2 R2 B' U F' L B2
B U L B2 U L B'
B' U L2 D2 B' L' F2
B' U L2 B' L2 F L
B U L2 B2 U L B
F U R2 B' U L F'
F U R2 B' U F' L
B' U D2 L2 B' L' F2
B' U F B2 R' U2 R
B' U F' L D2 F2 B2
B' U F' L D2 B2 F2
B' U F' D2 L F2 B2
B' U F' D2 L B2 F2
B' U F' D2 F2 L B2
F U B' U L D2 F2
B' U B2 F R' U2 R
F U B' U D2 L F2
F U B' U D2 F2 L
F U B' U' B2 R' U2
F U B' D' R2 U L
B U B2 L2 U B' L'
F U B' D2 U L F2
F U B' D2 U F2 L
B U B2 U L2 B' L'
B U B2 U' F U2 L
B' U' R F B2 R' U2
B' U' R B2 R' F U2
B' U' R B2 F R' U2
B' U' R' F B2 R' U2
B' U' R' B2 R' F U2
B' U' R' B2 F R' U2
B' U' R2 F B2 R' U2
B' U' R2 B2 R' F U2
B' U' R2 B2 F R' U2
B' U' D2 F U2 F L
B' U' F R B2 R' U2
B' U' F R' B2 R' U2
B' U' F R2 B2 R' U2
B' U' F U2 L D2 F2
B' U' F U2 D2 L F2
B' U' F U2 D2 F2 L
B' U' F D2 U2 L F2
B' U' F D2 U2 F2 L
B' U' F B2 R' U2 D
B' U' F B2 R' U2 D'
B' U' F B2 R' U2 D2
B' U' F B2 R' D U2
B' U' F B2 R' D' U2
B' U' F B2 R' D2 U2
B' U' F B2 D R' U2
B' U' F B2 D' R' U2
B' U' F B2 D2 R' U2
B' U' F' B2 R' F2 U2
B' U' B2 R F R2 U2
B' U' B2 R' D F U2
B' U' B2 R' D' F U2
B' U' B2 R' D2 F U2
B' U' B2 R' F U2 D
B' U' B2 R' F U2 D'
B' U' B2 R' F U2 D2
B' U' B2 R' F D U2
B' U' B2 R' F D' U2
B' U' B2 R' F D2 U2
B' U' B2 D R' F U2
B' U' B2 D F R' U2
B' U' B2 D' R' F U2
B' U' B2 D' F R' U2
B' U' B2 D2 R' F U2
B' U' B2 D2 F R' U2
B' U' B2 F R' U2 D
B' U' B2 F R' U2 D'
B' U' B2 F R' U2 D2
B' U' B2 F R' D U2
B' U' B2 F R' D' U2
B' U' B2 F R' D2 U2
B' U' B2 F D R' U2
B' U' B2 F D' R' U2
B' U' B2 F D2 R' U2
B' U' B2 F' R' F2 U2
B' U2 D L2 U' B' L'
L2 F R2 U' F' B' L
