B L B R2 U L U
D2 L2 U R' F' U' F'
D2 L2 F2 U R' F' U'
D2 L2 F2 B' D' R' B
R' U R' B2 U' F' U'
D2 L2 B' F2 D' R' B
U R' F' U R' B2 U2
U R' F' U B2 U2 L
D2 R' B U' L2 F2 R
D2 R' B' U' L2 R' F2
D2 R' B' U' L2 F2 R'
D2 R' B' U' R' L2 F2
D2 R' B' U' R' F2 L2
D2 R' B' U' F2 L2 R'
D2 R' B' U' F2 R' L2
B2 R2 U L B U R'
B2 R2 U D L B' U
B2 R2 U2 B D' R' B
B2 R2 D U L B' U
D' R2 F2 L' B' U R'
D' R2 F2 B' L' U R'
B' R2 B' U L U R
D' R2 B' F2 L' U R'
U R2 B2 U' R F' U'
D U L2 R' F' B2 U'
D U L2 R' B2 F' U'
U D L2 R' F' B2 U'
U D L2 R' B2 F' U'
D2 U R' F' U' L2 F'
D2 U R' F' U' F' L2
D U R' L2 F' B2 U'
D U R' L2 B2 F' U'
U D R' L2 F' B2 U'
U D R' L2 B2 F' U'
D U R' F' L2 B2 U'
D U R' F' B2 L2 U'
D U R' B2 L2 F' U'
D U R' B2 F' L2 U'
U D R' F' L2 B2 U'
U D R' F' B2 L2 U'
U D R' B2 L2 F' U'
U D R' B2 F' L2 U'
B U' L R2 F U2 F2
B U' L F R2 U2 F'
B U' L F B R2 U2
B U' L B R2 F U2
B U' L B F R2 U2
D' U' R2 F2 L' B' U
U' D' R2 F2 L' B' U
B U' R2 L F U2 F2
U D2 R' F' U' L2 F'
U D2 R' F' U' F' L2
B' D' R' D' L2 F B
B' D' R' D' L2 B F
D2 F2 L2 U R' F' U'
D2 F2 L2 B' D' R' B
D2 F2 U R' F' U' L2
B' D2 L2 D R' F B
B' D2 L2 D R' B F
B' D2 L2 D F R' B
D2 F2 B' L2 D' R' B
R2 B L B U' R U'
D2 B U L2 F2 R B
D2 B' L2 F2 D' R' B
D' B' D' L2 R' F2 B
D' B' D' L2 R' B F2
D' B' D' L2 F2 R' B
D' B' D' R' L2 F2 B
D' B' D' R' L2 B F2
D' B' D' R' F2 L2 B
D' B' D' R' F2 B L2
D' B' D' R' B L2 F2
D' B' D' R' B F2 L2
D' B' D' F2 L2 R' B
D' B' D' F2 R' L2 B
D' B' D' F2 R' B L2
D2 B' F2 L2 D' R' B
R2 B2 U' D' R F' U'
R2 B2 U2 B R' D B2
R2 B2 D' U' R F' U'
