U2 B L U' R2
U L R2 F D' L2
U2 L B L U' R2
U2 L' B L U' R2
U2 L2 B L U' R2
U R2 L F D' L2
F2 R2 F' R U R'
F R2 F' R' U R
U2 D' F2 B L U'
U2 D' B L F2 U'
U2 D' B F2 L U'
F' U2 L' B U' R2
D' U2 F2 B L U'
D' U2 B L F2 U'
D' U2 B F2 L U'
F' U2 B L' U' R2
R2 F R F2 U R'
R F R F' U R
U2 F B L U' R2
U2 F' B L U' R2
U2 F2 B L U' R2
U2 B L U' R2 D
U2 B L U' R2 D'
U2 B L U' R2 D2
U2 B L D' F2 U'
U2 B L F U' R2
U2 B L F' U' R2
U2 B L F2 U' R2
U2 B D' L F2 U'
U2 B D' F2 L U'
U2 B F L U' R2
U2 B F' L U' R2
U2 B F2 L U' R2
U L R D' R F L'
U L R2 U' F' U F2
U L R2 D F D' L2
U L R2 D' F D' L2
U L R2 D2 F D' L2
U L R2 F L D' L2
U L R2 F L' D' L2
U L R2 F L2 D' L2
U L R2 F U' F2 U
U L R2 F D' L2 D
U L R2 F D' L2 D'
U L R2 F D' L2 D2
U L U B U' R2 F
U L U B U' F R2
U' L U' B L U' R2
U2 L D' F2 B L U'
U2 L D' B L F2 U'
U2 L D' B F2 L U'
U L F R2 U' F' U
U L F U B U' R2
U2 L F B L U' R2
U2 L F' B L U' R2
U2 L F2 B L U' R2
U2 L B L U' R2 D
U2 L B L U' R2 D'
U2 L B L U' R2 D2
U2 L B L D' F2 U'
U2 L B L F U' R2
U2 L B L F' U' R2
U2 L B L F2 U' R2
U2 L B D' L F2 U'
U L B U' R2 F B'
U L B U' R2 B' F
U2 L B D' F2 L U'
U L B U' F R2 B'
U L B U' F B' R2
U L B U' B' R2 F
U L B U' B' F R2
U2 L B F L U' R2
U2 L B F' L U' R2
U2 L B F2 L U' R2
U L' R2 F D' L2 F
U' L' U' B L U' R2
U2 L' D' F2 B L U'
U2 L' D' B L F2 U'
U2 L' D' B F2 L U'
U2 L' F B L U' R2
U2 L' F' B L U' R2
U2 L' F2 B L U' R2
U2 L' B L U' R2 D
U2 L' B L U' R2 D'
U2 L' B L U' R2 D2
U2 L' B L D' F2 U'
U2 L' B L F U' R2
U2 L' B L F' U' R2
U2 L' B L F2 U' R2
U2 L' B D' L F2 U'
U2 L' B D' F2 L U'
U2 L' B F L U' R2
U2 L' B F' L U' R2
U2 L' B F2 L U' R2
B' L' B2 R' U' R' F'
U' L2 U' B L U' R2
R' U L R' F' L' F2
R' U L F R' D2 L2
R' U L F' L' R' F2
R' U L F' L' F2 R'
R' U L F' R' L' F2
U2 L2 D' F2 B L U'
U2 L2 D' B L F2 U'
U2 L2 D' B F2 L U'
R U L R F D' L2
R U L D' R F L'
B2 L2 F L2 R U R
B2 L2 F R L2 U R
R' U L2 R' F' L' F
R' U L2 F' L' R' F
R' U L2 F' L' F R'
R' U L2 F' R' L' F
U2 L2 F B L U' R2
U2 L2 F' B L U' R2
R U R L F D' L2
R' U R' L F' L' F2
R' U R' L2 F' L' F
R' U R' F' L F L2
U2 L2 F2 B L U' R2
R' U R' F2 L F L'
U2 L2 B L U' R2 D
U2 L2 B L U' R2 D'
U2 L2 B L U' R2 D2
U2 L2 B L D' F2 U'
U2 L2 B L F U' R2
U2 L2 B L F' U' R2
U2 L2 B L F2 U' R2
U2 L2 B D' L F2 U'
U2 L2 B D' F2 L U'
U2 L2 B F L U' R2
U2 L2 B F' L U' R2
U2 L2 B F2 L U' R2
D L2 B2 L2 F R U
R U D' L R F L'
R U D' R L F L'
U R L D' R F L'
R' U F' L R' F L2
R' U F' L F L2 R'
R' U F' L F R' L2
R' U F' R' L F L2
R' U F2 L R' F L'
R' U F2 L F L' R'
R' U F2 L F R' L'
R' U F2 R' L F L'
F R U R U' F' U
U' R D B R' U2 R2
F R D B' U L R
F R D B' U R L
U R D' L R F L'
U R D' R L F L'
D R F R F' B2 U
D R F R B2 F' U
D R F B2 R F' U
R' U' R U2 R2 F' L'
R' U' R B U2 L R2
R' U' R B U2 R2 L
R' U' R2 U2 R F' L'
D R B2 F R F' U
R' U' B U2 L F R
U R2 L U' F' U F2
U R2 L D F D' L2
U R2 L D' F D' L2
U R2 L D2 F D' L2
U R2 L F L D' L2
U R2 L F L' D' L2
U R2 L F L2 D' L2
U R2 L F U' F2 U
U R2 L F D' L2 D
U R2 L F D' L2 D'
U R2 L F D' L2 D2
U R2 L' F D' L2 F
U R2 U' F R F2 U
U R2 U' F' U2 L' U'
U R2 D L F D' L2
F R2 D F' R' U R
U R2 D' L F D' L2
F R2 D' F' R' U R
U R2 D2 L F D' L2
F R2 D2 F' R' U R
D R2 F R F2 B2 U
D R2 F R B2 F2 U
U R2 F L D' F L2
U R2 F L' D' L2 F
D' R2 F' U2 L' F' U'
F2 R2 F' R U R' D
F2 R2 F' R U R' D'
F2 R2 F' R U R' D2
F2 R2 F' R U D R'
F2 R2 F' R U D' R'
F2 R2 F' R U D2 R'
F2 R2 F' R D U R'
F2 R2 F' R D' U R'
F2 R2 F' R D2 U R'
D R2 F B2 R F2 U
U R2 F D' L F L
F2 R2 F' D R U R'
F2 R2 F' D' R U R'
F2 R2 F' D2 R U R'
F2 R2 F' B R U R'
F2 R2 F' B' R U R'
F' R2 F2 R F U R'
F2 R2 F' B2 R U R'
F R2 F' R' U R D
F R2 F' R' U R D'
F R2 F' R' U R D2
F R2 F' R' U D R
F R2 F' R' U D' R
F R2 F' R' U D2 R
F R2 F' R' D U R
F R2 F' R' D' U R
F R2 F' R' D2 U R
F R2 F' R' B U R
F R2 F' R' B' U R
F R2 F' R' B2 U R
F R2 F' D R' U R
D R2 F' B2 U2 L' U'
F R2 F' D' R' U R
F R2 F' D2 R' U R
U R2 F2 L D F L'
U R2 F2 U' F R U
F2 R2 B F' R U R'
F2 R2 B' F' R U R'
B' U L R2 D F L2
B' U L R2 F D L2
F2 R2 B2 F' R U R'
B' U L F R2 D L2
D R2 B2 F R F2 U
D R2 B2 F' U2 L' U'
B U L R2 D2 F L2
B U L R2 F D2 L2
B' U L' R2 D L2 F
B U L U2 F R2 B
B U L F R2 D2 L2
F' U L' B U' R2 B'
F' U L' B U' B' R2
R2 D F R F2 U R'
B U L' R2 D2 L2 F
B U L' B' U2 B R2
B' U R2 L D F L2
B' U R2 L F D L2
B' U R2 L' D L2 F
B' U R2 D L F L
F2 U R2 U' F' R U
B U R2 L D2 F L2
B U R2 L F D2 L2
B U R2 L' D2 L2 F
B U R2 D2 L F L
F U R2 U' F' R' U
R D B' U L R F
R D B' U R L F
U2 D B L U2 B U
U2 D' L F2 B L U'
U2 D' L B L F2 U'
U2 D' L B F2 L U'
D2 U' L2 U' B L U'
U2 D' L' F2 B L U'
U2 D' L' B L F2 U'
U2 D' L' B F2 L U'
R D' U L R F L'
R D' U R L F L'
U2 D' L2 F2 B L U'
U2 D' L2 B L F2 U'
U2 D' L2 B F2 L U'
R2 D' F R F2 U R'
B U' L' U2 L R2 F
B U' L' U2 L F R2
B U' L' U2 R2 L F
U2 D' F' B L F' U'
U2 D' F2 L B L U'
U2 D' F2 L' B L U'
U2 D' F2 L2 B L U'
U2 D' F2 D B L U'
U2 D' F2 D' B L U'
U2 D' F2 D2 B L U'
U2 D' F2 B L U' D
U2 D' F2 B L U' D'
U2 D' F2 B L U' D2
U2 D' F2 B L D U'
U2 D' F2 B L D' U'
U2 D' F2 B L D2 U'
U2 D' F2 B D L U'
U2 D' F2 B D' L U'
U2 D' F2 B D2 L U'
U2 D' B L U' D R2
U2 D' B L D U' R2
U2 D' B L F2 U' D
U2 D' B L F2 U' D'
U2 D' B L F2 U' D2
U2 D' B L F2 D U'
U2 D' B L F2 D' U'
U2 D' B L F2 D2 U'
U2 D' B L' F2 L2 U'
U2 D' B D L U' R2
U2 D' B F' L F' U'
U2 D' B F2 L U' D
U2 D' B F2 L U' D'
U2 D' B F2 L U' D2
U2 D' B F2 L D U'
U2 D' B F2 L D' U'
U2 D' B F2 L D2 U'
U2 D' B F2 D L U'
U2 D' B F2 D' L U'
U2 D' B F2 D2 L U'
B U' F R' F' R' B
D' U2 L F2 B L U'
D' U2 L B L F2 U'
D' U2 L B F2 L U'
D' U2 L' F2 B L U'
D' U2 L' B L F2 U'
D' U2 L' B F2 L U'
U' D2 L2 U' B L U'
D' U2 L2 F2 B L U'
D' U2 L2 B L F2 U'
D' U2 L2 B F2 L U'
F' U2 L B L2 U' R2
F' U2 L' D' F2 B U'
F' U2 L' D' B F2 U'
F' U2 L' F B U' R2
F' U2 L' F' B U' R2
F' U2 L' F2 B U' R2
F' U2 L' B U' R2 D
F' U2 L' B U' R2 D'
F' U2 L' B U' R2 D2
F' U2 L' B D' F2 U'
F' U2 L' B F U' R2
F' U2 L' B F' U' R2
F' U2 L' B F2 U' R2
R2 D2 F R F2 U R'
D' U2 F' B L F' U'
D' U2 F2 L B L U'
D' U2 F2 L' B L U'
D' U2 F2 L2 B L U'
D' U2 F2 D B L U'
D' U2 F2 D' B L U'
D' U2 F2 D2 B L U'
D' U2 F2 B L U' D
D' U2 F2 B L U' D'
D' U2 F2 B L U' D2
D' U2 F2 B L D U'
D' U2 F2 B L D' U'
D' U2 F2 B L D2 U'
D' U2 F2 B D L U'
D' U2 F2 B D' L U'
D' U2 F2 B D2 L U'
D' U2 B L U' D R2
D' U2 B L D U' R2
D' U2 B L F2 U' D
D' U2 B L F2 U' D'
D' U2 B L F2 U' D2
D' U2 B L F2 D U'
D' U2 B L F2 D' U'
D' U2 B L F2 D2 U'
D' U2 B L' F2 L2 U'
D2 U2 B L U L U2
D' U2 B D L U' R2
D2 U2 B D L F2 U'
U2 D2 B L U L U2
D2 U2 B D F2 L U'
D' U2 B F' L F' U'
D2 U2 B D2 L U' R2
D' U2 B F2 L U' D
D' U2 B F2 L U' D'
D' U2 B F2 L U' D2
D' U2 B F2 L D U'
D' U2 B F2 L D' U'
D' U2 B F2 L D2 U'
D' U2 B F2 D L U'
D' U2 B F2 D' L U'
D' U2 B F2 D2 L U'
D U2 B L U2 B U
U2 D2 B D L F2 U'
U2 D2 B D F2 L U'
U2 D2 B D2 L U' R2
F' U2 D' L' F2 B U'
F' U2 D' L' B F2 U'
F' U2 D' B L' F2 U'
U2 F L B L U' R2
U F L R2 F D' L2
F U2 D' F2 L' B U'
F U2 D' F2 B L' U'
F2 U2 F L' B U' R2
F U2 D' B F2 L' U'
U2 F L' B L U' R2
F2 U2 F B L' U' R2
R' F R U2 B U' R2
U2 F L2 B L U' R2
R2 F R U R' D' L2
R2 F R U D' L2 R'
R2 F R U D' R' L2
R2 F R D' U L2 R'
R2 F R D' U R' L2
B' U2 B L B U' R2
R' F R' F' R2 U R2
R2 F R F2 U R' D
R2 F R F2 U R' D'
R2 F R F2 U R' D2
R2 F R F2 U D R'
R2 F R F2 U D' R'
R2 F R F2 U D2 R'
R2 F R F2 D U R'
R2 F R F2 D' U R'
R2 F R F2 D2 U R'
F' U2 B L' U' R2 D
F' U2 B L' U' R2 D'
F' U2 B L' U' R2 D2
F' U2 B L' D' F2 U'
F' U2 B L' F U' R2
F' U2 B L' F' U' R2
F' U2 B L' F2 U' R2
B2 U2 B L B2 U' R2
F U2 F2 L' B U' R2
F' U2 B D' L' F2 U'
R F R F' U R D
R F R F' U R D'
R F R F' U R D2
R F R F' U D R
R F R F' U D' R
R F R F' U D2 R
R F R F' D U R
R F R F' D' U R
R F R F' D2 U R
R F R F' B U R
R F R F' B' U R
R F R F' B2 U R
F2 U2 B F L' U' R2
R F R B F' U R
F' U2 B' L' B2 U' R2
R F R B' F' U R
F U2 F2 B L' U' R2
R F R B2 F' U R
B2 U2 B' U2 R' U R'
F U2 B U2 R U R
U F R2 L F D' L2
R2 F R2 F2 R' U R'
F U2 B D' F2 L' U'
D F R2 F' R' B2 U
F U2 B F2 L' U' R2
U F U B L U' R2
R2 F D' R U L2 R'
R2 F D' R U R' L2
U2 F D' F2 B L U'
U2 F D' B L F2 U'
U2 F D' B F2 L U'
U2 F B L U' R2 D
U2 F B L U' R2 D'
U2 F B L U' R2 D2
U2 F B L D' F2 U'
U2 F B L F U' R2
U2 F B L F' U' R2
U2 F B L F2 U' R2
R2 F B R F2 U R'
U2 F B D' L F2 U'
U2 F B D' F2 L U'
R2 F B' R F2 U R'
R F B R F' U R
F D R2 F' R' B2 U
R2 F B2 R F2 U R'
R F B' R F' U R
D F B2 R U2 B' U'
R F B2 R F' U R
U2 F' L B L U' R2
B' D F R B2 U L2
U F' L R2 F D' L2
B' D F B2 R U L2
U2 F' L' B L U' R2
U2 F' L2 B L U' R2
R2 F' R U2 L' U' R'
R2 F' R' U2 L' U' R
R2 F' R2 U2 L' U' R2
B' D B2 U L F L
U F' R2 L F D' L2
B' D B2 F R U L2
F' D B2 U2 B' L' U'
B2 D B2 U2 B L U'
D' F' U2 L' F' B U'
D' F' U2 L' B F' U'
F D B2 R U2 B' U'
U F' U B L U' R2
D' F' U2 B L' F' U'
R2 F' U2 L' U L U2
U2 F' D' F2 B L U'
U2 F' D' B L F2 U'
U2 F' D' B F2 L U'
U2 F' B L U' R2 D
U2 F' B L U' R2 D'
U2 F' B L U' R2 D2
U2 F' B L D' F2 U'
U2 F' B L F U' R2
U2 F' B L F' U' R2
U2 F' B L F2 U' R2
U2 F' B D' L F2 U'
U2 F' B D' F2 L U'
F' D' U2 L' F2 B U'
F' D' U2 L' B F2 U'
D F' B2 U2 B' L' U'
F' D' U2 B L' F2 U'
U2 F2 L B L U' R2
U F2 L R2 F D' L2
U2 F2 L' B L U' R2
F D' U2 F2 L' B U'
F D' U2 F2 B L' U'
F D' U2 B F2 L' U'
U2 F2 L2 B L U' R2
R' F2 R' F' R U R'
U F2 R2 L F D' L2
D F2 R2 F' R B2 U
D F2 R2 F' B2 R U
D F2 R2 B2 F' R U
U F2 U B L U' R2
U2 F2 D' F2 B L U'
U2 F2 D' B L F2 U'
U2 F2 D' B F2 L U'
U2 F2 B L U' R2 D
U2 F2 B L U' R2 D'
U2 F2 B L U' R2 D2
U2 F2 B L D' F2 U'
U2 F2 B L F U' R2
U2 F2 B L F' U' R2
U2 F2 B L F2 U' R2
U2 F2 B D' L F2 U'
U2 F2 B D' F2 L U'
U2 B L U L U2 R2
U2 B L U L' U2 R2
U2 B L U L2 U2 R2
U2 B L U D2 L2 U2
U2 B L U' R D R
U2 B L U' R D' R
U2 B L U' R D2 R
U2 B L U' R' D R'
U2 B L U' R' D' R'
U2 B L U' R' D2 R'
U2 B L U' F' R2 F
U2 B L U' F2 R2 F2
U2 B L U' B R2 B'
U2 B L U' B2 R2 B2
U2 B L U2 D B2 U
U2 B L U2 B U R2
U2 B L U2 B' U R2
U2 B L U2 B2 U R2
U2 B L D U2 B2 U
U2 B L D' F2 U' D
U2 B L D' F2 U' D'
U2 B L D' F2 U' D2
U2 B L D' F2 D U'
U2 B L D' F2 D' U'
U2 B L D' F2 D2 U'
U2 B L D2 U L2 U2
U2 B L F U' R2 D
U2 B L F U' R2 D'
U2 B L F U' R2 D2
U2 B L F D' F2 U'
U2 B L F' U' R2 D
U2 B L F' U' R2 D'
U2 B L F' U' R2 D2
U2 B L F' D' F2 U'
U2 B L F2 U' R2 D
U2 B L F2 U' R2 D'
U2 B L F2 U' R2 D2
U2 B L F2 D' F2 U'
U2 B L' U' R2 D F2
U2 B L' F L2 U' R2
U2 B L' F' L2 U' R2
U2 B L' F2 L2 U' R2
U2 B L2 D' L' F2 U'
U2 B U' R2 U L U'
F' B L' U2 L U R2
U2 B U2 D B2 R' U
U2 B U2 B2 R' U R'
U2 B D L U' D' R2
U2 B D L U2 B2 U
U2 B D L D' U' R2
U2 B D L D2 F2 U'
U2 B D U2 B2 R' U
B' F R U R D L2
B' F R U D L2 R
B' F R U D R L2
B' F R U2 B2 U' R
B' F R D U L2 R
B' F R D U R L2
U2 B D' L U' D R2
U2 B D' L D U' R2
