F2 L B2 U' F' B
F2 L B2 U' B F'
B2 F2 L U' F' B'
B2 F2 L U' B' F'
F2 B2 L U' F' B'
F2 B2 L U' B' F'
F2 L U' D F' B' L2
F2 L U' D B' L2 F'
F2 L U' D B' F' L2
F2 L U' F' D B' L2
F2 L D U' F' B' L2
F2 L D U' B' L2 F'
F2 L D U' B' F' L2
F L D' B R' B2 L
F' L F' B2 U' F' B
F' L F' B2 U' B F'
F2 L B2 L U' F' B
F2 L B2 L U' B F'
F2 L B2 L' U' F' B
F2 L B2 L' U' B F'
F2 L B2 L2 U' F' B
F2 L B2 L2 U' B F'
F2 L B2 U' D F' B
F2 L B2 U' D B F'
F2 L B2 U' D' F' B
F2 L B2 U' D' B F'
F2 L B2 U' D2 F' B
F2 L B2 U' D2 B F'
F2 L B2 U' F' D B
F2 L B2 U' F' D' B
F2 L B2 U' F' D2 B
F2 L B2 U' F' B D
F2 L B2 U' F' B D'
F2 L B2 U' F' B D2
F2 L B2 U' B D F'
F2 L B2 U' B D' F'
F2 L B2 U' B D2 F'
F2 L B2 U' B F' D
F2 L B2 U' B F' D'
F2 L B2 U' B F' D2
F2 L B2 D U' F' B
F2 L B2 D U' B F'
F2 L B2 D' U' F' B
F2 L B2 D' U' B F'
F2 L B2 D2 U' F' B
F2 L B2 D2 U' B F'
F' L B2 F' U' F' B
F' L B2 F' U' B F'
F2 L' U' D L2 F' B'
F2 L' U' D L2 B' F'
F2 L' D U' L2 F' B'
F2 L' D U' L2 B' F'
F2 L' B2 L2 U' F' B'
F2 L' B2 L2 U' B' F'
F2 L' B2 U F U2 F2
F2 L' B2 U' F' D2 B2
D' L2 R2 B' U L U
D' L2 B' R2 U L U
F2 L2 B2 L' U' F' B'
F2 L2 B2 L' U' B' F'
D2 R D' R2 F L2 B
D2 R D' R2 F B L2
D2 R D' R2 B F L2
B2 R F2 L U' F' B'
B2 R F2 L U' B' F'
D2 R' D' F L2 B R2
D2 R' D' F B L2 R2
D2 R' D' F B R2 L2
D2 R' D' B R2 F L2
D2 R' D' B F L2 R2
D2 R' D' B F R2 L2
B2 R' F2 L U' F' B'
B2 R' F2 L U' B' F'
D2 R' F2 B2 U F' B'
D2 R' F2 B2 U B' F'
D2 R' B2 F2 U F' B'
D2 R' B2 F2 U B' F'
D' R2 L2 B' U L U
L' D L R2 F L B'
L' D L F L R2 B'
L' D L F L B' R2
L' D L F R2 L B'
L2 D L' R2 B' L' F
D R2 F L D' L B2
L2 D L' B' L' R2 F
L2 D L' B' L' F R2
L2 D L' B' R2 L' F
D R2 F L2 U' L U
D R2 F U' L' U L'
B2 R2 F2 L U' F' B'
B2 R2 F2 L U' B' F'
L' D R2 L F L B'
L2 D R2 L' B' L' F
F2 U' L D F' B' L2
F2 U' L D B' L2 F'
F2 U' L D B' F' L2
F2 U' L F' D B' L2
F2 U' L' D L2 F' B'
F2 U' L' D L2 B' F'
F2 U' F' L D B' L2
F2 U' F' L' D L2 B'
D F L R2 D' L B2
D F L2 R2 U' L U
D F L2 U' L U R2
D F R2 L D' L B2
D F R2 L2 U' L U
D F R2 U' L' U L'
D F U' L' U L' R2
D F U' L' U R2 L'
B2 D F' R U' R F2
D F' R U' L2 R F2
D F' R U' R L2 F2
D F' R U' R F2 L2
U' F2 L B2 U' F' B
U' F2 L B2 U' B F'
R' F2 L B2 U' F' B
R' F2 L B2 U' B F'
U2 F2 L B2 U' F' B
U2 F2 L B2 U' B F'
R2 F2 L B2 U' F' B
R2 F2 L B2 U' B F'
U F2 L B2 U' F' B
U F2 L B2 U' B F'
R F2 L B2 U' F' B
R F2 L B2 U' B F'
U' F2 B2 L U' F' B'
U' F2 B2 L U' B' F'
R' F2 B2 L U' F' B'
R' F2 B2 L U' B' F'
U2 F2 B2 L U' F' B'
U2 F2 B2 L U' B' F'
R2 F2 B2 L U' F' B'
R2 F2 B2 L U' B' F'
U F2 B2 L U' F' B'
U F2 B2 L U' B' F'
L F2 B2 L' U' F B
L F2 B2 L' U' B F
R F2 B2 L U' F' B'
R F2 B2 L U' B' F'
F2 B L B U' F' B2
F2 B L B U' B2 F'
L B' L' D R2 F L'
L B' L' D F L' R2
L B' L' D F R2 L'
F2 B' L U' F' B' L'
F2 B' L U' B' F' L'
B2 F' L F' U' F' B'
B2 F' L F' U' B' F'
B' F2 L U' F' B' L'
B' F2 L U' B' F' L'
B2 F2 L U' D F' B'
B2 F2 L U' D B' F'
B2 F2 L U' D' F' B'
B2 F2 L U' D' B' F'
B2 F2 L U' D2 F' B'
B2 F2 L U' D2 B' F'
B2 F2 L U' F' D B'
B2 F2 L U' F' D' B'
B2 F2 L U' F' D2 B'
B2 F2 L U' F' B' D
B2 F2 L U' F' B' D'
B2 F2 L U' F' B' D2
B2 F2 L U' B' D F'
B2 F2 L U' B' D' F'
B2 F2 L U' B' D2 F'
B2 F2 L U' B' F' D
B2 F2 L U' B' F' D'
B2 F2 L U' B' F' D2
B2 F2 L D U' F' B'
B2 F2 L D U' B' F'
F2 B2 L U' D F' B'
F2 B2 L U' D B' F'
F2 B2 L U' D' F' B'
F2 B2 L U' D' B' F'
F2 B2 L U' D2 F' B'
F2 B2 L U' D2 B' F'
F2 B2 L U' F' D B'
F2 B2 L U' F' D' B'
F2 B2 L U' F' D2 B'
F2 B2 L U' F' B' D
F2 B2 L U' F' B' D'
F2 B2 L U' F' B' D2
F2 B2 L U' B' D F'
F2 B2 L U' B' D' F'
F2 B2 L U' B' D2 F'
F2 B2 L U' B' F' D
F2 B2 L U' B' F' D'
F2 B2 L U' B' F' D2
B2 F2 L D' U' F' B'
F' B2 L F' U' F' B'
B2 F2 L D' U' B' F'
F' B2 L F' U' B' F'
B2 F2 L D2 U' F' B'
B2 F2 L D2 U' B' F'
F2 B2 L D U' F' B'
F2 B2 L D U' B' F'
F2 B2 L D' U' F' B'
F2 B2 L D' U' B' F'
F2 B2 L D2 U' F' B'
F2 B2 L D2 U' B' F'
L B2 L' F2 U' F' B
L B2 L' F2 U' B F'
B2 F2 L' U F U2 F2
B2 F2 L' U' F' D2 B2
F2 B2 L' U F U2 F2
F2 B2 L' U' F' D2 B2
D2 B2 R' F2 U F' B
D2 B2 R' F2 U B F'
B F2 L B U' F' B2
B F2 L B U' B2 F'
B2 F2 U' L B' L' F'
F2 B2 U' L B' L' F'
B2 F2 U' F' L B' L'
F2 B2 U' F' L B' L'
B2 F2 U2 L U F' B'
B2 F2 U2 L U B' F'
F2 B2 U2 L U F' B'
F2 B2 U2 L U B' F'
U' B2 F2 L U' F' B'
U' B2 F2 L U' B' F'
R' B2 F2 L U' F' B'
R' B2 F2 L U' B' F'
U2 B2 F2 L U' F' B'
U2 B2 F2 L U' B' F'
R2 B2 F2 L U' F' B'
R2 B2 F2 L U' B' F'
L B2 F2 L' U' F B
U B2 F2 L U' F' B'
L B2 F2 L' U' B F
U B2 F2 L U' B' F'
R B2 F2 L U' F' B'
R B2 F2 L U' B' F'
