F D B2 R' B L
D' R U' F L' D2 R2
B2 R U' F R2 D' L2
B' R U2 F' U F2 R
B2 R U2 F' U R2 F2
B2 R U2 F' U F2 R2
D' R B2 U' R' F L'
D' R B2 U' F L' R'
D' R B2 U' F R' L'
B2 R' U B R2 U' F
D2 R' D F B2 L' R'
D2 R' D F B2 R' L'
D2 R' D B2 R' F L'
D2 R' D B2 F L' R'
D2 R' D B2 F R' L'
D' R' F D B2 L' R'
D' R' F D B2 R' L'
B2 R' F U B R2 U'
B2 R' F B' D L2 B2
B2 R' F B' D B2 L2
B2 R' B R2 U' R2 F
B2 R' B R2 U' F R2
B R' B R2 U' R F
B2 R' B' D F L2 B2
B2 R' B' D F B2 L2
B2 R' B' D B2 F L2
B2 R' B' F D L2 B2
B2 R' B' F D B2 L2
R U2 F' U' L U2 F2
R U2 F' B2 U R' F2
R U2 F' B2 U F2 R'
R U2 B2 F' U R' F2
R U2 B2 F' U F2 R'
R' D B U' F B R'
R' D B U' B R' F
R' D B U' B F R'
U' F D B2 R' B L
D' F D B2 L' R' B
D' F D B2 R' L' B
D' F D B2 R' B L'
U2 F D B2 R' B L
D2 F D' B' L B' R'
U F D B2 R' B L
D' F B2 L' D R' B
D' F B2 D L' R' B
D' F B2 D R' L' B
D' F B2 D R' B L'
D F B' D' L B' R'
D F B2 D R' B L
F D B' L B' R' B
F D B' D2 L B' R'
R F' U L U2 L' F2
F D B2 L R' B L
F D B2 L' R' B L
F D B2 L2 R' B L
F D B2 R' L B L
F D B2 R' L' B L
F D B2 R' L2 B L
F D B2 R' D B L
F D B2 R' D' B L
F D B2 R' D2 B L
F D B2 R' B L D
F D B2 R' B L D'
F D B2 R' B L D2
F D B2 R' B D L
F D B2 R' B D' L
F D B2 R' B D2 L
R F' U F2 D2 B2 R'
B2 D' R U' R2 F L'
B2 D' R U' F L' R2
B2 D' R U' F R2 L'
B2 D' R' F L' D B2
B2 D' R' F D L' B2
B2 D' R' F D B2 L'
B D' R F' U' F2 L'
R F' B2 U' R' F2 L'
B2 D' F L' D R' B
B2 D' F D L' R' B
B2 D' F D R' L' B
B2 D' F D R' B L'
B2 D2 R' D F L' B2
B2 D2 R' D F B2 L'
B2 D2 R' D B2 F L'
B' F D B' L R' B
B' F D B' R' L B
B2 F D R' B' L B2
R B' U2 F' U F2 R
D B' F D' L B' R'
F B' D B' L R' B
F B' D B' R' L B
D' B2 R U' R2 F L'
D' B2 R U' F L' R2
D' B2 R U' F R2 L'
D2 B2 R' D F L' B2
D2 B2 R' D F B2 L'
D2 B2 R' D B2 F L'
D' B2 R' F L' D B2
D' B2 R' F D L' B2
D' B2 R' F D B2 L'
R' B2 R2 B' U' R F
R B2 U' R' D' F L'
R B2 U' F R' D' L2
R B2 U' F D' L2 R'
R B2 U' F D' R' L2
R B2 U2 F' U R' F2
R B2 U2 F' U F2 R'
D' B2 F L' D R' B
D' B2 F D L' R' B
D' B2 F D R' L' B
D' B2 F D R' B L'
F B2 D R' B' L B2
D B2 F D R' B L
R B2 F' U' R' F2 L'
