F2 L R' B' U B2
R' L F2 B' U B2
R' L B' F2 U B2
L R' F2 B' U B2
L R' B' F2 U B2
R' U D' L2 B R'
R' U D' B L2 R'
R' U D' B R' L2
F2 R' L B' U B2
F2 R' U D' B R'
F2 R' D' U B R'
R' D' U L2 B R'
R' D' U B L2 R'
R' D' U B R' L2
R' F2 L B' U B2
R' F2 U D' B R'
L F2 R' B' U B2
R' F2 D' U B R'
F2 L R B' R2 U B
R' L U B D' L2 R2
R' L U B D' R2 L2
F2 L R' U B D' R2
F2 L R' D B' U B2
F2 L R' D' B' U B2
F2 L R' D2 B' U B2
U' L R' F2 B' U B2
U2 L R' F2 B' U B2
U' L R' B' F2 U B2
F2 L R' B' L U B2
F2 L R' B' L' U B2
F2 L R' B' L2 U B2
U2 L R' B' F2 U B2
F2 L R' B' U B2 D
F2 L R' B' U B2 D'
F2 L R' B' U B2 D2
F2 L R' B' D L2 U
U L R' F2 B' U B2
U L R' B' F2 U B2
F2 L R2 B' R U B
R' L D' B' U L2 B2
R' L D' B' U B2 L2
F2 L D R' B' L U
R' L F2 U B D' R2
R' L F2 D B' U B2
R' L F2 D' B' U B2
R' L F2 D2 B' U B2
R' L F2 B' L U B2
R' L F2 B' L' U B2
R' L F2 B' L2 U B2
R' L F2 B' U B2 D
R' L F2 B' U B2 D'
R' L F2 B' U B2 D2
R' L F2 B' D L2 U
F' L F' R' B' U B2
R' L B' L F2 U B2
R' L B' L' F2 U B2
R' L B' L2 F2 U B2
R2 L B' R F2 U B
R' L B' U B2 D' L2
L R B' R2 F2 U B
R L B' R2 F2 U B
R' L B' F2 L U B2
R' L B' F2 L' U B2
R' L B' F2 L2 U B2
R' L B' F2 U B2 D
R' L B' F2 U B2 D'
R' L B' F2 U B2 D2
R' L B' F2 D L2 U
U2 L F2 R' B' U B2
U' L F2 R' B' U B2
U L F2 R' B' U B2
B L F2 B' R' U B
L R' U B D' L2 R2
L R' U B D' R2 L2
B L B' R' F2 U B
B L B' F2 R' U B
F2 L' R' U2 F U' B
L R' D' B' U L2 B2
L R' D' B' U B2 L2
L2 R' F2 L' B' U B2
R' L' F2 U2 F' U' B
L' R' F2 U2 F' U' B
L2 R' F2 U B' R' B2
L R' F2 U B D' R2
L R' F2 D B' U B2
L R' F2 D' B' U B2
L R' F2 D2 B' U B2
L R' F2 B' L U B2
L R' F2 B' L' U B2
L R' F2 B' L2 U B2
L R' F2 B' U B2 D
L R' F2 B' U B2 D'
L R' F2 B' U B2 D2
L R' F2 B' D L2 U
L2 R' F2 B2 U B' R'
L R' B' L F2 U B2
L R' B' L' F2 U B2
L R' B' L2 F2 U B2
L R' B' U B2 D' L2
L R' B' F2 L U B2
L R' B' F2 L' U B2
L R' B' F2 L2 U B2
L R' B' F2 U B2 D
L R' B' F2 U B2 D'
L R' B' F2 U B2 D2
L R' B' F2 D L2 U
L2 R' B2 F2 U B' R'
F2 L2 R' U B' R' B2
F2 L2 R' B2 U B' R'
R' L2 F2 L' B' U B2
R' L2 F2 U B' R' B2
R' L2 F2 B2 U B' R'
L R2 B' R F2 U B
R' L2 B2 F2 U B' R'
R' U L B D' L2 R2
R' U L B D' R2 L2
L U R' F2 B' U B2
L U R' B' F2 U B2
R' U D' L' B L' R'
R' U D' L' B R' L'
R' U D' L2 B R' D
R' U D' L2 B R' D'
R' U D' L2 B R' D2
R' U D' L2 B D R'
R' U D' L2 B D' R'
R' U D' L2 B D2 R'
R' U D' B L2 R' D
R' U D' B L2 R' D'
R' U D' B L2 R' D2
R' U D' B L2 D R'
R' U D' B L2 D' R'
R' U D' B L2 D2 R'
R' U D' B R' L2 D
R' U D' B R' L2 D'
R' U D' B R' L2 D2
F2 R L B' R2 U B
L U F2 R' B' U B2
L U' R' F2 B' U B2
L U' R' B' F2 U B2
R' U' D R2 F' U2 R
R' U' D' B L2 R' F
R' U' D' B L2 F R'
R' U' D' B R' L2 F
F2 R' L U B D' R2
F2 R' L D B' U B2
F2 R' L D' B' U B2
U' R' L F2 B' U B2
F2 R' L D2 B' U B2
U' R' L B' F2 U B2
U2 R' L F2 B' U B2
F2 R' L B' L U B2
F2 R' L B' L' U B2
F2 R' L B' L2 U B2
F2 R' L B' U B2 D
F2 R' L B' U B2 D'
F2 R' L B' U B2 D2
F2 R' L B' D L2 U
U2 R' L B' F2 U B2
F2 R' L' U2 F U' B
U R' L F2 B' U B2
U R' L B' F2 U B2
F2 R' L2 U B' R' B2
F2 R' L2 B2 U B' R'
U' R' U D' L2 B R'
U' R' U D' B L2 R'
U' R' U D' B R' L2
F2 R' U D' B R' D
F2 R' U D' B R' D'
F2 R' U D' B R' D2
F2 R' U D' B D R'
F2 R' U D' B D' R'
F2 R' U D' B D2 R'
U2 R' U D' L2 B R'
U2 R' U D' B L2 R'
U2 R' U D' B R' L2
U R' U D' L2 B R'
U R' U D' B L2 R'
U R' U D' B R' L2
L U' F2 R' B' U B2
F2 R' D' L U B R'
F2 R' D' L' U B R'
U' R' D' U L2 B R'
U' R' D' U B L2 R'
U' R' D' U B R' L2
F2 R' D' L2 U B R'
U2 R' D' U L2 B R'
F2 R' D' U B R' D
F2 R' D' U B R' D'
F2 R' D' U B R' D2
F2 R' D' U B D R'
F2 R' D' U B D' R'
F2 R' D' U B D2 R'
U2 R' D' U B L2 R'
U2 R' D' U B R' L2
F2 R' D' B' U B2 R'
U R' D' U L2 B R'
U R' D' U B L2 R'
U R' D' U B R' L2
F R' D' F U B R'
F R' F L B' U B2
F R' F U D' B R'
F R' F D' U B R'
U' R' F2 L B' U B2
U2 R' F2 L B' U B2
U' R' F2 U D' B R'
U' R' F2 D' U B R'
U2 R' F2 U D' B R'
U R' F2 L B' U B2
U2 R' F2 D' U B R'
F2 R' B L B' U B
U R' F2 U D' B R'
U R' F2 D' U B R'
L U2 R' F2 B' U B2
L U2 R' B' F2 U B2
F2 R' B' L B' U B'
F2 R2 L B' R U B
L U2 F2 R' B' U B2
F2 R2 D' R U B R'
R' D U' R2 F' U2 R
R D F' R2 B2 L U2
R D F' B2 R2 U2 R'
R' D' L U L B R'
R' D' L' U L' B R'
R' D' L' U B L' R'
R' D' L' U B R' L'
R D B2 F' R2 U2 R'
R D' L2 R2 F2 B R'
R D' L2 R2 B R' F2
R D' L2 R2 B F2 R'
R2 D' R U L2 B R'
R2 D' R U B L2 R'
R2 D' R U B R' L2
R' D' U L' B L' R'
R' D' U L' B R' L'
R' D' U L2 B R' D
R' D' U L2 B R' D'
R' D' U L2 B R' D2
R' D' U L2 B D R'
R' D' U L2 B D' R'
R' D' U L2 B D2 R'
R' D' U B L2 R' D
R' D' U B L2 R' D'
R' D' U B L2 R' D2
R' D' U B L2 D R'
R' D' U B L2 D' R'
R' D' U B L2 D2 R'
R' D' U B R' L2 D
R' D' U B R' L2 D'
R' D' U B R' L2 D2
R D' R2 L2 F2 B R'
R D' R2 L2 B R' F2
R D' R2 L2 B F2 R'
R' D' U' B L2 R' F
R' D' U' B L2 F R'
R' D' U' B R' L2 F
R D' R2 F2 L2 B R'
R D' R2 F2 B L2 R'
R D' R2 F2 B R' L2
R D' R2 B L2 R' F2
R D' R2 B L2 F2 R'
R D' R2 B R' L2 F2
R D' R2 B R' F2 L2
R D' R2 B F2 L2 R'
R D' R2 B F2 R' L2
R' D' F U L2 B R'
R' D' F U B L2 R'
R' D' F U B R' L2
R' D' F' U L2 B R'
R' D' F' U B L2 R'
