B2 L' R2 D' F' R
D L2 U F L R
D L2 U F R L
U L2 F L R B2
U L2 F L B2 R
U L2 F R L B2
L2 U F L R B2
L2 U F L B2 R
L2 U F R L B2
B2 R2 L' D' F' R
B2 R2 D' L' F' R
U' B' U2 R' B' L'
U B' U2 B' L' R'
U B' U2 B' R' L'
U L B2 L F L R
U L B2 L F R L
B2 L' R' U F' L' U'
B2 L' R2 D' F' R D
B2 L' R2 D' F' R D'
B2 L' R2 D' F' R D2
B2 L' R2 D' F' D R
B2 L' R2 D' F' D' R
B2 L' R2 D' F' D2 R
L2 R' F L B2 D R2
L2 R' F' U' L F2 B2
L2 R' F' U' L B2 F2
L2 R' F' U' F2 L B2
B2 L' D R2 D' F' R
B2 L' D' R2 D' F' R
B2 L' D2 R2 D' F' R
B2 L' F R2 D' F' R
U L' F B2 D2 R F'
B2 L' F' R2 D' F' R
B2 L' F2 R2 D' F' R
B L' B R2 D' F' R
U L' B2 L' F L R
U L' B2 L' F R L
U' L' B2 D2 R F' R
U' L' B2 D2 F' R F'
U L' B2 D2 F R F'
U L' B2 F D2 R F'
R' L2 F L B2 D R2
U L2 R F L R B2
U L2 R F L B2 R
U L2 R F R L B2
U L2 R' F L R B2
U L2 R' F L B2 R
U L2 R' F R L B2
B2 L2 R2 D' L F' R
B2 L2 R2 D' F' L R
B2 L2 R2 D' F' R L
R' L2 F' U' L F2 B2
R' L2 F' U' L B2 F2
R' L2 F' U' F2 L B2
U L2 R2 F L R B2
U L2 R2 F L B2 R
U L2 R2 F R L B2
D L2 U R F L R
D L2 U R F R L
F' L2 U F L' R B2
F' L2 U F L' B2 R
F' L2 U F R L' B2
F' L2 U F R B2 L'
D L2 U R' F L R
D L2 U R' F R L
F' L2 U F B2 L' R
F' L2 U F B2 R L'
D L2 U R2 F L R
D L2 U R2 F R L
D L2 U D F L R
D L2 U D F R L
D L2 U D' F L R
D L2 U D' F R L
D L2 U D2 F L R
D L2 U D2 F R L
D L2 U F L R D
D L2 U F L R D'
D L2 U F L R D2
D L2 U F L D R
D L2 U F L D' R
D L2 U F L D2 R
D L2 U F R L D
D L2 U F R L D'
D L2 U F R L D2
D L2 U F R D L
D L2 U F R D' L
D L2 U F R D2 L
D L2 U F D L R
D L2 U F D R L
D L2 U F D' L R
D L2 U F D' R L
D L2 U F D2 L R
D L2 U F D2 R L
F' L2 U B2 F L' R
F' L2 U B2 F R L'
D L2 U F2 L F' R
U' L2 U2 F L R B2
U' L2 U2 F L B2 R
U' L2 U2 F R L B2
D L2 D U F L R
D L2 D U F R L
D L2 D' U F L R
D L2 D' U F R L
D L2 D2 U F L R
D L2 D2 U F R L
U' L2 F L B' R' B'
U L2 F L R B2 D
U L2 F L R B2 D'
U L2 F L R B2 D2
U L2 F L R' B2 R2
U L2 F L B' R B'
U L2 F L B2 R D
U L2 F L B2 R D'
U L2 F L B2 R D2
U L2 F L B2 D R
U L2 F L B2 D' R
U L2 F L B2 D2 R
U L2 F L' R B2 L2
U L2 F L' B2 L2 R
U L2 F L' B2 R L2
U L2 F L2 R B2 L'
U L2 F L2 B2 L' R
U L2 F L2 B2 R L'
U L2 F R L B2 D
U L2 F R L B2 D'
U L2 F R L B2 D2
U L2 F R L' B2 L2
U L2 F R L2 B2 L'
U L2 F R' L B2 R2
U L2 F B2 R D2 L2
L2 U R F L R B2
L2 U R F L B2 R
L2 U R F R L B2
U L2 F2 L F' R B2
U L2 F2 L F' B2 R
U L2 F2 L B2 F' R
L2 U R' F L R B2
L2 U R' F L B2 R
L2 U R' F R L B2
L2 U R2 F L R B2
L2 U R2 F L B2 R
L2 U R2 F R L B2
U L2 B2 F R D2 L2
L2 U F L R B2 D
L2 U F L R B2 D'
L2 U F L R B2 D2
L2 U F L R' B2 R2
L2 U F L B' R B'
L2 U F L B2 R D
L2 U F L B2 R D'
L2 U F L B2 R D2
L2 U F L B2 D R
L2 U F L B2 D' R
L2 U F L B2 D2 R
L2 U F L' R B2 L2
L2 U F L' B2 L2 R
L2 U F L' B2 R L2
L2 U F L2 R B2 L'
L2 U F L2 B2 L' R
L2 U F L2 B2 R L'
L2 U F R L B2 D
L2 U F R L B2 D'
L2 U F R L B2 D2
L2 U F R L' B2 L2
L2 U F R L2 B2 L'
L2 U F R' L B2 R2
L2 U F B2 R D2 L2
U R L2 F L R B2
U R L2 F L B2 R
U R L2 F R L B2
B' R U B U L' B2
B' R U B U B2 L'
L2 U F2 L F' R B2
L2 U F2 L F' B2 R
L2 U F2 L B2 F' R
B' R U2 B' L' D' R2
B' R U2 B' D' L' R2
B' R U2 B' D' R2 L'
L2 U B2 F R D2 L2
B' R B' L' D' R2 F'
U' R B' U2 R' B' L'
B' R B' D' L' R2 F'
B' R B' D' R2 L' F'
F2 R B' U B2 U B
F2 R B' U2 D' R2 B'
F2 R B' U2 D' B' R2
F2 R B' D L2 F U2
F2 R B' D' U2 R2 B'
F2 R B' D' U2 B' R2
U R B' U2 B' L' R'
U R B' U2 B' R' L'
B2 R' L' U F' L' U'
L2 U' F L B' R' B'
U R' L2 F L R B2
U R' L2 F L B2 R
U R' L2 F R L B2
U' R' B' U2 R' B' L'
U R' B' U2 B' L' R'
U R' B' U2 B' R' L'
B2 R2 L' D' F' R D
B2 R2 L' D' F' R D'
B2 R2 L' D' F' R D2
B2 R2 L' D' F' D R
B2 R2 L' D' F' D' R
B2 R2 L' D' F' D2 R
B2 R2 L2 D' L F' R
B2 R2 L2 D' F' L R
B2 R2 L2 D' F' R L
U R2 L2 F L R B2
U R2 L2 F L B2 R
U R2 L2 F R L B2
B2 R2 D L' D2 F' R
B2 R2 D' L F' L2 R
B2 R2 D' L F' R L2
B2 R2 D' L' F' R D
B2 R2 D' L' F' R D'
B2 R2 D' L' F' R D2
B2 R2 D' L' F' D R
B2 R2 D' L' F' D' R
B2 R2 D' L' F' D2 R
B2 R2 D' L2 F' L R
B2 R2 D' L2 F' R L
B2 R2 D2 L' F' D R2
U' R2 B' U2 R' B' L'
U R2 B' U2 B' L' R'
U R2 B' U2 B' R' L'
F' U L2 F L' R B2
F' U L2 F L' B2 R
F' U L2 F R L' B2
F' U L2 F R B2 L'
F' U L2 F B2 L' R
F' U L2 F B2 R L'
F' U L2 B2 F L' R
F' U L2 B2 F R L'
F2 U R B' U2 B' R'
F2 U B' R U2 B' R'
B U B2 U2 B' L' R'
B U B2 U2 B' R' L'
F2 U' R B' U2 R' B'
D2 U' F2 R B' U2 R'
D2 U' F2 B' R U2 R2
D2 U' B' F2 R U2 R2
B' U' B U' B2 L' R'
B' U' B U' B2 R' L'
B U' B L' D2 R2 F'
F2 U' B' R U2 R2 B'
F2 U' B' R U2 B' R2
B' U' B2 U' L' B R'
B' U' B2 U' B L' R'
B' U' B2 U' B R' L'
U' D2 F2 R B' U2 R'
B U2 L' B D' R2 F'
U' D2 F2 B' R U2 R2
U' D2 B' F2 R U2 R2
B' U2 B' L' U' B' U
B' U2 B2 L' B D' R2
U F R' B2 R2 F' L'
B2 D L' R2 D' F' R
B2 D R2 L' D' F' R
B2 D R2 D' L' F' R
R' F B2 D R2 F' L'
U F B2 R2 F' L' R'
U F B2 R2 F' R' L'
R' F' L2 U' F L' B2
R' F' L2 U' F B2 L'
R' F' L2 U' B2 F L'
D F' L2 U F L' R
D F' L2 U F R L'
U F' L2 F B2 L' R'
U F' L2 F B2 R' L'
U F' L2 B2 R' F L'
U F' L2 B2 F L' R'
U F' L2 B2 F R' L'
R' F' U' L2 F L' B2
R' F' U' L2 F B2 L'
R' F' U' L2 B2 F L'
B2 D' L' R2 D' F' R
B2 D' R2 L' D' F' R
B2 D' R2 D' L' F' R
U' F2 R B' U2 R' B'
D2 F2 R B' U B2 U
D2 F2 R B' U2 D' R2
D2 F2 R B' D L2 U2
D2 F2 R B' D' U2 R2
B2 D2 L' R2 D' F' R
U' F2 B' R U2 R2 B'
U' F2 B' R U2 B' R2
B2 D2 R2 L' D' F' R
D2 F2 B' R U B U
B2 D2 R2 D' L' F' R
U' B L B2 U2 B' L2
U' B L' D2 F2 B R2
U' B L' D2 B R2 F2
U' B L' D2 B F2 R2
U' B L' B D2 R2 F'
U2 B L' B D' R2 F'
R B U L' D2 F2 B
R B U L' D2 B F2
R B U D2 L' F2 B
R B U D2 L' B F2
R B U D2 B L' F2
R B U' B2 U2 B' L'
B2 F R2 D' F' L' R
B2 F R2 D' F' R L'
R B D2 U L' F2 B
R B D2 U L' B F2
R B D2 U B L' F2
U' B' L2 F U2 L R'
U' B' L2 F U2 R' L
U' B' R U2 R2 B' L'
U' B' R U2 B' L' R2
U' B' R U2 B' R2 L'
U' B' R B' L' R2 F'
U' B' R B' R2 L' F'
U B' L2 F U2 L R
U B' L2 F U2 R L
U' B' R2 U2 R B' L'
U' B' R2 U2 B' L' R
U' B' R2 U2 B' R L'
U B' R U2 B' L' R'
U B' R U2 B' R' L'
U B' R' U2 B' L' R'
U B' R' U2 B' R' L'
U B' R2 U2 B' L' R'
U B' R2 U2 B' R' L'
U' B' U2 L' D2 R' B
U' B' U2 R B' L' R2
U' B' U2 R B' R2 L'
U' B' U2 R' D B' L'
U' B' U2 R' D' B' L'
U' B' U2 R' D2 B' L'
U' B' U2 R' B L' B2
U' B' U2 R' B' L' D
U' B' U2 R' B' L' D'
U' B' U2 R' B' L' D2
U' B' U2 R' B' D L'
U' B' U2 R' B' D' L'
U' B' U2 R' B' D2 L'
U' B' U2 R' B2 L' B
U' B' U2 R2 B' L' R
U' B' U2 R2 B' R L'
U' B' U2 D R' B' L'
U' B' U2 D' R' B' L'
U' B' U2 D2 R' B' L'
F2 B' R U B U B2
F2 B' R U2 B' D' R2
U' B' D U2 R' B' L'
R B' U B2 U L' B
R B' U B2 U B L'
U' B' D' U2 R' B' L'
U B' U2 R B' L' R'
U B' U2 R B' R' L'
U B' U2 R' B' L' R'
U B' U2 R' B' R' L'
U B' U2 R2 B' L' R'
U B' U2 R2 B' R' L'
U B' U2 D B' L' R'
U B' U2 D B' R' L'
U B' U2 D' B' L' R'
U B' U2 D' B' R' L'
U B' U2 D2 B' L' R'
U B' U2 D2 B' R' L'
U B' U2 B' L' R' D
U B' U2 B' L' R' D'
U B' U2 B' L' R' D2
