U2 B U' B' R'
L U2 F B U' B'
L U2 B F U' B'
U2 D B U' B' R'
U2 D' B U' B' R'
D' U2 B U' B' R'
U2 D2 B U' B' R'
D2 U2 B U' B' R'
D U2 B U' B' R'
U2 F B U' B' R'
U2 F' B U' B' R'
U2 F2 B U' B' R'
U2 B R' F' U' B'
U2 B U' R B' R'
U2 B U' R' B' R'
U2 B U' R2 B' R'
U2 B U' D B' R'
U2 B U' D' B' R'
U2 B U' D2 B' R'
U2 B U' B' R' D
U2 B U' B' R' D'
U2 B U' B' R' D2
U2 B U' B' D R'
U2 B U' B' D' R'
U2 B U' B' D2 R'
U2 B D U' B' R'
U2 B D' U' B' R'
U2 B D2 U' B' R'
U2 B F U' B' R'
U2 B F' U' B' R'
U2 B F2 U' B' R'
L' B' U2 B2 U' B2
U' L U' B U' B' R'
B' L U2 F B2 U' B2
D2 L U2 F B U' B'
D' L U2 F B U' B'
D L U2 F B U' B'
D2 L U2 B F U' B'
D' L U2 B F U' B'
B' L U2 B2 F U' B2
D L U2 B F U' B'
B L F U F' U2 F
R2 L' U F' R2 B' U
R2 L' U F' B' R2 U
R2 L' U B' F' R2 U
U' L' U' B U' B' R'
L' R2 U F' R2 B' U
L' R2 U F' B' R2 U
L' R2 U B' F' R2 U
D2 L' B' U2 B2 U' B2
D' L' B' U2 B2 U' B2
B' L' B' U2 B' U' B
B L' B' U2 B U' B'
F2 L' B' D2 F2 U B2
D L' B' U2 B2 U' B2
U' L2 U' B U' B' R'
L' U R2 F' B' U F
L' U R2 B' F' U F
U L2 B' D' R' B2 L
R2 U F' R2 B' U R'
R2 U F' B' R2 U R
U' R U' R' F' B U'
U' R U' R' B F' U'
L' U B' D2 F2 U F2
R2 U B' F' R2 U R
L U' F B L2 U' F
L U' F B U B' U2
L2 U' B L2 U' F R
B R' U2 R B U B'
L U' B F L2 U' F
L U' B F U B' U2
U2 R' F' R B U' B'
U2 R' F' B' U' B L
U2 R' B' F' U' B L
L U2 D F B U' B'
L U2 D B F U' B'
L2 U2 D' B U' R' B'
L U2 D' F B U' B'
L U2 D' B F U' B'
L U2 D2 F B U' B'
L U2 D2 B F U' B'
L U2 F D B U' B'
L U2 F D' B U' B'
L U2 F D2 B U' B'
L U2 F B R U' B'
L U2 F B R' U' B'
L U2 F B R2 U' B'
L U2 F B U' D B'
L U2 F B U' D' B'
L U2 F B U' D2 B'
L U2 F B U' B' D
L U2 F B U' B' D'
L U2 F B U' B' D2
L U2 F B D U' B'
L U2 F B D' U' B'
L U2 F B D2 U' B'
L' U2 B U' D' R2 B'
L' U2 B U' D' B' R2
L' U2 B U2 B2 U B
L' U2 B D' U' R2 B'
L' U2 B D' U' B' R2
L' U2 B D2 F2 U' B'
L U2 B R F U' B'
L U2 B R' F U' B'
L U2 B R2 F U' B'
L U2 B D F U' B'
L U2 B D' F U' B'
L U2 B D2 F U' B'
L U2 B F R U' B'
L U2 B F R' U' B'
L U2 B F R2 U' B'
L U2 B F U' D B'
L U2 B F U' D' B'
L U2 B F U' D2 B'
L U2 B F U' B' D
L U2 B F U' B' D'
L U2 B F U' B' D2
L U2 B F D U' B'
L U2 B F D' U' B'
L U2 B F D2 U' B'
U R2 F' B' U R' F
U R2 F' B' U F R'
U R2 B' F' U R' F
U R2 B' F' U F R'
L D U2 F B U' B'
L D U2 B F U' B'
F' U L2 B' R' D L2
F' U L2 B' D L2 R'
F' U L2 B' D R' L2
L' D B' U2 B2 U' B2
U2 D F B U' B' R'
U2 D F' B U' B' R'
U2 D F2 B U' B' R'
U2 D B R' F' U' B'
U2 D B U' R B' R'
U2 D B U' R' B' R'
U2 D B U' R2 B' R'
U2 D B U' D B' R'
U2 D B U' D' B' R'
U2 D B U' D2 B' R'
U2 D B U' B' R' D
U2 D B U' B' R' D'
U2 D B U' B' R' D2
U2 D B U' B' D R'
U2 D B U' B' D' R'
U2 D B U' B' D2 R'
U2 D B D U' B' R'
U2 D B D' U' B' R'
U2 D B D2 U' B' R'
U2 D B F U' B' R'
U2 D B F' U' B' R'
U2 D B F2 U' B' R'
F' U B' R' D L2 B'
F' U B' D L2 R' B'
F' U B' D R' L2 B'
L2 D' U2 B U' R' B'
L D' U2 F B U' B'
L D' U2 B F U' B'
U2 D' F B U' B' R'
L' D' B' U2 B2 U' B2
U2 D' F' B U' B' R'
U2 D' F2 B U' B' R'
U2 D' B R' F' U' B'
U2 D' B U' R B' R'
U2 D' B U' R' B' R'
U2 D' B U' R2 B' R'
U2 D' B U' D B' R'
U2 D' B U' D' B' R'
U2 D' B U' D2 B' R'
U2 D' B U' B' R' D
U2 D' B U' B' R' D'
U2 D' B U' B' R' D2
U2 D' B U' B' D R'
U2 D' B U' B' D' R'
U2 D' B U' B' D2 R'
U2 D' B D U' B' R'
U2 D' B D' U' B' R'
U2 D' B D2 U' B' R'
U2 D' B F U' B' R'
U2 D' B F' U' B' R'
U2 D' B F2 U' B' R'
F' U' F U' B U' R
F U' F' L' U' B U'
D' U2 F B U' B' R'
D2 U2 F B U' B' R'
L D2 U2 F B U' B'
U2 D2 F B U' B' R'
L D2 U2 B F U' B'
D' U2 F' B U' B' R'
D2 U2 F' B U' B' R'
D U2 F B U' B' R'
U2 D2 F' B U' B' R'
D' U2 F2 B U' B' R'
D2 U2 F2 B U' B' R'
D U2 F' B U' B' R'
D' U2 B R' F' U' B'
D2 U2 B R' F' U' B'
D' U2 B U' R B' R'
D' U2 B U' R' B' R'
D' U2 B U' R2 B' R'
D' U2 B U' D B' R'
D' U2 B U' D' B' R'
D' U2 B U' D2 B' R'
D' U2 B U' B' R' D
D' U2 B U' B' R' D'
D' U2 B U' B' R' D2
D' U2 B U' B' D R'
D' U2 B U' B' D' R'
D' U2 B U' B' D2 R'
U2 D2 F2 B U' B' R'
D2 U2 B U' R B' R'
D2 U2 B U' R' B' R'
D2 U2 B U' R2 B' R'
D2 U2 B U' D B' R'
D' U2 B D U' B' R'
D2 U2 B U' D' B' R'
D2 U2 B U' D2 B' R'
D2 U2 B U' B' R' D
D2 U2 B U' B' R' D'
D2 U2 B U' B' R' D2
D2 U2 B U' B' D R'
D2 U2 B U' B' D' R'
D2 U2 B U' B' D2 R'
D' U2 B D' U' B' R'
D' U2 B D2 U' B' R'
D2 U2 B D U' B' R'
D2 U2 B D' U' B' R'
D' U2 B F U' B' R'
B' U2 R' F' B2 U' B2
D' U2 B F' U' B' R'
D2 U2 B D2 U' B' R'
D' U2 B F2 U' B' R'
D2 U2 B F U' B' R'
D2 U2 B F' U' B' R'
U2 D2 B R' F' U' B'
D2 U2 B F2 U' B' R'
B' U2 R' B2 F' U' B2
B2 U2 R' F' B' U' B
D U2 F2 B U' B' R'
U2 D2 B U' R B' R'
U2 D2 B U' R' B' R'
U2 D2 B U' R2 B' R'
U2 D2 B U' D B' R'
U2 D2 B U' D' B' R'
U2 D2 B U' D2 B' R'
U2 D2 B U' B' R' D
U2 D2 B U' B' R' D'
U2 D2 B U' B' R' D2
U2 D2 B U' B' D R'
U2 D2 B U' B' D' R'
U2 D2 B U' B' D2 R'
B2 U2 R' B' F' U' B
U2 D2 B D U' B' R'
U2 D2 B D' U' B' R'
U2 D2 B D2 U' B' R'
U2 D2 B F U' B' R'
D U2 B R' F' U' B'
U2 D2 B F' U' B' R'
U2 D2 B F2 U' B' R'
D U2 B U' R B' R'
D U2 B U' R' B' R'
D U2 B U' R2 B' R'
D U2 B U' D B' R'
D U2 B U' D' B' R'
D U2 B U' D2 B' R'
D U2 B U' B' R' D
D U2 B U' B' R' D'
D U2 B U' B' R' D2
D U2 B U' B' D R'
D U2 B U' B' D' R'
D U2 B U' B' D2 R'
L' D2 B' U2 B2 U' B2
D U2 B D U' B' R'
D U2 B D' U' B' R'
D U2 B D2 U' B' R'
D U2 B F U' B' R'
D U2 B F' U' B' R'
D U2 B F2 U' B' R'
F' U2 B U F U2 R
B2 U2 B' U' B' R' B2
F U2 B U F' L' U2
B' U2 B2 R' F' U' B2
B' U2 B2 U' B' R' B'
U' F U' B U' R B'
U' F U' B U' B' R
U2 F D B U' B' R'
U2 F D' B U' B' R'
U' F B L2 U' R F
U' F B U B' U2 R
U2 F D2 B U' B' R'
U2 F B R' F' U' B'
U2 F B U' R B' R'
U2 F B U' R' B' R'
U2 F B U' R2 B' R'
U2 F B U' D B' R'
U2 F B U' D' B' R'
U2 F B U' D2 B' R'
U2 F B U' B' R' D
U2 F B U' B' R' D'
U2 F B U' B' R' D2
U2 F B U' B' D R'
U2 F B U' B' D' R'
U2 F B U' B' D2 R'
U2 F B D U' B' R'
U2 F B D' U' B' R'
U2 F B D2 U' B' R'
L F B U F' U2 F
U' F' L' U' B U' B'
B' D F' U L2 B' R'
R2 F' R2 U' F U2 R
U2 F' D B U' B' R'
U2 F' D' B U' B' R'
U' F' B U B' L' U2
U2 F' D2 B U' B' R'
U2 F' B R' F' U' B'
U2 F' B U' R B' R'
U2 F' B U' R' B' R'
U2 F' B U' R2 B' R'
U2 F' B U' D B' R'
U2 F' B U' D' B' R'
U2 F' B U' D2 B' R'
U2 F' B U' B' R' D
U2 F' B U' B' R' D'
U2 F' B U' B' R' D2
U2 F' B U' B' D R'
U2 F' B U' B' D' R'
U2 F' B U' B' D2 R'
U2 F' B D U' B' R'
L' F' B' U D L2 B'
U2 F' B D' U' B' R'
U2 F' B D2 U' B' R'
L' F' B' D U L2 B'
U2 F2 D B U' B' R'
U2 F2 D' B U' B' R'
U2 F2 D2 B U' B' R'
U2 F2 B R' F' U' B'
U2 F2 B U' R B' R'
U2 F2 B U' R' B' R'
U2 F2 B U' R2 B' R'
U2 F2 B U' D B' R'
U2 F2 B U' D' B' R'
U2 F2 B U' D2 B' R'
U2 F2 B U' B' R' D
U2 F2 B U' B' R' D'
U2 F2 B U' B' R' D2
U2 F2 B U' B' D R'
U2 F2 B U' B' D' R'
U2 F2 B U' B' D2 R'
U2 F2 B D U' B' R'
U2 F2 B D' U' B' R'
U2 F2 B D2 U' B' R'
L' F2 B' D2 F2 U B2
U' B L2 F' U' F2 R
U' B L2 F2 U' F' R
U2 B R U' B' D' R2
U2 B R U2 B U B2
U2 B R' D F' U' B'
U2 B R' D' F' U' B'
U2 B R' D2 F' U' B'
U2 B R' F' R U' B'
U2 B R' F' R' U' B'
U2 B R' F' R2 U' B'
U2 B R' F' U' D B'
U2 B R' F' U' D' B'
U2 B R' F' U' D2 B'
U2 B R' F' U' B' D
U2 B R' F' U' B' D'
U2 B R' F' U' B' D2
U2 B R' F' D U' B'
U2 B R' F' D' U' B'
U2 B R' F' D2 U' B'
U2 B U L2 F U2 R
U2 B U F U2 R B'
U2 B U F U2 B' R
U2 B U' R D B' R'
U2 B U' R D' B' R'
U2 B U' R D2 B' R'
U2 B U' R B' R' D
U2 B U' R B' R' D'
U2 B U' R B' R' D2
U2 B U' R B' D R'
U2 B U' R B' D' R'
U2 B U' R B' D2 R'
U2 B U' R' D B' R'
U2 B U' R' D' B' R'
U2 B U' R' D2 B' R'
U2 B U' R' B' R' D
U2 B U' R' B' R' D'
U2 B U' R' B' R' D2
U2 B U' R' B' D R'
U2 B U' R' B' D' R'
U2 B U' R' B' D2 R'
U2 B U' R2 D B' R'
U2 B U' R2 D' B' R'
U2 B U' R2 D2 B' R'
U2 B U' R2 B' R' D
U2 B U' R2 B' R' D'
U2 B U' R2 B' R' D2
U2 B U' R2 B' D R'
U2 B U' R2 B' D' R'
U2 B U' R2 B' D2 R'
U2 B U' D R B' R'
U2 B U' D R' B' R'
U2 B U' D R2 B' R'
U2 B U' D B' R' D
U2 B U' D B' R' D'
U2 B U' D B' R' D2
U2 B U' D B' D R'
U2 B U' D B' D' R'
U2 B U' D B' D2 R'
U2 B U' D' R B' R'
U2 B U' D' R' B' R'
U2 B U' D' R2 B' R'
U2 B U' D' B' R' D
U2 B U' D' B' R' D'
U2 B U' D' B' R' D2
U2 B U' D' B' D R'
U2 B U' D' B' D' R'
U2 B U' D' B' D2 R'
U2 B U' D2 R B' R'
U2 B U' D2 R' B' R'
U2 B U' D2 R2 B' R'
U2 B U' D2 B' R' D
U2 B U' D2 B' R' D'
U2 B U' D2 B' R' D2
U2 B U' D2 B' D R'
U2 B U' D2 B' D' R'
U2 B U' D2 B' D2 R'
U2 B U' F' B' R' F
U2 B U' F2 B' R' F2
U2 B U' B R B2 R'
U2 B U' B R' B2 R'
U2 B U' B R2 B2 R'
U2 B U' B' R2 D R
U2 B U' B' R2 D' R
U2 B U' B' R2 D2 R
U2 B U' B' D R' D
U2 B U' B' D R' D'
U2 B U' B' D R' D2
U2 B U' B' D' R' D
U2 B U' B' D' R' D'
U2 B U' B' D' R' D2
U2 B U' B' D2 R' D
U2 B U' B' D2 R' D'
U2 B U' B' D2 R' D2
U2 B U' B' F' R' F
U2 B U' B' F2 R' F2
U2 B D R' F' U' B'
U2 B D U' R B' R'
U2 B D U' R' B' R'
U2 B D U' R2 B' R'
U2 B D U' B' R' D
U2 B D U' B' R' D'
U2 B D U' B' R' D2
U2 B D U' B' D R'
U2 B D U' B' D' R'
U2 B D U' B' D2 R'
U2 B D F U' B' R'
U2 B D F' U' B' R'
U2 B D F2 U' B' R'
U2 B D' R' F' U' B'
U2 B D' U' R B' R'
U2 B D' U' R' B' R'
U2 B D' U' R2 B' R'
U2 B D' U' B' R' D
U2 B D' U' B' R' D'
U2 B D' U' B' R' D2
U2 B D' U' B' D R'
