B L' U' R' F B2
B L' U' R' B2 F
B L' U' F R' B2
B L R U' B2 R2 F'
B L U' R B2 R2 F'
B' L D L2 D2 R2 F
B' L D L2 D2 F R2
B' L D L2 F D2 R2
B' L D B' U2 L2 B
B' L D B' U2 B L2
B' L D' R2 B' U2 B
B' L D' B' R2 F' U2
B' L B' U' B' U' B2
B' L B' U2 B D L2
B L' R U' R2 F B2
B L' R U' R2 B2 F
B L' R U' F R2 B2
B L' R U' F B2 R2
B L' R U' B2 R2 F
B L' R U' B2 F R2
B L' R' F B2 D L2
B L' R' B2 D F L2
B L' R' B2 F D L2
B L' R2 U' R F B2
B L' R2 U' R B2 F
B L' R2 U' B2 R F
B L' U' R F R2 B2
B L' U' R F B2 R2
B L' U' R B2 R2 F
B L' U' R B2 F R2
B L' U' R' F B2 D
B L' U' R' F B2 D'
B L' U' R' F B2 D2
B L' U' R' B2 D F
B L' U' R' B2 D' F
B L' U' R' B2 D2 F
B L' U' R' B2 F D
B L' U' R' B2 F D'
B L' U' R' B2 F D2
B L' U' R2 B2 R F
B L' U' F R B2 R2
B L' U' F R' B2 D
B L' U' F R' B2 D'
B L' U' F R' B2 D2
B L' U' F R2 B2 R
B L' U' F' R' F2 B2
B L' U' F' R' B2 F2
B L' D' R2 U' R F
B' L' D2 R2 D' F L2
B L' F R' B2 D L2
B' L' F D L2 D R2
B' L' F D2 R2 D' L2
B L' F' U' R' F2 B2
B L' F' U' R' B2 F2
B L' F' U' F2 R' B2
B L' F2 U' F' R' B2
B R L U' B2 R2 F'
B R L' U' R2 F B2
B R L' U' R2 B2 F
B R L' U' F R2 B2
B R L' U' F B2 R2
B R L' U' B2 R2 F
B R L' U' B2 F R2
D2 R F' D R B' L
D2 R F' D B' L R
D2 R F' D B' R L
B R' L' F B2 D L2
B R' L' B2 D F L2
B R' L' B2 F D L2
D' R' B R' F' U B2
B R' B2 L D L2 F
B R' B2 L' D F L2
B R' B2 L' F D L2
B R2 L' U' R F B2
B R2 L' U' R B2 F
B R2 L' U' B2 R F
B R2 U' B2 D2 R F'
B U L' U2 R' F B2
B U L' U2 R' B2 F
B U L' U2 F R' B2
B U L2 U2 R' F' B2
B U L2 U2 R' B2 F'
B U R' F2 L' F B2
B U R' F2 L' B2 F
B U R' F2 B2 L' F
B U R' B2 F2 L' F
B' U B2 L' U' R' F
B' U B2 L' U' F R'
B U B2 L B' U2 B
B U' L' R' F L B2
B U' L' F L R' B2
B U' L' F R' L B2
B U' R' L' F L B2
B U' R' B2 L' F L
B U' R2 B2 D2 R F'
B U' D2 R F' R2 B
B' U2 L U2 D L2 F
B' U2 L D U2 L2 F
B' U2 L D B' U2 L2
B' U2 L D' R2 B' U2
B' U2 L D' B' R2 U2
B U' B2 U2 L B' U2
B' U2 L B' U' B' U'
B U2 L' U R' F B2
B U2 L' U R' B2 F
B U2 L' U F R' B2
R2 D2 F' U R F' B'
R2 D2 F' U R B' F'
R2 D2 F' U B' R F'
L2 F U' B U' R' F'
B' D L2 D F2 R F'
D F B L' F U' B2
D2 F' R D F' B' L
D2 F' R D B' L F'
D2 F' R D B' F' L
D2 F' R F' D B' L
D2 F' B U' R F' B2
D2 F' B U' R B2 F'
D2 F' B U' B2 R F'
D2 F' B' R D L2 F'
D2 F' B' R D F' L2
D2 F' B' R F' D L2
B D' R2 U' D' R F'
B D' R2 D' U' R F'
B2 D' B' L U' R' B2
B D2 R U' F' R2 B
U' B L' U' R' F B2
U' B L' U' R' B2 F
U' B L' U' F R' B2
B D2 U' R F' R2 B
U2 B L' U' R' F B2
U2 B L' U' R' B2 F
U2 B L' U' F R' B2
D B L' F L' U' B2
D2 B R U' F' R B2
D2 B R U' F' B2 R
D2 B R U' B2 F' R
U B L' U' R' F B2
U B L' U' R' B2 F
U B L' U' F R' B2
D2 B U' R F' R B2
D2 B U' R F' B2 R
D2 B U' R B2 F' R
D2 B U' F' R F' B2
D2 B U' F' R B2 F'
D2 B U' F' B2 R F'
L' B U' D2 R' F B
L' B U' D2 R' B F
L' B U' D2 F R' B
L' B U' F D2 R' B
D2 B U' B2 R F' R
D2 B U' B2 F' R F'
D' B U2 R' B U B
F' B L' U' R' F B2
F' B L' U' R' B2 F
F' B L' U' F R' B2
F2 B L' U' R' F B2
F2 B L' U' R' B2 F
F2 B L' U' F R' B2
B F L' U' R' F B2
B F L' U' R' B2 F
B F L' U' F R' B2
F B L' U' R' F B2
F B L' U' R' B2 F
F B L' U' F R' B2
L' B D2 U' R' F B
L' B D2 U' R' B F
L' B D2 U' F R' B
D2 B F' U' R F' B2
D2 B F' U' R B2 F'
D2 B F' U' B2 R F'
D B F L' F U' B2
L B' L U2 D L2 B'
L B' L D U2 L2 B'
L B' L D F U2 L2
L B' L D' R2 F U2
L B' L D' F R2 U2
L B' L F U' B2 U'
L B' L F U2 D L2
L B' L F D U2 L2
L B' L F D' R2 U2
D2 B' R F' R D L2
D2 B' R F' D L2 R
D2 B' R F' D R L2
B F' L' U' R' F B2
B F' L' U' R' B2 F
B F' L' U' F R' B2
D B' D L2 R F' R
D B' D L2 F' R F'
D B' D R L2 F' R
D B' D R F' L2 R
D B' D R F' R L2
D B' D F' L2 R F'
D B' D F' R L2 F'
D B' D F' R F' L2
L B' D L F U2 L
L B' D' L R2 F U2
L B' D' L F R2 U2
L B' D' R2 L F U2
D2 B' F' R D L2 F'
D2 B' F' R D F' L2
D2 B' F' R F' D L2
B F2 L' U' R' F B2
B F2 L' U' R' B2 F
B F2 L' U' F R' B2
