R' U' R F' U2
F' U R' U R
R' L U' R F' U2
F' L U R' U R
R' L' U' R F' U2
L' R' U' R F' U2
L R' U' R F' U2
L2 R' U' R F' U2
F' L' U R' U R
R' L2 U' R F' U2
F' L2 U R' U R
R' U' R D F' U2
R' U' R D' F' U2
R' U' R D2 F' U2
R' U' R F' U2 D
R' U' R F' U2 D'
R' U' R F' U2 D2
R' U' R F' D U2
R' U' R F' D' U2
R' U' R F' D2 U2
U R' U R' B R2
F2 R' U' R F U2
D2 R' U' R F' U2
D' R' U' R F' U2
D R' U' R F' U2
F R' U' R F2 U2
F R' U' F2 U2 L'
F' U R' U R D
F' U R' U R D'
F' U R' U R D2
F' U R' U D R
F' U R' U D' R
F' U R' U D2 R
F' U R' D U R
F' U R' D' U R
F' U R' D2 U R
F' U R' B U R
F' U R' B' U R
F' U R' B2 U R
F' U D R' U R
F' U D' R' U R
F' U D2 R' U R
R' D' F2 U L' B'
F' D U R' U R
L' F' U R' U R
D2 F' U R' U R
D' F' U R' U R
L2 F' U R' U R
L F' U R' U R
D F' U R' U R
F' D' U R' U R
F' D2 U R' U R
F' B' U B R' U
B' F' U B R' U
B2 F' U B2 R' U
F' B2 U B2 R' U
D' L R' U' R F' U2
D2 L R' U' R F' U2
D L R' U' R F' U2
F L R' U' R F2 U2
U L R' U R' B R2
F L R' U' F2 U2 L'
R' L U' R D F' U2
R' L U' R D' F' U2
R' L U' R D2 F' U2
R' L U' R F' U2 D
R' L U' R F' U2 D'
R' L U' R F' U2 D2
R' L U' R F' D U2
R' L U' R F' D' U2
R' L U' R F' D2 U2
F' L U R' U R D
F' L U R' U R D'
F' L U R' U R D2
F' L U R' U D R
F' L U R' U D' R
F' L U R' U D2 R
F' L U R' D U R
F' L U R' D' U R
F' L U R' D2 U R
F' L U R' B U R
F' L U R' B' U R
F' L U R' B2 U R
F' L U D R' U R
F' L U D' R' U R
F' L U D2 R' U R
R' L D' F2 U L' B'
F' L D U R' U R
F' L D' U R' U R
F' L D2 U R' U R
D2 L F' U R' U R
D' L F' U R' U R
D L F' U R' U R
B' L F' U B R' U
F L F2 U R' U R
F' L B' U B R' U
R' L' U' R D F' U2
R' L' U' R D' F' U2
L' R' U' R D F' U2
R' L' U' R D2 F' U2
L' R' U' R D' F' U2
L' R' U' R D2 F' U2
R' L' U' R F' U2 D
R' L' U' R F' U2 D'
R' L' U' R F' U2 D2
R' L' U' R F' D U2
R' L' U' R F' D' U2
R' L' U' R F' D2 U2
L' R' U' R F' U2 D
L' R' U' R F' U2 D'
L' R' U' R F' U2 D2
L' R' U' R F' D U2
L' R' U' R F' D' U2
L' R' U' R F' D2 U2
L R' U' R D F' U2
L R' U' R D' F' U2
L R' U' R D2 F' U2
L R' U' R F' U2 D
L R' U' R F' U2 D'
L R' U' R F' U2 D2
L R' U' R F' D U2
L R' U' R F' D' U2
L2 R' U' R D F' U2
L R' U' R F' D2 U2
L2 R' U' R D' F' U2
L2 R' U' R D2 F' U2
L2 R' U' R F' U2 D
L2 R' U' R F' U2 D'
L2 R' U' R F' U2 D2
L2 R' U' R F' D U2
L2 R' U' R F' D' U2
L2 R' U' R F' D2 U2
F' L B2 U B2 R' U
D2 L' R' U' R F' U2
D' L' R' U' R F' U2
D L' R' U' R F' U2
F L' R' U' R F2 U2
F L' R' U' F2 U2 L'
U L' R' U R' B R2
R' L' D' F2 U L' B'
L' R' D' F2 U L' B'
L R' D' F2 U L' B'
L2 R' D' F2 U L' B'
F' L' U R' U R D
F' L' U R' U R D'
F' L' U R' U R D2
F' L' U R' U D R
F' L' U R' U D' R
F' L' U R' U D2 R
F' L' U R' D U R
F' L' U R' D' U R
F' L' U R' D2 U R
F' L' U R' B U R
F' L' U R' B' U R
F' L' U R' B2 U R
F2 L' U R' U R B
F' L' U D R' U R
F' L' U D' R' U R
F' L' U D2 R' U R
B2 L' D L2 F' U2 F'
F' L' D U R' U R
B2 L' D F' L2 U2 F'
F' L' D' U R' U R
B2 L' D' F' B2 U2 R2
B2 L' D' B2 U2 R2 B
B2 L' D' B2 F' U2 R2
F' L' D2 U R' U R
D2 L' F' U R' U R
D' L' F' U R' U R
B' L' F' U B R' U
D L' F' U R' U R
B2 L' F' D L2 U2 F2
B2 L' F' D' B2 U2 R2
R' L2 U' R D F' U2
R' L2 U' R D' F' U2
R' L2 U' R D2 F' U2
R' L2 U' R F' U2 D
R' L2 U' R F' U2 D'
R' L2 U' R F' U2 D2
R' L2 U' R F' D U2
R' L2 U' R F' D' U2
R' L2 U' R F' D2 U2
F L' F2 U R' U R
F' L' B' U B R' U
F' L' B2 U B2 R' U
R' L2 D' F2 U L' B'
D2 L2 R' U' R F' U2
D' L2 R' U' R F' U2
F2 L2 R' U' R U2 B'
D L2 R' U' R F' U2
F L2 R' U' R F2 U2
F L2 R' U' F2 U2 L'
U L2 R' U R' B R2
F2 L2 R' F2 U B' L'
F' L2 U R' U R D
F' L2 U R' U R D'
F' L2 U R' U R D2
F' L2 U R' U D R
F' L2 U R' U D' R
F' L2 U R' U D2 R
F' L2 U R' D U R
F' L2 U R' D' U R
F' L2 U R' D2 U R
F' L2 U R' B U R
F' L2 U R' B' U R
F' L2 U R' B2 U R
F' L2 U D R' U R
F2 L2 U R' U R B'
F2 L2 U R' U B' R
F' L2 U D' R' U R
F' L2 U D2 R' U R
F' L2 D U R' U R
F' L2 D' U R' U R
R' U L U2 R F' U2
F' L2 D2 U R' U R
R' U L' U2 R F' U2
R' U L2 U2 R F' U2
D2 L2 F' U R' U R
D' L2 F' U R' U R
B' L2 F' U B R' U
D L2 F' U R' U R
R' U R F' U2 R' F
R' U R F' U2 F R'
L' U R' U R' B R2
R' U R' D2 L2 B R
R' U R' D2 B L2 R
R' U R' D2 B R L2
F L2 F2 U R' U R
L2 U R' U R' B R2
R' U R' B D2 L2 R
R' U R' B D2 R L2
L U R' U R' B R2
F' L2 B' U B R' U
F' L2 B2 U B2 R' U
R' U B U2 R F' U2
R' U B' U2 R F' U2
R' U B2 U2 R F' U2
R' U' L' R F' L U2
R' U' L2 R F' L2 U2
R' U' R L' F' L U2
R' U' R L2 F' L2 U2
R' U' R U' R2 U' B
R' U' R U2 R2 B R2
R' U' R D F' U2 D
R' U' R D F' U2 D'
R' U' R D F' U2 D2
R' U' R D F' D U2
R' U' R D F' D' U2
R' U' R D F' D2 U2
R' U' R D' F' U2 D
R' U' R D' F' U2 D'
R' U' R D' F' U2 D2
R' U' R D' F' D U2
R' U' R D' F' D' U2
R' U' R D' F' D2 U2
R' U' R D2 F' U2 D
R' U' R D2 F' U2 D'
R' U' R D2 F' U2 D2
R' U' R D2 F' D U2
R' U' R D2 F' D' U2
R' U' R D2 F' D2 U2
R' U' R F U2 D2 B2
R' U' R F D2 U2 B2
R' U' R F2 D F U2
R' U' R F2 D' F U2
R' U' R F2 D2 F U2
R' U' R' U2 D2 L2 B
R' U' R' U2 D2 B L2
R' U' R' U2 B D2 L2
R' U' R' D2 U2 L2 B
R' U' R' D2 U2 B L2
R' U' R' F R2 F' U2
R' U' R' F' R2 F' U2
R' U' R' F2 R2 F' U2
R' U' R2 D R' F' U2
R' U' R2 D' R' F' U2
R' U' R2 D2 R' F' U2
R' U' R2 F R' F' U2
R' U' R2 F' R' F' U2
R' U' R2 F2 R' F' U2
R2 U' R2 F' U R' U
D2 R' L U' R F' U2
D' R' L U' R F' U2
D R' L U' R F' U2
D2 R' L' U' R F' U2
D' R' L' U' R F' U2
F R' L U' R F2 U2
U R' L U R' B R2
F R' L U' F2 U2 L'
R' U' F R F' R U2
D R' L' U' R F' U2
D2 R' L2 U' R F' U2
D' R' L2 U' R F' U2
F R' L' U' R F2 U2
U R' L' U R' B R2
F R' L' U' F2 U2 L'
R' U' F' R F' U2 L'
F2 R' L2 U' R U2 B'
R' U' F' R' U2 B L
D R' L2 U' R F' U2
F2 R' L2 F2 U B' L'
F R' L2 U' R F2 U2
U R' L2 U R' B R2
F R' L2 U' F2 U2 L'
R' U' F2 R' U2 L' B
R' U' F2 R' U2 B L'
R' U' F2 R2 U2 L' B'
U R' U R U2 F' U2
D2 R' U' R D F' U2
D2 R' U' R D' F' U2
D2 R' U' R D2 F' U2
D' R' U' R D F' U2
D' R' U' R D' F' U2
D2 R' U' R F' U2 D
D2 R' U' R F' U2 D'
D2 R' U' R F' U2 D2
D2 R' U' R F' D U2
D2 R' U' R F' D' U2
D2 R' U' R F' D2 U2
D' R' U' R D2 F' U2
D' R' U' R F' U2 D
D' R' U' R F' U2 D'
D' R' U' R F' U2 D2
D' R' U' R F' D U2
D' R' U' R F' D' U2
D' R' U' R F' D2 U2
U R' U R' B R2 D
U R' U R' B R2 D'
U R' U R' B R2 D2
U R' U R' B' R2 B2
U R' U R' B2 R2 B'
F' R' U' R U' R' U'
R' U' B R F' B' U2
R' U' B R B' F' U2
F2 R' U' R D F U2
F2 R' U' R D' F U2
F2 R' U' R D2 F U2
F2 R' U' R F U2 D
F2 R' U' R F U2 D'
F2 R' U' R F U2 D2
F2 R' U' R F D U2
F2 R' U' R F D' U2
F2 R' U' R F D2 U2
F2 R' U' R' F R2 U2
F2 R' U' R2 F R' U2
F2 R' U' D R F U2
U R' U B R' B R2
D R' U' R D F' U2
D R' U' R D' F' U2
D R' U' R D2 F' U2
D R' U' R F' U2 D
D R' U' R F' U2 D'
D R' U' R F' U2 D2
D R' U' R F' D U2
D R' U' R F' D' U2
D R' U' R F' D2 U2
F2 R' U' D' R F U2
U R' U B' R' B R2
F2 R' U' D2 R F U2
U R' U B2 R' B R2
F R' U' R U2 D2 B2
F R' U' R D2 U2 B2
F R' U' R F2 U2 D
F R' U' R F2 U2 D'
F R' U' R F2 U2 D2
F R' U' R F2 D U2
F R' U' R F2 D' U2
F R' U' R F2 D2 U2
F R' U' R' F2 R2 U2
F R' U' R2 F2 R' U2
F R' U' D2 R U2 B2
F R' U' F2 R U2 L'
F R' U' F2 R' U2 L'
F R' U' F2 R2 U2 L'
F R' U' F2 U2 L' D
F R' U' F2 U2 L' D'
F R' U' F2 U2 L' D2
F R' U' F2 U2 D L'
F R' U' F2 U2 D' L'
F R' U' F2 U2 D2 L'
F R' U' F2 D U2 L'
F R' U' F2 D' U2 L'
F R' U' F2 D2 U2 L'
U R' U2 R' U' B R2
R' U' B2 R F' B2 U2
R' U' B2 R B2 F' U2
F2 R' D U' R F U2
D2 R' D' F2 U L' B'
D' R' D' F2 U L' B'
U R' D B' L U R
F2 R' D' U' R F U2
U R' D B2 U R B
F R' D' L2 U' R U2
F R' D' L2 F2 U L'
D R' D' F2 U L' B'
F R' D' F2 L2 U L
F2 R' D2 U' R F U2
U R' D2 L U R B'
U R' D2 L U B' R
F R' D2 U' R U2 B2
F' R' F U' F' R U2
F R' D2 F2 U L' B2
F R' D2 F2 U B2 L'
F R' F U' F U2 L'
F' R' F2 U L' D2 B2
F' R' F2 U D2 L' B2
F' R' F2 U D2 B2 L'
R' U2 R' U R2 F' U2
F' R' F2 U' F2 R U2
R' U2 R' U' D2 L2 B
R' U2 R' U' D2 B L2
R' U2 R' U' B D2 L2
F' R' F2 D' L2 U L
R' U2 R' D B2 U' B'
F' R' F2 D2 U L' B2
F' R' F2 D2 U B2 L'
R' U2 R' D2 U' L2 B
R' U2 R' D2 U' B L2
U R' B U R' B R2
U R' B' U R' B R2
U R' B2 U R' B R2
U2 R2 U' R U R' B
R' U2 B U R F' U2
U' R2 U2 R U R' B
R' U2 B' U R F' U2
R' U2 B2 U R F' U2
U R2 D B2 R U B'
F R2 D' L2 R F2 U
F R2 D' R L2 F2 U
F R2 D' R F2 L2 U
F2 R2 D2 R U L2 B'
F R2 D2 R U L2 B2
F R2 D2 R U B2 L2
L' D R' U' R F' U2
L2 D R' U' R F' U2
U2 R2 B U' R U R'
L D R' U' R F' U2
B R2 B' R' U B2 L
U R2 B' R U R B2
U R2 B' R U B2 R
U R2 B2 R U R B'
U R2 B2 R U B' R
F2 U L2 R' U R B'
F2 U L2 R' U B' R
L' D F' U R' U R
L2 D F' U R' U R
F' U R U D' R' F2
F' U R U D' F2 R'
F' U R D' U R' F2
F' U R D' U F2 R'
L D F' U R' U R
D' U R' U R' B R2
D2 U R' U R' B R2
F' U R' U R2 D R'
F' U R' U R2 D' R'
F' U R' U R2 D2 R'
F' U R' U D R D
F' U R' U D R D'
F' U R' U D R D2
F' U R' U D' R D
F' U R' U D' R D'
F' U R' U D' R D2
F' U R' U D2 R D
F' U R' U D2 R D'
F' U R' U D2 R D2
F' U R' U B R B'
F' U R' U B2 R B2
F' U R' U' L U2 R
F' U R' U' L' U2 R
F' U R' U' L2 U2 R
F' U R' D U R D
F' U R' D U R D'
F' U R' D U R D2
F2 U R' L2 U R B'
F2 U R' L2 U B' R
F' U R' D B U R
F' U R' D B' U R
F' U R' D B2 U R
F' U R' D' U R D
F' U R' D' U R D'
F' U R' D' U R D2
F' U R' D' B U R
F' U R' D' B' U R
F' U R' D' B2 U R
F' U R' D2 U R D
F' U R' D2 U R D'
F' U R' D2 U R D2
F' U R' D2 B U R
F' U R' D2 B' U R
F' U R' D2 B2 U R
F' U R' B U R D
F' U R' B U R D'
F' U R' B U R D2
F' U R' B U D R
F' U R' B U D' R
F' U R' B U D2 R
F' U R' B D U R
F' U R' B D' U R
F' U R' B D2 U R
F' U R' B' U R D
F' U R' B' U R D'
F' U R' B' U R D2
F' U R' B' U D R
F' U R' B' U D' R
F' U R' B' U D2 R
F' U R' B' D U R
F' U R' B' D' U R
F' U R' B' D2 U R
F' U R' B2 U R D
F' U R' B2 U R D'
F' U R' B2 U R D2
F' U R' B2 U D R
F' U R' B2 U D' R
F' U R' B2 U D2 R
F' U R' B2 D U R
F' U R' B2 D' U R
F' U R' B2 D2 U R
D U R' U R' B R2
B2 U R' B2 R' U B
F U R' U R D2 B2
F U R' U D2 R B2
F U R' U D2 B2 R
F' U R2 D R B2 U
F' U R2 D B2 R U
U D R' U R' B R2
F U R' U' F2 L' U2
F U R' D' L2 U R
F U R' D2 U R B2
F U R' D2 U B2 R
F' U R2 B R U R
F' U R2 B' R U R
F' U R2 B2 R U R
B2 U R2 B2 R' U B'
F' U D R' U R D
F' U D R' U R D'
F' U D R' U R D2
F' U D R' U D R
F' U D R' U D' R
F' U D R' U D2 R
F' U D R' D U R
F' U D R' D' U R
F' U D R' D2 U R
F' U D R' B U R
F' U D R' B' U R
F' U D R' B2 U R
F' U D' R' U R D
F' U D' R' U R D'
F' U D' R' U R D2
F' U D' R' U D R
F' U D' R' U D' R
F' U D' R' U D2 R
F' U D' R' D U R
F' U D' R' D' U R
F' U D' R' D2 U R
F' U D' R' B U R
F' U D' R' B' U R
F' U D' R' B2 U R
R' D' L F2 U L' B'
F' U D2 R' U R D
F' U D2 R' U R D'
F' U D2 R' U R D2
F' U D2 R' U D R
F' U D2 R' U D' R
F' U D2 R' U D2 R
F' U D2 R' D U R
F' U D2 R' D' U R
F' U D2 R' D2 U R
F' U D2 R' B U R
F' U D2 R' B' U R
F' U D2 R' B2 U R
F U D' L2 R' U R
F U D' R' L2 U R
R' D' L' F2 U L' B'
F U D2 R' U R B2
F U D2 R' U B2 R
R' D' L2 F2 U L' B'
L' D' R' U' R F' U2
F' U B R U R' F'
L2 D' R' U' R F' U2
L D' R' U' R F' U2
B2 U' L U' D' R2 B
B2 U' L D' U' R2 B
R' D' F L' F U L'
R' D' F D' L' F U
L' D' F' U R' U R
L2 D' F' U R' U R
U D' R' U R' B R2
R' D' F2 U L' D B'
R' D' F2 U L' D' B'
R' D' F2 U L' D2 B'
R' D' F2 U L' B' D
R' D' F2 U L' B' D'
R' D' F2 U L' B' D2
R' D' F2 U D L' B'
R' D' F2 U D' L' B'
R' D' F2 U D2 L' B'
R' D' F2 U B L' B'
R' D' F2 U B' L' B'
R' D' F2 U B2 L' B'
R' D' F2 D U L' B'
R' D' F2 D' U L' B'
R' D' F2 D2 U L' B'
L D' F' U R' U R
R2 D' F2 U2 L' U' B
R' D2 L U' R U2 B'
B2 U' D' L U' R2 B
R' D2 L F2 U B' L'
R' D2 L' U' R F U2
F' U' F U2 R' U R
F' U' F' U2 R' U R
F' U' F2 U2 R' U R
L' D2 R' U' R F' U2
L2 D2 R' U' R F' U2
L D2 R' U' R F' U2
U D2 R' U R' B R2
L' D2 F' U R' U R
R' D2 F2 L U B' L2
L2 D2 F' U R' U R
R' D2 F2 U L B' L2
F' U2 R U' R2 U R2
F' U2 R D' F2 D R2
L D2 F' U R' U R
F' U2 R2 U' R U R'
D' F R' U' R F2 U2
D' F R' U' F2 U2 L'
D2 F R' U' R F2 U2
D2 F R' U' F2 U2 L'
L' F R' U' R F2 U2
L' F R' U' F2 U2 L'
L2 F R' U' R F2 U2
L2 F R' U' F2 U2 L'
D F R' U' R F2 U2
D F R' U' F2 U2 L'
L F R' U' R F2 U2
L F R' U' F2 U2 L'
R' F U D2 L B' L
R' F U D2 B' L B'
