D' L' F D2 B2
D' L F2 L2 F B'
D' L F2 L2 B' F
D' L' R2 F B R2
D' L' R2 B R2 F
D' L' R2 B F R2
D' L' U2 F' U2 F2
D' L' D F D2 B2
D' L' D' F D2 B2
D' L' D2 F D2 B2
D' L' F U2 F2 U2
D' L' F D2 B2 D
D' L' F D2 B2 D'
D' L' F D2 B2 D2
D' L' F B D2 B2
D' L' F B' D2 B2
D' L' F B2 D2 B2
D' L' B F D2 B2
D' L' B' F D2 B2
D' L' B2 F D2 B2
L' U2 F' U R U
D' R2 L' F B R2
D' R2 L' B R2 F
D' R2 L' B F R2
D' R2 B L' R2 F
D' R2 B L' F R2
D' R2 B R2 L' F
B' D' L' F D2 B2
B2 D' L' F D2 B2
B D' L' F D2 B2
D' B L' F D2 B2
R2 B R2 D' L' F
D' B' L' F D2 B2
D' B2 L' F D2 B2
L' R D R F' B R2
L' R D R B F' R2
D' L U2 F' U2 L2 F
D' L U2 F' B' U2 L2
D' L U2 B' F' U2 L2
D' L F L2 D2 F B2
D' L F L2 D2 B2 F
D' L F2 L2 D F B'
D' L F2 L2 D B' F
D' L F2 L2 D' F B'
D' L F2 L2 D' B' F
D' L F2 L2 D2 F B'
D' L F2 L2 D2 B' F
D' L F2 L2 F D B'
D' L F2 L2 F D' B'
D' L F2 L2 F D2 B'
D' L F2 L2 F B' D
D' L F2 L2 F B' D'
D' L F2 L2 F B' D2
D' L F2 L2 B' D F
D' L F2 L2 B' D' F
D' L F2 L2 B' D2 F
D' L F2 L2 B' F D
D' L F2 L2 B' F D'
D' L F2 L2 B' F D2
D' L' R F R B R2
D L' R F' R B R2
R L' D R F' B R2
R L' D R B F' R2
D' L' R2 F B R2 D
D' L' R2 F B R2 D'
D' L' R2 F B R2 D2
D' L' R2 F B' R2 B2
D' L' R2 F B2 R2 B'
D' L' R2 F' B R2 F2
D' L' R2 B R' F R'
D' L' R2 B R2 D F
D' L' R2 B R2 D' F
D' L' R2 B R2 D2 F
D' L' R2 B R2 F D
D' L' R2 B R2 F D'
D' L' R2 B R2 F D2
D' L' R2 B F R2 D
D' L' R2 B F R2 D'
D' L' R2 B F R2 D2
D' L' R2 B F' R2 F2
D' L' R2 B' R2 F B2
D' L' R2 B' R2 B2 F
D' L' R2 B' F R2 B2
D' L' R2 B2 R2 F B'
D' L' R2 B2 R2 B' F
D' L' R2 B2 F R2 B'
D L' R2 B R' F' R'
D' L' U R2 U' F B
D' L' U R2 U' B F
D' L' U' R2 U F B
D' L' U' R2 U B F
D' L' U2 D F' U2 F2
D' L' U2 D' F' U2 F2
D' L' U2 D2 F' U2 F2
D' L' U2 F' U2 F2 D
D' L' U2 F' U2 F2 D'
D' L' U2 F' U2 F2 D2
D' L' U2 F' D2 B2 U2
D' L' U2 F' B U2 F2
D' L' U2 F' B' U2 F2
D' L' U2 F' B2 U2 F2
B' L' U2 F' U R U
D' L' U2 B F' U2 F2
B2 L' U2 F' U R U
D' L' U2 B' F' U2 F2
D' L' U2 B2 F' U2 F2
B L' U2 F' U R U
D' L' D R2 F B R2
D' L' D R2 B R2 F
D' L' D R2 B F R2
D' L' D U2 F' U2 F2
D' L' D F U2 F2 U2
D' L' D F D2 B2 D
D' L' D F D2 B2 D'
D' L' D F D2 B2 D2
D' L' D F B D2 B2
D' L' D F B' D2 B2
D' L' D F B2 D2 B2
D' L' D B F D2 B2
D' L' D B' F D2 B2
D' L' D B2 F D2 B2
D' L' D' R2 F B R2
D' L' D' R2 B R2 F
D' L' D' R2 B F R2
R2 L' B R D R F'
D' L' D' U2 F' U2 F2
D' L' D' F U2 F2 U2
D' L' D' F D2 B2 D
D' L' D' F D2 B2 D'
D' L' D' F D2 B2 D2
D' L' D' F B D2 B2
D' L' D' F B' D2 B2
D' L' D' F B2 D2 B2
D' L' D' B F D2 B2
D' L' D' B' F D2 B2
D' L' D' B2 F D2 B2
D' L' D2 R2 F B R2
D' L' D2 R2 B R2 F
D' L' D2 R2 B F R2
D' L' D2 U2 F' U2 F2
D' L' D2 F U2 F2 U2
D' L' D2 F D2 B2 D
D' L' D2 F D2 B2 D'
D' L' D2 F D2 B2 D2
D' L' D2 F B D2 B2
D' L' D2 F B' D2 B2
