F' L2 U' B L
L2 F' U' B L
F' L2 U' L B L
F' L2 U' L' B L
F' L2 U' L2 B L
F' L2 U' D B L
F' L2 U' D' B L
F' L2 U' D2 B L
F' L2 U' B L D
F' L2 U' B L D'
F' L2 U' B L D2
F' L2 U' B D L
F' L2 U' B D' L
F' L2 U' B D2 L
F' L2 D U' B L
F' L2 D' U' B L
F' L2 D2 U' B L
U L2 F' U' L' B
U L2 F' U' B L'
F L2 F2 U' B L
L2 D F' U' B L
B U L2 F' U' L'
B U F' L2 U' L
L2 D' F' U' B L
F' U' D F2 B L
F' U' D B L F2
F' U' D B F2 L
F' U' B D L F2
F' U' B D F2 L
L2 D2 F' U' B L
F' D U' F2 B L
F' D U' B L F2
F' D U' B F2 L
L F' L U' B L
U F' L2 U' L B
L2 F' U' L B L
L2 F' U' L' B L
L2 F' U' L2 B L
L2 F' U' D B L
L2 F' U' D' B L
L2 F' U' D2 B L
L2 F' U' D2 B L
L2 F' U' B L D
L2 F' U' B L D'
L2 F' U' B L D'
L2 F' U' B L D2
L2 F' U' B D L
L2 F' U' B D' L
L2 F' U' B D2 L
D F' U' F' B L
D F' U' B L F'
D F' U' B F' L
L2 F' D U' B L
L2 F' D' U' B L
L2 F' D2 U' B L
B L U L F' U' L'
B L U F' L U' L2
L2 R D B R' F' U'
F' L D L U' B L
F' L D' L U' B L
F' L D2 L U' B L
L2 R B R' F' U' B
L2 R B U' B' R' B
U L F' L U' L2 B
U L F' L U' B L2
D L F' U' F' B L
D L F' U' B L F'
D L F' U' B F' L
F L F2 L U' B L
B L' U L' F' U' L'
F' L' U' B L D F2
F' L' D L' U' B L
F' L' D' L' U' B L
F' L' D2 L' U' B L
D L' F' U' F' B L
D L' F' U' B L F'
D L' F' U' B F' L
U2 L' B' L' F' U' B2
R L2 D B R' F' U'
F' L2 R D B R' U'
F' L2 R B R' U' B
B L2 R B U' B' R'
F' L2 U R2 F' U2 L'
F' L2 U F' U2 L' B
F' L2 U F' U2 B L'
F' L2 U' L D B L
F' L2 U' L D' B L
F' L2 U' L D2 B L
F' L2 U' L B L D
F' L2 U' L B L D'
F' L2 U' L B L D2
F' L2 U' L B D L
F' L2 U' L B D' L
F' L2 U' L B D2 L
F' L2 U' L' D B L
F' L2 U' L' D' B L
F' L2 U' L' D2 B L
F' L2 U' L' B L D
F' L2 U' L' B L D'
F' L2 U' L' B L D2
F' L2 U' L' B D L
F' L2 U' L' B D' L
F' L2 U' L' B D2 L
F' L2 U' L2 D B L
F' L2 U' L2 D' B L
F' L2 U' L2 D2 B L
F' L2 U' L2 B L D
F' L2 U' L2 B L D'
F' L2 U' L2 B L D2
F' L2 U' L2 B D L
F' L2 U' L2 B D' L
F' L2 U' L2 B D2 L
F' L2 U' D L B L
F' L2 U' D L' B L
F' L2 U' D L2 B L
F' L2 U' D B L D
F' L2 U' D B L D'
F' L2 U' D B L D2
F' L2 U' D B D L
F' L2 U' D B D' L
F' L2 U' D B D2 L
F' L2 U' D' L B L
F' L2 U' D' L' B L
F' L2 U' D' L2 B L
F' L2 U' D' B L D
F' L2 U' D' B L D'
F' L2 U' D' B L D2
F' L2 U' D' B D L
F' L2 U' D' B D' L
F' L2 U' D' B D2 L
F' L2 U' D2 L B L
F' L2 U' D2 L' B L
F' L2 U' D2 L2 B L
F' L2 U' D2 B L D
F' L2 U' D2 B L D'
F' L2 U' D2 B L D2
F' L2 U' D2 B D L
F' L2 U' D2 B D' L
F' L2 U' D2 B D2 L
F' L2 U' F B L F'
F' L2 U' F2 B L F2
F' L2 U' B L2 D L'
F' L2 U' B L2 D' L'
F' L2 U' B L2 D2 L'
F' L2 U' B D L D
F' L2 U' B D L D'
F' L2 U' B D L D2
F' L2 U' B D' L D
F' L2 U' B D' L D'
F' L2 U' B D' L D2
F' L2 U' B D2 L D
F' L2 U' B D2 L D'
F' L2 U' B D2 L D2
F' L2 U' B F L F'
F' L2 U' B F2 L F2
F' L2 U' B' L B2 L
F' L2 U' B' L' B2 L
F' L2 U' B' L2 B2 L
F2 L2 U' B L D' R2
F L2 U' D B L R2
F L2 U' D B R2 L
F2 L2 U' B D' L R2
F2 L2 U' B D' R2 L
F' L2 U2 L F U B
F L2 U' B L D R2
F L2 U' B D L R2
F L2 U' B D R2 L
R L2 B R' F' U' B
R L2 B U' B' R' B
F' L2 U2 F U B L
F' L2 U2 F' U B L
F' L2 U2 F2 U B L
F' L2 D U' L B L
F' L2 D U' L' B L
F' L2 D U' L2 B L
F' L2 D U' B L D
F' L2 D U' B L D'
F' L2 D U' B L D2
F' L2 D U' B D L
F' L2 D U' B D' L
F' L2 D U' B D2 L
F L2 D U' B L R2
F L2 D U' B R2 L
U L2 D F' U' L' B
U L2 D F' U' B L'
F' L2 D' U' L B L
F' L2 D' U' L' B L
F' L2 D' U' L2 B L
F' L2 D' U' B L D
F' L2 D' U' B L D'
F' L2 D' U' B L D2
F' L2 D' U' B D L
F' L2 D' U' B D' L
F' L2 D' U' B D2 L
U L2 D' F' U' L' B
U L2 D' F' U' B L'
F' L2 D2 U' L B L
F' L2 D2 U' L' B L
F' L2 D2 U' L2 B L
F' L2 D2 U' B L D
F' L2 D2 U' B L D'
F' L2 D2 U' B L D2
F' L2 D2 U' B D L
F' L2 D2 U' B D' L
F' L2 D2 U' B D2 L
L U L F' U' L' B
L U L F' U' B L'
L' U L' F' U' L' B
L' U L' F' U' B L'
U L2 D2 F' U' L' B
U L2 D2 F' U' B L'
B' L2 F' R B U' B
B' L2 F' U' B L B
B L2 F' R B U' B'
B' L2 F' B U' B L
D L2 F' U' F' B L
D L2 F' U' B L F'
D L2 F' U' B F' L
U' L2 F' B' U' B2 L
U' L2 F' B2 U' B' L
U L2 F' U' L B L2
U L2 F' U' L' D B
U L2 F' U' L' D' B
U L2 F' U' L' D2 B
U L2 F' U' L' B D
U L2 F' U' L' B D'
U L2 F' U' L' B D2
U L2 F' U' D L' B
U L2 F' U' D B L'
U L2 F' U' D' L' B
U L2 F' U' D' B L'
U L2 F' U' D2 L' B
U L2 F' U' D2 B L'
U L2 F' U' B L' D
U L2 F' U' B L' D'
U L2 F' U' B L' D2
U L2 F' U' B D L'
U L2 F' U' B D' L'
U L2 F' U' B D2 L'
U L2 F' U' B' L' B2
B L2 F' B' U' B L
U L2 F' D U' L' B
U L2 F' D U' B L'
U L2 F' D' U' L' B
U L2 F' D' U' B L'
U L2 F' D2 U' L' B
U L2 F' D2 U' B L'
U L2 F' B' U' L' B2
U L2 F' B' U' B2 L'
U L2 F' B2 U' B' L'
F L2 F2 U' L B L
F L2 F2 U' L' B L
F L2 F2 U' L2 B L
F L2 F2 U' D B L
F L2 F2 U' D' B L
F L2 F2 U' D2 B L
F L2 F2 U' B L D
F L2 F2 U' B L D'
F L2 F2 U' B L D2
F L2 F2 U' B D L
F L2 F2 U' B D' L
F L2 F2 U' B D2 L
F L2 F2 D U' B L
F L2 F2 D' U' B L
F' L2 B R B U' B'
F L2 F2 D2 U' B L
B' L2 B F' U' B L
F' L2 B' R B U' B
F' L2 B' U' B L B
U' L2 B' F' U' B2 L
F' L2 B2 R B U' B2
B L2 B' F' U' B L
F' L2 B2 U' B L B2
U L2 B' F' U' L' B2
U L2 B' F' U' B2 L'
U' L2 B2 F' U' B' L
U L2 B2 F' U' B' L'
F' R L2 D B R' U'
F' R L2 B R' U' B
L U F' L U' L2 B
L U F' L U' B L2
B R L2 B U' B' R'
F' R D B R' U' F2
F' R B L2 R' U' B
F' R B R' L2 U' B
L2 U' B L U F' U'
L2 U' B U F' U' L
L' U2 L' F' B' U' B2
L' U2 L' B' F' U' B2
L' D L' F' U' B L
L D L F' U' B L
B U L F' L U' L2
B' U L2 F' U' L' B2
B' U L2 F' U' B2 L'
L2 D F' U' L B L
L2 D F' U' L' B L
L2 D F' U' L2 B L
L2 D F' U' D B L
L2 D F' U' D' B L
L2 D F' U' D2 B L
L2 D F' U' B L D
L2 D F' U' B L D'
L2 D F' U' B L D2
L2 D F' U' B D L
L2 D F' U' B D' L
L2 D F' U' B D2 L
L2 D F' D U' B L
B U L2 D F' U' L'
L2 D F' D' U' B L
L D F' L U' B L
B U L2 D' F' U' L'
L2 D F' D2 U' B L
B U L2 D2 F' U' L'
B U L2 F' U' L' D
B U L2 F' U' L' D'
B U L2 F' U' L' D2
B U L2 F' U' D L'
B U L2 F' U' D' L'
B U L2 F' U' D2 L'
B U L2 F' D U' L'
B U L2 F' D' U' L'
B U L2 F' D2 U' L'
B U L2 F' B U' L'
B U L2 F' B' U' L'
B U L2 F' B2 U' L'
B U L2 B F' U' L'
B U L2 B' F' U' L'
B U L2 B2 F' U' L'
R D B R' F' U' F'
B U D F' U' L' F'
U2 D F' U' F' L' B
U2 D F' U' F' B L'
U2 D F' U' B F' L'
D U F' U' L' F' B
D U F' U' L' B F'
D U F' U' B L' F'
L' D' L' F' U' B L
U D F' U' L' F' B
U D F' U' L' B F'
U D F' U' B L' F'
L D' L F' U' B L
B U F L2 F2 U' L'
B' U F' L2 U' L B2
B U F' L2 U' L D
B U F' L2 U' L D'
B U F' L2 U' L D2
B U F' L2 U' D L
B U F' L2 U' D' L
B U F' L2 U' D2 L
B U F' L2 D U' L
B U F' L2 D' U' L
B U F' L2 D2 U' L
B U F' U' D L' F2
B U F' D U' L' F2
B U F' B L2 U' L
B U F' B' L2 U' L
B U F' B2 L2 U' L
B U B L2 F' U' L'
B U B F' L2 U' L
B U B' L2 F' U' L'
B U B' F' L2 U' L
B U B2 L2 F' U' L'
B U B2 F' L2 U' L
F' U' L' B L D F2
L2 D' F' U' L B L
L2 D' F' U' L' B L
L2 D' F' U' L2 B L
L2 D' F' U' D B L
L2 D' F' U' D' B L
L2 D' F' U' D2 B L
L2 D' F' U' B L D
L2 D' F' U' B L D'
L2 D' F' U' B L D2
L2 D' F' U' B D L
L2 D' F' U' B D' L
L2 D' F' U' B D2 L
L2 D' F' D U' B L
L2 D' F' D' U' B L
L2 D' F' D2 U' B L
L D' F' L U' B L
F' U' D L F2 B L
F' U' D L B L F2
F' U' D L B F2 L
F' U' D L' F2 B L
F' U' D L' B L F2
F' U' D L' B F2 L
F' U' D L2 F2 B L
F' U' D L2 B L F2
F' U' D L2 B F2 L
F' U' D F' B L F'
F' U' D F2 L B L
F' U' D F2 L' B L
F' U' D F2 L2 B L
F' U' D F2 D B L
F' U' D F2 D' B L
F' U' D F2 D2 B L
F' U' D F2 B L D
F' U' D F2 B L D'
F' U' D F2 B L D2
F' U' D F2 B D L
F' U' D F2 B D' L
F' U' D F2 B D2 L
F' U' D B L F2 D
F' U' D B L F2 D'
F' U' D B L F2 D2
F' U' D B L' F2 L2
F' U' D B F' L F'
F' U' D B F2 L D
F' U' D B F2 L D'
F' U' D B F2 L D2
F' U' D B F2 D L
F' U' D B F2 D' L
F' U' D B F2 D2 L
