U L' U L' U2 B
D2 L' U' L B R2
D L' F2 U' L B
U L' F2 U' B R
U2 L2 U' L U' B
L' U L' U2 L2 B
L' U L' U2 B L2
L' U' L D2 B R2
L' U' L B D2 R2
L2 U' L U' L B
D2 U L' U' B R2
B U L' U L' U2
U D L' F2 U' B
B U L' F2 U' R
D U L' F2 U' B
B U D L' F2 U'
B U D2 L' U' R2
U D2 L' U' B R2
B U2 L2 U' L U'
B D U L' F2 U'
L' F2 U' L B R
B D2 R2 U L' U'
B D2 U L' U' R2
D2 B R2 U L' U'
D2 B U L' U' R2
D B U L' F2 U'
U2 L D L U2 F2 B
U2 L D L U2 B F2
D' L D L' F2 B R
D' L D L' B F2 R
D L D L' F2 B R2
D L D L' B R2 F2
D L D L' B F2 R2
B L D L' F2 D2 R2
B L D L2 F2 L R
B L D L2 F2 R L
D' L D B L' F2 R
D L D B L' R2 F2
D L D B L' F2 R2
D L D B R2 L' F2
D' L D' L' B R2 F'
U2 L D' L B2 U2 B'
B L D' L' D2 R2 F2
B L D' L' D2 F2 R2
D' L D' B L' R2 F'
D' L D' B R2 L' F'
U2 L D' B2 U2 R' B'
D2 L B R2 D L' F2
R2 L' U L' F' U2 L2
D L B D L' R2 F2
D L B D L' F2 R2
D L B D R2 L' F2
R2 L' U' L D2 R2 B
B' L B2 R' D L' F2
B' L B2 D L' R' F2
B' L B2 D L' F2 R'
B' L B2 D R' L' F2
U L' R2 U L' F' U2
B' L' U L' U2 L2 B2
B' L' U L' U2 B2 L2
U' L' U L' U2 L B
B2 L' U L' U2 L2 B'
B2 L' U L' F U2 L2
U L' U L' U2 D B
U L' U L' U2 D' B
U L' U L' U2 D2 B
U L' U L' U2 B D
U L' U L' U2 B D'
U L' U L' U2 B D2
U L' U L' D U2 B
U L' U L' D' U2 B
U L' U L' D2 U2 B
U L' U L' F U2 B
U L' U L' F' U2 B
U L' U L' F2 U2 B
U L' U D L' U2 B
U L' U D' L' U2 B
U L' U D2 L' U2 B
D2 L' U' L B R2 D
D2 L' U' L B R2 D'
D2 L' U' L B R2 D2
D2 L' U' L B' R2 B2
D2 L' U' L B2 R2 B'
D' L' U' L D' B R2
D2 L' U' L' B L2 R2
D2 L' U' L' B R2 L2
D2 L' U' L2 B L' R2
D2 L' U' L2 B R2 L'
B' L' U' L B2 D2 R2
U L' U F2 U2 B R
B2 L' U' L D2 R2 B'
B2 L' U' L D2 B' R2
D L' U' L D B R2
B2 L' U' L B' D2 R2
D L' U' L B D R2
B' L' U' L2 B2 L' R'
B' L' U' L2 B2 R' L'
D' L' U' D' L B R2
D L' U' D L B R2
U L' U' F2 B R F2
U L' U' B U2 L' U2
U L' U' B F2 R F2
D L' D U' L B R2
U L' D U L' U2 B
U L' D F2 U' B R
D' L' D' U' L B R2
D2 L' D' F2 U' L B
U L' D' U L' U2 B
U L' D' F2 U' B R
D' L' D2 F2 U' L B
U L' D2 U L' U2 B
U L' D2 F2 U' B R
D2 L' F U' L B R2
L' R2 U L' F' U2 L2
D2 L' F' U' L B R2
L' R2 U' L D2 R2 B
U L' F' U' D2 B R'
U L' F' D2 U' B R'
D2 L' F2 U' L B R2
B' L' F2 U' L R B2
B' L' F2 U' L B2 R
B' L' F2 U' R L B2
B2 L' F2 U' L R B'
B2 L' F2 U' L B' R
B2 L' F2 U' R L B'
D L' F2 U' L D B
D L' F2 U' L D' B
D L' F2 U' L D2 B
D L' F2 U' L B D
D L' F2 U' L B D'
D L' F2 U' L B D2
D L' F2 U' L' B L2
D L' F2 U' L2 B L'
D L' F2 U' D L B
D L' F2 U' D' L B
D L' F2 U' D2 L B
D L' F2 D U' L B
D L' F2 D' U' L B
U L' F2 U' D B R
U L' F2 U' D' B R
U L' F2 U' D2 B R
U L' F2 U' B R D
U L' F2 U' B R D'
U L' F2 U' B R D2
U L' F2 U' B D R
U L' F2 U' B D' R
U L' F2 U' B D2 R
U L' F2 U' B' R B2
U L' F2 U' B2 R B'
D L' F2 D2 U' L B
U L' F2 D U' B R
U L' F2 D' U' B R
U L' F2 D2 U' B R
L2 R2 F' U' L U' L
R2 L2 F' U' L U' L
B' L2 U' L U' L B2
B2 L2 U' L U' L B'
U2 L2 U' L U' D B
U2 L2 U' L U' D' B
U2 L2 U' L U' D2 B
U2 L2 U' L U' B D
U2 L2 U' L U' B D'
