F2 L' R' B U L F
F' R U2 F' U' L' B'
U2 R D' F' U' L' F
U' R F L' F2 B' U'
U' R F L' B' F2 U'
U2 R F L' F2 U' L'
B R F L' F2 U' L2
U R F L' F2 B U'
U R F L' B F2 U'
U R F B L' F2 U'
U2 R F' U2 R U L'
B R F' U2 R U L
U R F' B U2 R U
D R B U' L F' R'
D R B U' F' L R'
D R B U' F' R' L
U R B F L' F2 U'
U R B F' U2 R U
F2 R' L' B U L F
D U R B U' F' R'
U D R B U' F' R'
R' D2 L2 B R' U L
R' D2 B L2 R' U L'
R' D2 B R' L2 U L'
R F L' F2 B U' L
R F L' B F2 U' L
R F B L' F2 U' L2
R F' U2 R F' U L'
R F' B U2 R U L
D B R U' L F' R2
D B R U' F' L R2
D B R U' F' R2 L
R B F L' F2 U' L2
R B F' U2 R U L
