D' B2 R' U L B'
F' L R U L R2 U2
F' L R U R2 L U2
F' L R D B2 U' R'
F2 L U L R' F U2
F2 L U L F R' U2
F2 L U R' L F U2
L R D B2 U' R' B
F L U' D' B2 L R'
F L U' D' B2 R' L
R L D B2 U' R' B
D' L U2 B2 U L B
F L D' U' B2 L R'
F L D' U' B2 R' L
D L F2 U R' U2 B
F' L B2 R U' L R2
F' L B2 R U' R2 L
R' L' D' L' F B2 U2
R' L' D' L' B2 F U2
L' R' D' L' F B2 U2
L' R' D' L' B2 F U2
R' L' D' B2 L' F U2
L' R' D' B2 L' F U2
F' L2 R' U' L' R2 U'
F' L2 R' U' R2 L' U'
L U L D R' U2 B
L U R' D' L U2 B'
L U D L R' U2 B
L U D R' L U2 B
L U D' L R' U2 B'
F' R L U L R2 U2
F' R L U R2 L U2
L U D' R' L U2 B'
F' R L D B2 U' R'
F' R D L F2 B2 U'
F' R D L B2 F2 U'
F' R D F2 L B2 U'
F' R D2 L U' L R2
F' R D2 L U' R2 L
L U' D B2 L R' B
L U' D B2 R' L B
L U' D' B2 L R' B'
L U' D' B2 R' L B'
F' R' L2 U' L' R2 U'
F' R' L2 U' R2 L' U'
D R' U' L F2 U' B
D R' U' F2 L U' B
L U' B2 L D R' B
L U' B2 R' D' L B'
L U' B2 D L R' B
L U' B2 D R' L B
L U' B2 D' L R' B'
L U' B2 D' R' L B'
L' D L' R' U2 F2 B
L' D L' R' U2 B F2
L' D R' L' U2 F2 B
L' D R' L' U2 B F2
L' D R' U2 F2 B R
L' D R' U2 B F2 R
L2 D R' U' L' U' B
L' D R2 F2 L' R B
L' D R2 F2 R L' B
L' D R2 F2 R B L'
L D U L R' U2 B
L D U R' L U2 B
L D U' B2 L R' B
L D U' B2 R' L B
L D B2 U' L R' B
L D B2 U' R' L B
L' D' L' R' F B2 U2
L' D' L' R' B2 F U2
L' D' L' F R' B2 U2
L' D' L' F B2 U2 L
L' D' L' B2 F U2 L
L' D' R' L' F B2 U2
L' D' R' L' B2 F U2
D' U B2 R' U L B'
L' D' R' B2 L' F U2
L D' U L R' U2 B'
L D' U R' L U2 B'
L D' U' B2 L R' B'
L D' U' B2 R' L B'
L' D' B2 L' U2 L2 B'
L' D' B2 L' F U2 L2
L D' B2 U' L R' B'
L D' B2 U' R' L B'
D' U' B2 R' U L B'
U' D' B2 R' U L B'
U2 D' B2 R' U L B'
U D' B2 R' U L B'
D' U2 B2 R' U L B'
D' F B2 R' U L B'
R' F' L2 U' L' R U'
R' F' L2 U' R L' U'
L F' R U L R2 U2
L F' R U R2 L U2
L F' R D B2 U' R'
D' F' B2 R' U L B'
L F' B2 R U' L R2
L F' B2 R U' R2 L
D F2 L U R' U2 B
L F2 U L R' F U2
L F2 U L F R' U2
L F2 U R' L F U2
F D' B2 L' R' U L2
F D' B2 R' L' U L2
D' F2 B2 R' U L B'
D' B2 L' R' U L2 B'
D' B2 R' L' U L2 B'
D' B2 R' U L D B'
D' B2 R' U L D' B'
D' B2 R' U L D2 B'
D' B2 R' U L B' D
D' B2 R' U L B' D'
D' B2 R' U L B' D2
D' B2 R' F U L B'
D' B2 R' F' U L B'
D' B2 R' F2 U L B'
L B2 U' L D R' B
L B2 U' R' D' L B'
L B2 U' D L R' B
L B2 U' D R' L B
L B2 U' D' L R' B'
L B2 U' D' R' L B'
D' B2 D2 R' U L B
L B2 D U' L R' B
L B2 D U' R' L B
D' B2 F R' U L B'
L B2 D' U' L R' B'
L B2 D' U' R' L B'
D' B2 F' R' U L B'
D' B2 F2 R' U L B'
L B2 F' R U' L R2
L B2 F' R U' R2 L
