R U L B L F
R U L2 F B L
R U L2 B F L
R U B L D2 F2
R U B D2 L F2
R U B D2 F2 L
R' U' F' B' U2 L'
R' U' B' F' U2 L'
L2 R U D F L' B
L2 R U D F B L'
L2 R U D B F L'
L2 R U B D F L'
L2 R D U F L' B
L2 R D U F B L'
L2 R D U B F L'
L R F L U F B
L R F L U B F
R L F L U F B
R L F L U B F
R L2 U D F L' B
R L2 U D F B L'
R L2 U D B F L'
R L2 U B D F L'
R L2 D U F L' B
R L2 D U F B L'
R L2 D U B F L'
U2 L2 U' F B L B'
U2 L2 U' B F L B'
R U L D B L F
R U L D' B L F
R U L D2 B L F
R U L F B L F
R U L F' B L F
R U L F2 B L F
R U L B L D F
R U L B L D' F
R U L B L D2 F
R U L B L F D
R U L B L F D'
R U L B L F D2
R U L B D L F
R U L B D' L F
R U L B D2 L F
R U L B F L F
R U L B F' L F
R U L B F2 L F
R U L' B L' F L2
U L2 F U R B U'
R U L2 D F B L
R U L2 D B F L
R U L2 D' F B L
R U L2 D' B F L
R U L2 D2 F B L
R U L2 D2 B F L
R U L2 F L B L
R U L2 F L' B L
R U L2 F L2 B L
R U L2 F D B L
R U L2 F D' B L
R U L2 F D2 B L
R U L2 F B L D
R U L2 F B L D'
R U L2 F B L D2
R U L2 F B D L
R U L2 F B D' L
R U L2 F B D2 L
R U L2 F' B L F2
R U L2 F2 B L F'
R U L2 B D F L
R U L2 B D' F L
R U L2 B D2 F L
R U L2 B F L D
R U L2 B F L D'
R U L2 B F L D2
R U L2 B F D L
R U L2 B F D' L
R U L2 B F D2 L
R U L2 B F' L F2
R U L2 B F2 L F'
R U D L B L F
R U D L2 F B L
R U D L2 B F L
R U D B L D2 F2
R U D B D2 L F2
R U D B D2 F2 L
R U D' L B L F
R U D' L2 F B L
R U D' L2 B F L
R U D' B L D2 F2
R U D' B D2 L F2
R U D' B D2 F2 L
R U D2 L B L F
R U D2 L2 F B L
R U D2 L2 B F L
R U D2 B L D2 F2
R U D2 B D2 L F2
R U D2 B D2 F2 L
R U F L B L F
R U F L2 F B L
R U F L2 B F L
D2 R U L B L F
D' R U L B L F
F' R U L B L F
D2 R U L2 F B L
R U F B L D2 F2
D2 R U L2 B F L
R U F B D2 L F2
R U F B D2 F2 L
D' R U L2 F B L
F' R U L2 F B L
D' R U L2 B F L
F' R U L2 B F L
R' U F' B' R' U2 R
F2 R U L B L F
R U F' L B L F
F2 R U L2 F B L
F2 R U L2 B F L
R U F' L2 F B L
R U F' L2 B F L
D R U L B L F
D R U L2 F B L
D R U L2 B F L
F R U L B L F
D2 R U B L D2 F2
D2 R U B D2 L F2
D2 R U B D2 F2 L
D' R U B L D2 F2
F' R U B L D2 F2
F R U L2 F B L
F R U L2 B F L
D' R U B D2 L F2
D' R U B D2 F2 L
F' R U B D2 L F2
F' R U B D2 F2 L
F2 R U B L D2 F2
F2 R U B D2 L F2
F2 R U B D2 F2 L
R U F' B L D2 F2
R U F' B D2 L F2
R U F' B D2 F2 L
D R U B L D2 F2
D R U B D2 L F2
D R U B D2 F2 L
R U F2 L B L F
F R U B L D2 F2
R U F2 L2 F B L
R U F2 L2 B F L
F R U B D2 L F2
F R U B D2 F2 L
R U F2 B L D2 F2
R U F2 B D2 L F2
R U F2 B D2 F2 L
R U B L U2 B2 U2
R U B L D2 F2 D
R U B L D2 F2 D'
R U B L D2 F2 D2
R U B L F D2 F2
R U B L F' D2 F2
R U B L F2 D2 F2
R U B L2 D2 L' F2
R2 U B D2 L F2 B'
R2 U B D2 L B' F2
R2 U B D2 F2 L B'
R U B U2 B2 R' U2
R U B D' L D' F2
R U B D2 L F2 D
R U B D2 L F2 D'
R U B D2 L F2 D2
R U B D2 L' F2 L2
R U B D2 F' L F'
R U B D2 F2 L D
R U B D2 F2 L D'
R U B D2 F2 L D2
R U B D2 F2 D L
R U B D2 F2 D' L
R U B D2 F2 D2 L
R U B F L D2 F2
R U B F D2 L F2
R U B F D2 F2 L
R U B F' L D2 F2
R U B F' D2 L F2
R U B F' D2 F2 L
R U B F2 L D2 F2
R U B F2 D2 L F2
R U B F2 D2 F2 L
R' U B' F' R' U2 R
R2 U B' R' U2 B R
R U B' R' U2 R B2
R U B' R' U2 B2 R
R2 U' R F' B' U2 L'
R2 U' R B' F' U2 L'
R' U' D F' B' U2 L'
R U' R2 F' B' U2 L'
R' U' D B' F' U2 L'
R U' R2 B' F' U2 L'
R' U' D' F' B' U2 L'
R' U' D' B' F' U2 L'
R' U' D2 F' B' U2 L'
R' U' D2 B' F' U2 L'
R' U' F R F2 B' U2
R' U' F R B' F2 U2
R' U' F B' R F2 U2
R2 U' F R F' B' U2
R2 U' F R B' F' U2
R' U' F' R B' U2 L'
R' U' F' R' B' U2 L'
R' U' F' R2 B' U2 L'
R' U' F' U2 L2 F L
R2 U' F B' R F' U2
R' U' F' D B' U2 L'
R' U' F' D' B' U2 L'
R' U' F' D2 B' U2 L'
R' U' F' B' R U2 L'
R' U' F' B' R' U2 L'
R' U' F' B' R2 U2 L'
R' U' F' B' U2 L' D
R' U' F' B' U2 L' D'
R' U' F' B' U2 L' D2
R' U' F' B' U2 D L'
R' U' F' B' U2 D' L'
R' U' F' B' U2 D2 L'
R' U' F' B' D U2 L'
R' U' F' B' D' U2 L'
R' U' F' B' D2 U2 L'
R U' F B' R U2 B2
R U' F' B' U2 L' B2
R U' F' B' U2 B2 L'
D2 R' U' F' B' U2 L'
D' R' U' F' B' U2 L'
F' R' U' F' B' U2 L'
D2 R' U' B' F' U2 L'
D' R' U' B' F' U2 L'
F' R' U' B' F' U2 L'
F2 R' U' F' B' U2 L'
F2 R' U' B' F' U2 L'
D R' U' F' B' U2 L'
D R' U' B' F' U2 L'
F R' U' F' B' U2 L'
R' U' B' R2 U2 B L
F R' U' B' F' U2 L'
R' U' B' D F' U2 L'
R' U' B' D' F' U2 L'
R' U' B' D2 F' U2 L'
R' U' B' F R F2 U2
R' U' B' F' R U2 L'
R' U' B' F' R' U2 L'
R' U' B' F' R2 U2 L'
R' U' B' F' U2 L' D
R' U' B' F' U2 L' D'
R' U' B' F' U2 L' D2
R' U' B' F' U2 D L'
R' U' B' F' U2 D' L'
R' U' B' F' U2 D2 L'
R' U' B' F' D U2 L'
R' U' B' F' D' U2 L'
R' U' B' F' D2 U2 L'
R2 U' B' R F' U2 L'
R2 U' B' R' U2 B L
R2 U' B' F R F' U2
R U' B' U2 B L B
R U' B' F R U2 B2
R U' B' F' U2 L' B2
R U' B' F' U2 B2 L'
R U2 L2 U' F B L
R U2 L2 U' B F L
L' U2 B' L' U' F B'
L' U2 B' L' U' B' F
L2 D R U F L' B
L2 D R U F B L'
L2 D R U B F L'
R' D U' F' B' U2 L'
R' D U' B' F' U2 L'
R D U L B L F
R D U L2 F B L
R D U L2 B F L
R D U B L D2 F2
R D U B D2 L F2
R D U B D2 F2 L
B' U F' L' B U L
B' U F' B L' U L2
B' U B L2 U L' B'
B' U B U L' B' L2
B' U B F' L' U L2
R' D' U' F' B' U2 L'
R' D' U' B' F' U2 L'
R D' U L B L F
R D' U L2 F B L
R D' U L2 B F L
R D' U B L D2 F2
R D' U B D2 L F2
R D' U B D2 F2 L
B' U' R2 F' U' L' B'
L2 D2 R F' U F2 B
L2 D2 R F' U B F2
R' D2 U' F' B' U2 L'
R' D2 U' B' F' U2 L'
R D2 U L B L F
R D2 U L2 F B L
R D2 U L2 B F L
R D2 U B L D2 F2
R D2 U B D2 L F2
R D2 U B D2 F2 L
L F L R U F B
L F L R U B F
U' F R B' U' R' U'
L F R L U F B
L F R L U B F
R F U L B L F
R F U L2 F B L
R F U L2 B F L
R F U B L D2 F2
R F U B D2 L F2
R F U B D2 F2 L
U' F B' R U' R2 U'
U' F B' R U2 D B2
U' F B' R D U2 B2
U' F B' R D' F2 U2
R F' U L B L F
R F' U L2 F B L
R F' U L2 B F L
R F' U B L D2 F2
R F' U B D2 L F2
R F' U B D2 F2 L
U' F' B' U' R' U' L'
R' F' B' U B U L
R' F2 U' F R B' U2
R' F2 U' F B' R U2
R' F2 U' B' F R U2
R F2 U L B L F
R F2 U L2 F B L
R F2 U L2 B F L
R F2 U B L D2 F2
R F2 U B D2 L F2
R F2 U B D2 F2 L
U B D2 F2 D' L B'
U' B' R2 U' R B U'
U' B' U' R B R2 U'
U' B' U' R' U2 F' U
R B' U B U L B
U' B' F R U' R2 U'
U' B' F R U2 D B2
U' B' F R D U2 B2
U' B' F R D' F2 U2
U' B' F' U' R' U' L'
R' B' F' U B U L
