D L D B2 R2 F'
F2 L2 U2 D L' F
F2 L2 D U2 L' F
L2 F2 D' R U2 F'
D2 L R B2 D R F'
F2 L D L B' U2 L'
D L D F B2 R2 F'
D L D F' B2 R2 F'
D L D F2 B2 R2 F'
D L D B2 R2 D F'
D L D B2 R2 D' F'
D L D B2 R2 D2 F'
D L D B2 R2 F' D
D L D B2 R2 F' D'
D L D B2 R2 F' D2
D L D B2 F R2 F'
D L D B2 F' R2 F'
D L D B2 F2 R2 F'
L2 R F2 D' R U2 F'
D2 L B2 R D R F'
D L B2 D R2 F' B2
D L B2 D R2 B2 F'
D L' R2 F2 U' L2 F'
D L' R2 F2 U' F' L2
L2 R' F2 D' R U2 F'
F2 L2 R U2 D L' F
F2 L2 R D U2 L' F
D' L2 R B2 U L' F'
F2 L2 R' U2 D L' F
F2 L2 R' D U2 L' F
F2 L2 R2 U2 D L' F
F2 L2 R2 D U2 L' F
D2 L2 R2 B2 D' L' F
R' L2 F2 D' R U2 F'
L2 R2 F2 D' R U2 F'
R2 L2 F2 D' R U2 F'
R L2 F2 D' R U2 F'
F2 L2 U' B' L U' L2
F2 L2 U2 D L' D F
F2 L2 U2 D L' D' F
F2 L2 U2 D L' D2 F
F2 L2 U2 D L' F D
F2 L2 U2 D L' F D'
F2 L2 U2 D L' F D2
F L2 U2 D B' L' F
F L2 U2 B' L' D F2
F2 L2 D R U2 L' F
F2 L2 D R' U2 L' F
D L2 D L' B2 R2 F'
F2 L2 D R2 U2 L' F
F2 L2 D U2 L' D F
F2 L2 D U2 L' D' F
F2 L2 D U2 L' D2 F
F2 L2 D U2 L' F D
F2 L2 D U2 L' F D'
F2 L2 D U2 L' F D2
F2 L2 D B U2 L' F
F L2 D U2 B' L' F
F2 L2 D B' U2 L' F
F2 L2 D B2 U2 L' F
F2 L2 D' R U2 L' F'
F2 L2 D' R' B U2 L'
U' L2 F2 D' R U2 F'
U2 L2 F2 D' R U2 F'
U L2 F2 D' R U2 F'
F2 L2 B U R' U L'
F2 L2 B' U' L U' L2
F2 L2 B' U2 L' D F2
D' L2 B2 R U L' F'
D2 L2 B2 R2 D' L' F
D' L2 B2 U D2 L' F
D' L2 B2 D2 U L' F
D2 R L B2 D R F'
F2 R L2 U2 D L' F
F2 R L2 D U2 L' F
D' R L2 B2 U L' F'
D' R D' L F' R2 B2
D' R D' L F' B2 R2
D' R D' L B2 F' R2
D' R D' F' L R2 B2
D' R D' F' L B2 R2
D' R D' F' R2 L B2
D' R F' D' L R2 B2
D' R F' D' L B2 R2
D' R F' D' R2 L B2
L2 U' D R2 U' L' F
F2 R' L2 U2 D L' F
F2 R' L2 D U2 L' F
D' R' D' L R2 F' B2
D' R' D' L R2 B2 F'
D' R' D' R2 L F' B2
D' R' D' R2 L B2 F'
D' R' D' R2 F' L B2
L2 U2 D L' D F B2
L2 U2 D L' D B2 F
L2 U2 D L' F D B2
L2 U2 D2 B2 D' L' F
D R2 L' F2 U' L2 F'
D R2 L' F2 U' F' L2
F2 R2 L2 U2 D L' F
F2 R2 L2 D U2 L' F
D2 R2 L2 B2 D' L' F
L U2 F2 D L B' U2
R' D L D B2 R2 F'
R2 D L D B2 R2 F'
D2 R2 F L B2 D F2
R D L D B2 R2 F'
L2 D L' D F B2 R'
L2 D L' D B2 R' F
L2 D L' D B2 F R'
L2 D L' F D B2 R'
D R2 F2 L' U' F L2
D R2 F2 U' L' F L2
L2 D U' R2 U' L' F
U' D L D B2 R2 F'
L2 D U2 L' D F B2
L2 D U2 L' D B2 F
L2 D U2 L' F D B2
U2 D L D B2 R2 F'
D U L D B2 R2 F'
U D L D B2 R2 F'
B2 U L2 R' F2 U2 F
B2 U L2 F2 R' U2 F'
B2 U R' L2 F2 U2 F
B2 U R' F2 L2 B' U2
B2 U F2 L2 R' U2 F'
B2 U F2 R' L2 U2 F'
L D' R D' F' B2 R'
L D' R D' B2 F' R'
L D' R F' D' B2 R'
D U' L D B2 R2 F'
L D' R2 D' B2 R' F'
B2 U' D2 B2 L R2 F
B2 U' D2 B2 L F R2
B2 U' D2 B2 R2 L F
D U2 L D B2 R2 F'
L2 D2 U2 B2 D' L' F
L D2 F' B2 R' D' F2
D2 F L R2 B2 D F2
D2 F L B2 R2 D F2
L D2 B2 R2 D R F'
D2 F L' U' L2 R2 B2
D2 F L' U' L2 B2 R2
D2 F L' U' R2 L2 B2
D2 F L' U' R2 B2 L2
D2 F L' U' B2 L2 R2
D2 F L' U' B2 R2 L2
L D2 B2 D R F' R2
L D2 B2 F' R' D' F2
D2 F R2 L B2 D F2
L2 F D' F R U2 F'
D2 F' R U L R B2
D2 F' R U L B2 R
D2 F' R U R L B2
B D' R' B2 L2 F U
U' F2 L2 U2 D L' F
U' F2 L2 D U2 L' F
R' F2 L2 U2 D L' F
L F2 L U2 D L' F
R' F2 L2 D U2 L' F
L F2 L D U2 L' F
D F2 L' R2 U' F L2
U2 F2 L2 U2 D L' F
U2 F2 L2 D U2 L' F
R2 F2 L2 U2 D L' F
R2 F2 L2 D U2 L' F
U F2 L2 U2 D L' F
U F2 L2 D U2 L' F
L2 F2 R B U R' U
R F2 L2 U2 D L' F
L2 F2 R B' U' L U'
R F2 L2 D U2 L' F
D2 F2 U L R2 F B2
D2 F2 U L R2 B2 F
D2 F2 U L F R2 B2
D2 F2 U L F B2 R2
D2 F2 U L B2 R2 F
D2 F2 U L B2 F R2
L2 F2 R2 D' R' B U2
D2 F2 U R2 L F B2
D2 F2 U R2 L B2 F
D F2 R2 L' U' F L2
D F2 R2 U' L' F L2
L' F2 U2 L2 D' R F'
L2 F2 U2 D F2 L' F
L2 F2 U2 F2 D L' F
L2 F2 D U2 F2 L' F
L2 F2 D' R U2 D F'
L2 F2 D' R U2 D' F'
L2 F2 D' R U2 D2 F'
L2 F2 D' R U2 F' D
L2 F2 D' R U2 F' D'
L2 F2 D' R U2 F' D2
L2 F2 D' R D U2 F'
L2 F2 D' R D' U2 F'
L2 F2 D' R D2 U2 F'
L2 F2 D' R B U2 F'
L2 F2 D' R B' U2 F'
L2 F2 D' R B2 U2 F'
L F2 D L B' U2 L'
L2 F2 D' R' B R2 U2
L2 F2 D' B R U2 F'
L2 F2 D' B' R U2 F'
L2 F2 D' B2 R U2 F'
L2 F2 B R U R2 U
L2 F2 B R U2 D' F2
L2 F2 B R D B2 U2
L2 F2 B R D' U2 F2
L2 F2 B' R U' L U'
B2 D2 U' B2 L R2 F
B2 D2 U' B2 L F R2
B2 D2 U' B2 R2 L F
L2 B F2 R U R2 U
L2 B F2 R U2 D' F2
L2 B F2 R D B2 U2
L2 B F2 R D' U2 F2
F2 B' L2 U' L' B' U'
L2 B' F2 R U' L U'
D' B2 L2 U' R' B U2
B' F2 L2 U' L' B' U'
D2 B2 R2 D' F2 L' F
D B2 R2 F2 U' L' F
