U2 R D' F' R2 B'
U2 R D' F' B' R2
U2 R D' B' F' R2
U2 R F' D' R2 B'
U2 R F' D' B' R2
U R B2 U F' B
U R B2 U B F'
U2 R' D' R2 F' B'
U2 R' D' R2 B' F'
R B2 U L F' B
R B2 U L B F'
R B2 U F' L B
D L D L F B' U2
D L D L B' F U2
L' R B2 U L F' B'
L' R B2 U L B' F'
L' R B2 U F' L B'
R L' B2 U L F' B'
R L' B2 U L B' F'
R L' B2 U F' L B'
D L2 D2 F U' L' U'
D' L2 F U' L' U' R2
D L2 F B U R' U
D L2 F B' U' L U'
D L2 B F U R' U
D L2 B' F U' L U'
U R U D' F' R2 B'
U R U D' F' B' R2
U R U D' B' F' R2
U R U F' D' R2 B'
U R U F' D' B' R2
U' R U' D' F' R2 B'
U' R U' D' F' B' R2
U' R U' D' B' F' R2
U' R U' F' D' R2 B'
U' R U' F' D' B' R2
U2 R U' B2 U F' B
U2 R U' B2 U B F'
U' R U2 B2 U F' B
U' R U2 B2 U B F'
U2 R D F' D2 R2 B'
U2 R D F' D2 B' R2
U2 R D F' B' D2 R2
U2 R D B' D2 F' R2
U2 R D B' F' D2 R2
U' R D' U' F' R2 B'
U' R D' U' F' B' R2
U' R D' U' B' F' R2
U2 R D' R2 B' D2 F2
R U B2 U L F' B
R U B2 U L B F'
R U B2 U F' L B
U2 R D' F R2 F2 B'
U2 R D' F R2 B' F2
U2 R D' F B' R2 F2
U2 R D' F' R B' R
U2 R D' F' R2 D B'
U2 R D' F' R2 D' B'
U2 R D' F' R2 D2 B'
U2 R D' F' R2 B' D
U2 R D' F' R2 B' D'
U2 R D' F' R2 B' D2
U2 R D' F' B R2 B2
U2 R D' F' B' R2 D
U2 R D' F' B' R2 D'
U2 R D' F' B' R2 D2
U2 R D' F2 R2 F B'
U2 R D' F2 R2 B' F
U2 R D' F2 B' R2 F
U2 R D' B F' R2 B2
U2 R D' B' F R2 F2
U2 R D' B' F' R2 D
U2 R D' B' F' R2 D'
U2 R D' B' F' R2 D2
U2 R D' B' F2 R2 F
U R D' U F' R2 B'
U R D' U F' B' R2
U R D' U B' F' R2
U' R D2 F2 U' F B'
U' R D2 F2 U' B' F
U2 R D2 B' D F' R2
U2 R F' R D' R2 B'
U2 R F' R D' B' R2
U2 R F' R' D' R2 B'
U2 R F' R' D' B' R2
U2 R F' R2 D' R2 B'
U2 R F' R2 D' B' R2
U2 R F' U' B2 U B
U2 R F' D B' D2 R2
U2 R F' D' R B' R
U2 R F' D' R2 D B'
U2 R F' D' R2 D' B'
U2 R F' D' R2 D2 B'
U2 R F' D' R2 B' D
U2 R F' D' R2 B' D'
U2 R F' D' R2 B' D2
U2 R F' D' B R2 B2
U2 R F' D' B' R2 D
U2 R F' D' B' R2 D'
U2 R F' D' B' R2 D2
U2 R F' D2 B' D R2
U2 R F' B' U' B' U
U2 R F2 D' R2 F B'
U2 R F2 D' R2 B' F
U2 R F2 D' F R2 B'
U2 R F2 D' F B' R2
U2 R F2 D' B' R2 F
U2 R F2 D' B' F R2
U2 R B' U' B' U F'
U2 R B' F' U' B' U
F' R B2 U L F' B
F' R B2 U L B F'
F' R B2 U F' L B
B R B2 L D' F' R
F2 R B2 U L F' B
F2 R B2 U L B F'
F2 R B2 U F' L B
U R B2 L U F' B
U R B2 L U B F'
U R B2 L' U F' B
U R B2 L' U B F'
U R B2 L2 U F' B
U R B2 L2 U B F'
B R B2 D' L F' R
F R B2 U L F' B
F R B2 U L B F'
B R B2 D' F' L R
B R B2 D' F' R L
F R B2 U F' L B
U R B2 U D F' B
U R B2 U D B F'
U R B2 U D' F' B
U R B2 U D' B F'
U R B2 U D2 F' B
U R B2 U D2 B F'
U R B2 U F' D B
U R B2 U F' D' B
U R B2 U F' D2 B
U R B2 U F' B D
U R B2 U F' B D'
U R B2 U F' B D2
U R B2 U B D F'
U R B2 U B D' F'
U R B2 U B D2 F'
U R B2 U B F' D
U R B2 U B F' D'
U R B2 U B F' D2
U R B2 D U F' B
U R B2 D U B F'
U R B2 D' U F' B
U R B2 D' U B F'
U R B2 D2 U F' B
U R B2 D2 U B F'
U R' U D' R2 F' B'
U R' U D' R2 B' F'
U' R' U' D' R2 F' B'
U' R' U' D' R2 B' F'
U2 R' D B' D2 R2 F2
U2 R' D B' D2 F2 R2
U' R' D' U' R2 F' B'
U' R' D' U' R2 B' F'
U2 R' D' R B' R F'
U2 R' D' R2 D F' B'
U2 R' D' R2 D B' F'
U2 R' D' R2 D' F' B'
U2 R' D' R2 D' B' F'
U2 R' D' R2 D2 F' B'
U2 R' D' R2 D2 B' F'
U2 R' D' R2 F' D B'
U2 R' D' R2 F' D' B'
U2 R' D' R2 F' D2 B'
U2 R' D' R2 F' B' D
U2 R' D' R2 F' B' D'
U2 R' D' R2 F' B' D2
U2 R' D' R2 B' D F'
U2 R' D' R2 B' D' F'
U2 R' D' R2 B' D2 F'
U2 R' D' R2 B' F' D
U2 R' D' R2 B' F' D'
U2 R' D' R2 B' F' D2
R U' B2 U L F' B
R U' B2 U L B F'
R U' B2 U F' L B
U2 R' D' F R2 F' B'
U2 R' D' F R2 B' F'
U2 R' D' F' R2 F' B'
U2 R' D' F' R2 B' F'
U2 R' D' F2 R2 F' B'
U2 R' D' F2 R2 B' F'
U2 R' D' B' R2 D2 F2
U R' D' U R2 F' B'
U R' D' U R2 B' F'
U2 R' F D' R2 F' B'
U2 R' F D' R2 B' F'
U2 R' F' D' R2 F' B'
U2 R' F' D' R2 B' F'
D2 R' F2 U' B' L' F
L U2 R D' F' B R2
L U2 R D' B F' R2
L U2 R F' D' B R2
U2 R' F2 D' R2 F' B'
U2 R' F2 D' R2 B' F'
L U2 R' D' R2 F' B
L U2 R' D' R2 B F'
U R' B2 L2 U F B
U R' B2 L2 U B F
U R' B2 U B D2 F2
U R' B2 U' B' U2 B2
U2 R2 D' R' F' R' B'
R U2 B2 U L F' B
R U2 B2 U L B F'
R U2 B2 U F' L B
U2 R2 D' B' R' F' R'
R' D L2 B R F U2
R D L2 F R' U2 F2
U2 R2 B' U' B' R' U
B2 U R U F' R' B
R' D B L2 R U2 B2
F' U R B2 U F' B
F' U R B2 U B F'
R' D B R L2 U2 B2
F2 U R B2 U F' B
F2 U R B2 U B F'
F U R B2 U F' B
F U R B2 U B F'
R' D B' D2 F2 L' R2
R' D B' D2 F2 R2 L'
B U D L2 B R' U
B U D B L2 R' U
B U D B R' L2 U
R' D' R U2 R F' B'
R' D' R U2 R B' F'
R' D' R U2 B' R F'
R' D' R2 F' B2 L B
R' D' R2 B2 L F' B
R' D' R2 B2 L B F'
R' D' R2 B2 F' L B
R D' R2 B' D2 F2 L'
U2 D' R D R F' B'
U2 D' R D R B' F'
U2 D' R D B' R F'
U2 D' R B' D R F'
L2 D' F U' L' U' R2
R' D' F' R2 F' B' L'
R' D' F' R2 B' F' L'
R D' F R2 F2 B' L'
R D' F R2 B' F2 L'
R' D' F2 R2 B' L' F'
R' D' B R U2 R B2
R' D' B R U2 B2 R
R' D' B U2 R2 B2 L
R D' F' B2 L B R2
R D' B2 L F' B R2
R D' B2 L B F' R2
U2 D' B' R D R F'
R D' B2 F' L B R2
D' U2 R D R F' B'
D' U2 R D R B' F'
D' U2 R D B' R F'
D' U2 R B' D R F'
F' U2 R D' F' R2 B'
F' U2 R D' F' B' R2
F' U2 R D' B' F' R2
F' U2 R F' D' R2 B'
F' U2 R F' D' B' R2
F2 U2 R D' F' R2 B'
F2 U2 R D' F' B' R2
F2 U2 R D' B' F' R2
F2 U2 R F' D' R2 B'
F2 U2 R F' D' B' R2
F' U2 R' D' R2 F' B'
F' U2 R' D' R2 B' F'
F2 U2 R' D' R2 F' B'
F2 U2 R' D' R2 B' F'
F U2 R D' F' R2 B'
F U2 R D' F' B' R2
D' U2 B' R D R F'
F U2 R D' B' F' R2
B U2 R B2 D' F' R
F U2 R F' D' R2 B'
F U2 R F' D' B' R2
F U2 R' D' R2 F' B'
F U2 R' D' R2 B' F'
U2 F R D' F' R2 B'
U2 F R D' F' B' R2
U2 F R D' B' F' R2
U2 F R F' D' R2 B'
U2 F R F' D' B' R2
U2 F R' D' R2 F' B'
U2 F R' D' R2 B' F'
L2 F U R B2 U F'
L2 F U B2 R U F'
L2 F U2 R D' F' R2
L2 F U2 R F' D' R2
L2 F U2 R' D' R2 F'
B D U L2 B R' U
B D U B L2 R' U
B D U B R' L2 U
R F B2 U L F2 B
R F B2 U L B F2
R F B2 U F2 L B
U2 F' R D' F' R2 B'
U2 F' R D' F' B' R2
U2 F' R D' B' F' R2
U2 F' R F' D' R2 B'
U2 F' R F' D' B' R2
U2 F' R' D' R2 F' B'
U2 F' R' D' R2 B' F'
D' F' U R U R B'
D' F' U R U B' R
R F' U' B2 U L B
R' F' D' R2 F' B' L'
R' F' D' R2 B' F' L'
R F' D' B2 L B R2
R F' B' U' B' U L
U2 F2 R D' F' R2 B'
U2 F2 R D' F' B' R2
U2 F2 R D' B' F' R2
U2 F2 R F' D' R2 B'
U2 F2 R F' D' B' R2
U2 F2 R' D' R2 F' B'
U2 F2 R' D' R2 B' F'
R' F2 D' R2 B' L' F'
R F2 B2 U F L B
D B L2 U R' U B2
U2 B R B2 D' F' R
U B D L2 B R' U
U B D B L2 R' U
U B D B R' L2 U
U2 B' R U' B' U F'
U2 B' R F' U' B' U
U B' R B' U F' B
U B' R B' U B F'
U2 B' R2 U' B' R' U
U2 B' U' R B' U F'
U2 B' U' B' R U F'
R B' U' B' U L F'
R B' U' B' U F' L
R B' F' U' B' U L
R B2 L' U L2 F' B
R B2 L' U L2 B F'
R B2 L' U F' L2 B
R B2 L' U F' B L2
R B2 L' U B L2 F'
R B2 L' U B F' L2
R B2 L2 U L' F' B
R B2 L2 U L' B F'
R B2 L2 U B L' F'
R' B2 U B D2 F2 L'
R' B2 U' B' R U2 B2
U B2 U R F' R' B
R B2 U L D F' B
R B2 U L D B F'
R B2 U L D' F' B
R B2 U L D' B F'
R B2 U L D2 F' B
R B2 U L D2 B F'
R B2 U L F' D B
R B2 U L F' D' B
R B2 U L F' D2 B
R B2 U L F' B D
R B2 U L F' B D'
R B2 U L F' B D2
R B2 U L B D F'
R B2 U L B D' F'
R B2 U L B D2 F'
R B2 U L B F' D
R B2 U L B F' D'
R B2 U L B F' D2
R B2 U L' F' L2 B
R B2 U L' F' B L2
R B2 U L' B L2 F'
R B2 U L' B F' L2
R B2 U L2 B L' F'
U B2 U B R F' R'
R B2 U D L F' B
R B2 U D L B F'
R B2 U D F' L B
R B2 U D' L F' B
R B2 U D' L B F'
R B2 U D' F' L B
R B2 U D2 L F' B
R B2 U D2 L B F'
R B2 U D2 F' L B
R B2 U F L F2 B
R B2 U F L B F2
R B2 U F' L D B
R B2 U F' L D' B
R B2 U F' L D2 B
R B2 U F' L B D
R B2 U F' L B D'
R B2 U F' L B D2
R B2 U F' L' B L2
R B2 U F' L2 B L'
R B2 U F' D L B
R B2 U F' D' L B
R B2 U F' D2 L B
R B2 D U L F' B
R B2 D U L B F'
R B2 D U F' L B
R B2 D' U L F' B
R B2 D' U L B F'
R B2 D' U F' L B
U B2 D2 L' U F B
U B2 D2 L' U B F
R B2 D2 U L F' B
R B2 D2 U L B F'
R B2 D2 U F' L B
R B2 F U L F2 B
R B2 F U L B F2
R B2 F U F2 L B
R B2 F2 U F L B
