F' L' R U' R2 U'
F' L' R U2 D B2
F' L' R D U2 B2
F' L' R D' F2 U2
F' R L' U' R2 U'
F' R L' U2 D B2
F' R L' D U2 B2
F' R L' D' F2 U2
F' R D L' U2 B2
F' R D' L' F2 U2
F' R D' F2 U2 R
U' R' F' U R U2
U' D R' F' B U'
U' D R' B F' U'
D U' R' F' B U'
D U' R' B F' U'
F U' R' U' L' R2
F U' R' U' R2 L'
F U2 L' R D B2
F U2 R L' D B2
F U2 R D L' B2
F U2 R D B2 L'
U' F2 R' F' U' L'
D' L U' R' F' B' U'
D' L U' R' B' F' U'
F L U' R' U' L2 R2
D L U' R' F' B U'
F L U' R' U' R2 L2
D L U' R' B F' U'
F L U2 L2 R D B2
F L U2 R L2 D B2
U L U2 R' F U' L'
U L U2 F R' U' L'
F' L' R U D2 L2 U
F' L' R U D2 L2 U
F' L' R U' R2 U' D
F' L' R U' R2 U' D'
F' L' R U' R2 U' D2
F' L' R U' R2 D U'
F' L' R U' R2 D' U'
F' L' R U' R2 D2 U'
F' L' R U2 D B2 D
F' L' R U2 D B2 D'
F' L' R U2 D B2 D2
F' L' R U2 B D B2
F' L' R U2 B' D B2
F' L' R U2 B2 D B2
F' L' R D U2 B2 D
F' L' R D U2 B2 D'
F' L' R D U2 B2 D2
F' L' R D F U2 B2
F' L' R D F' U2 B2
F' L' R D F2 U2 B2
F' L' R D' F2 U2 D
F' L' R D' F2 U2 D'
F' L' R D' F2 U2 D2
F' L' R D' F2 D U2
F' L' R D' F2 D' U2
F' L' R D' F2 D2 U2
F' L' R D2 U L2 U
F' L' R F U' R2 U'
F' L' R F U2 D B2
F' L' R F D U2 B2
F' L' R F D' F2 U2
F L' R D B2 D2 F2
F' L' R F' U' R2 U'
F' L' R F' U2 D B2
F' L' R F' D U2 B2
F' L' R F' D' F2 U2
F' L' R F2 U' R2 U'
F' L' R F2 U2 D B2
F' L' R F2 D U2 B2
F' L' R F2 D' F2 U2
F' L' U' R' U R2 U2
F' L' U' R' U' D2 L2
F' L' U' R' D B2 U'
F' L' U' R' D2 U' L2
D L' U' R' F' B U'
D L' U' R' B F' U'
F L' U2 R D B2 L
F' L' D R U' R2 U'
F' L' D R U2 D B2
F' L' D R D U2 B2
F' L' D R D' F2 U2
F' L' D' R U' R2 U'
F' L' D' R U2 D B2
F' L' D' R D U2 B2
F' L' D' R D' F2 U2
F' L' D2 R U' R2 U'
F' L' D2 R U2 D B2
F' L' D2 R D U2 B2
F' L' D2 R D' F2 U2
F' L' F2 U' R' U' L'
F' L2 R U2 D B2 R'
F' L2 R D L U2 B2
F' L2 R D U2 B2 R'
F' L2 R D' L F2 U2
F' L2 R D' F2 L U2
D' L2 U' R' F' U' L'
D L2 U' R' F' B U'
D L2 U' R' B F' U'
F L2 U' R' U' L R2
F L2 U' R' U' R2 L
F L2 U2 L R D B2
F L2 U2 R L D B2
F L2 U2 R D L B2
F' R L' U D2 L2 U
F' R L' U' R2 U' D
F' R L' U' R2 U' D'
F' R L' U' R2 U' D2
F' R L' U' R2 D U'
F' R L' U' R2 D' U'
F' R L' U' R2 D2 U'
F' R L' U2 D B2 D
F' R L' U2 D B2 D'
F' R L' U2 D B2 D2
F' R L' U2 B D B2
F' R L' U2 B' D B2
F' R L' U2 B2 D B2
F' R L' D U2 B2 D
F' R L' D U2 B2 D'
F' R L' D U2 B2 D2
F' R L' D F U2 B2
F' R L' D F' U2 B2
F' R L' D F2 U2 B2
F' R L' D' F2 U2 D
F' R L' D' F2 U2 D'
F' R L' D' F2 U2 D2
F' R L' D' F2 D U2
F' R L' D' F2 D' U2
F' R L' D' F2 D2 U2
F' R L' D2 U L2 U
F' R L' F U' R2 U'
F' R L' F U2 D B2
F' R L' F D U2 B2
F' R L' F D' F2 U2
F' R L' F' U' R2 U'
F' R L' F' U2 D B2
F' R L' F' D U2 B2
F' R L' F' D' F2 U2
F' R L' F2 U' R2 U'
F' R L' F2 U2 D B2
F' R L' F2 D U2 B2
F' R L' F2 D' F2 U2
F R L' D B2 D2 F2
F' R L2 U2 D B2 R'
F' R L2 D L U2 B2
F' R L2 D U2 B2 R'
F' R L2 D' L F2 U2
F' R L2 D' F2 L U2
F' R U' R2 U L' U2
F' R U' R2 F2 U' R
F' R U' F2 R2 U' R'
F R U2 L' D B2 R'
F R U2 D L' B2 R'
F' R D L' U2 B2 D
F' R D L' U2 B2 D'
F' R D L' U2 B2 D2
F' R D L' D2 F2 U2
F' R D L' F U2 B2
F' R D L' F' U2 B2
F' R D L' F2 U2 B2
F' R D L2 U2 B2 R'
F' R D F2 U2 R B2
F' R D F2 U2 B2 R
F R D L' B2 D2 F2
F' R D' L F2 L2 U2
F' R D' L' U2 D2 B2
F' R D' L' D2 U2 B2
F' R D' L' F2 U2 D
F' R D' L' F2 U2 D'
F' R D' L' F2 U2 D2
F' R D' L' F2 D U2
F' R D' L' F2 D' U2
F' R D' L' F2 D2 U2
F R D U2 L' B2 R'
F' R D' L2 F2 L U2
F R D B2 L' D2 F2
F R D B2 D2 L' F2
F' R D' F2 L U2 R
F' R D' F2 L' U2 R
F' R D' F2 L2 U2 R
F' R D' F2 U2 R D
F' R D' F2 U2 R D'
F' R D' F2 U2 R D2
F' R D' F2 U2 D R
F' R D' F2 U2 D' R
F' R D' F2 U2 D2 R
F' R D' F2 D U2 R
F' R D' F2 D' U2 R
F' R D' F2 D2 U2 R
F' R D2 L' U L' U
F R D' F2 R U2 R'
U' R F2 R2 F' U' L'
F' R F2 U' R2 U' R'
F' R F2 U2 D R B2
F' R F2 U2 D B2 R
F' R F2 D U2 R B2
F' R F2 D U2 B2 R
F' R F2 D' F2 L' U2
L' U' R' F' U R U2
L2 U' R' F' U R U2
L U' R' F' U R U2
L' U' D R' F' B U'
L' U' D R' B F' U'
L2 U' D R' F' B U'
L2 U' D R' B F' U'
L U' D R' F' B U'
L U' D R' B F' U'
L' U' F2 R' F' U' L'
L2 U' F2 R' F' U' L'
L U' F2 R' F' U' L'
D R' U' B U' B' R'
U' R' D2 F' B' U' L
U' R' D2 B' F' U' L
U' R' F U' L' D R2
U' R' F U' D L' R2
U' R' F U' D R2 L'
U' R' F D U' L' R2
U' R' F D U' R2 L'
U' R' F' U R U2 D
U' R' F' U R U2 D'
U' R' F' U R U2 D2
U' R' F' U R D U2
U' R' F' U R D' U2
U' R' F' U R D2 U2
U' R' F' U D R U2
U' R' F' U D' R U2
U' R' F' U D2 R U2
U' R' F' U' F2 L' F2
U' R' F' U2 F2 U L'
U' R' F' D U R U2
U' R' F' D' U R U2
U' R' F' D2 U R U2
U' R' F' B U R U2
U' R' F' B' U R U2
U' R' F' B2 U R U2
U' R' B F' U R U2
U' R' B' F' U R U2
F R' B' U' L' R2 F'
F R' B' U' R2 L' F'
U' R' B2 F' U R U2
F R2 U' R U' L' R2
F R2 U' R U' R2 L'
F R2 U2 L' R' D B2
F R2 U2 R' L' D B2
F R2 U2 R' D L' B2
F R2 U2 R' D B2 L'
L' D U' R' F' B U'
L' D U' R' B F' U'
L2 D U' R' F' B U'
L2 D U' R' B F' U'
L D U' R' F' B U'
L D U' R' B F' U'
U' D R' D F' B U'
U' D R' D B F' U'
U' D R' D' F' B U'
U' D R' D' B F' U'
U' D R' D2 F' B U'
U' D R' D2 B F' U'
U' D R' F' D B U'
U' D R' F' D' B U'
U' D R' F' D2 B U'
U' D R' F' B U' D
U' D R' F' B U' D'
U' D R' F' B U' D2
U' D R' F' B D U'
U' D R' F' B D' U'
U' D R' F' B D2 U'
U' D R' B D F' U'
U' D R' B D' F' U'
U' D R' B D2 F' U'
U' D R' B F' U' D
U' D R' B F' U' D'
U' D R' B F' U' D2
U' D R' B F' D U'
U' D R' B F' D' U'
U' D R' B F' D2 U'
U' D F R' F' B U'
U' D F R' B F' U'
U' D F' R' F' B U'
U' D F' R' B F' U'
U' D F2 R' F' B U'
U' D F2 R' B F' U'
F U B U L' R B
F U B U R L' B
F U B U R B L'
F U B2 L U L2 R
F U B2 L U R L2
D2 U' R' F' B' U' L
D2 U' R' B' F' U' L
D U' R' D F' B U'
D U' R' D B F' U'
D U' R' D' F' B U'
D U' R' D' B F' U'
D U' R' D2 F' B U'
D U' R' D2 B F' U'
D U' R' F' D B U'
D U' R' F' D' B U'
D U' R' F' D2 B U'
D U' R' F' B U' D
D U' R' F' B U' D'
D U' R' F' B U' D2
D U' R' F' B D U'
D U' R' F' B D' U'
D U' R' F' B D2 U'
D U' R' B D F' U'
D U' R' B D' F' U'
D U' R' B D2 F' U'
D U' R' B F' U' D
D U' R' B F' U' D'
D U' R' B F' U' D2
D U' R' B F' D U'
D U' R' B F' D' U'
D U' R' B F' D2 U'
F' U' R' U L' R2 U2
F' U' R' U R2 L' U2
F2 U' R' U2 F' U R
D U' F R' F' B U'
D U' F R' B F' U'
F U' R' U' L' R2 D
F U' R' U' L' R2 D'
F U' R' U' L' R2 D2
F U' R' U' R2 L' D
F U' R' U' R2 L' D'
F U' R' U' R2 L' D2
F U' R' U' R2 D L'
F U' R' U' R2 D' L'
F U' R' U' R2 D2 L'
D U' F' R' F' B U'
D U' F' R' B F' U'
F U' R' B U' L' R2
F U' R' B U' R2 L'
F U' R' B' U' L' R2
F U' R' B' U' R2 L'
F U' R' B2 U' L' R2
F U' R' B2 U' R2 L'
D U' F2 R' F' B U'
D U' F2 R' B F' U'
F U' D R' U' L' R2
F U' D R' U' R2 L'
F U' D' R' U' L' R2
F U' D' R' U' R2 L'
F U' D2 R' U' L' R2
F U' D2 R' U' R2 L'
F' U' F2 R' U' L' R2
F' U' F2 R' U' R2 L'
F U' B U' L' R B'
F U' B U' L' B' R
F U' B U' R L' B'
U' D2 R' F' B' U' L
U' D2 R' B' F' U' L
F U2 L' R U R2 U'
F U2 L' R D B2 D
F U2 L' R D B2 D'
F U2 L' R D B2 D2
F U2 L' R B D B2
F U2 L' R B' D B2
F U2 L' R B2 D B2
F U2 L' U R' U' R2
F U2 L' D R D B2
F U2 L' D' R D B2
F U2 L' D2 R D B2
F U2 L2 R D L B2
F U2 R L' U R2 U'
F U2 R L' D B2 D
F U2 R L' D B2 D'
F U2 R L' D B2 D2
F U2 R L' B D B2
F U2 R L' B' D B2
F U2 R L' B2 D B2
F U2 R L2 D L B2
F U2 R U R2 U' L'
F U2 R D L B2 L2
F U2 R D L' B2 D
F U2 R D L' B2 D'
F U2 R D L' B2 D2
D2 U2 B' L D' R' B
F U2 R D B L' B
F U2 R D B2 L' D
F U2 R D B2 L' D'
F U2 R D B2 L' D2
F U2 R D B2 D L'
F U2 R D B2 D' L'
F U2 R D B2 D2 L'
F U2 R D' L' D2 B2
D2 U2 B' R' D L B'
F U2 R B L' D B2
F U2 R B D L' B2
F U2 R B D B2 L'
F U2 R B' L' D B2
F U2 R B' D L' B2
F U2 R B' D B2 L'
F U2 R B2 L' D B2
F U2 R B2 D L' B2
F U2 R B2 D B2 L'
D2 U2 B' D L R' B'
D2 U2 B' D R' L B'
U2 D2 B' L D' R' B
D2 U2 B' D' L R' B
D2 U2 B' D' R' L B
U2 D2 B' R' D L B'
U2 D2 B' D L R' B'
U2 D2 B' D R' L B'
U2 D2 B' D' L R' B
U2 D2 B' D' R' L B
F U2 D L' R D B2
F U2 D R L' D B2
F U2 D R D L' B2
F U2 D R D B2 L'
F U2 D' L' R D B2
F U2 D' R L' D B2
F U2 D' R D L' B2
F U2 D' R D B2 L'
F U2 D2 L' R D B2
F U2 D2 R L' D B2
F U2 D2 R D L' B2
F U2 D2 R D B2 L'
L' F U' R' U' L' R2
L' F U' R' U' R2 L'
L2 F U' R' U' L' R2
L2 F U' R' U' R2 L'
F U2 B2 L' R D' B2
L' F U2 L' R D B2
F U2 B2 L' D' R B2
F U2 B2 L' D' B2 R
F U2 B2 R L' D' B2
L' F U2 R L' D B2
L' F U2 R D L' B2
L' F U2 R D B2 L'
D F U' R' B U' R2
F' D L' R U' R2 U'
F' D L' R U2 D B2
F' D L' R D U2 B2
F' D L' R D' F2 U2
L2 F U2 L' R D B2
L2 F U2 R L' D B2
L2 F U2 R D L' B2
L2 F U2 R D B2 L'
L F U' R' U' L' R2
L F U' R' U' R2 L'
R F U' R2 U' L' R'
R F U' R2 U' R' L'
L F U2 L' R D B2
L F U2 R L' D B2
L F U2 R D L' B2
L F U2 R D B2 L'
R F U2 L' D R B2
R F U2 L' D B2 R
R F U2 D L' R B2
R F U2 D L' B2 R
R F U2 D R L' B2
R F U2 D R B2 L'
R F U2 D B2 L' R
R F U2 D B2 R L'
F' D R L' U' R2 U'
F' D R L' U2 D B2
F' D R L' D U2 B2
F' D R L' D' F2 U2
F' D R D L' U2 B2
F' D R D' L' F2 U2
F' D R D' F2 U2 R
R F D U2 L' R B2
R F D U2 L' B2 R
R F D U2 R L' B2
R F D U2 R B2 L'
R F D U2 B2 L' R
R F D U2 B2 R L'
U' F B U' L' B' R'
R F D' F2 L' R U2
R F D' F2 R L' U2
R' F' L' R U' R' U'
L' F' L' R U' R2 U'
L' F' L' R U2 D B2
L' F' L' R D U2 B2
L' F' L' R D' F2 U2
L2 F' L' R U' R2 U'
L2 F' L' R U2 D B2
L2 F' L' R D U2 B2
L2 F' L' R D' F2 U2
F D U' R' U' L' R2
F D U' R' U' R2 L'
F D U2 L' R D B2
F D U2 R L' D B2
F D U2 R D L' B2
F D U2 R D B2 L'
D F' L' U' R' B U'
L F' L' R U' R2 U'
L F' L' R U2 D B2
L F' L' R D U2 B2
L F' L' R D' F2 U2
R' F' R L' U' R' U'
R F' L' R U' R U'
L' F' R L' U' R2 U'
L' F' R L' U2 D B2
L' F' R L' D U2 B2
L' F' R L' D' F2 U2
R F' L' D R U2 B2
L' F' R D L' U2 B2
R F' L' D' R F2 U2
R F' L' D' F2 U2 L'
L' F' R D' L' F2 U2
L' F' R D' F2 U2 R
L2 F' R L' U' R2 U'
L2 F' R L' U2 D B2
L2 F' R L' D U2 B2
L2 F' R L' D' F2 U2
L2 F' R D L' U2 B2
U' F' R' D F' B2 U'
U' F' R' D B2 F' U'
L2 F' R D' L' F2 U2
L2 F' R D' F2 U2 R
U' F' R' D2 F' U' L2
U' F' R' F' U R2 U2
U' F' R' F' U' D2 L2
U' F' R' F' D B2 U'
U' F' R' F' D2 U' L2
L F' R L' U' R2 U'
L F' R L' U2 D B2
L F' R L' D U2 B2
L F' R L' D' F2 U2
R F' R L' U' R U'
L F' R D L' U2 B2
L F' R D' L' F2 U2
L F' R D' F2 U2 R
F' D' L' R U' R2 U'
F' D' L' R U2 D B2
F' D' L' R D U2 B2
F' D' L' R D' F2 U2
F' D' R L' U' R2 U'
F' D' R L' U2 D B2
F' D' R L' D U2 B2
F' D' R L' D' F2 U2
F' D' R D L' U2 B2
F' D' R D' L' F2 U2
F' D' R D' F2 U2 R
R F' D L' R U2 B2
R F' D R L' U2 B2
R F' D' L' R F2 U2
R F' D' L' F2 U2 L'
R F' D' R L' F2 U2
R F' D' R F2 U2 R
R F' D' F2 U2 L' R
R F' D' F2 U2 R L'
F D' U' R' U' L' R2
F D' U' R' U' R2 L'
F D' U2 L' R D B2
F D' U2 R L' D B2
F D' U2 R D L' B2
F D' U2 R D B2 L'
U' F2 R' D F' U' L'
U' F2 R' D' F' U' L'
U' F2 R' D2 F' U' L'
U' F2 R' F' U' L' D
U' F2 R' F' U' L' D'
U' F2 R' F' U' L' D2
U' F2 R' F' U' D L'
U' F2 R' F' U' D' L'
U' F2 R' F' U' D2 L'
U' F2 R' F' D U' L'
U' F2 R' F' D' U' L'
U' F2 R' F' D2 U' L'
U' F2 R' F' B U' L'
U' F2 R' F' B' U' L'
U' F2 R' F' B2 U' L'
U' F2 R' B F' U' L'
U' F2 R' B' F' U' L'
U' F2 R' B2 F' U' L'
F' D2 L' R U' R2 U'
F' D2 L' R U2 D B2
F' D2 L' R D U2 B2
F' D2 L' R D' F2 U2
U' F2 D R' F' U' L'
U' F2 D' R' F' U' L'
F' D2 R L' U' R2 U'
F' D2 R L' U2 D B2
F' D2 R L' D U2 B2
F' D2 R L' D' F2 U2
U' F2 D2 R' F' U' L'
F' D2 R D L' U2 B2
F' D2 R D' L' F2 U2
F' D2 R D' F2 U2 R
F D2 U' R' U' L' R2
F D2 U' R' U' R2 L'
F D2 U2 L' R D B2
F D2 U2 R L' D B2
F D2 U2 R D L' B2
F D2 U2 R D B2 L'
U' B F U' L' B' R'
U B2 L U2 F U' L'
