U F' L' B' U2 L
U L' F' B' L' U2 L2
U L' B' F' L' U2 L2
L' U F' L' B' U2 L
L2 U F' L' B' U2 L
L U F' L' B' U2 L
U' R B L R' F' U2
U' R B R' L F' U2
U' R B R' F' L U2
F R B U D2 B2 L
F R B U' R' F2 U2
F R B U' F2 R' U2
F R B D2 U B2 L
U R B' L F R B
U' R' F' B' L R' B
U' R' F' B' R' L B
U' R' B' L F' R' B
U' R' B' F' L R' B
U' R' B' F' R' L B
U R2 B' L F R B2
U R2 B' L F B2 R
U R2 B' L B2 F R
B' U L R F R B
B' U L R2 F B R
B' U L R2 B F R
B' U L F R D2 B2
B' U L F D2 R B2
B' U L F D2 B2 R
B' U R L F R B
B' U R2 L F B R
B' U R2 L B F R
D2 U F' L' R B' U2
D2 U F' L' B' R U2
D2 U F' R L' B' U2
B' U F' L' U2 L2 F
B' U F' L' B' U2 L2
B U F' L' R' B' U2
B U F' R' L' B' U2
F' U' L' B' U' L R'
F' U' L' B' U' R' L
D2 U' F' R B L U2
B' U' F' U2 L F R
F' U' B' L' U' L2 R'
F' U' B' L' U' R' L2
U' D2 F' R B L U2
U D2 F' L' R B' U2
U D2 F' L' B' R U2
U D2 F' R L' B' U2
U F' L' R B' U2 L
U F' L' R' B' U2 L
U F' L' R2 B' U2 L
U' F' R B L R' U2
U' F' R B R' L U2
U F' L' B R' B2 U2
U F' L' B' R U2 L
U F' L' B' R' U2 L
U F' L' B' R2 U2 L
U F' L' B' U2 L D
U F' L' B' U2 L D'
U F' L' B' U2 L D2
U F' L' B' U2 D L
U F' L' B' U2 D' L
U F' L' B' U2 D2 L
U F' L' B' D U2 L
U F' L' B' D' U2 L
U F' L' B' D2 U2 L
U F' R L' B' U2 L
U F' R' L' B' U2 L
U F' R2 L' B' U2 L
F D' L2 R F' B U
F D' L2 R B F' U
U' F' B L R' U2 F'
U' F' B R' L U2 F'
F D' R L2 F' B U
F D' R L2 B F' U
F D' R F' L2 B U
F D' R F' B L2 U
U' F' B' U2 L R' F
U' F' B' U2 L F R'
U' F' B' U2 R' L F
F D' R B L2 F' U
F D' R B F' L2 U
U F' B L' R' B' U2
U F' B R' L' B' U2
U F' B' L' U2 L2 F
U F' B' L' B' U2 L2
U F' B2 L' B' R' U2
U' F2 L2 B' L R' F'
U' F2 L2 B' R' L F'
U' F2 L2 B' R' F' L
U' B L F' R' U2 F'
F' B R' U' L' F' U'
U' B F' L R' U2 F'
U' B F' R' L U2 F'
U' B' L R2 B R F'
U B F' L' R' B' U2
U B F' R' L' B' U2
U B' L R F R B
U B' L R2 F B R
U B' L R2 B F R
U B' L F R D2 B2
U B' L F D2 R B2
U B' L F D2 B2 R
U' B' R' D2 L F' B'
U' B' R' D2 L B' F'
U' B' R' D2 F' L B'
U' B' R' F' D2 L B'
U' B' R2 L B R F'
U B' R L F R B
U B' R2 L F B R
U B' R2 L B F R
B F' R' U' L' F' U'
B2 F' U' L' B' U' R'
U' B' F' U2 L R' F
U' B' F' U2 L F R'
U' B' F' U2 R' L F
U B' F' L' U2 L2 F
U B' F' L' B' U2 L2
U B2 R2 B L F R
F' B2 U' L' B' U' R'
U B2 F' L' B' R' U2
