L2 U F2 U2 R' F' L'
L2 U' R' D2 F' L' B2
L2 U' R' D2 F' B2 L'
L2 U' R' D2 B2 F' L'
L2 U' D2 R' F' L' B2
L2 U' D2 R' F' B2 L'
L2 U' D2 R' B2 F' L'
F R' D' L2 F2 B' L
F R' D' L2 B' L F2
F R' D' L2 B' F2 L
L D' L2 F R U R2
L' D' F L2 R U R2
L' D' F R L2 U R2
L2 D2 U' R' F' L' B2
L2 D2 U' R' F' B2 L'
L2 D2 U' R' B2 F' L'
L' D2 F R U R2 B2
L' D2 F R U B2 R2
L' F L2 R U R2 B'
L' F L2 R U B' R2
L' F R L2 U R2 B'
L' F R L2 U B' R2
L' F R U' F U2 R2
D2 F R F' U R2 B2
D2 F R F' U B2 R2
L' F2 U F' R U R2
F2 D' B2 L B' R' U2
B2 F2 D' L B' U2 L
F2 B2 D' L B' U2 L
